,High,Low,Open,Close,Volume
2023/8/5,379999999,379999999,379999999,379999999,5
2023/8/6,379999999,379999999,379999999,379999999,17
2023/8/7,380000000,380000000,380000000,380000000,8
2023/8/8,388888888,377777788,377777788,388888811,45
2023/8/9,387777777,387777777,387777777,387777777,1
2023/8/10,420000000,388800000,388800000,420000000,71
2023/8/11,421111111,400000000,400000000,421111111,8
2023/8/12,479999999,418888888,418888888,477777777,23
2023/8/13,455444444,427000000,455444444,427000000,8
2023/8/14,479999998,479999998,479999998,479999998,5
2023/8/15,479999999,390000000,479999999,478888888,10
2023/8/17,478878887,477777777,477777777,478878887,8
2023/8/18,466665553,466665553,466665553,466665553,8
2023/8/19,478888888,458888888,458888888,466666666,72
2023/8/20,477777776,444440000,477777776,444440000,23
2023/8/21,488888888,444444000,444444000,488888888,92
2023/8/22,595555554,470000000,470000000,595555554,37
2023/8/23,470000000,420000000,470000000,420000000,9
2023/8/25,480000000,479999999,479999999,480000000,2
2023/8/26,478888888,470000000,470000000,478888888,4
2023/8/27,566655544,480000000,480000000,555553541,9
2023/8/28,551999999,480000000,480000000,551999911,14
2023/8/29,551999110,496666666,551999110,549999999,49
2023/8/30,548833333,548833332,548833333,548833332,4
2023/8/31,540000000,500000000,539999999,540000000,30
2023/9/1,555555555,537777777,537777777,555555555,81
2023/9/2,555555549,551000000,555555549,551000000,11
2023/9/3,551000000,550000000,550999999,550000000,8
2023/9/4,555555555,551111111,551111111,555555550,34
2023/9/5,566666666,551000000,551000000,551111111,24
2023/9/6,551111111,551111100,551111100,551111111,7
2023/9/8,644444442,639999998,644444442,639999998,2
2023/9/9,639998886,600000000,600000000,639998885,10
2023/9/10,639888883,633333330,639888883,633333330,2
2023/9/11,599999998,599877777,599999998,599877777,4
2023/9/12,598888887,588888888,588888888,598888887,12
2023/9/13,595555550,595555550,595555550,595555550,2
2023/9/14,595550551,522222222,522222222,595550551,6
2023/9/16,589999997,588888888,588888888,589999993,12
2023/9/17,587777772,587777771,587777771,587777772,32
2023/9/18,587777769,587777769,587777769,587777769,1
2023/9/19,586000000,586000000,586000000,586000000,1
2023/9/20,579999999,579999999,579999999,579999999,1
2023/9/22,567777776,567777776,567777776,567777776,1
2023/9/23,586000000,586000000,586000000,586000000,1
2023/9/24,548888888,548888888,548888888,548888888,1
2023/9/25,547777774,533333333,547777774,544444440,16
2023/9/27,517999977,517777777,517999977,517777777,6
2023/9/28,517771110,509999988,517771110,509999988,9
2023/9/29,508888888,488888888,508888888,488888888,2
2023/9/30,488888887,488888887,488888887,488888887,1
2023/10/1,459000000,449999999,459000000,458999999,5
2023/10/2,486000000,459000000,459000000,486000000,4
2023/10/3,485000000,484443333,485000000,484443333,4
2023/10/4,480000000,432222222,432222222,455555555,49
2023/10/5,476655555,466000000,466000000,476655555,20
2023/10/6,486000000,433333333,433333333,485999999,20
2023/10/7,449999999,449999999,449999999,449999999,3
2023/10/8,489999999,479999999,479999999,489999999,59
2023/10/9,510000000,510000000,510000000,510000000,1
2023/10/10,522222222,450000000,450000000,522222222,103
2023/10/11,522222222,511111111,511111111,522222222,4
2023/10/12,530000000,528888888,530000000,530000000,11
2023/10/13,547988887,516666660,516666660,547988887,10
2023/10/14,537777777,537777777,537777777,537777777,1
2023/10/15,537777770,537777770,537777770,537777770,2
2023/10/16,537777770,500000000,500000000,529999999,32
2023/10/17,535555555,533333333,533333333,535554999,8
2023/10/18,534444444,450000000,450000000,534444444,19
2023/10/19,528888888,528888888,528888888,528888888,1
2023/10/20,515545553,509888888,515545553,509888888,4
2023/10/21,508868885,508868881,508868885,508868881,6
2023/10/22,508818881,507979999,508818881,507979999,5
2023/10/25,502222222,499999999,499999999,502222222,17
2023/10/27,503999999,499999999,499999999,503998999,5
2023/10/29,503999999,500000000,503888886,500000000,5
2023/10/30,505555554,503888000,503888000,503888887,9
2023/10/31,505555555,500000000,501111110,500000000,33
2023/11/1,501111111,501111111,501111111,501111111,18
2023/11/2,508868888,507979999,508868888,507979999,20
2023/11/3,547988887,521111111,521111111,547988887,7
2023/11/4,540000000,522222222,522222222,540000000,17
2023/11/5,547888886,544444442,544444442,547888886,26
2023/11/6,585555555,547888886,547888886,585555555,36
2023/11/7,547000000,546999999,547000000,546999999,9
2023/11/8,545554999,540000000,540000000,545554999,10
2023/11/10,545553555,545553555,545553555,545553555,2
2023/11/11,547988888,540000000,540000000,547988888,114
2023/11/12,584888880,584888877,584888880,584888877,21
2023/11/13,583888800,582188888,583888800,582222222,4
2023/11/14,582222000,582222000,582222000,582222000,1
2023/11/15,580000000,579990000,579999990,580000000,81
2023/11/16,582222000,582222000,582222000,582222000,7
2023/11/17,598888888,598888888,598888888,598888888,4
2023/11/18,598888888,598888888,598888888,598888888,1
2023/11/19,655555555,588888888,588888888,655555555,69
2023/11/20,719999989,599999999,655555500,719999989,90
2023/11/21,555555555,555555555,555555555,555555555,8
2023/11/23,709999989,709999989,709999989,709999989,4
2023/11/25,647999999,633333333,647999999,633333333,12
2023/11/26,599999997,599999988,599999997,599999988,8
2023/11/27,587999999,587999999,587999999,587999999,1
2023/11/28,587999999,587999999,587999999,587999999,1
2023/12/2,566666666,566666666,566666666,566666666,1
2023/12/5,566666665,566666665,566666665,566666665,1
2023/12/6,566666664,555555555,555555555,566666664,2
2023/12/7,566666665,533333333,533333333,566666665,6
2023/12/8,588887777,555555555,555555555,588887777,4
2023/12/9,588888870,588888799,588888870,588888799,17
2023/12/10,588888800,577777777,588888800,577777777,11
2023/12/11,577777777,577777777,577777777,577777777,1
2023/12/12,585666666,577333333,577777777,585666666,3
2023/12/13,585666665,585555555,585555555,585666665,2
2023/12/14,577777777,577777777,577777777,577777777,2
2023/12/15,569999999,569999999,569999999,569999999,1
2023/12/16,600000000,566663333,569999999,566666666,11
2023/12/17,577700000,566622200,566622200,574444444,24
2023/12/18,574000000,574000000,574000000,574000000,1
2023/12/19,575555555,519000000,566666000,575555555,5
2023/12/21,555555555,544444444,544444444,555555555,2
2023/12/22,575555555,539999999,539999999,575555555,25
2023/12/23,577700000,554999999,554999999,577700000,21
2023/12/24,588888879,575555553,575555553,577700000,17
2023/12/25,577777777,577777777,577777777,577777777,2
2023/12/26,645555554,588888879,588888879,645555554,14
2023/12/27,609999999,575555554,609999999,575555554,13
2023/12/28,575500000,575500000,575500000,575500000,5
2023/12/30,575499999,566666666,566666666,575499999,4
2023/12/31,574888888,574888887,574888887,574888888,7
2024/1/1,575500000,575500000,575500000,575500000,1
2024/1/2,574999999,574888888,574888888,574999999,4
2024/1/3,574555555,555555555,574444444,555555555,4
2024/1/4,555555000,488858888,555555000,551111100,40
2024/1/5,522222222,499999999,522222222,499999999,17
2024/1/6,554444444,455555555,489999998,554444444,127
2024/1/7,522222220,488888888,488888888,522222220,30
2024/1/9,566666666,500000000,500000000,566666666,52
2024/1/10,722222220,574555555,574555555,719999998,30
2024/1/11,718888880,718888880,718888880,718888880,1
2024/1/12,699988888,577777777,577777777,699988888,8
2024/1/15,399999999,399999999,399999999,399999999,5
2024/1/17,420000000,420000000,420000000,420000000,1
2024/1/18,417888888,417888888,417888888,417888888,1
2024/1/19,417777000,390000000,417777000,390000000,4
2024/1/20,666666666,387887777,387887777,388640000,13
2024/1/21,366655555,333333333,333333333,366655554,13
