,High,Low,Open,Close,Volume
2023/8/7,48888884,46660000,46660000,48888884,148
2023/8/8,49999999,46666666,47738888,49999999,41
2023/8/9,75555555,46666666,48877769,47770000,551
2023/8/10,64444444,43333333,47666666,55555550,304
2023/8/11,68000000,53333333,68000000,55549402,188
2023/8/12,55549399,48888888,55549399,55511110,346
2023/8/13,55511110,50000000,55511110,52222222,46
2023/8/14,53999999,52000000,52222222,53911111,55
2023/8/15,53920000,51999999,53915000,51999999,52
2023/8/16,54439999,50000000,53909985,54438885,30
2023/8/17,54438880,50000000,54438880,50000000,20
2023/8/18,54438880,53000000,54400000,54438877,21
2023/8/19,54438866,53333333,54438866,54400000,14
2023/8/20,65000000,6300,54444444,58000000,1230
2023/8/21,59888888,54444444,59777777,59877777,28
2023/8/22,64000000,50000000,57999999,59877775,22
2023/8/23,64444444,55555555,59555555,59666665,35
2023/8/24,59877775,55000000,58998888,59666666,88
2023/8/25,59788885,58000000,59777777,59788661,33
2023/8/26,59788666,58888886,59788660,58888886,42
2023/8/27,62900000,55000000,55000000,58888877,286
2023/8/28,58800000,51000000,58800000,57999997,35
2023/8/29,57999997,56000000,56000000,57980000,17
2023/8/30,57990000,57777777,57888888,57989996,9
2023/8/31,58000000,55000000,57000000,57777777,66
2023/9/1,57988887,57000000,57988887,57980000,12
2023/9/2,59999999,57000000,57000000,57988886,115
2023/9/3,59788881,56999991,56999991,58499900,803
2023/9/4,82888880,56666665,56666665,75888000,1258
2023/9/5,75887999,59000000,75887999,66666666,116
2023/9/6,66666666,65555555,66333333,66664998,53
2023/9/7,66666666,60000000,66000000,66659550,247
2023/9/8,66666666,59999999,66659548,63577776,97
2023/9/9,66664988,62222222,62222222,63566664,43
2023/9/10,66666666,61999999,63366664,63329999,68
2023/9/11,63328877,59999999,63328877,63000000,47
2023/9/12,66664998,58000000,63320000,62790000,113
2023/9/13,62789999,61111110,62789999,62769999,34
2023/9/14,70666000,59000000,62222222,63333332,130
2023/9/15,62222222,61111111,62222000,62000000,61
2023/9/16,76651111,59999999,61999999,61299997,65
2023/9/17,62111111,58888888,61299996,60999999,42
2023/9/18,62111111,55555555,60999998,58888887,71
2023/9/19,58888886,52000000,52888885,56999999,123
2023/9/20,59999999,55555555,56999997,56666659,65
2023/9/21,60000000,55000000,56600000,58999995,59
2023/9/22,60888666,50000000,58999998,60806662,35
2023/9/23,66666666,58887777,60998888,59888887,41
2023/9/24,59888886,56666666,59888886,59799997,29
2023/9/25,60888888,56000000,59800000,60888888,37
2023/9/26,61299999,58000000,58000000,58666666,35
2023/9/27,62000000,55859999,58777690,62000000,39
2023/9/28,58788800,57588888,58777699,57600000,23
2023/9/29,58666665,55555555,58666665,55555555,16
2023/9/30,76222222,57888888,58666661,58555555,25
2023/10/1,60000000,54555555,58666662,56888888,58
2023/10/2,62000000,55555555,57666600,57666664,20
2023/10/3,58666662,56988888,57666665,57999888,28
2023/10/4,85555555,55555555,57888888,68879995,961
2023/10/5,68879995,65000000,68879994,65000000,48
2023/10/6,68829999,65999999,65999999,66666660,28
2023/10/7,66649999,63000000,66649999,64444444,40
2023/10/8,66999999,62222222,66400000,66199996,49
2023/10/9,68820000,60000000,66199994,64970000,58
2023/10/10,65966666,64000000,64977774,64555549,54
2023/10/11,68849998,59999999,59999999,64869997,101
2023/10/12,66177777,63333333,64000000,66177777,51
2023/10/13,77777777,65438800,65438800,65509999,31
2023/10/14,88888888,65000000,65499999,65518799,18
2023/10/15,68888888,63000000,65518777,68888888,51
2023/10/16,64999990,59998888,64999990,61000000,35
2023/10/17,63999999,55555555,59998888,59868000,28
2023/10/18,63999999,58888888,59888887,59888888,1470
2023/10/19,59888888,52222222,59888888,56666666,108
2023/10/20,56888888,55000000,56888877,56666666,57
2023/10/21,66200000,48888888,56866660,56888800,51
2023/10/22,68849998,53333333,56864999,55555553,42
2023/10/23,53999999,49999999,53999999,53999997,25
2023/10/24,56888888,52222222,52222222,55555555,459
2023/10/25,68849998,56800000,56888887,56888880,22
2023/10/26,68777777,49999999,55555555,56666666,26
2023/10/27,64866665,56799999,56799999,63900000,596
2023/10/28,63900000,55555555,63799999,61879997,76
2023/10/29,75555550,58888888,65999998,63999777,316
2023/10/30,68849998,56888888,63999777,56888888,25
2023/10/31,62499999,59999999,62499897,61111111,42
2023/11/1,62222222,59999999,61999999,62219997,33
2023/11/2,62219999,59999999,62000000,62219999,25
2023/11/3,67919111,59999999,62198888,62199995,51
2023/11/4,63999774,62166666,62199900,62179988,21
2023/11/5,65499999,59999999,61111111,62165555,44
2023/11/6,88888888,55555555,62166663,61999996,55
2023/11/7,61999995,58888888,61999995,61888800,6
2023/11/8,99999999,60888888,61888799,61888777,15
2023/11/9,67919111,61000000,61887999,61887771,33
2023/11/10,61888000,61000000,61887772,61887763,22
2023/11/11,99999999,60000000,61887758,61866666,22
2023/11/12,61887751,58888888,61880000,58888888,8
2023/11/13,65000000,55555555,59999999,60999997,10
2023/11/14,61000000,55000000,60999998,60888886,25
2023/11/15,60888885,60555555,60887777,60880000,8
2023/11/16,60888888,59999998,60888883,60599999,18
2023/11/17,65499999,55555555,55555555,65499999,37
2023/11/18,88888888,58888888,60578888,60579997,17
2023/11/19,59999997,48888888,59999997,57000000,26
2023/11/20,59999999,57777777,57777777,57777777,12
2023/11/21,60666666,55555555,58888883,58888884,16
2023/11/22,58888883,58888880,58888883,58888880,4
2023/11/23,58888879,57777777,57777777,58886666,9
2023/11/24,58888870,57555555,58888870,57895598,28
2023/11/25,58888888,48000000,57895596,55499999,131
2023/11/26,68777777,56666666,56666666,68777777,247
2023/11/27,68777777,63000000,68770000,65499989,43
2023/11/28,88888888,57895600,65498887,77777699,626
2023/11/29,77777697,75526665,77777697,75526665,35
2023/11/30,74988888,64888888,74988887,65399998,75
2023/12/1,65500000,52333330,64999990,59999999,103
2023/12/2,59999998,56666666,58888888,58888876,277
2023/12/3,72989998,49999999,55999999,49999999,26
2023/12/4,57777777,56000000,56888822,56888811,21
2023/12/5,56888810,55000000,55555555,56666666,13
2023/12/6,62222000,56666666,56888111,56666666,50
2023/12/7,61111111,55000000,55000000,56880000,20
2023/12/8,75555444,49999999,55880000,75555444,24
2023/12/9,56888888,56870000,56888887,56870000,15
2023/12/10,62222000,56000000,56879997,62222000,52
2023/12/11,56879983,50000000,56879982,55000000,21
2023/12/12,56888888,56833333,56879000,56833333,24
2023/12/13,56879985,55555555,56859999,56879985,46
2023/12/14,57000000,50000000,56666666,57000000,31
2023/12/15,56999999,56666666,56866665,56666666,22
2023/12/16,56888887,56777777,56780000,56880000,21
2023/12/17,62222000,56000000,62222000,56850000,24
2023/12/18,56849999,55000000,56849999,56666659,16
2023/12/19,55555555,55443322,55555555,55444444,10
2023/12/20,55444443,53222220,55444443,53222220,19
2023/12/21,53111110,48888888,53111110,53098888,46
2023/12/22,55555555,53069999,53099995,55555555,20
2023/12/23,55444444,50000000,52222222,51999999,35
2023/12/24,53000000,49000000,50000000,53000000,1441
2023/12/25,53333333,52111110,52888888,52111110,33
2023/12/26,52111111,49999998,52111111,49999998,33
2023/12/27,56666661,48770000,53000000,48888888,32
2023/12/28,48777752,48555555,48555555,48666653,51
2023/12/29,52111111,48555555,48555555,48666644,29
2023/12/30,53070000,46666644,48599998,46666666,67
2023/12/31,47777777,44444444,46666665,47000000,837
2024/1/1,56999999,46000000,48599995,56999999,23
2024/1/2,55555555,49999999,53111110,49999999,38
2024/1/3,55333332,52999999,52999999,55333332,13
