2,High,Low,Open,Close,Volume
2023-07-13,1267777777,1267777777,1267777777,1267777777,1.0
2023-07-14,1267760000,1267666666,1267700000,1267760000,5.0
2023-07-15,1268744444,1266666666,1268744444,1266666666,2.0
2023-07-17,1266666666,1255555554,1266666666,1255555554,5.0
2023-07-18,1333333333,1255555555,1255555555,1333333333,12.0
2023-07-20,1488880000,1488880000,1488880000,1488880000,1.0
2023-07-21,1477886666,1475555555,1477777777,1475555555,14.0
2023-07-22,1465555549,1455555555,1455555555,1465555549,18.0
2023-07-23,1465555221,1465200000,1465200000,1465555221,2.0
2023-07-24,1465550000,1465550000,1465550000,1465550000,1.0
2023-07-25,1499999999,1499999999,1499999999,1499999999,5.0
2023-07-26,1444444444,1444444444,1444444444,1444444444,3.0
2023-07-27,1459000000,1430000000,1459000000,1430000000,2.0
2023-07-29,1500000000,1450000000,1450000000,1500000000,13.0
2023-07-30,1699999999,1499999999,1499999999,1699999999,3.0
2023-08-01,1699888888,1699888888,1699888888,1699888888,1.0
2023-08-03,1698777777,1698777777,1698777777,1698777777,1.0
2023-08-04,1698655999,1698655999,1698655999,1698655999,1.0
2023-08-05,1655555555,1655555555,1655555555,1655555555,3.0
2023-08-06,1599999999,1599999999,1599999999,1599999999,10.0
2023-08-07,1599999990,1588888888,1588888888,1599999990,13.0
2023-08-08,1599788888,1599750000,1599788888,1599750000,8.0
2023-08-10,1598888887,1596668888,1596668888,1598888887,7.0
2023-08-12,1589999998,1589970000,1589999998,1589970000,5.0
2023-08-13,1589980000,1589900000,1589980000,1589900000,5.0
2023-08-14,1589999997,1589999997,1589999997,1589999997,9.0
2023-08-15,1644444443,1598888888,1598888888,1644444443,11.0
2023-08-18,1644444444,1644444444,1644444444,1644444444,1.0
2023-08-19,1640000000,1640000000,1640000000,1640000000,1.0
2023-08-20,1639999999,1620000000,1639000000,1620000000,12.0
2023-08-21,1629999999,1629999999,1629999999,1629999999,1.0
2023-08-22,1629999997,1629999997,1629999997,1629999997,1.0
2023-08-24,1629888887,1629888887,1629888887,1629888887,4.0
2023-08-27,1629888887,1629887776,1629887776,1629888887,11.0
2023-08-28,1644444999,1629888877,1629888877,1644444999,4.0
2023-08-29,1629888888,1629777777,1629888888,1629777777,7.0
2023-08-30,1622222222,1622222222,1622222222,1622222222,2.0
2023-09-01,1629665555,1622222222,1622222222,1629665555,8.0
2023-09-03,1629655555,1629655555,1629655555,1629655555,1.0
2023-09-04,1629666666,1629666666,1629666666,1629666666,1.0
2023-09-05,1628888888,1628888888,1628888888,1628888888,6.0
2023-09-09,2199999999,2199999898,2199999999,2199999898,9.0
2023-09-10,2199998888,2199977777,2199977777,2199998888,7.0
2023-09-16,2299999999,2299999999,2299999999,2299999999,14.0
2023-09-18,2190000000,2190000000,2190000000,2190000000,2.0
2023-09-21,2199997777,2199997777,2199997777,2199997777,1.0
2023-09-23,2188888887,2188888887,2188888887,2188888887,1.0
2023-09-24,2188885555,2188885555,2188885555,2188885555,1.0
2023-09-28,2155555553,2111111111,2155552222,2111111111,5.0
2023-09-29,2149899999,2139999999,2149899999,2139999999,2.0
2023-09-30,2100000000,2100000000,2100000000,2100000000,1.0
2023-10-02,1699999999,1675222222,1699999999,1675222222,6.0
2023-10-03,1675333333,1654444444,1675333333,1654444444,11.0
2023-10-04,1685000000,1652211000,1655442222,1652211000,38.0
2023-10-05,1652210000,1599999999,1652210000,1632210109,19.0
2023-10-06,1600000000,1600000000,1600000000,1600000000,1.0
2023-10-07,1611000000,1565555555,1565555555,1611000000,12.0
2023-10-08,1598888888,1587000000,1597777777,1590000000,31.0
2023-10-09,1788888888,1589999999,1589999999,1788888888,37.0
2023-10-10,1966666666,1955555554,1966666666,1955555554,7.0
2023-10-11,1888888888,1888888887,1888888888,1888888887,2.0
2023-10-12,1888888876,1888888876,1888888876,1888888876,1.0
2023-10-13,1880000000,1866666666,1880000000,1877777776,9.0
2023-10-15,1859999888,1855533333,1859999888,1855533333,2.0
2023-10-16,1853333333,1853333333,1853333333,1853333333,1.0
2023-10-17,1849876665,1849876665,1849876665,1849876665,1.0
2023-10-18,1836666664,1836666664,1836666664,1836666664,1.0
2023-10-19,1599999999,1598888888,1598888888,1599999999,4.0
2023-10-20,1548888888,1546606666,1548888888,1546606666,2.0
2023-10-21,1546555555,1500000000,1546550555,1543333332,34.0
2023-10-22,1543333333,1539999999,1539999999,1543333333,11.0
2023-10-23,1546606665,1543333332,1543333332,1545555554,23.0
2023-10-24,1788888887,1788888885,1788888887,1788888885,7.0
2023-10-25,1777777777,1777777777,1777777777,1777777777,1.0
2023-10-26,1758888883,1755555555,1758888883,1755555555,13.0
2023-10-27,1766666665,1752222222,1752222222,1755000666,6.0
2023-10-28,1752900000,1752900000,1752900000,1752900000,1.0
2023-10-29,1866666666,1752000667,1752000667,1866666666,12.0
2023-10-30,1777777666,1777777666,1777777666,1777777666,1.0
2023-10-31,1766666660,1739999999,1739999999,1749999999,14.0
2023-11-01,1733333333,1711111111,1733333333,1718888888,4.0
2023-11-02,1718888888,1699999999,1700000000,1718888888,6.0
2023-11-03,1749999999,1718000000,1718000000,1749999999,15.0
2023-11-05,1743000000,1743000000,1743000000,1743000000,1.0
2023-11-06,1729998989,1722221212,1728888888,1722222222,17.0
2023-11-07,1766666660,1733333331,1733333331,1766666660,8.0
2023-11-08,1799999999,1799999999,1799999999,1799999999,1.0
2023-11-09,1799999997,1799999993,1799999997,1799999995,10.0
2023-11-10,1799999990,1788888888,1799999990,1788888888,6.0
2023-11-11,1788888887,1788885999,1788888887,1788886664,8.0
2023-11-13,1787999999,1787999999,1787999999,1787999999,1.0
2023-11-14,1787999999,1787999999,1787999999,1787999999,1.0
2023-11-15,1788000000,1787777777,1787777777,1788000000,16.0
2023-11-16,1788000000,1788000000,1788000000,1788000000,2.0
2023-11-17,1787999998,1787999997,1787999998,1787999997,2.0
2023-11-18,1787999997,1787999997,1787999997,1787999997,1.0
2023-11-19,1787999997,1787999997,1787999997,1787999997,3.0
2023-11-20,1786664875,1786664875,1786664875,1786664875,1.0
2023-11-21,1786664873,1786664432,1786664873,1786664435,17.0
2023-11-22,1786664434,1786664434,1786664434,1786664434,1.0
2023-11-23,1784999999,1784999999,1784999999,1784999999,2.0
2023-11-24,1784999887,1784999887,1784999887,1784999887,1.0
2023-11-25,1782220000,1782220000,1782220000,1782220000,1.0
2023-11-26,1782219996,1782219996,1782219996,1782219996,2.0
2023-11-27,1781899999,1781899999,1781899999,1781899999,1.0
2023-11-28,1600000000,1555555555,1600000000,1555555555,9.0
2023-11-29,1488888888,1455555555,1465555555,1488888888,18.0
2023-11-30,1650000000,1639999999,1650000000,1640000000,21.0
2023-12-01,1644444444,1644444444,1644444444,1644444444,4.0
2023-12-02,1644433333,1644333333,1644433333,1644333333,12.0
2023-12-03,1644332222,1644000000,1644332222,1644000000,2.0
2023-12-04,1644444333,1644332222,1644332222,1644433320,12.0
2023-12-05,1644433319,1644433319,1644433319,1644433319,3.0
2023-12-06,1644433321,1633333333,1644433320,1644433319,9.0
2023-12-07,1666660000,1644433319,1644444333,1644433319,6.0
2023-12-08,1644420000,1644420000,1644420000,1644420000,1.0
2023-12-09,1666660000,1644420000,1644420000,1666660000,4.0
2023-12-10,1666660000,1666600000,1666660000,1666600000,3.0
2023-12-11,1644433319,1644433319,1644433319,1644433319,2.0
2023-12-12,1644222221,1644222221,1644222221,1644222221,6.0
2023-12-13,1555555555,1555444443,1555555555,1555444443,3.0
2023-12-14,1555444442,1399999888,1399999888,1555444442,8.0
2023-12-15,1555444443,1555444443,1555444443,1555444443,1.0
2023-12-16,1555444443,1555444443,1555444443,1555444443,1.0
2023-12-17,1555444443,1555444443,1555444443,1555444443,2.0
2023-12-18,1644222221,1644222221,1644222221,1644222221,2.0
2023-12-19,1644222220,1644222220,1644222220,1644222220,1.0
2023-12-20,1644221111,1644221110,1644221111,1644221110,21.0
2023-12-21,1644199990,1644199990,1644199990,1644199990,1.0
2023-12-22,1644198887,1644198887,1644198887,1644198887,3.0
2023-12-23,1633333327,1633333327,1633333327,1633333327,1.0
2023-12-24,1633333332,1633333332,1633333332,1633333332,3.0
2023-12-25,1599999990,1599999990,1599999990,1599999990,1.0
2023-12-26,1588888888,1588888880,1588888880,1588888888,4.0
2023-12-27,1588888760,1588868760,1588888760,1588868760,2.0
2023-12-28,1588866660,1588866660,1588866660,1588866660,1.0
2023-12-29,1566666666,1555555555,1555555555,1566666666,8.0
2023-12-30,1565550555,1565550539,1565550539,1565550555,2.0
2023-12-31,1565550550,1555555555,1565550550,1555555555,3.0
2024-01-01,1559999999,1555555555,1555555555,1559999990,4.0
2024-01-02,1559999999,1555555555,1559000000,1558888887,21.0
2024-01-03,1558880000,1558880000,1558880000,1558880000,3.0
2024-01-04,1555555553,1499999998,1555555553,1499999999,11.0
2024-01-05,1555555548,1555555548,1555555548,1555555548,1.0
2024-01-06,1555555548,1555555547,1555555548,1555555547,3.0
