2,High,Low,Open,Close,Volume
2024-09-17,5011111111,4990000000,5009999999,4990000000,6.0
2024-09-18,4989999999,4888888888,4989999999,4922222222,11.0
2024-09-19,4899999999,4811111111,4811111111,4876666666,5.0
2024-09-20,4849999899,4700000000,4849999899,4770000000,13.0
2024-09-21,4775555555,4766666666,4775555554,4767777777,8.0
2024-09-22,4555555553,4500000000,4555555553,4500000000,3.0
2024-09-23,5200000000,4400000000,4500000000,5000000000,61.0
2024-09-24,4850000000,4555555555,4850000000,4555555555,4.0
2024-09-25,4699988888,4666666666,4699988888,4699887776,9.0
2024-09-26,4555555555,4400000000,4400000000,4511110000,5.0
2024-09-27,4510888800,4400000000,4400000000,4510000000,8.0
2024-09-28,4509999999,4509888888,4509888888,4509999999,2.0
2024-09-29,4508888888,4508666666,4508666666,4508888831,4.0
2024-09-30,4507777731,4499666666,4507777731,4499666666,42.0
2024-10-01,4488877631,4400000000,4488666666,4488766666,22.0
2024-10-02,4500000000,4488877700,4488877700,4500000000,9.0
2024-10-03,4766000000,4766000000,4766000000,4766000000,1.0
2024-10-04,4759999999,4688888888,4688888888,4759999999,5.0
2024-10-05,4745500000,4745500000,4745500000,4745500000,1.0
2024-10-06,4745555555,4733333333,4733333333,4745555555,2.0
2024-10-07,4877777777,4699999998,4699999998,4877777777,13.0
2024-10-08,5000000000,4988888888,4999988888,5000000000,12.0
2024-10-10,5380000000,5380000000,5380000000,5380000000,4.0
2024-10-13,5299900000,5299000000,5299000000,5299900000,7.0
2024-10-14,5288888888,5288888888,5288888888,5288888888,2.0
2024-10-15,5298088888,5298088888,5298088888,5298088888,1.0
2024-10-17,5288888888,5288888886,5288888886,5288888888,13.0
2024-10-19,5300000000,5288888887,5288888887,5300000000,4.0
2024-10-20,5488888888,5477777777,5477777777,5488888888,4.0
2024-10-21,5298888888,5298888888,5298888888,5298888888,9.0
2024-10-23,5299099999,5299099999,5299099999,5299099999,1.0
2024-10-24,5699990000,5288888888,5299999999,5699990000,5.0
2024-10-25,5299900000,4255555555,5299900000,4255555555,9.0
2024-10-26,4300000000,4065000000,4065000000,4300000000,16.0
2024-10-27,4600000000,4222222222,4600000000,4222222222,3.0
2024-10-28,4388888888,4344444443,4388888888,4374444444,15.0
2024-10-29,4266660000,4266660000,4266660000,4266660000,1.0
2024-10-31,4222222221,4222222221,4222222221,4222222221,1.0
2024-11-02,4190000000,4188888888,4188888888,4190000000,12.0
2024-11-03,4050000000,4033333333,4033333333,4050000000,9.0
2024-11-04,4088887999,4077777777,4077777777,4088887999,5.0
2024-11-05,4088887777,3999999998,3999999998,4088887777,10.0
2024-11-07,4088888000,4077777777,4077777777,4088888000,6.0
2024-11-10,4288888788,4288800000,4288800000,4288888788,3.0
2024-11-13,4288888888,4288888888,4288888888,4288888888,1.0
2024-11-14,4288888888,4288888888,4288888888,4288888888,4.0
2024-11-16,4288000000,4288000000,4288000000,4288000000,1.0
2024-11-21,4288888883,4000000000,4000000000,4288888883,7.0
2024-11-22,4244444444,4244444444,4244444444,4244444444,1.0
2024-11-23,4255444444,4255444444,4255444444,4255444444,4.0
2024-11-24,4222222000,4222222000,4222222000,4222222000,3.0
2024-11-25,4222220000,4220000000,4222000000,4220000000,6.0
2024-11-26,4219999998,4219999998,4219999998,4219999998,1.0
2024-11-28,4219999989,4219998888,4219998888,4219999989,2.0
2024-11-29,4219999999,4219999990,4219999990,4219999999,2.0
2024-12-01,4219999999,4219999999,4219999999,4219999999,1.0
2024-12-02,4219999998,4219999998,4219999998,4219999998,1.0
2024-12-03,4219999988,4200000000,4219999988,4200000000,5.0
2024-12-05,4199999999,4199998888,4199998888,4199999999,5.0
2024-12-06,4155555555,4155000000,4155555554,4155555555,5.0
2024-12-07,4255555550,4200000000,4200000000,4255555550,4.0
2024-12-08,4333333333,4333333333,4333333333,4333333333,2.0
2024-12-10,4326660666,4326660666,4326660666,4326660666,2.0
2024-12-11,4326666666,4326666666,4326666666,4326666666,1.0
2024-12-13,4326666665,4326666665,4326666665,4326666665,1.0
2024-12-14,4326665555,4326665555,4326665555,4326665555,2.0
2024-12-17,4325515555,4325515555,4325515555,4325515555,2.0
2024-12-18,4325525555,4325515554,4325525555,4325515554,2.0
2024-12-19,4299999999,4299999999,4299999999,4299999999,1.0
2024-12-21,4311111111,4288888887,4311111111,4288888887,11.0
2024-12-22,4100000000,4100000000,4100000000,4100000000,1.0
2024-12-26,4325555555,4325555555,4325555555,4325555555,1.0
2024-12-27,4111111111,4111111111,4111111111,4111111111,1.0
2024-12-29,3999999988,3955555555,3955555555,3999999988,7.0
2025-01-01,4000000000,3999999999,3999999999,4000000000,9.0
2025-01-04,4222222222,4222222222,4222222222,4222222222,7.0
2025-01-05,3755555555,3755555555,3755555555,3755555555,1.0
2025-01-06,3688888888,3688888888,3688888888,3688888888,1.0
2025-01-07,3499999999,3499999999,3499999999,3499999999,2.0
2025-01-09,3888888888,3777777777,3777777777,3888888888,3.0
2025-01-10,3855555555,3855555555,3855555555,3855555555,1.0
2025-01-12,3822111111,3799999999,3822111111,3799999999,2.0
2025-01-13,3821111111,3821100000,3821111111,3821100000,2.0
2025-01-14,3777717777,3777717777,3777717777,3777717777,1.0
2025-01-17,3611110111,3611110000,3611110000,3611110111,11.0
2025-01-20,3500000000,3500000000,3500000000,3500000000,1.0
