2,High,Low,Open,Close,Volume
2023-07-25,1500000000,1500000000,1500000000,1500000000,5.0
2023-07-26,1555444444,1555444444,1555444444,1555444444,1.0
2023-07-27,1598888886,1555544443,1555544443,1598888886,8.0
2023-07-28,1555555555,1555555555,1555555555,1555555555,3.0
2023-07-29,1999999999,1598888800,1598888800,1888888888,6.0
2023-07-30,1888888777,1777777777,1888888777,1885555551,9.0
2023-07-31,1598888888,1598877777,1598877777,1598888888,5.0
2023-08-01,1880888888,1877660000,1880888887,1877660000,9.0
2023-08-02,1866666655,1849999990,1866666655,1849999990,2.0
2023-08-03,1849989998,1839999998,1849989998,1839999999,6.0
2023-08-04,1848888880,1848888879,1848888879,1848888880,4.0
2023-08-05,1848887000,1848799990,1848886999,1848799990,8.0
2023-08-06,1866666666,1848799987,1848799989,1866666666,11.0
2023-08-07,1850000000,1848780000,1850000000,1848780000,5.0
2023-08-08,1848776666,1839888888,1848000000,1839888888,7.0
2023-08-09,1819888888,1799999999,1799999999,1818888887,3.0
2023-08-10,1809999999,1809980000,1809999999,1809999998,3.0
2023-08-11,1808666663,1808555553,1808666663,1808555553,4.0
2023-08-12,1808555553,1808555553,1808555553,1808555553,3.0
2023-08-13,1794965348,1743586698,1794965348,1747567656,4.0
2023-08-15,1794999999,1747555555,1747555555,1794999999,3.0
2023-08-16,1795000000,1795000000,1795000000,1795000000,1.0
2023-08-17,1808880000,1800000000,1800000000,1808880000,2.0
2023-08-19,1808888888,1799999998,1799999998,1808888888,7.0
2023-08-20,2249999999,2198888888,2249999999,2198888888,13.0
2023-08-21,2199999999,2198887777,2199999999,2198887777,7.0
2023-08-22,2166666655,2149998885,2165555555,2149998885,16.0
2023-08-23,2148888777,2144444439,2148888777,2144444439,4.0
2023-08-24,2144444438,2133333332,2144444333,2133333332,19.0
2023-08-25,2133299997,2133299997,2133299997,2133299997,1.0
2023-08-26,2133299997,2122222199,2133299997,2122222199,7.0
2023-08-27,2166666666,2122219999,2122219999,2166666666,2.0
2023-08-28,2166666666,2099999999,2100000000,2099999999,11.0
2023-08-29,2122221999,2098888877,2098888877,2122221999,10.0
2023-08-30,2166666666,2122222200,2166666666,2122222200,5.0
2023-08-31,2333333333,2333333333,2333333333,2333333333,2.0
2023-09-01,2765533333,2765533333,2765533333,2765533333,3.0
2023-09-02,2399999999,2398859998,2399999999,2398859998,3.0
2023-09-03,2398859997,2387777776,2398859997,2387777776,14.0
2023-09-04,2377777776,2355550000,2377777776,2355550000,3.0
2023-09-05,2355522222,2333333330,2355522222,2333333333,5.0
2023-09-06,2333333330,2333333330,2333333330,2333333330,1.0
2023-09-08,2322222218,2311111111,2322222218,2311111111,5.0
2023-09-09,2311110000,2311110000,2311110000,2311110000,2.0
2023-09-10,2311099999,2309979999,2311099999,2309979999,2.0
2023-09-12,2309970000,2288888888,2288888888,2309970000,3.0
2023-09-13,2333333332,2305554444,2305554444,2333333332,9.0
2023-09-14,2305555555,2305050502,2305555555,2305050502,5.0
2023-09-17,2109999997,2109999997,2109999997,2109999997,1.0
2023-09-20,2299999999,2088888888,2088888888,2299999999,7.0
2023-09-21,2222022222,2212210000,2222022222,2212210000,12.0
2023-09-22,2211000000,2211000000,2211000000,2211000000,1.0
2023-09-24,2155555554,2155555554,2155555554,2155555554,1.0
2023-09-26,2132222222,2132222222,2132222222,2132222222,1.0
2023-09-27,2111100000,2111100000,2111100000,2111100000,3.0
2023-09-28,2111111111,2111110000,2111111111,2111111111,4.0
2023-09-30,2100000000,2100000000,2100000000,2100000000,1.0
