2,High,Low,Open,Close,Volume
2023-07-01,655444441,608888888,608888888,655444441,14.0
2023-07-02,655333333,655333333,655333333,655333333,1.0
2023-07-04,621111110,611111110,611111110,621111110,7.0
2023-07-06,651499997,609999999,609999999,651499997,5.0
2023-07-07,599999988,599999000,599999000,599999988,10.0
2023-07-08,599999999,588888888,588888888,599999999,6.0
2023-07-09,611111109,611111109,611111109,611111109,2.0
2023-07-10,621111111,610999999,610999999,621111111,21.0
2023-07-11,651888888,649999999,651888888,649999999,3.0
2023-07-13,633333333,633333333,633333333,633333333,2.0
2023-07-14,645555555,645555555,645555555,645555555,1.0
2023-07-15,799999999,626666666,626666666,799999999,12.0
2023-07-16,798000000,798000000,798000000,798000000,2.0
2023-07-17,790000000,650000000,650000000,790000000,3.0
2023-07-18,785555555,600000000,785555555,783333332,3.0
2023-07-19,783000000,783000000,783000000,783000000,2.0
2023-07-20,777777777,728888887,728888887,777777777,2.0
2023-07-21,782800000,782799999,782799999,782800000,4.0
2023-07-22,782666666,777777776,777777776,782666666,6.0
2023-07-23,777777770,777777760,777777770,777777760,2.0
2023-07-27,719999999,711111111,718888888,719999999,10.0
2023-07-28,699999999,699999999,699999999,699999999,1.0
2023-07-29,712222000,711111111,711111111,712222000,2.0
2023-07-30,712111111,712111111,712111111,712111111,1.0
2023-08-01,703333333,698888888,701111111,703333333,5.0
2023-08-02,712222111,705549999,705549999,712222111,4.0
2023-08-03,704999999,700000000,704999999,700000000,4.0
2023-08-04,700000000,699999999,699999999,700000000,2.0
2023-08-09,712222211,699999123,699999123,712222211,13.0
2023-08-11,722222222,722221110,722221110,722222222,6.0
2023-08-12,855555555,726666666,726666666,855555555,5.0
2023-08-14,999999999,999999999,999999999,999999999,1.0
2023-08-16,999999990,999888888,999888888,999999990,4.0
2023-08-18,999000000,999000000,999000000,999000000,4.0
2023-08-20,1088888887,1066666666,1088888867,1088888887,5.0
2023-08-21,1077777777,1077777777,1077777777,1077777777,1.0
2023-08-23,999988888,999988888,999988888,999988888,4.0
2023-08-24,1055555555,999999999,999999999,1055555555,4.0
2023-08-25,1055554555,1055533333,1055554555,1055533333,2.0
2023-08-27,1055533333,1055533333,1055533333,1055533333,1.0
2023-08-28,1055533333,1055533333,1055533333,1055533333,1.0
2023-09-01,1100000000,1099998887,1099998887,1100000000,2.0
2023-09-02,1222222210,1111111111,1222222210,1111111111,3.0
2023-09-03,1200000000,1200000000,1200000000,1200000000,1.0
2023-09-04,1199999999,1199999998,1199999999,1199999998,2.0
2023-09-05,1199998888,1199998888,1199998888,1199998888,1.0
2023-09-06,1199998888,1199998888,1199998888,1199998888,1.0
2023-09-07,1199999996,1199999996,1199999996,1199999996,1.0
2023-09-08,1199999998,1199999955,1199999955,1199999998,11.0
2023-09-12,1199999960,1199999960,1199999960,1199999960,1.0
2023-09-15,1199999998,1199999997,1199999998,1199999997,2.0
2023-09-16,1298888888,1298888888,1298888888,1298888888,1.0
2023-09-18,1455555550,1455555550,1455555550,1455555550,1.0
2023-09-23,1311111100,1311111100,1311111100,1311111100,1.0
2023-09-26,1333333333,1333333333,1333333333,1333333333,2.0
2023-09-29,1285555555,1284444444,1285555554,1284444444,5.0
2023-10-01,1284444443,1284444443,1284444443,1284444443,1.0
2023-10-03,1249999999,1200000000,1200000000,1249999999,2.0
2023-10-06,1068888888,1000000000,1000000000,1068888888,2.0
2023-10-08,986555555,986000000,986000000,986555555,6.0
2023-10-10,988777777,980000000,980000000,988777777,5.0
2023-10-11,988777777,988777777,988777777,988777777,1.0
2023-10-13,975544444,975544444,975544444,975544444,1.0
2023-10-14,954444444,954444444,954444444,954444444,2.0
2023-10-15,933333333,933333333,933333333,933333333,2.0
2023-10-17,910000000,910000000,910000000,910000000,1.0
2023-10-21,799999999,798888880,799999999,798888880,9.0
2023-10-26,749999998,699999999,749999998,699999999,4.0
2023-10-27,749888888,738888888,738888888,749888888,3.0
2023-10-28,748888888,748888888,748888888,748888888,1.0
2023-10-29,795555555,711111111,711111111,795555555,6.0
2023-10-30,795555555,795555555,795555555,795555555,5.0
2023-10-31,777777777,776666666,777777777,776666666,3.0
2023-11-02,768888887,699999999,699999999,768888887,3.0
2023-11-03,744444444,744444444,744444444,744444444,5.0
2023-11-04,744444444,733333333,744444443,744444444,9.0
2023-11-06,788888000,744444444,749999999,744444444,6.0
2023-11-07,744444444,744444444,744444444,744444444,7.0
2023-11-08,800000000,744444444,744444444,800000000,8.0
2023-11-10,1111000000,1111000000,1111000000,1111000000,2.0
2023-11-11,1100000000,1100000000,1100000000,1100000000,4.0
2023-11-12,1088888888,1088888888,1088888888,1088888888,1.0
2023-11-23,700000000,700000000,700000000,700000000,1.0
2023-11-24,999999988,988888887,988888887,999999988,5.0
2023-11-26,987777777,976999999,987777777,976999999,2.0
2023-11-28,955555555,955555555,955555555,955555555,1.0
2023-12-01,988888888,988888888,988888888,988888888,1.0
2023-12-02,998888888,980000000,980000000,998888888,4.0
2023-12-09,988877777,988000000,988000000,988877777,5.0
2023-12-10,988888888,988888888,988888888,988888888,6.0
2023-12-17,999999988,999999988,999999988,999999988,1.0
2023-12-18,999999988,999999988,999999988,999999988,1.0
2023-12-23,977665666,977665666,977665666,977665666,1.0
2023-12-25,977555554,977555533,977555533,977555554,7.0
2023-12-27,975555555,975555555,975555555,975555555,1.0
2023-12-28,975555555,975555555,975555555,975555555,1.0
2023-12-29,966666666,966666666,966666666,966666666,4.0
2023-12-30,977549998,977549998,977549998,977549998,2.0
2024-01-01,988888888,977549998,977549998,988888888,5.0
2024-01-02,977549999,977549999,977549999,977549999,1.0
2024-01-09,888888888,777777777,888888888,777777777,3.0
2024-01-10,888888888,888888888,888888888,888888888,1.0
2024-01-11,799999999,799999999,799999999,799999999,6.0
2024-01-14,744444444,744444444,744444444,744444444,1.0
2024-01-15,654444332,598888888,653333333,598888888,11.0
2024-01-16,599999999,566555555,577777777,599999999,27.0
2024-01-18,654444332,654444332,654444332,654444332,1.0
2024-01-19,828888888,612345111,654444332,799999999,6.0
2024-01-20,799999999,799999999,799999999,799999999,6.0
2024-01-21,828888888,777555555,777555555,828888888,13.0
2024-01-27,888888888,809999999,809999999,888888888,6.0
2024-01-28,1322222222,1299999999,1311111111,1299999999,5.0
2024-01-29,1222222222,888888888,888888888,1222222221,7.0
2024-02-01,1111111000,1055555555,1055555555,1111111000,5.0
2024-02-02,1111111110,1111111110,1111111110,1111111110,2.0
2024-02-04,1111111111,1111111110,1111111110,1111111111,4.0
2024-02-06,1222222221,1222222221,1222222221,1222222221,1.0
2024-02-07,1230000000,1230000000,1230000000,1230000000,2.0
2024-02-10,1229999999,1229999999,1229999999,1229999999,1.0
2024-02-12,1229888888,1229888888,1229888888,1229888888,1.0
2024-02-13,1229999998,1229999998,1229999998,1229999998,4.0
2024-02-14,1699999999,1229999999,1229999999,1699999999,15.0
2024-02-15,1322222222,1322222222,1322222222,1322222222,4.0
2024-02-16,2555555555,2555555555,2555555555,2555555555,3.0
2024-02-17,2555455555,2500000000,2500000000,2555455555,4.0
2024-02-19,3999999999,3999999999,3999999999,3999999999,1.0
