2,High,Low,Open,Close,Volume
2023-08-09,29555555,22000000,29550000,25555553,70.0
2023-08-10,30999999,17777777,24444444,30999999,85.0
2023-08-11,31000000,19999999,25555555,26444444,167.0
2023-08-12,31287999,21111111,26500000,27310000,382.0
2023-08-13,31250000,23333333,26666666,31199999,380.0
2023-08-14,30888888,20000000,26666666,27000000,101.0
2023-08-15,28666666,23333333,26999999,25555555,157.0
2023-08-16,31600000,26655555,27000000,31600000,668.0
2023-08-17,28555555,26666666,28000000,28555555,175.0
2023-08-18,34999999,17999998,28000000,30000000,220.0
2023-08-19,29999999,27999998,29911111,29999990,113.0
2023-08-20,33000000,26666666,28888888,30000000,192.0
2023-08-21,28888888,27000000,27000000,28888888,64.0
2023-08-22,28888880,20000000,27499998,26540000,201.0
2023-08-23,28888888,22222222,26533333,26888888,294.0
2023-08-24,33333333,22222222,26999999,30000000,349.0
2023-08-25,32888887,28000000,32222222,30000000,495.0
2023-08-26,27999999,25555555,27770000,27000000,126.0
2023-08-27,32900000,27665555,27665555,27777777,311.0
2023-08-28,30870000,25000000,27999999,30870000,250.0
2023-08-29,32888880,20000000,29985555,29000000,289.0
2023-08-30,32800000,27666666,31111111,28699900,319.0
2023-08-31,30000000,28000000,29999999,29999999,164.0
2023-09-01,33300000,28799999,28888888,32888888,312.0
2023-09-02,36500000,20000000,32000000,35000000,536.0
2023-09-03,32222222,28888887,28888888,32222222,418.0
2023-09-04,35500000,25000000,31000000,35500000,1088.0
2023-09-05,37499000,31111111,35000000,32000000,106.0
2023-09-06,33333333,32300000,32300000,33333333,92.0
2023-09-07,34440000,31111111,31111111,34440000,18.0
2023-09-08,36999997,28888888,29999999,31654444,29.0
2023-09-09,41777777,33333333,39999888,41777777,276.0
2023-09-10,38777777,37988887,37988887,38777777,6.0
2023-09-11,37999999,30000000,33333332,37988888,278.0
2023-09-12,41777775,38000000,38877777,38888888,85.02702702439737
2023-09-13,41777775,35550000,35550000,41777775,135.0
2023-09-14,38888888,34999999,34999999,38888888,50.0
