2,High,Low,Open,Close,Volume
2023-09-22,276666666,255500000,275000000,255500000,22.0
2023-09-23,277777777,245000000,255555554,266666666,19.0
2023-09-24,275000000,249999999,266666666,255555555,32.0
2023-09-25,276660000,260000000,260000000,266666666,19.0
2023-09-26,345678987,230000000,233333333,230000000,14.0
2023-09-27,229999999,209898989,224500000,219999911,24.0
2023-09-28,227700000,199999999,219999999,227000000,33.0
2023-09-29,233333333,210000000,228000000,228000000,22.0
2023-09-30,238888888,222222221,222222222,229988888,21.0
2023-10-01,267777777,218888888,229990000,244444444,23.0
2023-10-02,279900000,244444444,245555555,278881111,17.0
2023-10-03,269999999,255555555,268888888,257999999,12.0
2023-10-04,255555555,229888888,255555555,245000000,16.0
2023-10-05,249999969,233333333,243999999,245555555,24.0
2023-10-06,255555555,230000000,248888888,251111111,23.0
2023-10-07,252222222,197777777,252111111,228533333,20.0
2023-10-08,234567898,210000000,234567898,230000000,21.0
2023-10-09,251111111,199999999,231111111,250000000,32.0
2023-10-10,252888888,244000000,248888888,244999999,22.0
2023-10-11,250000000,210000000,244444444,235000000,13.0
2023-10-12,255555555,228888888,237777777,250000000,22.0
2023-10-13,280000000,249999999,249999999,258888888,26.0
2023-10-14,277999999,200000000,258000000,277777777,21.0
2023-10-15,288822222,222222222,278800000,287000000,21.0
2023-10-16,310000000,259999999,259999999,288888888,34.0
2023-10-17,318880000,255555555,288888888,318880000,26.0
2023-10-18,318877777,280000000,318877777,285555555,4.0
2023-10-19,315555553,280000000,288888888,300000000,17.0
2023-10-20,300000000,230000000,280000000,288888888,21.0
2023-10-21,288888888,277777777,277777777,285555554,21.0
2023-10-22,281111111,258888888,280000000,260000000,17.0
2023-10-23,269000000,244444444,269000000,255555500,15.0
2023-10-24,249988888,222222222,239999999,245454500,31.0
2023-10-25,229999999,199999999,229500000,200000000,27.0
2023-10-26,208888888,199999988,199999999,201588888,34.0
2023-10-27,233333333,200000000,200000000,222222222,25.0
2023-10-28,229888888,208888888,229111111,226600000,21.0
2023-10-29,233333333,198888888,226663333,220000000,34.0
2023-10-30,226544444,219888888,226544444,219999999,17.0
2023-10-31,226533333,199999999,218886666,222222211,23.0
2023-11-01,222222222,219999999,222222222,221111111,14.0
2023-11-02,209999999,200000000,208888888,201111066,7.0
2023-11-03,201111111,189999999,201111110,200000000,28.0
2023-11-04,200000000,177777777,200000000,199989999,23.0
2023-11-05,199999999,188888888,199000000,199988999,24.0
2023-11-06,200000000,130000000,199989999,199999000,24.0
2023-11-07,222222222,190000000,199000000,199999998,13.0
2023-11-08,226588888,198000000,199999999,222199999,41.0
2023-11-09,222222222,199999999,215000000,222222222,12.0
2023-11-10,211111111,120000000,211111111,200000000,18.0
2023-11-11,211111111,198888888,199899999,211111111,36.0
2023-11-12,218877777,180000000,204990000,218877777,27.0
2023-11-13,247999999,200000000,218877777,245555553,34.0
2023-11-14,244444000,199999999,244444000,218888887,12.0
2023-11-15,218888887,199999988,208888888,208888888,20.0
2023-11-16,211111111,201111111,210000000,208788888,10.0
2023-11-17,211111111,201111111,210000000,201111111,27.0
2023-11-18,211110000,195555555,199999999,209999999,24.0
2023-11-19,218888000,188888888,200000000,211111111,32.0
2023-11-20,211111111,199999990,211111100,199999999,23.0
2023-11-21,218888888,200000000,200000000,211111111,30.0
2023-11-22,222222221,199999999,214999999,211111111,23.0
2023-11-23,233333333,189797979,219999999,225555555,22.0
2023-11-24,233333333,210000000,225555555,228888888,18.0
2023-11-25,229777777,219888888,229777777,225000000,21.0
2023-11-26,229999999,200000000,225000000,217777777,18.0
2023-11-27,222222222,188888888,208555555,208000000,29.0
2023-11-28,208555554,176555555,200000000,197777777,21.0
2023-11-29,208888888,177777777,197777777,200000000,15.0
2023-11-30,201500000,191111111,201500000,199999999,17.0
2023-12-01,200000000,180000000,199999998,198888888,19.0
2023-12-02,213333333,197777777,199999999,213333333,19.0
2023-12-03,211111111,170000000,211111111,200000000,25.0
2023-12-04,210000000,200000000,200000000,210000000,14.0
2023-12-05,213999999,206000000,213999999,209999999,22.0
2023-12-06,209999999,198888888,209999999,200000000,17.0
2023-12-07,205000000,189999999,200000000,200000000,25.0
2023-12-08,204999999,199999996,201111111,199999999,12.0
2023-12-09,199999999,180000000,199999998,188888887,42.0
2023-12-10,188888888,166666666,185555555,188777666,27.0
2023-12-11,188888888,179999999,179999999,186666664,31.0
2023-12-12,199999999,180000000,186666666,199999999,33.0
2023-12-13,199999999,180000000,188888888,199998888,22.0
2023-12-14,199999999,179990000,199999888,199999999,22.0
2023-12-15,205555555,180000000,205555555,199988888,28.0
2023-12-16,199999999,170000000,199988888,199999999,24.0
2023-12-17,199999999,180000000,195555555,199655555,21.0
2023-12-18,198888888,180000000,188888888,189000000,22.0
2023-12-19,212222222,188888888,189000000,212222222,17.0
2023-12-20,212222200,209999998,210000000,209999999,13.0
2023-12-21,209999999,180000000,209999999,208888888,17.0
2023-12-22,209999996,188888888,209990000,209900000,15.0
2023-12-23,209999996,195000000,209999996,197777777,13.0
2023-12-24,209999996,188000000,188888888,199999999,14.0
2023-12-25,209877777,196666666,205000000,200000000,23.0
2023-12-26,200000000,188888888,200000000,199999990,15.0
2023-12-27,209888888,196666666,199999991,199999999,35.0
2023-12-28,209999996,188888888,199999999,208888887,13.0
2023-12-29,219999999,199999999,205555555,209999996,38.0
2023-12-30,209999999,180000000,208888888,207555555,21.0
2023-12-31,209999999,188888888,205555555,208888888,26.0
2024-01-01,209999999,133333333,205555555,208888888,30.0
2024-01-02,229990000,199999999,209999999,209999999,30.0
2024-01-03,248888888,199000000,215555555,247777777,31.0
2024-01-04,248888888,228888888,247777777,248000000,34.0
2024-01-05,249888888,222222222,246999999,249888888,25.0
2024-01-06,246555555,233333333,246555555,243333311,22.0
2024-01-07,284444444,218888887,243333332,284444444,43.0
2024-01-08,284444444,222222222,284444444,243333333,22.0
2024-01-09,244444444,209999999,243999999,236666666,29.0
2024-01-10,277000000,229999999,236666666,245555555,30.0
2024-01-11,320000000,222222222,247000000,288799999,54.0
2024-01-12,333333332,249999999,288799999,307777777,60.0
2024-01-13,309999988,288888888,309999988,299999911,55.0
2024-01-14,299999999,239999999,277777777,299955555,59.0
2024-01-15,299999111,250000000,299777777,298888888,52.0
2024-01-16,309999999,288888888,298888888,299999997,57.0
2024-01-17,299999999,229999997,298888888,299666000,48.0
2024-01-18,299666666,288888888,290000000,299666666,22.0
2024-01-19,297888888,266666666,296666666,291000000,38.0
2024-01-20,299222222,280000000,292222222,289999998,45.0
2024-01-21,299999999,280000000,289999998,297777776,42.0
2024-01-22,299999999,148880000,293333333,283333333,49.0
2024-01-23,298888888,268888888,283333333,279888888,33.0
2024-01-26,344444444,322222222,332222222,344444444,17.0
2024-01-27,421111111,333333330,333333330,359999999,83.0
2024-01-28,395555555,234567890,359999999,244399999,342.0
2024-01-29,270000000,230000000,240000000,240000000,52.0
2024-01-30,249999999,233333333,244333333,249999999,55.0
2024-01-31,299999999,208888888,249999999,299999999,44.0
2024-02-01,319999999,247777777,300000000,310000000,43.0
2024-02-02,319999998,299999999,310000000,311111111,29.0
2024-02-03,319800000,290000000,311111111,300000000,30.0
2024-02-04,335000000,288800000,299999999,320000000,33.0
2024-02-05,376399999,300000000,322222222,374444443,29.0
2024-02-06,355550000,333333333,353333333,347777777,19.0
2024-02-07,349999998,312222200,348888887,312222200,16.0
2024-02-08,355555555,311111111,312222222,350000000,41.0
2024-02-09,395555555,355555555,359999999,375555555,30.0
2024-02-10,419999999,322222222,360000000,399999999,62.0
2024-02-11,399999999,333333333,399999999,388888888,17.0
2024-02-12,399999999,377777777,399999999,379911111,137.0
2024-02-13,380000000,355555555,379000000,380000000,37.0
2024-02-14,399999988,370000000,380000000,388888888,31.0
2024-02-15,498666665,359999999,359999999,498666665,13.0
2024-02-16,497000000,329999999,497000000,466666666,25.0
2024-02-17,495000000,444444444,495000000,492999999,34.0
2024-02-18,499988888,479999999,492999999,498765432,40.0
2024-02-19,499999999,444444444,450000000,499999999,33.0
2024-02-20,544444000,460000000,499999999,488888888,36.0
2024-02-21,498777777,487777777,487777777,497777777,13.0
2024-02-22,552999999,450000000,497991111,491000000,40.0
2024-02-23,496666666,450000000,495000000,475300000,27.0
2024-02-24,496666666,475000000,475444444,494400000,55.0
2024-02-25,494444444,469888888,491000000,490000000,42.0
2024-02-26,490000000,422222222,490000000,488887777,29.0
2024-02-27,488888888,450000000,455555555,488800000,36.0
2024-02-28,488879998,388666666,488879998,477777777,31.0
2024-02-29,479999999,300000000,477777777,444444444,30.0
2024-03-01,488888888,308888888,477777777,488888000,57.0
2024-03-02,488000000,399999999,466666666,423333333,26.0
2024-03-03,455540000,322222222,440000000,450000000,40.0
2024-03-04,455550000,440000000,444444444,448888888,41.0
2024-03-05,499999999,333333333,399999999,444444000,38.0
2024-03-06,493333333,412111111,444444444,479999999,43.0
2024-03-07,479999999,444444444,479999999,464444444,22.0
2024-03-08,465500000,444430000,444444444,444440000,23.0
2024-03-09,444444443,266666666,444440000,358000000,27.0
2024-03-10,360000000,330000000,333333333,343333333,30.0
2024-03-11,355555555,311111111,344000000,339999999,40.0
2024-03-12,333333333,203333333,333333300,321111111,18.0
2024-03-13,315550000,300000000,311111111,310000000,38.0
2024-03-14,311111111,299999999,309999999,305555555,26.0
2024-03-15,309999999,266666666,308888887,309999999,46.0
2024-03-16,309999999,298777777,309999999,307777777,27.0
2024-03-17,333333333,299999999,300000000,333333309,46.0
2024-03-18,399999998,310000000,350000000,390000000,27.0
