2,High,Low,Open,Close,Volume
2023-10-11,2055555554,2055555554,2055555554,2055555554,1.0
2023-10-15,1988888887,1988888887,1988888887,1988888887,1.0
2023-10-16,1955555555,1955555555,1955555555,1955555555,1.0
2023-10-17,1800000000,1800000000,1800000000,1800000000,1.0
2023-10-20,1899999999,1888888887,1888888888,1888888887,6.0
2023-10-21,1888888885,1888888885,1888888885,1888888885,1.0
2023-10-22,1898888888,1888888886,1888888886,1898888888,3.0
2023-10-24,2033333333,1988888888,1988888888,2033333333,2.0
2023-11-01,1999999988,1999999988,1999999988,1999999988,1.0
2023-11-02,1999999999,1999999999,1999999999,1999999999,1.0
2023-11-05,2088888887,2088888887,2088888887,2088888887,1.0
2023-11-06,2598000000,2598000000,2598000000,2598000000,1.0
2023-11-11,2980000000,2980000000,2980000000,2980000000,1.0
2023-11-17,2966666666,2966666666,2966666666,2966666666,1.0
2023-11-20,2933333333,2933333333,2933333333,2933333333,1.0
2023-11-23,2777777777,2777777777,2777777777,2777777777,1.0
2023-11-25,2822222222,2822222222,2822222222,2822222222,1.0
2023-11-27,2788868888,2788868888,2788868888,2788868888,1.0
2023-11-30,2088777776,2088777776,2088777776,2088777776,1.0
2023-12-01,2777777677,2766666666,2766666666,2777777677,2.0
2023-12-02,2799999999,2788888888,2788888888,2799999999,2.0
2023-12-07,2777777777,2777777777,2777777777,2777777777,1.0
2023-12-08,2790000000,2790000000,2790000000,2790000000,3.0
2023-12-11,2888888887,2888888887,2888888887,2888888887,1.0
2023-12-21,2888870000,2888870000,2888870000,2888870000,2.0
2023-12-24,2788888888,2788888888,2788888888,2788888888,1.0
2023-12-27,2799999998,2799999998,2799999998,2799999998,1.0
2023-12-29,2750000000,2750000000,2750000000,2750000000,1.0
2023-12-31,2799999996,2799999996,2799999996,2799999996,1.0
2024-01-01,2700000000,1888888888,2700000000,1888888888,8.0
2024-01-02,1850000000,1699999999,1800000000,1754444444,26.0
2024-01-03,1699998888,1533333333,1688888888,1555555555,26.0
2024-01-04,1629969999,1400000000,1629969999,1444444444,14.0
2024-01-05,1500000000,1287777777,1455555555,1500000000,19.0
2024-01-06,1660000000,1511111111,1511111111,1659999999,16.0
2024-01-07,1587777776,1455555555,1455555555,1544444444,9.0
2024-01-08,1547777777,1400000000,1547777777,1400000000,4.0
2024-01-09,1542222222,1399999999,1468888888,1466666666,23.0
2024-01-10,1488887788,1477777777,1488000000,1477777777,6.0
2024-01-11,1400000000,1000000000,1400000000,1388888888,4.0
2024-01-12,1399999999,1300000000,1399999999,1300000000,3.0
2024-01-13,1388888888,1323333333,1388888888,1333333333,3.0
2024-01-14,1344444444,1188888888,1344444444,1188888888,6.0
2024-01-15,1322222222,1322222222,1322222222,1322222222,1.0
2024-01-16,1300000000,1280000000,1299999999,1280000000,3.0
2024-01-18,1266666666,1200000000,1266666666,1200000000,6.0
2024-01-19,1244444444,1233333333,1233333333,1244444444,3.0
2024-01-20,1211111111,1211110000,1211111111,1211110000,2.0
2024-01-21,1200000000,1111111111,1111111111,1200000000,5.0
2024-01-22,1200000000,1200000000,1200000000,1200000000,1.0
2024-01-23,1211110000,1211110000,1211110000,1211110000,1.0
2024-01-24,1208888888,1208888888,1208888888,1208888888,1.0
