2,High,Low,Open,Close,Volume
2023-12-06,2333333333,2333333333,2333333333,2333333333,1.0
2023-12-08,2388776666,2388776666,2388776666,2388776666,1.0
2023-12-13,2359999999,2359999999,2359999999,2359999999,1.0
2023-12-14,2359999886,2359999886,2359999886,2359999886,1.0
2023-12-19,2349988888,2348888886,2349988888,2348888886,3.0
2023-12-27,2333300000,1999999999,1999999999,2333300000,2.0
2023-12-28,2319999999,2319999999,2319999999,2319999999,1.0
2023-12-29,2222222200,2222222200,2222222200,2222222200,1.0
2024-01-01,2200000000,1333333333,2200000000,1577777777,14.0
2024-01-02,1330000000,999999999,1255555555,1100000000,37.0
2024-01-03,1111111111,999999999,999999999,1044444444,31.0
2024-01-04,1099999999,950000000,1055500000,999999988,32.0
2024-01-07,1333333331,919999999,919999999,1099999999,42.0
2024-01-08,1099999998,809000000,809000000,1055555555,9.0
2024-01-09,1400000000,898888888,999000000,1111111111,51.0
2024-01-10,1222222222,999999999,1000000000,1222222222,27.0
2024-01-11,1200000000,800000000,1200000000,1100000000,10.0
2024-01-12,1099999000,1099999000,1099999000,1099999000,1.0
2024-01-13,1088888887,1044444444,1088888887,1044444444,2.0
2024-01-14,999999999,999999999,999999999,999999999,1.0
2024-01-15,981111111,981111111,981111111,981111111,1.0
2024-01-16,977777777,977777777,977777777,977777777,1.0
2024-01-18,888888887,878888888,888888887,880000000,4.0
2024-01-19,799999999,799999999,799999999,799999999,2.0
2024-01-20,849999999,848888888,849999999,848888888,2.0
2024-01-21,850000000,849999999,850000000,849999999,2.0
2024-01-22,850000000,844444444,844444444,849990000,4.0
2024-01-23,855055555,855055555,855055555,855055555,1.0
2024-01-25,799999999,799999999,799999999,799999999,1.0
2024-01-26,788888888,755555555,755555555,788888888,2.0
2024-01-27,822222219,799999999,800000000,822222219,7.0
2024-01-28,822222220,811111111,822222220,811111111,2.0
2024-01-29,820000000,820000000,820000000,820000000,1.0
2024-01-30,833333333,777777777,777777777,833333333,9.0
2024-01-31,849999999,849999999,849999999,849999999,1.0
2024-02-01,855555555,850000000,850000000,855555555,9.0
