2,High,Low,Open,Close,Volume
2023-12-01,28888888888,28888888888,28888888888,28888888888,1.0
2023-12-03,30000000000,30000000000,30000000000,30000000000,1.0
2023-12-04,30200000000,30200000000,30200000000,30200000000,1.0
2023-12-10,31988989989,31988888888,31988888888,31988989989,2.0
2023-12-23,33000000000,33000000000,33000000000,33000000000,1.0
2023-12-27,33000000000,33000000000,33000000000,33000000000,1.0
2023-12-31,34000000000,34000000000,34000000000,34000000000,1.0
2024-01-01,31655555555,29999999999,31655555555,29999999999,3.0
2024-01-02,30011111111,28888888888,30011111111,28888888888,3.0
2024-01-03,28777777777,27299999999,28000000000,27299999999,12.0
2024-01-04,27288888888,26666666666,27288888888,26666666666,2.0
2024-01-05,25999999999,24999999998,25999999999,25000000000,10.0
2024-01-06,25777777777,24888888888,25333300000,24888888888,7.0
2024-01-07,25333333333,23900000000,23900000000,24799999999,13.0
2024-01-08,25500000000,24444444444,25288888888,24900000000,18.0
2024-01-09,25900000000,25440000000,25440000000,25666666666,12.0
2024-01-12,24222222222,24211111110,24211111110,24222222222,3.0
2024-01-13,23444444444,23333333222,23333333222,23444444444,5.0
2024-01-14,23299999999,22999900000,23299999999,22999900000,2.0
2024-01-15,23222222222,22979999999,22979999999,23222222222,11.0
2024-01-16,23200000000,23000000000,23000000000,23200000000,3.0
2024-01-17,23265555555,23265555555,23265555555,23265555555,1.0
2024-01-18,22222222222,22222222222,22222222222,22222222222,1.0
2024-01-19,23444444444,23220000000,23220000000,23444444444,8.0
2024-01-25,24499999999,24499888888,24499999999,24499888888,4.0
2024-01-26,24498888880,24333333333,24498888855,24498888880,3.0
2024-01-27,24455555555,24455555555,24455555555,24455555555,1.0
2024-01-29,24655555555,24498888887,24498888887,24655555555,6.0
2024-01-30,25555555555,24600000000,24600000000,25555555555,6.0
2024-02-01,26988888888,26988888888,26988888888,26988888888,1.0
2024-02-04,28333333110,28299999999,28300000000,28299999999,3.0
2024-02-05,28388880000,28333333333,28333333333,28388880000,2.0
2024-02-06,28499999999,28388888888,28388888888,28499999999,4.0
2024-02-10,30000000000,29999998888,29999998888,30000000000,2.0
2024-02-13,32966666666,32966666666,32966666666,32966666666,1.0
2024-02-14,32999799999,32980000000,32980000000,32999799999,2.0
2024-02-15,33111111111,32999998000,32999998000,33111111111,2.0
2024-02-18,42999999998,42999999998,42999999998,42999999998,1.0
2024-02-19,50999999998,42999999666,42999999666,50999999998,10.999999999907693
2024-02-22,43522222222,43522222222,43522222222,43522222222,1.0
2024-02-29,41999999998,41999999998,41999999998,41999999998,1.0
2024-03-03,41111111000,41111111000,41111111000,41111111000,1.0
2024-03-04,40666666665,40666666665,40666666665,40666666665,1.0
2024-03-06,39822222211,39799999999,39799999999,39822222211,2.0
2024-03-10,31555555555,31555555555,31555555555,31555555555,1.0
2024-03-13,31599999999,31599999999,31599999999,31599999999,1.0
2024-03-14,31588888888,31588888888,31588888888,31588888888,1.0
2024-03-16,31577777777,31577777777,31577777777,31577777777,1.0
2024-03-18,31599999999,31599998777,31599998777,31599999999,2.0
2024-03-20,31599999999,31599999999,31599999999,31599999999,1.0
2024-03-21,31699999999,31499999999,31499999999,31699999999,6.684542586740838
2024-03-23,36877777777,36877777777,36877777777,36877777777,1.0
2024-03-28,30311111111,30311111111,30311111111,30311111111,1.0
2024-03-29,30811110110,30333323333,30333323333,30811110110,6.0
2024-03-30,30666666666,30666666666,30666666666,30666666666,2.0
2024-03-31,30900000000,30899999999,30900000000,30900000000,3.0
2024-04-01,33988398888,33333333333,33988398888,33333333333,2.0
2024-04-03,33222222222,33222222222,33222222222,33222222222,1.0
2024-04-05,33322222221,33322222221,33322222221,33322222221,1.0
2024-04-08,33311111111,33300000000,33300000000,33311111111,4.0
2024-04-13,33000000000,33000000000,33000000000,33000000000,1.0
2024-04-25,32222222211,32222222200,32222222211,32222222200,3.0
2024-04-26,32222221111,32222221111,32222221111,32222221111,2.0
2024-04-29,32222220000,32222220000,32222220000,32222220000,1.0
2024-05-01,32888888888,32000000000,32222222221,32000000000,5.0
2024-05-02,33000000000,33000000000,33000000000,33000000000,1.0
2024-05-03,34000000000,34000000000,34000000000,34000000000,1.0
2024-05-05,33888887777,32977777777,32999000000,33888887777,4.0
2024-05-07,33588888888,33588888888,33588888888,33588888888,1.0
2024-05-08,33666666666,33666666666,33666666666,33666666666,1.0
2024-05-09,33800000000,33111111111,33111111111,33800000000,3.0
2024-05-10,33888887776,33544444444,33544444444,33888887776,2.0
2024-05-11,33998888888,33998888888,33998888888,33998888888,1.0
2024-05-13,34000000000,33999999999,33999999999,34000000000,3.0
2024-06-07,35466500000,35466500000,35466500000,35466500000,1.0
2024-06-08,35455550000,35450000000,35455550000,35450000000,2.0
2024-06-09,35433333333,35433300000,35433300000,35433333333,2.0
2024-06-10,35287777777,35277777777,35287777777,35277777777,2.0
2024-06-13,34900000000,34900000000,34900000000,34900000000,1.0
2024-06-14,34888888888,34888888888,34888888888,34888888888,1.0
2024-06-18,35287777777,35000000000,35000000000,35287777777,2.0
2024-06-28,29999999998,29999999998,29999999998,29999999998,1.0
2024-07-01,34444444444,34330000000,34440000000,34444444444,3.0
2024-07-05,34999999999,34999999999,34999999999,34999999999,1.0
2024-07-06,35111111111,35111111111,35111111111,35111111111,2.0
2024-07-10,33999999999,33999999999,33999999999,33999999999,1.0
2024-07-24,35000000000,35000000000,35000000000,35000000000,1.0
2024-07-27,35050000000,35050000000,35050000000,35050000000,1.0
2024-07-28,35055555555,35055555555,35055555555,35055555555,1.0
2024-07-29,36488888888,36488888888,36488888888,36488888888,1.0
2024-08-02,35552555555,35552555554,35552555554,35552555555,2.0
2024-08-04,36666666666,36666666666,36666666666,36666666666,1.0
2024-08-05,36622222222,36622222222,36622222222,36622222222,1.0
2024-08-06,38655555555,37777777777,37777777777,38555555555,4.0
2024-08-07,37999999999,37999999999,37999999999,37999999999,2.0
2024-08-11,37222200000,37222200000,37222200000,37222200000,1.0
2024-08-15,36888888888,36888888888,36888888888,36888888888,1.0
2024-08-21,36555555555,36555555555,36555555555,36555555555,1.0
2024-08-22,35666666666,35666666666,35666666666,35666666666,1.0
2024-08-31,34999999999,34777777777,34777777777,34999999999,2.0
2024-09-01,37555555555,34888888888,34888888888,37555555555,4.0
2024-09-18,37000000000,37000000000,37000000000,37000000000,1.0
