2,High,Low,Open,Close,Volume
2023-09-25,1488888888,1477777777,1477777777,1488888888,2.0
2023-09-27,6999999999,2755555543,2755555543,6999999999,2.0
2023-09-28,2280000000,1333333333,1333333333,2280000000,2.0
2023-09-29,1333333333,1333333333,1333333333,1333333333,1.0
2023-09-30,1344443333,1333333333,1333333333,1344443333,2.0
2023-10-01,1444444443,1444444443,1444444443,1444444443,1.0
2023-10-02,2380000000,1444444444,2380000000,1444444444,2.0
2023-10-03,2666666666,2333333333,2333333333,2666666666,2.0
2023-10-04,8888888888,1299999999,7777777777,8888888888,3.0
2023-10-05,2644444444,1344444444,2644444444,1344444444,2.0
2023-10-06,2655555544,1333333333,1333333333,2655555544,2.0
2023-10-07,10888888888,1355555555,10888888888,1355555555,4.0
2023-10-08,9999999999,1200000000,1200000000,9999999999,2.0
2023-10-09,1333333333,666666666,666666666,1333333333,2.0
2023-10-10,12888888888,888888888,888888888,1299999999,4.0
2023-10-11,8888888888,1300000000,8888888888,1300000000,2.0
2023-10-13,2555555555,2555555555,2555555555,2555555555,1.0
2023-10-14,12333333333,2522222222,12333333333,2522222222,2.0
2023-10-15,6555555555,6555555555,6555555555,6555555555,1.0
2023-10-16,3999999999,3999999999,3999999999,3999999999,1.0
2023-10-17,2499999999,1000000000,2499999999,1000000000,2.0
2023-10-20,999998888,999998888,999998888,999998888,1.0
2023-10-22,1199999999,1199999999,1199999999,1199999999,1.0
2023-10-23,987777777,987777777,987777777,987777777,1.0
2023-10-25,5999999999,1888888888,1888888888,5999999999,3.0
2023-10-27,2433333333,988888886,999999999,999999999,4.0
2023-10-28,1444444444,999999999,999999999,1444444444,3.0
2023-10-29,10699999999,999999998,10699999999,1455555554,5.0
2023-10-30,12000000000,1200000000,12000000000,1200000000,3.0
2023-11-01,988888888,988888888,988888888,988888888,1.0
2023-11-03,2333333333,2300000000,2333333333,2300000000,2.0
2023-11-04,8888888888,998888888,8888888888,998888888,2.0
2023-11-05,5000000000,2288888888,2288888888,5000000000,2.0
2023-11-06,1555555555,987654321,987654321,1555555555,2.0
2023-11-07,998888888,988888888,988888888,998888888,2.0
2023-11-08,999888888,998889988,998889988,999888888,2.0
2023-11-11,1877777777,999998888,1877777777,999999988,3.0
2023-11-12,7888888888,900000000,900000000,7888888888,5.0
2023-11-14,7400000000,7400000000,7400000000,7400000000,1.0
2023-11-15,6888888888,700000000,700000000,999999999,4.0
2023-11-17,21555555555,21555555555,21555555555,21555555555,1.0
2023-11-18,1221111111,1221111111,1221111111,1221111111,1.0
2023-11-19,7999999999,1188888888,1788888888,1888888888,5.0
2023-11-20,6999999999,6999999999,6999999999,6999999999,1.0
2023-11-23,1666666666,999999999,1655555555,999999999,5.0
2023-11-24,1333333333,999999777,999999777,1333333333,2.0
2023-11-25,999999888,999999888,999999888,999999888,1.0
2023-11-26,17777777777,999999999,999999999,17777777777,2.0
2023-11-27,1099999999,1099999999,1099999999,1099999999,1.0
2023-11-28,1800000000,1800000000,1800000000,1800000000,1.0
2023-11-30,3333333333,1277678777,3333333333,1277777777,3.0
2023-12-01,9999999999,9999999999,9999999999,9999999999,1.0
2023-12-02,9999999999,1799999999,9999999999,1799999999,4.0
2023-12-03,1666666666,1111111110,1288888888,1666666666,5.0
2023-12-04,1600000000,1600000000,1600000000,1600000000,1.0
2023-12-05,1770000000,1699999999,1699999999,1770000000,2.0
2023-12-07,6999999999,855555555,6999999999,977777777,5.0
2023-12-09,1722222222,1722222222,1722222222,1722222222,1.0
2023-12-10,2444444444,2444444444,2444444444,2444444444,1.0
2023-12-11,1444444444,1444444444,1444444444,1444444444,1.0
