2,High,Low,Open,Close,Volume
2023-08-02,2800000000,2800000000,2800000000,2800000000,1.0
2023-08-03,2800000000,2788888888,2788888888,2800000000,2.0
2023-08-04,2940000000,2888888888,2940000000,2888888888,4.0
2023-08-05,2800000000,2799999999,2800000000,2799999999,2.0
2023-08-06,2700000000,2500000000,2700000000,2500000000,2.0
2023-08-07,2820000000,2700000000,2739999999,2820000000,5.0
2023-08-08,3199999999,2888888888,2999999999,3199999999,4.0
2023-08-09,3199999999,3000000000,3000000000,3199999999,2.0
2023-08-10,2800000000,2800000000,2800000000,2800000000,1.0
2023-08-11,3100000000,3100000000,3100000000,3100000000,1.0
2023-08-12,3077777777,3066666665,3066666666,3077777777,3.0
2023-08-13,2955555555,2955555555,2955555555,2955555555,1.0
2023-08-14,3100000000,2988888888,3060000000,3100000000,3.0
2023-08-16,2999999996,2999999996,2999999996,2999999996,2.0
2023-08-18,2799998888,2788888888,2788888888,2799998888,2.0
2023-08-19,2788888888,2788888888,2788888888,2788888888,1.0
2023-08-20,2722222222,2655555555,2655555555,2722222222,4.0
2023-08-22,2750000000,2722222222,2722222222,2750000000,3.0
2023-08-23,2666666666,2666666666,2666666666,2666666666,1.0
2023-08-24,2777777776,2720000000,2777777776,2720000000,3.0
2023-08-25,2699999999,2655000000,2699999999,2655000000,2.0
2023-08-28,2750000000,2733333333,2750000000,2750000000,3.0
2023-08-29,2744400000,2744400000,2744400000,2744400000,1.0
2023-08-30,2750000000,2722222222,2722222222,2750000000,3.0
2023-08-31,2777777777,2688888888,2777777777,2700000000,3.0
2023-09-01,2999999990,2888888888,2888888888,2999999990,7.0
2023-09-02,2999999999,2899999999,2899999999,2999999999,2.0
2023-09-03,2999999999,2988888888,2988888888,2999999999,2.0
2023-09-04,3150000000,3080000000,3080000000,3090000000,3.0
2023-09-05,3100000000,3000000000,3100000000,3000000000,2.0
2023-09-06,3111111111,3111111111,3111111111,3111111111,1.0
2023-09-07,3199999999,2999999999,3066666666,2999999999,3.0
2023-09-09,3300000000,3300000000,3300000000,3300000000,1.0
2023-09-11,3433333333,3433333333,3433333333,3433333333,1.0
2023-09-12,3177776666,3177775555,3177775555,3177776666,2.0
2023-09-16,3329990000,3329990000,3329990000,3329990000,1.0
2023-09-17,3888888888,3329999999,3329999999,3888888888,2.0
2023-09-18,3750000000,3699999999,3699999999,3750000000,2.0
2023-09-22,3333333333,3333333333,3333333333,3333333333,1.0
2023-09-24,3999999999,3999999999,3999999999,3999999999,1.0
2023-09-25,3499999999,3499999999,3499999999,3499999999,1.0
2023-09-27,3999999999,3297979799,3999999999,3297979799,2.0
2023-09-29,3777777777,2888888888,2888888888,3444444444,3.0
2023-10-02,3880000000,3880000000,3880000000,3880000000,1.0
2023-10-04,4199999999,4199999999,4199999999,4199999999,1.0
2023-10-09,3600000000,3600000000,3600000000,3600000000,1.0
2023-10-10,4333333333,4333333333,4333333333,4333333333,1.0
2023-10-12,3700000000,3700000000,3700000000,3700000000,1.0
2023-10-13,3866666666,3866666666,3866666666,3866666666,1.0
2023-10-15,3999999999,3999999999,3999999999,3999999999,1.0
2023-10-17,4000000000,4000000000,4000000000,4000000000,1.0
2023-10-20,3266666666,3266666666,3266666666,3266666666,1.0
2023-10-21,3499999999,3499999999,3499999999,3499999999,1.0
2023-10-26,3549999990,3549999990,3549999990,3549999990,1.0
2023-10-27,3544444444,3544444444,3544444444,3544444444,1.0
2023-10-30,3477777777,3477777777,3477777777,3477777777,1.0
2023-11-04,3888888888,3888888888,3888888888,3888888888,1.0
2023-11-07,3500000000,3500000000,3500000000,3500000000,1.0
2023-11-10,3999999999,3999999999,3999999999,3999999999,1.0
2023-11-11,3800000000,3800000000,3800000000,3800000000,1.0
2023-11-13,3666666666,3600000000,3666666666,3600000000,2.0
2023-11-18,3599999999,3599999999,3599999999,3599999999,1.0
2023-11-19,3511000000,3511000000,3511000000,3511000000,1.0
2023-11-20,3299999999,3299999999,3299999999,3299999999,1.0
2023-11-21,3422222222,3333333333,3422222222,3333333333,2.0
2023-11-27,3766666666,3766666666,3766666666,3766666666,1.0
2023-12-03,2920000000,2920000000,2920000000,2920000000,1.0
2023-12-06,3333333333,3333333333,3333333333,3333333333,1.0
2023-12-07,2722222222,2722222222,2722222222,2722222222,1.0
2023-12-14,2999999999,2999999999,2999999999,2999999999,1.0
2023-12-17,2888888888,2888888888,2888888888,2888888888,1.0
2023-12-20,2988888888,2900000000,2988888888,2900000000,2.0
2023-12-22,2777777777,2777777777,2777777777,2777777777,1.0
2023-12-28,2999999999,2999999999,2999999999,2999999999,1.0
2023-12-31,2599999999,2599999999,2599999999,2599999999,1.0
2024-01-01,2700000000,2700000000,2700000000,2700000000,1.0
2024-01-03,2888888888,2888888888,2888888888,2888888888,1.0
2024-01-08,3333333333,3333333333,3333333333,3333333333,1.0
2024-01-12,2799000000,2777777777,2799000000,2777777777,2.0
2024-01-13,2488888888,2488888888,2488888888,2488888888,2.0
2024-01-14,2566666666,2566666666,2566666666,2566666666,1.0
2024-01-15,2766666666,2766666666,2766666666,2766666666,1.0
2024-01-16,2700000000,2690000000,2690000000,2700000000,2.0
2024-01-19,2875555555,2799999999,2799999999,2875555555,2.0
2024-01-22,2511111111,2511111111,2511111111,2511111111,1.0
2024-01-23,2599990000,2522222222,2522222222,2599990000,2.0
2024-01-24,2600000000,2600000000,2600000000,2600000000,1.0
2024-01-25,2500000000,2500000000,2500000000,2500000000,1.0
2024-01-26,2599999999,2599999999,2599999999,2599999999,1.0
2024-01-27,2610000000,2548888888,2588888888,2548888888,4.0
2024-01-28,2666666666,2618000000,2666666666,2618000000,2.0
2024-01-29,2611111111,2611111111,2611111111,2611111111,1.0
2024-01-30,2699999999,2677777777,2677777777,2699999999,2.0
2024-01-31,2766666666,2766666666,2766666666,2766666666,1.0
2024-02-01,2700000000,2333333333,2700000000,2588800000,4.0
2024-02-02,2455555555,2422222222,2455555555,2455555555,3.0
2024-02-03,2211111111,2211111111,2211111111,2211111111,2.0
2024-02-04,2500000000,2254444444,2254444444,2500000000,6.0
2024-02-05,2555555555,2499999999,2499999999,2555555555,2.0
2024-02-06,2500000000,2477777777,2488888880,2500000000,5.0
2024-02-07,2444444444,2399999999,2444444444,2399999999,2.0
2024-02-08,2699999000,2555555555,2555555555,2555555555,8.0
2024-02-09,2698888887,2600000000,2600000000,2698888887,2.0
2024-02-10,2888888888,2555555555,2700000000,2888888888,3.0
2024-02-11,3100000000,3100000000,3100000000,3100000000,1.0
2024-02-12,3555555555,3333333333,3333333333,3555555555,3.0
2024-02-15,3666666666,3444444444,3499999999,3666666666,5.0
2024-02-17,4088888880,3900000000,4088888880,3900000000,2.0
2024-02-18,4050000000,3911111111,3911111111,4050000000,2.0
2024-02-22,4299999999,4299999999,4299999999,4299999999,1.0
2024-02-23,4111000000,4111000000,4111000000,4111000000,1.0
2024-02-24,4100000000,4000000000,4100000000,4077777777,3.0
2024-02-25,4099999899,4088888888,4088888888,4099999899,2.0
2024-02-28,4048888888,4000000000,4048888888,4000000000,2.0
2024-02-29,4049000000,3900000000,3900000000,4049000000,2.0
2024-03-01,4666666000,4111111111,4111111111,4666666000,2.0
