2,High,Low,Open,Close,Volume
2023-07-19,121111111,121100000,121100000,121111111,3.0
2023-07-20,138888887,110000000,118888888,111111111,36.0
2023-07-21,141110999,100000000,127666666,121111111,95.0
2023-07-22,134444444,111111110,132222221,122222222,17.0
2023-07-23,131999999,122222222,130000000,125555555,16.0
2023-07-24,129999999,120000000,120000000,129999999,5.0
2023-07-25,131999998,122222222,122222222,130000000,23.0
2023-07-26,125555000,122222222,122222222,125555000,4.0
2023-07-27,130000000,111111111,120000000,130000000,27.0
2023-07-28,128888888,111888888,119999999,125000000,23.0
2023-07-29,128000000,111111111,111111111,128000000,15.0
2023-07-30,125000000,111111111,123333333,111111111,22.0
2023-07-31,129999999,109999999,119999999,122222222,114.0
2023-08-01,129999999,120000000,127000000,125555555,26.0
2023-08-02,146555555,121111111,131999886,121111111,11.0
2023-08-03,144000000,99999999,111111111,111111111,80.0
2023-08-04,151888777,119999999,133333332,125000000,26.0
2023-08-05,147666656,120000000,129999999,147000000,86.0
2023-08-06,147666666,129000000,147666651,138000000,43.0
2023-08-07,147666648,122222222,137777777,133333333,29.0
2023-08-08,144444444,122222222,130000000,135000000,13.0
2023-08-09,143000000,119999999,138888888,143000000,24.0
2023-08-10,147555111,133333333,142999987,133333333,31.0
2023-08-11,147555011,138000000,138888888,147555000,29.0
2023-08-12,144444444,136666666,144444444,144440000,22.0
2023-08-13,143300000,122222222,138688888,130000000,27.0
2023-08-14,144444444,138888888,140000000,142140000,47.0
2023-08-15,145555554,135555555,135555555,139988888,12.0
2023-08-16,139998888,133333333,138888888,139998888,17.0
2023-08-17,144410000,130000000,130000000,144410000,18.0
2023-08-18,145555554,145000000,145000000,145555554,5.0
2023-08-19,145555555,129999999,129999999,145555555,28.0
2023-08-20,199999977,129999777,145555554,139777777,315.0
2023-08-21,139888888,136666666,139888888,139888887,16.0
2023-08-22,139888888,137000000,137000000,139800000,22.0
2023-08-23,133333333,133222222,133222222,133333333,2.0
2023-08-24,142221111,111111111,138666666,121111111,14.0
2023-08-25,137999999,130000000,137777777,137777777,14.0
2023-08-26,137777777,135555554,135555554,137777777,19.0
2023-08-27,140000000,129999998,137777000,139999999,151.0
2023-08-28,140999999,135555555,135555555,140999999,3.0
2023-08-29,165555553,128888888,128888888,165555553,68.0
2023-08-30,165555552,135000000,139999999,165555552,61.0
2023-08-31,164444444,150000000,155555549,164444444,11.0
2023-09-01,164495554,122222222,164495554,164495550,51.0
2023-09-02,166000000,151111111,164495551,166000000,105.0
2023-09-03,186666650,155555555,155555555,186666650,12.0
2023-09-04,186666552,149999999,169999999,149999999,42.0
2023-09-05,186666538,169999999,169999999,186666538,17.0
2023-09-06,186666536,155555550,155555550,155555555,109.0
2023-09-07,177000000,177000000,177000000,177000000,5.0
2023-09-08,166666666,153333332,153333332,154444444,8.0
2023-09-09,166666666,165555554,165555554,166666666,6.0
2023-09-10,176000000,166666666,166666666,166666666,14.0
2023-09-11,176543210,155555555,155555555,176543210,17.0
2023-09-12,186666503,145000000,160000000,186666441,46.0
2023-09-14,186664433,166660000,178888888,166660000,7.0
2023-09-15,186664426,182222222,182222222,186664426,10.0
2023-09-16,186655544,165000000,165000000,169999998,13.0
2023-09-17,177777777,177777777,177777777,177777777,1.0
2023-09-18,175555555,149999888,149999999,149999888,24.0
2023-09-19,179999999,149999999,155555555,149999999,59.0
2023-09-20,166666666,165555555,166555555,166666666,13.0
2023-09-21,175999998,175999998,175999998,175999998,4.0
2023-09-22,176555499,149999999,150000000,149999999,41.0
2023-09-23,177777777,166666666,175555553,166666666,25.0
2023-09-24,177777776,175999998,175999998,177777776,7.0
2023-09-25,177777777,176988888,176988888,177777777,5.0
2023-09-26,177777777,166666666,177777777,166666666,25.0
2023-09-27,177777666,177777666,177777666,177777666,2.0
2023-09-29,177777777,175555555,177777766,175555555,6.0
2023-09-30,186666440,176000000,176000000,186666440,9.0
2023-10-01,250000000,180000000,187000000,188888888,16.0
2023-10-02,207777777,177777777,198888888,180000000,16.0
2023-10-03,188888888,166666666,179999999,166666666,14.0
2023-10-04,170000000,167999999,167999999,170000000,13.0
2023-10-05,210000000,149999999,159999999,158888888,52.0
2023-10-06,166666666,162222222,162222222,166666666,7.0
2023-10-07,179000000,166666666,166666666,166666666,19.0
2023-10-08,179000000,155555554,155555554,179000000,18.0
2023-10-09,172222222,155555555,155555555,172222222,4.0
2023-10-10,171111111,165555555,165555555,171111111,20.0
2023-10-11,168888800,155555555,158888888,168888800,12.0
2023-10-12,188888887,166666666,166666666,187777776,58.0
2023-10-13,188888887,170000000,170000000,188888887,37.0
2023-10-14,175555555,175551110,175555555,175551111,17.0
2023-10-15,186666666,175549999,175549999,186666666,17.0
2023-10-16,188888887,166660666,172222222,188888887,14.0
2023-10-17,218888888,177777777,177777777,188888888,82.0
2023-10-18,178654568,178654568,178654568,178654568,7.0
2023-10-19,219999999,165555550,219999999,177777777,80.0
2023-10-20,168888888,168888888,168888888,168888888,1.0
2023-10-21,169999999,155555555,155555555,169999999,8.0
2023-10-22,166666666,149999999,149999999,166666666,8.0
2023-10-23,170000000,155555555,164999999,170000000,43.0
2023-10-24,180000000,169999999,169999999,180000000,10.0
2023-10-25,188888888,177777777,180000000,177777777,34.0
2023-10-26,177700000,144444444,167000000,177700000,11.0
2023-10-27,175555555,166666666,168000000,170000000,22.0
2023-10-28,195555555,158888888,158888888,194799999,18.0
2023-10-29,189999998,144444444,144444444,166666666,29.0
2023-10-30,172222222,163456856,168888888,163456856,19.0
2023-10-31,194800000,150000000,150000000,194800000,55.0
2023-11-01,172222222,170000000,172222222,170000000,51.0
2023-11-02,199999998,166666666,166666666,199999998,7.0
2023-11-03,219999993,177777777,199999999,218888888,21.0
2023-11-05,218888885,177777777,188888886,177777777,24.0
2023-11-06,218888885,215555000,215555000,218888885,10.0
2023-11-07,218888885,194688888,194688888,218888885,17.0
2023-11-08,220000000,215500000,215500000,220000000,22.0
2023-11-09,249999998,211111111,211111111,248888888,25.0
2023-11-10,249499995,248888888,248888888,249499995,13.0
2023-11-11,249499991,234567890,234567890,249499991,5.0
2023-11-13,244443999,222222222,233333333,222222222,21.0
2023-11-14,228888888,199999999,199999999,228888888,5.0
2023-11-15,228899999,222222222,228899999,228888887,11.0
2023-11-16,220000000,199999999,199999999,220000000,5.0
2023-11-17,228888877,227888888,227888888,228888877,4.0
2023-11-18,239999886,228888866,228888866,238888888,10.0
2023-11-20,237999999,230000000,230000000,237999999,10.0
2023-11-21,230000000,211111111,222222222,211111111,16.0
2023-11-24,200000000,200000000,200000000,200000000,1.0
2023-11-25,211111111,200000000,200000000,211111111,2.0
2023-11-26,248888888,200000000,200000000,248888888,86.0
2023-11-27,249500000,200000000,210000000,200000000,10.0
2023-11-28,219999999,188888888,219999990,188888888,6.0
2023-11-30,199999999,199999999,199999999,199999999,2.0
2023-12-01,226887777,211111111,226887777,211111111,11.0
2023-12-02,226888888,225555550,225555550,226888888,7.0
2023-12-04,226888888,218888886,223333333,226888888,16.0
2023-12-06,199999999,199999998,199999999,199999998,2.0
2023-12-07,224444444,199999999,199999999,222222222,13.0
2023-12-08,226887776,211111111,211111111,226666666,15.0
2023-12-09,226887776,210000000,219999998,226887776,13.0
2023-12-10,226888880,210000000,211111111,226888880,11.0
2023-12-11,222222220,211111111,222222220,211111111,10.0
2023-12-12,239999999,199999999,199999999,239999999,8.0
2023-12-13,250000000,211111111,211111111,250000000,20.0
2023-12-14,333333333,228444444,233333333,288888888,19.0
2023-12-15,333333333,230000000,230000000,266666667,17.0
2023-12-16,240000000,233333333,240000000,233333333,7.0
2023-12-18,311111000,255555555,311111000,310999999,22.0
2023-12-19,299999996,266666666,299999996,266666666,11.0
2023-12-20,298888877,295555555,298888877,297999998,10.0
2023-12-21,296666000,255555555,291111111,288888880,10.0
2023-12-25,265555544,265555544,265555544,265555544,5.0
2023-12-26,288888000,219999999,259999988,288888000,27.0
2023-12-27,278888888,211111111,211111111,278888888,13.0
2023-12-28,222222222,222222222,222222222,222222222,1.0
2023-12-30,277656564,222222222,222222222,277656564,2.0
2024-01-01,276998888,276998888,276998888,276998888,5.0
2024-01-03,250000000,219999999,222222222,250000000,13.0
2024-01-04,244444444,220000000,220000000,244444444,33.0
2024-01-05,265555555,244444443,244444443,265555555,10.0
2024-01-06,264444444,199999999,264444444,199999999,6.0
2024-01-07,260000000,244444444,244444444,260000000,7.0
2024-01-08,264444444,264433333,264433333,264444444,5.0
2024-01-09,263333333,233333333,244444444,233333333,25.0
2024-01-11,259998888,198888888,255555555,200000000,51.0
2024-01-12,246998887,222222222,233333333,222222222,16.0
2024-01-13,236666666,209999999,233332222,236666666,37.0
2024-01-14,239998887,200000000,238888877,238888776,67.0
2024-01-15,238888775,230000000,230000000,238888775,17.0
2024-01-16,238888775,200000000,238888775,211111110,48.0
2024-01-17,238886665,150000000,150000000,222222222,143.0
