2,High,Low,Open,Close,Volume
2023-08-10,2298888888,2298888888,2298888888,2298888888,1.0
2023-08-11,5000000000,1880000000,5000000000,1880000000,2.0
2023-08-12,8500000000,2100000000,8500000000,3399999999,4.0
2023-08-13,2100000000,2090000000,2090000000,2100000000,2.0
2023-08-15,9000000000,9000000000,9000000000,9000000000,1.0
2023-08-16,7666666666,2199999999,7666666666,2199999999,4.0
2023-08-18,9500000000,9500000000,9500000000,9500000000,1.0
2023-08-19,6555555555,6555555555,6555555555,6555555555,1.0
2023-08-20,2199990000,2199990000,2199990000,2199990000,1.0
2023-08-21,9999999999,3377777777,9999999999,3377777777,2.0
2023-08-22,2100000000,2077777776,2077777776,2100000000,2.0
2023-08-23,2555555555,1777777777,1777777777,2555555555,4.0
2023-08-24,2077777777,2077777777,2077777777,2077777777,1.0
2023-08-25,11000000000,2488888888,3111111111,5666666666,7.0
2023-08-26,2555555555,2477776665,2477776665,2555555555,2.0
2023-08-27,3488888888,2547999999,2547999999,3488888888,2.0
2023-08-28,6555555555,2499999999,2499999999,6555555555,3.0
2023-08-29,5555555555,2499999999,2499999999,3299999999,5.0
2023-08-30,3366666666,3366666666,3366666666,3366666666,1.0
2023-08-31,5000000000,3166666666,5000000000,3166666666,2.0
2023-09-01,9999999999,2699999999,2999999999,3188888888,5.0
2023-09-03,6555555555,3222222222,4999999999,3988888888,5.0
2023-09-04,6888888888,2799999999,6888888888,2799999999,2.0
2023-09-05,3390000000,2808888888,2808888888,3390000000,3.0
2023-09-06,12900000000,2888888886,2888888886,12900000000,2.0
2023-09-07,4666666666,3999999998,4666666666,3999999998,2.0
2023-09-08,9999999999,2800000000,2800000000,9999999999,4.0
2023-09-10,2888888887,2855555555,2855555555,2888888887,3.0
2023-09-11,6000000000,6000000000,6000000000,6000000000,1.0
2023-09-13,15999999999,3888888880,3888888880,15999999999,2.0
2023-09-14,2999999999,2799999999,2799999999,2999999999,6.0
2023-09-15,18888888888,3000000000,18888888888,3000000000,3.0
2023-09-16,8188888888,3333333333,3333333333,8188888888,3.0
2023-09-17,6999999999,6999999999,6999999999,6999999999,1.0
2023-09-19,7999999999,3789999999,7999999999,6222222222,3.0
2023-09-20,5888888888,5888888888,5888888888,5888888888,1.0
2023-09-24,5555555555,3769999999,5555555555,3769999999,2.0
2023-09-26,3776999999,3769999999,3776999999,3769999999,2.0
2023-09-27,7000000000,3775555555,7000000000,3775555555,3.0
2023-09-28,3000000000,3000000000,3000000000,3000000000,1.0
2023-10-01,8222222222,2666666666,3777755555,8222222222,4.0
2023-10-02,8888888888,8888888888,8888888888,8888888888,2.0
2023-10-03,3179999999,3179999999,3179999999,3179999999,1.0
2023-10-04,6666666666,3155555555,6000000000,3155555555,4.0
2023-10-05,7111111111,3666666666,7111111111,3666666666,2.0
2023-10-06,6099999999,5555555555,6000000000,5555555555,3.0
