2,High,Low,Open,Close,Volume
2023-08-20,120000000,111111111,118888888,111111111,380.0
2023-08-21,119999998,111111111,119999998,119999998,25.0
2023-08-22,139999999,118000000,118000000,120000000,1616.0
2023-08-23,200000000,111111111,120999998,119880000,126.0
2023-08-24,190000000,111111155,119888887,120999999,33.0
2023-08-25,119769999,110000000,115555555,119222221,64.0
2023-08-26,119222221,118999999,119000000,119200000,119.0
2023-08-27,121111111,100000000,100000000,119999999,96.0
2023-08-28,128555554,119666666,119666666,128000000,461.0
2023-08-29,132222222,100000000,119999999,128555554,63.0
2023-08-30,126000000,125555555,126000000,125555555,2.0
2023-08-31,120000000,120000000,120000000,120000000,1.0
2023-09-01,128555333,120000000,125000000,120000000,79.0
2023-09-02,128555554,123333333,123333333,128555554,32.0
2023-09-03,110000000,110000000,110000000,110000000,8.0
2023-09-04,129899999,126999998,126999998,129899999,111.0
2023-09-05,119999999,119999999,119999999,119999999,1.0
2023-09-06,129000000,128777777,128777777,129000000,30.0
2023-09-07,129999999,129999999,129999999,129999999,1.0
2023-09-08,130000000,118870000,128000000,129899999,217.0
2023-09-09,129899999,129899999,129899999,129899999,2.0
2023-09-10,129880000,129880000,129880000,129880000,3.0
2023-09-11,129899999,128888888,128888888,129899999,47.0
2023-09-12,129999999,129899999,129899999,129999999,27.0
2023-09-13,111111111,111111111,111111111,111111111,18.0
2023-09-17,133333333,133330000,133333333,133333333,187.0
2023-09-18,133333333,130000000,133333332,133333333,12.0
2023-09-20,125555555,122222222,122222222,125555555,86.0
2023-09-21,130000000,128888888,128888888,130000000,20.0
2023-09-22,133330000,133330000,133330000,133330000,1.0
2023-09-23,132888888,122222222,122222222,132888888,11.0
2023-09-25,129998999,119999999,119999999,129998999,223.0
2023-09-26,133000000,111111111,133000000,111111111,12.0
2023-09-27,122222222,122222222,122222222,122222222,71.0
2023-09-28,129999999,111111111,128400000,129999999,123.0
2023-09-29,132999999,130000000,130000000,132998000,8.0
2023-09-30,132960000,122222222,122222222,132960000,112.0
2023-10-01,166666666,120000000,132960000,146999999,1032.0
2023-10-02,147776999,133333333,146600000,144411100,240.0
2023-10-03,149999999,133333331,144441110,149999999,243.0
2023-10-04,142219999,135895465,142219988,141099898,297.0
2023-10-05,147777777,120000000,141099897,144398888,1060.0
2023-10-06,168888888,140000000,144444444,148847996,248.0
2023-10-07,149999999,130000000,148847996,148847995,1117.0
2023-10-08,199999999,144444444,144444444,158832999,882.0
2023-10-09,199999888,99999999,158822221,131400000,326.0
2023-10-10,178887776,144444444,165555552,178887776,110.0
2023-10-11,178777777,152000000,178090000,172222222,23.0
2023-10-12,170000000,140000000,144444444,169999988,28.0
2023-10-13,166666555,165555555,165555555,165555555,11.0
2023-10-14,165444444,159999999,165444444,159999999,5.0
2023-10-15,165444444,130000000,165444444,130000000,3.0
2023-10-16,164400000,160000000,164000000,160000000,5.0
2023-10-17,164333333,158888888,164333333,164333332,12.0
2023-10-19,161111110,144444444,160000000,144444444,5.0
2023-10-20,149999998,147777777,148888888,148888888,42.0
2023-10-21,130000000,130000000,130000000,130000000,1.0
2023-10-23,140000000,120000000,138888888,120000000,49.0
2023-10-24,140000000,133333333,140000000,133333333,3.0
2023-10-25,140000000,139990000,139990000,140000000,11.0
2023-10-26,139999999,139999999,139999999,139999999,19.0
2023-10-27,141111111,133333333,138000000,133333333,5.0
2023-10-28,140000000,133333333,135800000,140000000,73.0
2023-10-29,140000000,120000000,120000000,140000000,17.0
2023-11-01,163333333,143333333,143333333,163333333,13.0
2023-11-02,164111111,137329999,164111111,141111110,24.0
2023-11-03,100000000,100000000,100000000,100000000,10.0
2023-11-04,164111111,155000000,155000000,164111111,20.0
2023-11-06,152111111,122222222,122222222,152111111,20.0
2023-11-08,142222222,142222222,142222222,142222222,43.0
2023-11-12,146666665,111111111,118888888,136666666,121.0
2023-11-13,140000000,139999995,139999999,140000000,12.0
2023-11-14,149999999,133333333,133333333,149999999,80.0
2023-11-15,143333333,143333330,143333330,143333333,143.0
2023-11-18,155555550,144000000,144000000,155555550,110.0
2023-11-19,148000000,120000000,145000000,120000000,41.0
2023-11-20,155555550,142222222,142222222,155555550,94.0
2023-11-21,163333333,155555555,155555555,163333333,131.0
2023-11-22,140000000,140000000,140000000,140000000,3.0
2023-11-23,159555555,159555555,159555555,159555555,25.0
2023-11-24,157700000,157700000,157700000,157700000,1.0
2023-11-25,130000000,130000000,130000000,130000000,1.0
2023-11-27,156999999,144444444,156681364,144444444,20.0
2023-11-28,156999999,149999999,155555555,156999999,118.0
2023-11-29,159877777,159877777,159877777,159877777,150.0
2023-12-01,140000000,139999999,139999999,140000000,17.0
2023-12-02,147989999,146666666,147777776,146666666,143.0
2023-12-03,158888888,144444444,144444444,158888888,100.0
2023-12-04,177777777,166666666,166666666,174444444,3.0
2023-12-05,174444443,174444443,174444443,174444443,1.0
2023-12-06,144444444,129999999,144444444,133333333,22.0
2023-12-07,160000000,150000000,150000000,160000000,19.0
2023-12-08,155555555,139999999,139999999,155555555,5.0
2023-12-09,159999999,138888888,140000000,159999999,60.0
2023-12-11,155555555,151999998,151999998,155555555,64.0
2023-12-14,150000000,140000000,150000000,149999999,11.0
2023-12-15,159999999,159999988,159999988,159999999,31.0
2023-12-16,150000000,150000000,150000000,150000000,1.0
2023-12-17,142222222,142222222,142222222,142222222,165.0
2023-12-18,159999999,145000000,145555555,159999999,187.0
2023-12-19,155555554,155555554,155555554,155555554,1.0
2023-12-20,158888888,150000000,150000000,155555555,164.0
2023-12-21,165555555,144444444,144444444,165555555,196.0
2023-12-22,166000000,166000000,166000000,166000000,100.0
2023-12-24,164900000,164900000,164900000,164900000,141.0
2023-12-25,160000000,160000000,160000000,160000000,94.0
2023-12-26,150000000,123333333,123333333,150000000,18.0
2023-12-27,164880000,158888888,158888888,164444440,99.0
2023-12-28,155555555,155555500,155555500,155555555,10.0
2023-12-30,162222222,160000000,160000000,162222222,202.0
2024-01-01,209888800,178888800,205551111,196666666,1852.0
2024-01-02,206888888,194888888,196666666,197999991,721.0
2024-01-03,278888888,198888000,198888886,215549999,1032.0
2024-01-04,222220000,210000000,210000000,217777776,731.0
2024-01-05,244000000,211111111,217777700,218882200,720.0
2024-01-06,278888888,202222222,218882190,216999999,610.0
2024-01-07,269999999,213990000,216988888,213999996,1959.0
2024-01-08,219999999,210000000,213995555,217700000,1420.0
2024-01-09,222222211,200000000,216666655,212000000,604.0
2024-01-10,216665990,211999999,211999999,213333332,121.0
2024-01-11,213333332,212222222,212222222,213000000,17.0
2024-01-12,212000000,188888888,188888888,212000000,12.0
2024-01-13,211000000,205000000,211000000,205000000,4.0
2024-01-14,202777777,202777777,202777777,202777777,1.0
2024-01-15,204500000,204333300,204490000,204499999,57.0
2024-01-18,213000000,188888888,213000000,200000000,5.0
2024-01-20,204500000,200000000,200000000,204500000,40.0
2024-01-22,199999999,199999998,199999999,199999999,17.0
2024-01-23,204188888,204188888,204188888,204188888,3.0
2024-01-24,204188888,204000000,204188888,204000000,3.0
2024-01-25,204000000,203888888,204000000,204000000,10.0
2024-01-27,200000000,200000000,200000000,200000000,6.0
2024-01-28,199999999,199999999,199999999,199999999,2.0
2024-01-29,199999998,199999998,199999998,199999998,2.0
2024-01-30,220000000,199800000,199800000,216000000,544.0
2024-01-31,204799999,200000000,204799999,200000000,121.0
2024-02-02,220000000,220000000,220000000,220000000,10.0
2024-02-05,215999888,212222222,212222222,215999888,95.0
2024-02-06,266666660,214444444,214444444,266666660,49.0
2024-02-07,266666666,266666666,266666666,266666666,1.0
2024-02-08,265555555,265555555,265555555,265555555,1.0
2024-02-10,262222222,200000000,262222222,200000000,3.0
2024-02-13,266666666,266666666,266666666,266666666,5.0
2024-02-14,266633333,266633333,266633333,266633333,5.0
2024-02-15,266666665,244444444,253999999,260000000,1031.0
2024-02-17,299999999,280000000,280000000,299999999,234.0
2024-02-19,422222222,355555553,355555553,422222222,90.0
2024-02-22,422222111,398888888,422222111,398888888,3.0
2024-02-24,379888888,333333330,333333330,379888888,83.0
2024-02-25,347777777,347777777,347777777,347777777,1.0
2024-02-26,344443333,333333333,333333333,344443333,21.0
2024-02-27,333333333,322222222,333333333,322222222,13.0
2024-02-28,322222222,322222222,322222222,322222222,1.0
2024-02-29,355555555,311110000,311111111,355555555,95.0
2024-03-02,322220000,270000000,270000000,309999999,61.0
2024-03-03,320000000,299999999,320000000,299999999,98.0
2024-03-04,300000000,288888888,288888888,300000000,5.0
2024-03-05,322211111,299999999,311111111,311111111,93.0
2024-03-06,299999999,278888888,278888888,299999999,21.0
2024-03-07,299999999,288888888,288888888,299999999,10.0
2024-03-08,222222222,222222222,222222222,222222222,4.0
2024-03-09,260000000,260000000,260000000,260000000,2.0
2024-03-10,260000000,260000000,260000000,260000000,5.0
2024-03-11,333333333,260000000,260000000,329999998,214.0
2024-03-12,329999996,250000000,250000000,311111111,111.0
2024-03-13,328779999,307177777,328666666,307177777,125.0
2024-03-14,307177755,300000000,300000000,307177755,24.0
2024-03-15,329999998,307000000,307000000,307177755,51.0
2024-03-16,311111111,307177722,311111111,307177744,41.0
2024-03-17,322222222,300000000,322222220,300000000,30.0
2024-03-18,366666666,322111100,326599998,322111100,22.0
2024-03-19,322110000,322110000,322110000,322110000,1.0
2024-03-20,322111111,316666666,322111100,319188888,311.0
2024-03-21,321998886,317500000,321998886,317500000,155.0
2024-03-22,317330000,309996655,317330000,309996655,89.0
2024-03-23,321979999,298339999,306656666,298339999,110.0
2024-03-24,320216777,287887777,298222221,320216777,76.0
2024-03-25,276666665,256660000,256660000,276666000,223.0
2024-03-26,274444444,273899996,274444444,273899996,69.0
2024-03-27,272998877,272998877,272998877,272998877,2.0
2024-03-28,273000000,270000000,273000000,270000000,12.0
2024-03-29,270000000,270000000,270000000,270000000,1.0
2024-03-30,265555555,265500000,265500000,265555555,20.0
2024-04-01,269999999,255555555,255555555,269999999,106.0
2024-04-02,267999997,267999997,267999997,267999997,1.0
2024-04-03,260000000,260000000,260000000,260000000,10.0
2024-04-04,265999998,260000000,265999998,264000000,16.0
2024-04-05,263999999,200000000,263999999,200000000,40.0
2024-04-06,263000000,262888887,262888887,262999999,73.0
2024-04-07,275999999,275999999,275999999,275999999,2.0
2024-04-09,264443333,262222222,262222222,264443333,249.0
2024-04-11,255555555,254444444,254444444,255555555,2.0
2024-04-13,261111111,260888888,260999998,261111111,358.0
2024-04-14,264433332,264433332,264433332,264433332,1.0
2024-04-15,265000000,264433222,264433222,264444444,90.0
2024-04-16,266666666,260000000,260000000,266666666,5.0
2024-04-17,276655555,265454545,275955555,265454545,393.0
2024-04-18,298888877,276666666,276666666,298888877,11.0
2024-04-19,295444444,295444444,295444444,295444444,9.0
2024-04-20,288888888,285555555,285555555,288888888,20.0
2024-04-21,285555555,285555555,285555555,285555555,1.0
2024-04-22,270000000,270000000,270000000,270000000,1.0
2024-04-23,266660000,266660000,266660000,266660000,1.0
2024-04-24,281111111,260006666,279999999,260006666,9.0
2024-04-25,284444444,277777777,277777777,284444444,11.0
2024-04-27,255555555,255555555,255555555,255555555,1.0
2024-04-28,280000000,277777777,277777777,280000000,16.0
2024-05-05,253000000,222222221,248888888,249999998,1364.0
2024-05-06,256666666,249999999,250000000,254518000,2268.0
2024-05-07,289999990,252888888,252888888,279998888,940.8355090872526
2024-05-08,279998800,259999999,277777777,266666666,372.898916967509
2024-05-09,278888800,277000000,277000000,278888800,1034.0
2024-05-10,277999998,249999999,249999999,277999998,92.0
2024-05-11,266666666,250000000,250000000,266666666,179.0
2024-05-12,277777777,250000000,250000000,277777777,30.0
2024-05-13,277749999,277655555,277749999,277655555,33.0
2024-05-16,272000000,272000000,272000000,272000000,1.0
2024-05-20,258000000,250000000,250000000,258000000,89.0
2024-05-21,266666665,248888888,266666665,250000000,14.0
2024-05-23,258000000,199999999,250000000,199999999,3.0
2024-05-24,233333333,198888888,198888888,229999999,1200.0
2024-05-25,230000000,217999999,217999999,229990000,536.0
2024-05-26,244444444,222222222,230000000,222222222,34.0
2024-05-27,234567890,222222221,229999999,222222222,34.0
2024-05-28,253200000,238666666,238666666,244444333,6.0
2024-05-29,222222221,222222221,222222221,222222221,20.0
2024-05-30,222332222,222222220,222222220,222332222,5.0
2024-05-31,238777777,222199999,222199999,238777777,138.0
2024-06-01,238777777,238000000,238777777,238777777,31.0
2024-06-02,244443111,238870000,238870000,244443111,148.0
2024-06-03,222222222,222222222,222222222,222222222,10.0
2024-06-04,249999999,233000000,233000000,249999999,98.0
2024-06-05,233333333,222222222,222222222,233333333,12.0
2024-06-06,230000000,229999990,229999990,230000000,11.0
2024-06-07,299988888,240000000,249999998,276888887,343.0
2024-06-08,276888886,237777777,276888886,259999999,281.0
2024-06-09,259999999,250000000,250000000,259999999,7.0
2024-06-10,259887776,255555555,255555555,258888886,11.0
2024-06-11,259888888,258876777,258877777,258888888,37.0
2024-06-12,258777777,258333333,258777776,258432111,277.0
2024-06-13,258430000,258299999,258299999,258333321,176.0
2024-06-14,251111111,222222222,251111111,222222222,59.0
2024-06-15,257888888,249999777,249999777,257888888,184.0
2024-06-16,258888866,254321000,254321000,257999999,36.0
2024-06-17,257988887,257777777,257777777,257988887,35.0
2024-06-18,255555555,255555555,255555555,255555555,4.0
2024-06-19,255555555,255444444,255444444,255555555,125.0
2024-06-20,268000000,240000000,240000000,258000000,266.0
2024-06-21,260000000,254590910,254590910,260000000,22.0
2024-06-22,250000000,250000000,250000000,250000000,11.0
2024-06-23,261888888,250000000,250000000,261888888,54.0
2024-06-24,260000000,250000000,250000000,260000000,243.0
2024-06-25,261000000,260000000,260000000,261000000,51.0
2024-06-26,268800000,235555555,235555555,268800000,34.0
2024-06-28,268888777,260000000,268888777,260000000,52.0
2024-06-29,266655555,266650000,266655000,266650000,17.0
2024-06-30,266665550,249999999,249999999,266665550,162.0
2024-07-01,269988886,249999991,249999991,269988886,192.0
2024-07-02,276888886,270000000,276770000,276888685,412.0
2024-07-05,315299999,309999999,315288887,314989999,58.0
2024-07-06,329000000,299999999,299999999,314978898,1575.0
2024-07-07,322222222,300000000,313111111,314959000,176.0
2024-07-08,344999999,305555555,314656556,327999984,462.51219363474115
2024-07-09,333333333,299999988,327999983,319998888,602.0
2024-07-10,326887999,310000000,318999999,326887999,82.0
2024-07-11,326888000,322222222,326888000,326666663,159.0
2024-07-12,333333333,325555555,326666661,325999999,421.0
2024-07-13,326666600,319888888,325666665,319999999,51.0
2024-07-14,330000000,318888888,325555555,329999650,171.0
2024-07-15,344999999,328886666,329999668,333333333,398.6969696051423
2024-07-17,362222222,349999999,358499955,350000000,587.0
2024-07-18,358888888,340000000,344444443,357999986,796.0
2024-07-23,385554444,346666666,370888888,371000000,903.0
2024-07-24,377777777,349999988,370888888,355555555,305.0
2024-07-25,371111110,348999989,349999900,363333333,1204.0
2024-07-26,363999999,358888887,363999999,362222222,209.0
2024-07-27,356666666,320000000,356666666,332000000,128.0
2024-07-28,363600000,319000000,319000000,363505552,201.0
2024-07-29,385554444,311111111,363505532,329999900,128.0
2024-07-30,399999999,320000000,339999999,399999998,1451.0
2024-08-03,399999999,382988887,399999999,388882111,322.0
2024-08-04,399999969,365333333,388882110,369999999,523.0
2024-08-05,389999999,308888868,383332858,380888877,500.0
2024-08-06,391999900,377700000,377777663,387999999,832.0
2024-08-07,387999998,377777766,387999998,377777766,229.0
2024-08-09,358888888,311111111,311111111,358888888,37.0
2024-08-10,365550000,361000000,361000000,365550000,256.0
2024-08-11,366666666,333333333,333333333,366666666,16.0
2024-08-13,377666666,377666666,377666666,377666666,1.0
2024-08-14,377000000,377000000,377000000,377000000,1.0
2024-08-18,333333333,333333333,333333333,333333333,1.0
2024-08-19,366666666,366666666,366666666,366666666,11.0
2024-08-20,369998600,366666665,369998600,366666666,13.0
2024-08-21,422222222,369998800,369998800,398866776,535.0
2024-08-22,488888888,390000000,398866666,397777666,111.0
2024-08-23,397666666,380000000,397666666,380000000,40.0
2024-08-29,444444444,397899997,397999999,409888111,1541.0
2024-09-04,515555555,399988888,426111111,399990000,1267.0
2024-09-05,399888800,355555555,399888800,355555555,43.0
2024-09-06,377777777,376666666,376666666,377777777,2.0
2024-09-07,389999999,389996999,389996999,389999999,6.0
2024-09-08,455555555,390000000,390000000,455555555,78.0
2024-09-09,455444444,399999999,455444444,422222221,68.0
2024-09-10,398888885,388888888,388888888,392220000,92.0
2024-09-11,391111111,391111111,391111111,391111111,10.0
2024-09-13,390999999,390999999,390999999,390999999,10.0
2024-09-14,389999999,389999999,389999999,389999999,2.0
2024-09-19,398888885,388777755,388777770,398766666,77.0
2024-09-20,398766666,388888888,398766666,388888888,2.0
2024-09-21,455555555,350000000,398777776,455555555,18.0
2024-09-22,388888888,388888888,388888888,388888888,6.0
2024-09-23,399000000,370000000,389999999,399000000,36.0
2024-09-24,455555555,397777777,398888888,455444444,51.0
2024-09-26,441888888,433333333,433333333,441888888,3.0
2024-09-27,441111000,441111000,441111000,441111000,50.0
