2,High,Low,Open,Close,Volume
2023-09-16,99999996,98888888,98888888,99999995,8.0
2023-09-17,99999997,70000000,99990000,70000000,16.0
2023-09-18,99999999,98555555,98555555,99999999,11.0
2023-09-19,98855555,79000000,95555444,95555555,25.0
2023-09-20,111000000,98866666,98866666,111000000,5.0
2023-09-21,109989999,100199998,109989999,100199998,2.0
2023-09-22,99999998,97988888,99999998,97988888,2.0
2023-09-23,98000000,91000000,91000000,97889999,16.0
2023-09-24,95999999,88888888,95600000,93999990,23.0
2023-09-25,93333333,89999999,93333333,93222222,7.0
2023-09-26,93333333,88888888,88888888,93333333,3.0
2023-09-27,97999998,88888888,92222222,92222222,10.0
2023-09-28,92999987,88888888,92999986,91880000,7.0
2023-09-29,91888854,90980000,91888854,90989999,14.0
2023-09-30,90000000,89999999,90000000,89999999,3.0
2023-10-01,89999999,83332222,83332222,87999999,19.0
2023-10-02,85333333,78888888,80000000,82999999,37.0
2023-10-03,85555555,80000000,83111111,85433333,33.0
2023-10-04,85444443,78888888,79999999,84888887,53.0
2023-10-05,85443333,78888888,78888888,85443333,47.0
2023-10-06,112888888,82222222,83333333,99999999,113.0
2023-10-07,112777764,84300000,112777764,100000000,21.0
2023-10-08,111111111,89999999,108888888,100000000,40.0
2023-10-09,104999998,88888888,99999999,104111111,28.0
2023-10-10,100000000,87000000,100000000,99999988,14.0
2023-10-11,105000000,91888887,98888888,103900000,28.0
2023-10-12,102999999,95000000,98888888,102999999,21.0
2023-10-13,102999996,99999998,100000000,99999999,6.0
2023-10-14,102999996,89999998,99999888,102999995,19.0
2023-10-15,106999999,99999999,101111111,106999999,21.0
2023-10-16,112666666,109000000,112666655,110000000,6.0
2023-10-17,109999999,100000000,109990000,109999999,7.0
2023-10-18,118888888,99999999,100000000,118888888,27.0
2023-10-19,126888886,112888877,112888877,126888885,16.0
2023-10-20,100000000,100000000,100000000,100000000,1.0
2023-10-21,114000000,100000000,100000000,112888887,6.0
2023-10-22,128555555,88888887,111111111,110999998,10.0
2023-10-23,110000000,88888888,88888888,109999555,3.0
2023-10-24,111111111,99999999,108866666,101222222,31.0
2023-10-25,98999999,98999999,98999999,98999999,3.0
2023-10-26,102888888,97777777,98888888,102888888,17.0
2023-10-27,99999999,95000000,95000000,99999999,7.0
2023-10-28,99999999,95000000,95000000,99999999,2.0
2023-10-29,99999999,99997777,99999998,99998888,10.0
2023-10-30,98888888,77777777,77777777,96666666,5.0
2023-10-31,99999999,98888888,99998888,98888888,4.0
2023-11-01,102888888,98000000,98000000,102888888,8.0
2023-11-02,99999999,89999999,99999999,98000000,5.0
2023-11-03,99999999,99998888,99998888,99999999,2.0
2023-11-04,102888888,97777777,97777777,102888888,10.0
2023-11-05,102888888,99999999,102888888,100100000,30.0
2023-11-06,185000000,102888888,102888888,125000000,30.0
2023-11-07,177777776,108800000,108800000,177777776,2.0
2023-11-08,177776666,155555555,177776666,155555555,2.0
2023-11-09,177666666,169999999,176666666,169999999,3.0
2023-11-10,176665552,111111111,173333333,166666666,6.0
2023-11-11,176665553,155555555,165555555,174999999,6.0
2023-11-12,176555553,165000000,165000000,176555553,9.0
2023-11-13,176499998,91888888,175000000,176498998,4.0
2023-11-14,169999998,161111110,161111110,169999998,17.0
2023-11-15,176487776,133333333,176487776,170000000,6.0
2023-11-16,176487776,150000000,176487775,170000000,6.0
2023-11-17,155555555,150000000,150000000,155555555,6.0
2023-11-18,175999999,158888888,173333333,175999997,11.0
2023-11-19,176665555,170000000,176500000,175888888,6.0
2023-11-20,175999997,155555555,175999997,155555555,4.0
2023-11-21,166666666,166555555,166666666,166555555,6.0
2023-11-23,169999997,169999997,169999997,169999997,4.0
2023-11-24,163333333,111111111,111111111,160000000,5.0
2023-11-25,162222222,88888887,88888887,162222222,6.0
2023-11-26,161111111,159999997,161111111,159999997,2.0
2023-11-27,169999997,159999999,159999999,169999997,9.0
2023-11-28,168999999,163330000,163330000,166666666,10.0
2023-11-30,155555555,155555555,155555555,155555555,1.0
2023-12-01,155555555,155555555,155555555,155555555,1.0
2023-12-02,131111111,131111111,131111111,131111111,1.0
2023-12-03,132222222,128887777,128887777,132222222,3.0
2023-12-04,131110000,99666666,99666666,122222222,9.0
2023-12-05,144440000,100000000,100000000,144440000,5.0
2023-12-06,142222222,122222221,122222221,142222222,3.0
2023-12-07,100000000,100000000,100000000,100000000,1.0
2023-12-08,127777777,111111110,125555555,111111110,3.0
2023-12-09,90000000,90000000,90000000,90000000,2.0
2023-12-10,127777777,111100000,111100000,127777777,6.0
2023-12-11,99999999,99999997,99999997,99999999,2.0
2023-12-14,93333333,93333333,93333333,93333333,3.0
2023-12-15,79999999,70000000,70000000,79999999,8.0
2023-12-16,69999999,69999888,69999999,69999999,11.0
2023-12-17,78888888,73999999,73999999,78888888,15.0
2023-12-18,84444444,79999999,79999999,84444444,6.0
2023-12-20,84444444,66666666,75000000,66666666,14.0
2023-12-22,77777777,77000000,77000000,77777777,2.0
2023-12-24,77777777,66666666,76999999,66666666,14.0
2023-12-25,68888888,68888888,68888888,68888888,1.0
2023-12-27,68888888,68888888,68888888,68888888,1.0
2023-12-28,59999999,59999999,59999999,59999999,1.0
2023-12-29,68800000,66666666,68800000,66666666,2.0
2023-12-30,72222222,66666665,72222222,66666665,8.0
2023-12-31,80000000,56999999,56999999,77777777,34.0
2024-01-01,77777777,40000000,40000000,55555555,51.0
2024-01-02,61999999,30000000,48888888,50000000,60.0
2024-01-03,61000000,26666666,32222222,54444444,73.0
2024-01-04,62222222,25000000,25000000,62222222,50.0
2024-01-05,58888888,45555555,45555555,58888888,64.0
2024-01-06,59999999,52222222,58860000,54444444,54.0
2024-01-07,88888888,49999999,49999999,69999999,184.0
2024-01-08,76666666,47999998,76666666,69999999,53.0
2024-01-09,69955555,59999988,59999999,59999999,11.0
2024-01-10,60000000,49998888,55555555,51888888,21.0
2024-01-11,58744444,44444444,54545454,44444444,24.0
2024-01-12,58888888,49999999,49999999,58777777,41.0
2024-01-13,58666666,49998888,57555550,49999999,22.0
2024-01-14,55550000,49888888,55550000,49999999,16.0
2024-01-15,47000000,44555553,44555553,46666666,27.0
