2,High,Low,Open,Close,Volume
2023-07-05,24088888888,24088888888,24088888888,24088888888,1.0
2023-07-07,23000000000,22222222222,22222222222,23000000000,2.0
2023-07-09,22999999999,22999999999,22999999999,22999999999,1.0
2023-07-10,23000000000,23000000000,23000000000,23000000000,1.0
2023-07-14,22777777777,22666666666,22666666666,22777777777,2.0
2023-07-16,22850000000,22850000000,22850000000,22850000000,1.0
2023-07-19,22311111111,22311111111,22311111111,22311111111,1.0
2023-07-20,21666666666,21666666666,21666666666,21666666666,1.0
2023-07-21,21999999999,21999999999,21999999999,21999999999,2.0
2023-07-22,21999999999,21666666666,21700000000,21999999999,5.0
2023-07-23,22050000000,21900000000,21900000000,22050000000,2.0
2023-07-24,22855555109,22222222222,22222222222,22855555109,3.0
2023-07-26,23333333333,23333333333,23333333333,23333333333,1.0
2023-08-02,20999999999,20999999999,20999999999,20999999999,1.0
2023-08-03,20999999999,20999999999,20999999999,20999999999,1.0
2023-08-04,21988888888,21988888888,21988888888,21988888888,1.0
2023-08-05,22000000000,22000000000,22000000000,22000000000,1.0
2023-08-10,24544444444,24544444444,24544444444,24544444444,1.0
2023-08-11,24800000000,24800000000,24800000000,24800000000,1.0
2023-08-16,24899999999,24888888888,24888888888,24899999999,2.0
2023-08-18,28000000000,25000000000,25000000000,28000000000,2.0
2023-08-19,24444444444,24444444444,24444444444,24444444444,1.0
2023-08-20,25999999999,25000000000,25000000000,25999999999,2.0
2023-08-21,26666666666,26666666666,26666666666,26666666666,1.0
2023-08-24,25999999999,25999999999,25999999999,25999999999,1.0
2023-08-25,23888888888,23888888888,23888888888,23888888888,1.0
2023-08-26,24888888888,24888888888,24888888888,24888888888,1.0
2023-08-28,25777777777,25777777777,25777777777,25777777777,1.0
2023-08-31,25800000000,25777777777,25777777777,25800000000,2.0
2023-09-03,25811111111,25800000000,25800000000,25811111111,2.0
2023-09-05,25811111111,25600000000,25800000000,25600000000,3.0
2023-09-07,25788888888,25788888888,25788888888,25788888888,1.0
2023-09-08,26666666666,25799999999,25799999999,26666666666,3.0
2023-09-09,26999999999,26999999999,26999999999,26999999999,1.0
2023-09-11,26000000000,26000000000,26000000000,26000000000,1.0
2023-09-15,29799999999,24900000000,24900000000,29799999999,2.0
2023-09-17,29540000000,29540000000,29540000000,29540000000,1.0
2023-09-20,29399999999,29000000000,29000000000,29399999999,2.0
2023-09-21,25000000000,25000000000,25000000000,25000000000,1.0
2023-09-22,23000000000,23000000000,23000000000,23000000000,1.0
2023-09-26,27777777777,27777777777,27777777777,27777777777,1.0
2023-09-29,27877777777,27877777777,27877777777,27877777777,1.0
2023-10-07,27443333333,27422222222,27443333333,27422222222,2.0
2023-10-09,27199999999,27199999999,27199999999,27199999999,1.0
2023-10-10,27766666666,27444333333,27444333333,27766666666,2.0
2023-10-11,27777777776,27777777776,27777777776,27777777776,1.0
2023-10-14,29100000000,27900000000,27900000000,29100000000,3.0
2023-10-20,29588887777,29588887777,29588887777,29588887777,1.0
2023-10-21,28444444443,28444444443,28444444443,28444444443,1.0
2023-10-23,29488888888,28555555555,28555555555,29488888888,3.0
2023-10-24,28444444444,28444444444,28444444444,28444444444,1.0
2023-11-01,29000000000,29000000000,29000000000,29000000000,1.0
2023-11-02,29199999999,28000000000,28000000000,29199999999,2.0
2023-11-08,30777777777,29988888888,29988888888,30777777777,2.0
2023-11-13,29950000000,29950000000,29950000000,29950000000,1.0
2023-11-14,29999999999,29999999999,29999999999,29999999999,1.0
2023-11-15,30600000000,30600000000,30600000000,30600000000,1.0
2023-11-16,30777777776,30303030303,30303030303,30777777776,4.0
2023-11-18,30799999999,30799999999,30799999999,30799999999,1.0
2023-11-19,29999999999,29999999999,29999999999,29999999999,1.0
2023-11-20,30000000000,30000000000,30000000000,30000000000,1.0
2023-11-23,30666666666,30666666666,30666666666,30666666666,1.0
2023-11-24,28000000000,28000000000,28000000000,28000000000,1.0
2023-11-27,29999999999,29999999998,29999999998,29999999999,2.0
2023-11-28,29555555555,29555555555,29555555555,29555555555,1.0
2023-11-30,29999998888,29999998888,29999998888,29999998888,1.0
2023-12-01,32499999999,32499999999,32499999999,32499999999,1.0
2023-12-05,32499999999,32488888888,32488888888,32499999999,2.0
2023-12-06,32999999900,32777700000,32777700000,32999999900,3.0
2023-12-09,33888888888,33777777777,33800000000,33888888888,3.0
2023-12-10,34499999999,34499999999,34499999999,34499999999,1.0
2023-12-18,33999998888,33999998888,33999998888,33999998888,1.0
2023-12-20,33999999990,33999999990,33999999990,33999999990,1.0
2023-12-21,33222222222,33111111111,33111111111,33222222222,2.0
2023-12-22,32500000000,32500000000,32500000000,32500000000,1.0
2023-12-25,33400000000,33400000000,33400000000,33400000000,1.0
2023-12-27,33500000000,33500000000,33500000000,33500000000,1.0
2023-12-30,32500000000,32500000000,32500000000,32500000000,1.0
2024-01-03,34966666666,34966666666,34966666666,34966666666,1.0
2024-01-05,33333333333,30000000000,30000000000,33333333333,3.0
2024-01-06,35999999999,35999999999,35999999999,35999999999,1.0
2024-01-08,35800000000,35800000000,35800000000,35800000000,1.0
2024-01-09,35800000000,35800000000,35800000000,35800000000,1.0
2024-01-13,35600000000,35600000000,35600000000,35600000000,1.0
2024-01-14,35640000000,35640000000,35640000000,35640000000,1.0
2024-01-17,35599999999,35599999998,35599999998,35599999999,2.0
2024-01-18,35420000000,35420000000,35420000000,35420000000,1.0
2024-01-22,33333333333,32700000000,32988888888,32700000000,3.0
2024-01-24,33000000000,33000000000,33000000000,33000000000,1.0
2024-01-25,33333333332,33333333332,33333333332,33333333332,1.0
2024-01-28,34666666665,34666666665,34666666665,34666666665,1.0
2024-01-31,35888888888,33800000000,33800000000,35888888888,4.0
2024-02-03,36988888888,36988888888,36988888888,36988888888,1.0
2024-02-04,36500000000,36500000000,36500000000,36500000000,1.0
2024-02-05,36666666660,36500000000,36500000000,36666666660,2.0
2024-02-06,38888888888,37699999999,37699999999,38888888888,3.0
2024-02-07,38888888888,38888888888,38888888888,38888888888,1.0
2024-02-13,42222222222,38800000000,38800000000,42222222222,4.0
2024-02-15,43333333333,42999999999,42999999999,43333333333,2.0
2024-02-17,48888888888,45555555555,45555555555,48888888888,3.0
2024-02-19,58888888888,51111111111,51111111111,58888888888,2.0
2024-02-22,69999999999,69999999999,69999999999,69999999999,1.0
2024-02-25,56666666666,56666666666,56666666666,56666666666,1.0
2024-02-29,61000000001,61000000001,61000000001,61000000001,1.0
2024-03-10,45888888888,45888888888,45888888888,45888888888,1.0
2024-03-11,39999999999,39999999999,39999999999,39999999999,1.0
2024-03-13,42000000000,42000000000,42000000000,42000000000,1.0
2024-03-15,40000000000,40000000000,40000000000,40000000000,1.0
2024-03-16,41999999999,41999999999,41999999999,41999999999,1.0
2024-03-18,42499999999,42466666666,42466666666,42499999999,2.0
2024-03-19,41900000000,41900000000,41900000000,41900000000,1.0
2024-03-25,36666666666,35555555555,35555555555,36666666666,3.0
2024-03-27,40100000000,40100000000,40100000000,40100000000,1.0
2024-03-30,43000000000,43000000000,43000000000,43000000000,1.0
2024-04-02,42999999999,42999999999,42999999999,42999999999,1.0
2024-04-03,43500000000,43500000000,43500000000,43500000000,1.0
2024-04-04,43499999999,43499999999,43499999999,43499999999,1.0
2024-04-07,40999999999,39999999999,39999999999,40999999999,4.0
2024-04-09,41500000000,41500000000,41500000000,41500000000,1.0
2024-04-11,43888886666,43888886666,43888886666,43888886666,1.0
2024-04-12,42499999999,42499999999,42499999999,42499999999,1.0
2024-04-13,42500000000,42400000000,42400000000,42500000000,3.0
2024-04-16,39999999999,39999999999,39999999999,39999999999,1.0
2024-04-17,42222222222,42222222222,42222222222,42222222222,1.0
2024-04-21,41888888888,41888888888,41888888888,41888888888,1.0
2024-04-22,39999999996,39999999996,39999999996,39999999996,1.0
2024-04-23,41500000000,40999999999,40999999999,41500000000,2.0
2024-04-24,43000000000,43000000000,43000000000,43000000000,1.0
2024-04-25,43888888888,43000000000,43000000000,43888888888,2.0
2024-04-26,43022222221,43022222221,43022222221,43022222221,1.0
2024-05-02,42111111111,42111111111,42111111111,42111111111,1.0
2024-05-03,40777777777,40777777777,40777777777,40777777777,1.0
2024-05-04,40788888888,40780000000,40780000000,40788888888,2.0
2024-05-05,41000000000,41000000000,41000000000,41000000000,1.0
2024-05-07,41555555555,41555555555,41555555555,41555555555,1.0
2024-05-08,41990000000,41990000000,41990000000,41990000000,1.0
2024-05-09,41888888888,41888888888,41888888888,41888888888,1.0
2024-05-10,41990000000,41990000000,41990000000,41990000000,1.0
2024-05-11,41900000000,41900000000,41900000000,41900000000,1.0
2024-05-14,41777777776,41777777776,41777777776,41777777776,1.0
2024-05-15,39999999999,39999999999,39999999999,39999999999,1.0
2024-05-17,41700000000,41700000000,41700000000,41700000000,1.0
2024-05-21,39888888888,39888888888,39888888888,39888888888,2.0
2024-05-22,40555555555,40500000000,40500000000,40555555555,2.0
2024-05-25,39555555555,39555555555,39555555555,39555555555,1.0
2024-05-29,38000000000,38000000000,38000000000,38000000000,1.0
2024-05-30,37444444444,37444444444,37444444444,37444444444,1.0
2024-06-01,37111111111,37111111111,37111111111,37111111111,1.0
2024-06-02,37500000000,37500000000,37500000000,37500000000,1.0
2024-06-03,37544444444,37500000000,37500000000,37544444444,2.0
2024-06-08,37555550000,37555550000,37555550000,37555550000,1.0
2024-06-09,37000000000,37000000000,37000000000,37000000000,1.0
2024-06-16,36866666665,36666666666,36666666666,36866666665,3.0
2024-06-17,37386666666,37386666666,37386666666,37386666666,1.0
2024-06-18,38888888888,38888888888,38888888888,38888888888,1.0
2024-06-19,39999998888,38888888888,38888888888,39999998888,2.0
2024-06-28,39966666666,39966666666,39966666666,39966666666,1.0
2024-06-29,39766666666,38888888888,38888888888,39766666666,2.0
2024-07-01,39500555555,39500555555,39500555555,39500555555,1.0
2024-07-03,39999999999,39500000000,39500000000,39999999999,2.0
2024-07-06,39999999999,39999999999,39999999999,39999999999,1.0
2024-07-09,40000000000,40000000000,40000000000,40000000000,1.0
2024-07-11,39999999999,39999999999,39999999999,39999999999,1.0
2024-07-12,35555555555,35555555555,35555555555,35555555555,1.0
2024-07-13,34955555555,34955555555,34955555555,34955555555,1.0
2024-07-14,39999999999,34999999996,34999999996,39999999999,2.0
2024-07-18,40444444444,40444444444,40444444444,40444444444,1.0
2024-07-22,35999999999,35999999999,35999999999,35999999999,1.0
2024-07-23,36000000000,36000000000,36000000000,36000000000,1.0
2024-07-24,39555555555,39555555555,39555555555,39555555555,1.0
2024-07-25,39877777777,38000000000,38000000000,39877777777,2.0
2024-07-27,39810000000,39810000000,39810000000,39810000000,1.0
2024-07-30,39744444444,39633222222,39744444444,39633222222,2.0
2024-07-31,39633333333,39633333333,39633333333,39633333333,1.0
2024-08-01,38888888888,38888888888,38888888888,38888888888,1.0
2024-08-02,38999999999,38999999999,38999999999,38999999999,1.0
2024-08-03,38555555555,38555555555,38555555555,38555555555,1.0
2024-08-04,36666666666,28111111111,28111111111,36666666666,2.0
2024-08-05,38199999999,34444444444,38199999999,34444444444,2.0
2024-08-07,38199999999,38000000000,38000000000,38199999999,2.0
2024-08-08,38000000000,38000000000,38000000000,38000000000,1.0
2024-08-09,36999999999,36999999999,36999999999,36999999999,1.0
2024-08-10,34455555555,34455555555,34455555555,34455555555,1.0
2024-08-12,36189999999,36180000000,36180000000,36189999999,2.0
2024-08-13,35989999999,35989999999,35989999999,35989999999,1.0
2024-08-14,35660000000,35660000000,35660000000,35660000000,1.0
2024-08-15,35555555555,35555555555,35555555555,35555555555,1.0
2024-08-16,31000000000,31000000000,31000000000,31000000000,2.0
2024-08-17,30200000000,30200000000,30200000000,30200000000,1.0
