2,High,Low,Open,Close,Volume
2023-08-11,55550000,43000000,53222200,49999999,88.0
2023-08-12,54979999,33333333,44400000,43999998,110.0
2023-08-13,52222221,41110000,48888888,46666666,99.0
2023-08-14,59999999,43333333,50288888,43333333,100.0
2023-08-15,60000000,42000000,45000000,59999999,99.0
2023-08-16,77777777,38888888,52999999,42999999,99.0
2023-08-17,99999999,46666666,54888888,84333332,99.0
2023-08-18,233333333,44444444,76666666,48888888,99.0
2023-08-19,59999999,5656997,56666665,56666666,86.0
2023-08-20,69999999,49000000,49999979,58000000,101.0
2023-08-21,77777770,49777777,58431111,53333333,100.0
2023-08-22,61111110,49999999,52877777,54440000,95.0
2023-08-23,55555555,35990000,51999999,38888888,99.0
2023-08-24,51111111,43888886,49999999,46666666,99.0
2023-08-25,49990000,38888888,39990000,49990000,94.0
2023-08-26,55555555,40888888,48888888,45877777,104.0
2023-08-27,50000000,35999999,45555555,42000000,99.0
2023-08-28,50333333,39980000,48499999,42222222,100.0
2023-08-29,74999999,41999999,49999998,74999999,99.0
2023-08-30,98888888,40000000,83333332,45555555,113.0
2023-08-31,55555555,40000000,50000000,40000000,98.0
2023-09-03,50000000,42222222,49998888,46666666,99.0
2023-09-04,52888888,44880000,45000000,45555550,100.0
2023-09-05,52222220,44444444,49666666,46666666,108.0
2023-09-06,46555555,38888888,44444443,42222222,50.0
2023-09-07,56888888,36666666,56666666,39000000,99.0
2023-09-08,47999999,36666666,46988888,44333333,99.0
2023-09-09,46666666,34999999,35555555,44000000,99.0
2023-09-10,45555555,37777777,42222222,41999999,124.0
2023-09-11,42000000,38880000,40000000,41000000,74.0
2023-09-12,40999999,36666666,37988888,40999999,99.0
2023-09-13,55555555,39999999,51111110,40000000,97.08108107319211
2023-09-14,41999999,33322222,41999999,40999999,99.0
2023-09-16,40000000,35555555,35555555,39599999,136.0
2023-09-17,40404004,33333333,38887776,36666666,99.0
2023-09-18,38888888,37777777,37777778,38886000,99.0
2023-09-19,42222222,34999999,40314555,40000000,99.0
2023-09-20,39999911,35500000,37877777,35500000,84.0
2023-09-21,34800000,28000000,34800000,33333333,98.0
2023-09-22,38888888,33333333,33333333,35555555,99.0
2023-09-23,45555555,39999998,40000000,45555555,96.0
2023-09-24,38888888,34288888,35000000,37000000,100.0
2023-09-25,69999999,39999999,49999996,69999999,99.0
2023-09-26,59888888,38000000,43333333,43212312,99.0
2023-09-27,41111111,35000000,38888888,41000000,99.0
2023-09-28,45000000,29600000,38000000,38000000,101.0
2023-09-29,34999999,28888888,34890000,32000000,99.0
2023-09-30,35999999,24666666,34444444,31888000,97.0
2023-10-01,37999990,29999999,31999999,34990000,106.0
2023-10-02,34888888,27988888,33000000,30000000,92.0
2023-10-03,35555555,29999997,30000000,35555554,111.0
2023-10-04,38666666,28887777,30000000,28888888,89.0
2023-10-05,38888888,26666666,29860000,30000000,109.0
2023-10-06,34444443,28888888,32110000,30000000,99.0
2023-10-07,35000000,28888888,33222220,29999999,99.0
2023-10-08,35000000,27999999,33545555,29999999,99.0
2023-10-09,36666666,30000000,35555454,33333333,100.0
2023-10-10,40666666,33333333,38888888,33333333,99.0
2023-10-11,50000000,31111110,47778889,34500000,99.0
2023-10-12,38000000,26666666,35000000,34444444,100.0
2023-10-13,34000000,29750000,29750000,33870000,99.0
2023-10-14,35000000,29899999,32222222,31111111,100.0
2023-10-15,49998888,29999999,46000000,35555555,99.0
2023-10-16,59999999,34444444,48888888,39999999,100.0
2023-10-17,42222222,30000000,38800000,36665555,99.0
2023-10-18,55555555,34999988,37777777,37888888,100.0
2023-10-19,43333333,29999998,29999998,43333333,99.0
2023-10-20,43333333,33000000,39000000,41009999,99.0
2023-10-21,60000000,34000000,49999999,36000000,99.0
2023-10-22,75555555,35555555,54444444,35555555,99.0
2023-10-23,56677888,35000000,56677788,36666666,99.0
2023-10-24,39999999,34991111,39000000,39333333,99.0
2023-10-25,45000000,36999999,38888888,37777777,97.05405404879474
2023-10-26,47766554,38880000,46000000,47766554,99.0
2023-10-27,44444443,33988888,35444444,33990000,99.0
2023-10-28,39999999,33333333,38877777,35000000,99.0
2023-10-29,40000000,30000000,39000000,31111100,99.0
2023-10-30,38888888,33331110,37777777,34999999,99.0
2023-10-31,59999999,39999999,49988888,58000000,100.0
2023-11-03,39999998,29980000,35880000,33333333,103.0
2023-11-04,50000000,34422222,34422222,40000000,99.0
2023-11-05,40000000,34399999,38000000,36800000,101.0
2023-11-06,57777777,38888888,51111111,38888888,99.0
2023-11-07,70000000,41111111,59999998,47777777,100.0
2023-11-08,39999999,34444444,37777777,34444444,100.0
2023-11-09,38822222,31000000,35530000,32222220,99.0
2023-11-10,38000000,33333333,37777777,35555555,99.0
2023-11-11,38888888,33322222,35000000,35999999,99.0
2023-11-12,38870000,33333333,34444444,35000000,99.0
2023-11-13,39998888,31000000,38888888,37000000,114.0
2023-11-14,39650000,33333333,34444444,34666666,84.0
2023-11-15,66666660,36999999,46666666,43333333,101.0
2023-11-16,34999999,30000000,31988888,33333333,99.0
2023-11-17,38000000,30000000,31887777,37777777,99.0
2023-11-18,41111111,32111111,34444444,33333333,99.0
2023-11-19,36000000,31111111,33333333,33200000,99.0
2023-11-21,49555555,36000000,38888888,49555555,99.0
2023-11-22,41999998,34444444,40000000,36000000,97.05405404879474
2023-11-23,35499999,28000000,35000000,35000000,99.0
2023-11-27,49997897,35549999,48797877,40000000,102.0
2023-11-28,38888888,29989999,38888888,35000000,99.0
2023-11-30,35555555,23333333,35555000,29999999,99.0
2023-12-03,35555555,31111111,33300000,33333333,99.0
2023-12-04,35999999,31000000,35000000,34888887,100.0
2023-12-05,35000000,30000000,33333333,34000000,103.0
2023-12-06,35000000,29900000,33999998,35000000,99.0
2023-12-07,39999999,32000000,34000000,33333333,99.0
2023-12-08,44444444,33333333,35555555,33333333,99.0
2023-12-09,43333333,29999888,39000000,36665555,99.0
2023-12-10,38888888,33333222,35555555,35000000,100.0
2023-12-11,40000000,33888888,35990000,34999999,103.0
2023-12-12,39444444,34444444,34888888,36355555,96.0
2023-12-13,35888888,29544444,35670000,35666666,99.0
2023-12-14,34000000,29886666,32111111,30850000,99.0
2023-12-15,35000000,31111111,31888888,33330000,99.0
2023-12-16,36000000,30880000,32000000,31111111,99.0
2023-12-17,35555555,30000000,33333333,31888888,99.0
2023-12-18,48888888,35555555,38888888,38888885,100.02702702439737
2023-12-19,35555555,31800000,33330000,32999999,99.0
2023-12-20,43999988,31111111,39999998,33980000,99.0
2023-12-21,33333333,28000000,31111111,33333333,99.0
2023-12-23,43000000,29999999,29999999,33333333,99.0
2023-12-24,58888888,33000000,39999999,33333333,98.02702702439737
2023-12-25,46666666,31111111,35999999,32999999,129.05405404879474
2023-12-26,35111111,30000000,33333333,30000000,67.0
2023-12-27,40000000,32000000,37777777,40000000,99.0
2023-12-28,38000000,31888888,37777777,33333333,99.0
2023-12-30,35555555,31000000,35488888,33000000,100.0
2023-12-31,38666666,31000000,35555555,34999999,101.0
2024-01-01,39999999,32000000,38888888,39999999,103.0
2024-01-02,38888888,29999999,34000000,38888888,102.0
2024-01-03,39999999,33333333,38555555,35555549,100.0
2024-01-04,35999999,31111111,35555555,35555000,100.0
2024-01-05,42222222,33000000,39999999,34990000,101.0
2024-01-06,39000000,33333333,38888888,34999999,99.0
2024-01-07,44444444,35555544,42222221,37700000,100.0
2024-01-08,44444444,33333333,39999999,34400000,100.0
2024-01-09,53321322,38888888,44444444,39999999,100.0
2024-01-10,48888888,39999999,46666665,46499999,101.0
2024-01-11,55000000,36499999,49999999,51111111,102.0
2024-01-12,69999999,34888888,55555554,34999999,105.0
2024-01-13,40000000,35555555,39999999,40000000,100.0
2024-01-14,69999998,32222222,39999999,34433333,105.0
2024-01-15,41111111,33333333,38888800,33333333,99.0
2024-01-16,38888888,30000000,32000000,35999999,105.0
2024-01-17,35000000,28888888,34000000,32000000,121.0
2024-01-18,30880000,23322222,28755555,30000000,101.0
2024-01-20,31000000,24999999,28888888,29999998,103.0
2024-01-21,28888888,25888888,26000000,27777777,107.0
2024-01-22,31000000,28888888,30000000,29899993,105.0
2024-01-23,33333333,26444444,32000000,33333333,103.0
2024-01-24,30000000,24333333,29999999,26666666,104.0
2024-01-25,38888888,24000000,24888888,26888888,144.0
2024-01-26,35000000,25555555,34999999,28880000,82.0
2024-01-27,29988888,25500000,25555555,28455555,46.0
2024-01-28,35000000,24999999,27499999,29866666,104.0
2024-01-29,29999999,27000000,28000000,29999999,109.0
2024-01-30,28888888,25000000,25500000,28888888,102.0
2024-01-31,29998888,25000000,28888881,28888888,107.0
2024-02-02,33333333,25888887,26888888,28222221,114.0
2024-02-03,28000000,25000000,26666666,26555555,112.0
2024-02-04,32888888,26999999,32222222,31110000,116.0
2024-02-06,38886787,26999999,33333333,38886787,113.0
2024-02-07,30999999,25000000,29488888,30999999,112.0
2024-02-08,28881110,22222222,28000000,22222222,120.0
2024-02-09,43312312,27777777,36166666,33333333,108.0
2024-02-10,40000000,28777777,38877777,30800000,113.0
2024-02-11,39998888,24444444,30000000,33332222,108.0
2024-02-12,51999999,29999999,36000000,42997898,105.05405404879474
2024-02-13,32222222,26000000,31999999,26000000,38.0
2024-02-14,33333333,28888888,29000000,33333333,74.0
2024-02-15,31111111,22999999,27999999,29888888,212.0
2024-02-16,31111111,25555555,25999999,29999999,94.0
2024-02-17,33333333,27000000,31188800,32000000,120.0
2024-02-18,47888888,30999999,38888000,47777717,157.0
2024-02-19,55555555,29999990,31111111,42222222,122.0
2024-02-20,58888888,29999000,55554234,49999999,112.0
2024-02-21,129999999,35555555,111111111,100000000,110.0
2024-02-22,105444444,40000000,40000000,99888888,116.0
2024-02-23,109988888,55555555,99999999,99999999,116.0
2024-02-24,108888888,95555555,103333333,99999999,111.0
2024-02-25,133333333,111111111,119999999,122000000,104.0
2024-02-26,77777771,42222222,45555555,49999999,113.0
2024-02-27,59999999,41990000,49999999,51111111,102.0
2024-02-28,51000000,35000000,37666666,41111111,112.0
2024-02-29,47888880,31111111,32999999,42222222,110.0
2024-03-01,45444444,33998888,34999998,43333330,116.0
2024-03-03,35000000,29999990,33333333,31111111,106.0
2024-03-04,39999999,31000000,39999999,34000000,105.0
2024-03-05,59999999,36666666,58888800,55555554,113.0
2024-03-06,37777777,30000000,32999999,33333333,112.0
2024-03-07,31000000,25000000,29911111,29988888,111.0
2024-03-08,30888888,26555555,28879999,30888888,113.0
2024-03-09,32555555,22222222,32228888,27777777,133.0
2024-03-10,33333332,25000000,25555555,31000000,112.0
2024-03-11,32222222,28333333,32222222,31000000,102.0
2024-03-12,34000000,28877777,31111111,31887777,107.0
2024-03-13,31000000,23000000,24000000,26999999,122.0
2024-03-14,25444444,19000000,23333330,22211110,114.0
2024-03-15,25000000,17777777,21000000,22000000,105.0
2024-03-16,29999989,27000000,27500000,27900000,118.0
2024-03-17,24444444,18888888,20555554,24444444,105.0
2024-03-18,25555555,12900000,25555554,24222200,111.0
2024-03-19,26888888,19900000,24444444,21500000,111.0
2024-03-20,28888888,19000000,26666666,24000000,118.0
2024-03-21,26544444,19000000,25555555,25000000,109.0
2024-03-22,24000000,20000000,20744444,22222222,60.0
2024-03-23,24444444,22200000,22222222,22200000,41.0
2024-03-24,29999989,20000000,27000000,29999989,109.0
2024-03-25,25998888,19999980,24333332,23333333,111.0
2024-03-27,28888888,22222222,23900000,24888888,111.0
2024-03-28,23333333,18880000,21888888,23333331,110.0
2024-03-29,24999998,18555555,23333331,23000000,104.0
2024-03-30,29999999,22220000,29999899,23333333,107.0
2024-03-31,27777777,22000000,25550000,23000000,113.0
2024-04-01,23000000,18888888,19999998,23000000,115.0
2024-04-02,23333333,19990000,22500000,23333333,107.0
2024-04-03,28756756,24888888,27766666,25000000,24.0
2024-04-04,26800000,19000000,22222222,20000000,188.0
