2,High,Low,Open,Close,Volume
2023-07-21,138000000,111111111,111111111,128888888,41.0
2023-07-22,129999999,118888888,118888888,129999999,36.0
2023-07-23,218765432,122222222,129998888,195555555,50.0
2023-07-24,122222222,120000000,122222222,120000000,3.0
2023-07-25,168222222,111111111,111111111,131143379,38.0
2023-07-26,122222222,100000000,100000000,111111111,13.0
2023-07-27,148888888,111111111,121111110,120000000,45.0
2023-07-28,138877777,120000000,120000000,138877777,56.0
2023-07-29,127777777,118000000,118000000,127777777,49.0
2023-07-30,133333333,99999999,128880000,131000000,47.0
2023-07-31,135555555,122222222,132222221,130000000,27.0
2023-08-01,138855555,99999999,134999999,135555555,63.0
2023-08-03,152222222,120888888,122222222,144444444,81.0
2023-08-04,191888888,128888888,166666666,171111111,51.0
2023-08-05,173888888,122222222,155555555,173888888,75.0
2023-08-06,180000000,155000000,173555555,175555555,59.0
2023-08-07,176659999,149999999,149999999,175900000,28.0
2023-08-08,174565555,155555554,159000000,166666666,28.0
2023-08-09,177111111,149888888,173300000,166666666,51.0
2023-08-10,855555555,159999999,173333333,315555555,98.0
2023-08-11,224999990,171111111,180000000,199999998,35.0
2023-08-12,177777777,168888888,177777777,169999999,4.0
2023-08-13,183999999,165555555,178885555,183999999,65.0
2023-08-14,188666666,170000000,183999999,188665999,70.0
2023-08-15,188000000,170000000,175555555,180000000,27.0
2023-08-16,188888888,166666666,177777777,188888888,39.0
2023-08-17,188888885,177700000,177700000,188888444,30.0
2023-08-18,188888888,179999999,179999999,188888888,24.0
2023-08-19,197995555,188888880,188888880,188888888,32.0
2023-08-20,377777777,176660000,198000000,229999998,190.0
2023-08-21,232222222,209999999,209999999,232222222,50.0
2023-08-22,246600000,199999999,200000000,245555555,55.0
2023-08-23,246655555,188888887,188888887,220000000,13.0
2023-08-24,277777777,233333333,233333333,277777777,30.0
2023-08-25,248000000,233333333,233333333,238888888,54.0
2023-08-26,247777776,233332222,245500000,233333332,50.0
2023-08-27,255555555,230000000,230000000,244444444,45.0
2023-08-28,242222222,222222222,222222222,242222222,6.0
2023-08-29,298666664,243000000,243000000,298666664,40.0
2023-08-30,317777776,265555555,277777775,265555555,32.0
2023-08-31,317777776,266666669,266666669,317777776,29.0
2023-09-01,328888888,315555555,315555555,317777776,54.0
2023-09-02,349999999,317777776,317777776,344444444,28.0
2023-09-03,349999999,300000000,333333333,346665555,26.0
2023-09-04,346600000,345555554,345555555,345555555,12.0
2023-09-05,344000000,311111111,311111111,343999998,35.0
2023-09-06,346600000,311111111,311111111,311111111,52.0
2023-09-07,344444440,309999999,319999999,344444440,38.0
2023-09-08,348888888,320000000,344444442,322222222,20.0
2023-09-09,355555555,333333333,344444444,348888888,21.0
2023-09-10,354444444,320000000,335555555,354444444,32.0
2023-09-11,350000000,344444444,350000000,349999999,16.0
2023-09-12,466666666,338500000,347611111,466666666,34.0
2023-09-13,333333333,333333333,333333333,333333333,5.0
2023-09-14,444444443,347777777,354444444,347777777,19.0
2023-09-15,499999999,433333333,433333333,444444444,49.0
2023-09-16,488888888,455555555,455555555,488888888,33.0
2023-09-17,470000000,422220000,422220000,422222222,58.0
2023-09-19,465555555,389999999,399999999,422222220,19.0
2023-09-20,459999998,459999998,459999998,459999998,5.0
2023-09-21,450000000,440000000,450000000,444440000,7.0
2023-09-22,439999999,399999999,400000000,419999999,14.0
2023-09-23,398888887,355555555,398888887,355555555,21.0
2023-09-24,377777775,370000000,377777775,370000000,8.0
2023-09-25,380000000,377777777,377777777,380000000,5.0
2023-09-26,380000000,333333333,333333333,377777777,32.0
2023-09-27,399999999,388868888,388868888,399999999,19.0
2023-09-28,399999899,399999899,399999899,399999899,1.0
2023-09-29,411111111,389999999,389999999,411111111,14.0
2023-09-30,399999998,388888888,388888888,399999998,12.0
2023-10-01,399999998,322222222,399900000,366666666,41.0
2023-10-02,380000000,333333333,380000000,368888888,41.0
2023-10-03,360000000,322222222,322222222,358888888,20.0
2023-10-04,358788888,322222222,322222222,333333333,8.0
2023-10-05,355500000,322222222,348888888,349999999,56.0
2023-10-06,355500000,311111111,333333333,355500000,30.0
2023-10-07,350000000,310000000,310000000,350000000,35.0
2023-10-08,359999999,300000000,333333333,359999999,74.0
2023-10-09,366666666,350000000,366666666,352210000,9.0
2023-10-10,352222222,311111111,346666666,349999999,22.0
2023-10-11,355555555,333333333,355555555,339999999,21.0
2023-10-12,355555555,333333333,333333333,355555555,27.0
2023-10-13,344444440,322222222,322222222,344444440,12.0
2023-10-14,348888888,319989999,333333333,333333333,20.0
2023-10-15,359888888,335000000,335000000,359888888,33.0
2023-10-16,358999999,320000000,357000000,320000000,9.0
2023-10-17,358999999,340000000,340000000,344444444,50.0
2023-10-18,344444444,343333333,343333333,344444444,12.0
2023-10-19,333333333,312222222,333222222,326600000,43.0
2023-10-20,326399999,299999999,299999999,326399999,25.0
2023-10-21,322222222,319777777,319999999,322222222,30.0
2023-10-22,326399999,300000000,300000000,311111111,35.0
2023-10-23,322222222,290000000,308888888,322222222,27.0
2023-10-24,315000000,310000000,313880000,310000000,31.0
2023-10-25,314444443,298888888,300099999,299999999,31.0
2023-10-26,326666664,312222222,313999999,322222222,30.0
2023-10-27,348555555,309999999,329990000,311111111,31.0
2023-10-28,311111111,258888888,258888888,311111111,25.0
2023-10-29,359888888,300000000,300000000,313333333,30.0
2023-10-30,344440000,299999999,299999999,344440000,30.0
2023-10-31,311111110,308888888,311111110,311111110,30.0
2023-11-01,299999999,280000000,280000000,299999999,27.0
2023-11-02,299998887,279999999,298888888,280000000,22.0
2023-11-03,296666664,288888888,295555555,296666664,9.0
2023-11-04,291533333,288888888,288888888,291522222,18.0
2023-11-05,299999999,288888888,290000000,299999999,57.0
2023-11-06,297777776,288888887,288888888,297777776,28.0
2023-11-07,311111111,286666666,286666666,288888888,91.0
2023-11-08,349999999,299999990,299999990,349999999,21.0
2023-11-09,311111111,299999999,299999999,311111111,8.0
2023-11-10,329880000,288888888,322222222,299999990,19.0
2023-11-11,311111111,299999999,307999998,311111111,10.0
2023-11-12,336666660,307777777,318888888,336666660,18.0
2023-11-13,334444332,248888887,270000000,311111111,45.0
2023-11-14,300000000,288888888,288888888,300000000,3.0
2023-11-15,333299999,311111110,333299999,332222220,22.0
2023-11-16,321111111,318000000,321111111,318888887,15.0
2023-11-17,321000000,299999989,317777777,300000000,19.0
2023-11-18,332222220,317777777,317777777,332222220,18.0
2023-11-19,332222220,332222220,332222220,332222220,5.0
2023-11-20,323333300,321000000,321111111,321111099,23.0
2023-11-21,320009998,299999999,311111111,309999999,34.0
2023-11-24,311111111,299999999,300000000,311111111,10.0
2023-11-25,320009999,310000000,310000000,320009999,10.0
2023-11-26,320009998,300000000,300000000,320009998,32.0
2023-11-27,300000000,299999999,299999999,300000000,2.0
2023-11-28,320009998,299999999,299999999,320009998,9.0
2023-11-29,320009998,318888888,318888888,320009998,9.0
2023-12-01,305555555,302111111,302111111,305555555,15.0
2023-12-02,315555555,309999999,314999999,315555554,29.0
2023-12-03,305555555,298888888,305555555,304444444,22.0
2023-12-04,305554441,304444444,304444444,305554441,13.0
2023-12-05,305554441,305554440,305554441,305554440,6.0
2023-12-06,305554439,299999999,299999999,300000000,14.0
2023-12-07,305500000,301111111,305500000,305499999,26.0
2023-12-08,305488885,305333333,305488885,305488885,30.0
2023-12-09,305488877,299999999,299999999,305488877,28.0
2023-12-10,303333221,300000000,302222222,300000000,18.0
2023-12-11,303333221,299999999,299999999,299999999,18.0
2023-12-12,299999999,288888888,288888888,299999999,26.0
2023-12-13,305488886,288888888,288888888,305488886,48.0
2023-12-14,299999999,277777777,299999999,299999999,24.0
2023-12-15,340000000,299999999,304444444,340000000,68.0
2023-12-16,308888888,266666666,308888800,308888888,22.0
2023-12-17,307777771,306666666,306666666,307777771,4.0
2023-12-18,348888888,300000000,300000000,348888888,40.0
2023-12-19,312222222,288888888,288888888,312222222,41.0
2023-12-20,355555555,288888888,288888888,355555555,18.0
2023-12-21,355555554,321000000,321000000,355555554,15.0
2023-12-22,444440000,344440000,355555554,348555555,7.0
2023-12-24,379999998,379999998,379999998,379999998,5.0
2023-12-25,355555555,308888888,355555555,308888888,16.0
2023-12-26,338888888,272222222,299999999,338888888,23.0
2023-12-27,311111111,288888887,311111111,300000000,53.0
2023-12-28,364000000,338888888,338888888,364000000,10.0
2023-12-29,364000000,349999999,360000000,349999999,10.0
2023-12-30,349990000,332222222,332222222,348000000,11.0
2023-12-31,344443333,344443333,344443333,344443333,2.0
2024-01-01,333333332,328888888,333333332,329999999,9.0
2024-01-02,333333333,322222222,328877777,328888888,15.0
2024-01-03,311111111,300000000,300000000,311111111,24.0
2024-01-04,333333332,299999999,299999999,333333332,38.0
2024-01-05,349990000,328990000,328990000,349990000,36.0
2024-01-06,355555554,322222222,333333333,350000000,37.0
2024-01-07,355555554,354999999,355555553,355555551,14.0
2024-01-08,355555553,300000000,355555552,320999999,24.0
2024-01-09,355555553,310000000,310000000,348888888,24.0
2024-01-10,348000000,300000000,340000000,342222220,13.0
2024-01-11,355555554,300000000,333222222,355555554,56.0
2024-01-12,333331111,288888888,288888888,333331111,48.0
2024-01-13,366659998,300000000,300000000,366659998,45.0
2024-01-14,379999998,300000000,344444444,379999998,77.0
2024-01-15,399888888,377777777,399888888,390000000,7.0
2024-01-17,433322221,299999999,299999999,399999999,104.0
2024-01-18,428888800,333333333,366666666,411111111,54.0
2024-01-19,766666666,377777777,422111111,430000000,71.0
2024-01-20,500000000,399999999,499999999,488888888,43.0
2024-01-21,499999999,470000000,470000000,499999999,23.0
2024-01-22,499999999,488888888,498000000,494999999,13.0
2024-01-26,479999888,399999999,413333333,479999888,111.0
2024-01-27,780000000,422222221,422222221,622222222,104.0
