2,High,Low,Open,Close,Volume
2024-01-07,25333333333,25333333333,25333333333,25333333333,1.0
2024-01-10,24800000000,24800000000,24800000000,24800000000,1.0
2024-01-13,23599999999,23599999999,23599999999,23599999999,1.0
2024-01-14,22599999999,22599999999,22599999999,22599999999,1.0
2024-01-16,23655555555,23655555555,23655555555,23655555555,1.0
2024-01-17,2111111111,2111111111,2111111111,2111111111,1.0
2024-01-19,22200000000,21999999999,21999999999,22200000000,2.0
2024-01-20,23444444443,23444444443,23444444443,23444444443,1.0
2024-01-23,22666666666,22666666666,22666666666,22666666666,1.0
2024-01-26,21999999888,21977777777,21988888888,21999999888,3.0
2024-01-27,22222222222,22000000000,22000000000,22222222222,2.0
2024-01-28,30766666666,23444444444,23444444444,28777777777,10.0
2024-02-01,28444444444,28444444444,28444444444,28444444444,1.0
2024-02-03,27999999999,27999999999,27999999999,27999999999,1.0
2024-02-04,27655555555,27655555555,27655555555,27655555555,1.0
2024-02-05,27900000000,27555555555,27555555555,27900000000,3.0
2024-02-08,30220000000,30220000000,30220000000,30220000000,1.0
2024-02-10,35000000000,35000000000,35000000000,35000000000,1.0
2024-02-15,38888888888,38888888888,38888888888,38888888888,1.0
2024-02-17,49877776665,48999999999,48999999999,49877776665,2.0
2024-02-26,51400000000,51400000000,51400000000,51400000000,1.0
2024-03-04,45466666666,45466666666,45466666666,45466666666,1.0
2024-03-08,38788888888,36999999999,38788888888,36999999999,2.0
2024-03-10,36500000000,36500000000,36500000000,36500000000,1.0
2024-03-11,36666666666,36500000000,36666666666,36500000000,2.0
2024-03-15,36666666666,36000000000,36000000000,36666666666,2.0
2024-03-20,34888888888,34888888888,34888888888,34888888888,1.0
2024-03-27,36888888888,36888888888,36888888888,36888888888,1.0
2024-03-28,36111111111,35999999999,35999999999,36111111111,2.0
2024-03-30,35988888888,35988888888,35988888888,35988888888,1.0
2024-03-31,35888888887,35000000000,35000000000,35888888887,2.0
2024-04-01,35888888887,35888888887,35888888887,35888888887,1.0
2024-04-02,35999999999,35999999999,35999999999,35999999999,1.0
2024-04-04,36488888888,36488888888,36488888888,36488888888,1.0
