2,High,Low,Open,Close,Volume
2024-03-13,288868,258888,278888,285555,1453.0
2024-03-14,555555,250000,266666,277655,3182.0
2024-03-15,321111,222222,255555,321008,2302.0
2024-03-16,322221,228877,266666,322221,3046.0
2024-03-17,287753,250000,287744,287753,2327.0
2024-03-18,266666,233333,260000,239998,1182.0
2024-03-19,286426,222218,233333,286426,5157.0
2024-03-20,333333,219999,290237,333333,2352.0
2024-03-21,398997,239285,239285,299997,4290.0
2024-03-22,330000,265888,270000,330000,2033.0
2024-03-23,488999,277777,285553,300000,2305.0
2024-03-24,299999,236988,288888,299866,1928.0
2024-03-25,278990,235550,278990,278888,1925.0
2024-03-26,320000,259868,269980,320000,2021.0
2024-03-27,3222222,260000,266666,332999,4353.0
2024-03-28,1500000,298888,298888,400000,1524.0
2024-03-29,390000,287777,287777,387000,1934.0
2024-03-30,387652,299998,322221,340000,3148.0
2024-03-31,989998,299999,333333,432098,2814.0
2024-04-01,999999,269999,411100,859998,4084.0
2024-04-02,918764,790000,849999,800000,1579.0
2024-04-03,1488887,855553,1479999,886865,6006.0
2024-04-04,939998,886888,886888,939998,1312.0
2024-04-05,1177777,875000,959998,999999,5228.0
2024-04-06,1055551,900000,999996,970000,5753.0
2024-04-07,972222,888888,960000,900000,5507.0
2024-04-08,959270,700000,700000,777777,4004.0
2024-04-09,1088888,498888,545888,788898,3983.0
2024-04-10,977777,666666,744444,759000,3730.0
2024-04-11,955555,733333,749999,900000,5705.0
2024-04-12,949988,699999,799999,842220,4019.0
2024-04-13,888887,700000,780000,888887,4227.0
2024-04-14,800000,777777,798332,799999,805.0
2024-04-15,799998,680000,776666,747777,3544.0
2024-04-16,599999,533333,573300,588887,585.0
2024-04-17,777777,255555,540000,444443,4176.0
2024-04-18,395000,120000,380000,199999,794.0
2024-04-19,300000,99999,159999,248888,5134.0
2024-04-20,444444,219988,250000,399998,5672.0
2024-04-21,600000,180000,333333,288888,4591.0
2024-04-22,277770,200000,259997,277770,2020.0
2024-04-23,288888,199999,259999,244444,3624.0
2024-04-24,244444,155555,244440,209887,2029.0
2024-04-25,240000,138887,199999,195999,6655.0
2024-04-26,195998,129999,187999,129999,3736.0
2024-04-27,152222,140000,148800,140000,726.0
2024-04-28,199999,110000,145000,189999,5636.0
2024-04-29,150005,88888,150005,130000,3904.0
2024-04-30,139998,99999,129999,111111,4737.0
2024-05-01,149999,105444,133322,138888,4085.0
2024-05-02,149999,90000,129999,149999,5419.0
2024-05-03,155555,90000,150000,111111,4194.0
2024-05-04,144358,99999,110000,125555,4267.0
2024-05-05,144368,98555,125554,120987,4587.0
2024-05-06,250000,97777,119000,233317,6034.0
2024-05-07,222222,100000,146666,129111,4762.0
2024-05-08,388888,100000,118999,222000,4194.0
2024-05-09,185516,111111,154444,148888,1840.0
2024-05-10,180000,105555,145554,122222,3426.0
2024-05-12,139999,127665,137553,129999,1488.0
2024-05-13,180000,119999,128764,179999,5163.0
2024-05-14,188888,120000,120000,122222,1899.0
2024-05-15,166666,99999,133333,100000,4315.0
2024-05-16,188888,119998,129997,122221,2372.0
2024-05-17,187777,100000,128886,187777,2720.0
2024-05-18,199990,60000,129900,163985,1574.0
2024-05-19,222222,100000,139998,110000,4697.0
2024-05-20,199999,95555,111099,120000,3657.0
2024-05-21,199999,108800,121111,154222,4881.0
2024-05-22,154444,99999,148887,111109,2729.0
2024-05-23,155555,88888,128000,130000,2040.0
2024-05-24,133333,111110,118777,130000,3297.0
2024-05-25,139999,99999,119996,133332,3190.0
2024-05-26,133333,88888,119999,133333,3986.0
2024-05-27,155555,88877,88877,120000,6371.0
2024-05-28,177000,98888,139876,177000,6064.0
2024-05-29,177000,100000,176999,126666,3358.0
2024-05-30,162111,109999,121000,122221,5662.0
2024-05-31,161111,100000,111111,119886,4459.0
2024-06-01,168888,133111,158888,133333,985.0
2024-06-02,169999,99999,120000,169958,5724.0
2024-06-03,166666,109988,149333,150000,1103.0
2024-06-04,177777,99997,109000,129998,9745.0
2024-06-05,169999,115000,128888,122222,3801.0
2024-06-06,144444,111108,111109,118887,3443.0
