2,High,Low,Open,Close,Volume
2024-09-22,339888888,333333333,333333333,339888888,4.0
2024-09-23,344444443,299999999,344444443,299999999,3.0
2024-09-24,346666666,299999998,299999998,346666666,20.0
2024-09-25,333333333,323333333,333333332,323333333,3.0
2024-09-26,344444444,270000000,311111110,344444444,29.0
2024-09-27,333333333,299999999,299999999,333333333,17.0
2024-09-28,328888888,299999998,299999998,328888888,17.0
2024-09-29,328999999,300000000,322999999,300000000,8.0
2024-09-30,333333333,299999990,310000000,333332221,19.0
2024-10-01,344399999,333333331,333333331,344399999,5.0
2024-10-02,345555555,299999999,299999999,334854545,14.0
2024-10-03,333333332,300000000,326666666,329980000,25.0
2024-10-04,330000000,288888888,288888888,300000000,10.0
2024-10-05,322222220,255555555,309999999,311111111,16.0
2024-10-06,311111111,299999999,310000000,299999999,6.0
2024-10-07,320000000,300000000,300000000,320000000,20.0
2024-10-08,320000000,311111111,311111111,320000000,2.0
2024-10-09,316000000,298888888,316000000,298888888,2.0
2024-10-10,300000000,288000000,288799999,300000000,11.0
2024-10-15,266666665,254444444,266666660,255555555,5.0
2024-10-16,264444444,264444443,264444443,264444444,2.0
2024-10-17,279999999,248888888,255555555,279999999,34.0
2024-10-18,277000000,255555555,265555555,255555555,12.0
2024-10-19,264444444,233333333,259999999,260999999,13.0
2024-10-20,261111111,233333333,256666666,233333333,9.0
2024-10-21,288888888,243333333,243333333,288888888,37.0
2024-10-27,277000000,255555555,265555555,277000000,9.0
2024-10-28,288888887,266655555,277765555,288888887,19.0
2024-10-29,280000000,198888888,280000000,249999999,4.0
2024-10-30,339999966,255555555,258888880,299999999,36.0
2024-10-31,319999999,255555555,308877777,319999999,16.0
2024-11-01,299999999,222222221,299990000,222222222,21.0
2024-11-02,300000000,227777777,269999999,299999888,30.0
2024-11-03,344400000,266666666,266666666,344400000,26.0
2024-11-12,319996665,299999999,299999999,319996665,2.0
2024-11-13,311110000,230000000,287777777,277777777,21.0
2024-11-14,292000000,155555555,292000000,266666666,30.0
2024-11-15,281111111,222222222,277777000,255444443,31.0
2024-11-16,279999999,255555555,266000000,279999999,21.0
2024-11-17,244444444,244444444,244444444,244444444,2.0
2025-01-16,200000000,180000000,185555555,180000000,29.0
2025-01-17,198888888,193000000,193000000,196000000,12.0
2025-01-18,189999999,17777777,182222222,178888800,12.0
2025-01-19,190000000,17888887,17888887,190000000,34.0
2025-01-20,212222000,180000000,198888888,188888888,14.0
2025-01-21,190000000,70000000,189900000,189999999,9.0
