2,High,Low,Open,Close,Volume
2023-07-18,2399999999,2399999888,2399999888,2399999999,4.0
2023-07-20,2200000000,1999999999,2144440000,2200000000,6.0
2023-07-21,2111111111,2111111111,2111111111,2111111111,1.0
2023-07-22,2177000000,2111111111,2177000000,2144440000,4.0
2023-07-23,3333333333,2144444444,2144444444,2255555555,36.0
2023-07-24,2200000000,2188888888,2200000000,2188888888,2.0
2023-07-25,2333333333,2222222221,2222222221,2322222222,6.0
2023-07-26,2345678901,2322222222,2322222222,2345678901,3.0
2023-07-27,2388888888,2388888888,2388888888,2388888888,1.0
2023-07-30,2288888888,2288880000,2288880000,2288888888,4.0
2023-07-31,2330000000,2299999999,2299999999,2329990000,4.0
2023-08-01,2600000000,2330000000,2330000000,2600000000,8.0
2023-08-02,2888888888,2688888888,2688888888,2888888888,3.0
2023-08-03,2788888888,2750000000,2788888888,2788888888,4.0
2023-08-04,2980000000,2888888888,2888888888,2933333333,4.0
2023-08-05,2855555555,2855555555,2855555555,2855555555,3.0
2023-08-06,2855555555,2855555554,2855555555,2855555554,2.0
2023-08-07,2811111111,2811111111,2811111111,2811111111,1.0
2023-08-08,2777777777,2777777777,2777777777,2777777777,1.0
2023-08-09,2999999999,2799999998,2800000000,2999999999,10.0
2023-08-10,2999999999,2833322222,2833322222,2999999999,3.0
2023-08-11,2955555555,2888888888,2888888888,2955555555,3.0
2023-08-12,2899999999,2855555555,2888888888,2855555555,3.0
2023-08-13,2900000000,2899999999,2899999999,2899999999,3.0
2023-08-14,2888888855,2888888855,2888888855,2888888855,1.0
2023-08-15,2888888888,2888888888,2888888888,2888888888,1.0
2023-08-17,2753333333,2753333333,2753333333,2753333333,1.0
2023-08-18,2599999999,2599999999,2599999999,2599999999,1.0
2023-08-19,2889999999,2777777777,2777777777,2889999999,7.0
2023-08-20,5955555555,2677777777,2899999999,4600000000,35.0
2023-08-21,3444444444,2999999999,2999999999,3333333333,3.0
2023-08-22,3400000000,3333333333,3400000000,3333333333,2.0
2023-08-23,3400000000,3400000000,3400000000,3400000000,1.0
2023-08-24,3400000000,3400000000,3400000000,3400000000,2.0
2023-08-25,3456789000,3444444444,3444444444,3456789000,2.0
2023-08-26,3510000000,3499999999,3499999999,3510000000,3.0
2023-08-27,3456789000,3456789000,3456789000,3456789000,1.0
2023-08-29,3800000000,3499999999,3499999999,3800000000,5.0
2023-09-01,4499999999,4499999999,4499999999,4499999999,1.0
2023-09-04,4599999998,4588888888,4588888888,4599999998,2.0
2023-09-08,4499990000,4499990000,4499990000,4499990000,1.0
2023-09-10,4499999999,4499999999,4499999999,4499999999,1.0
2023-09-11,4500000000,4500000000,4500000000,4500000000,2.0
2023-09-13,5488888888,5488888888,5488888888,5488888888,1.0
2023-09-14,5655555555,5655555555,5655555555,5655555555,1.0
2023-09-18,5678999999,5678999999,5678999999,5678999999,1.0
2023-09-19,5800000000,5800000000,5800000000,5800000000,1.0
2023-09-21,5850000000,5850000000,5850000000,5850000000,1.0
2023-09-24,5444444444,5444444444,5444444444,5444444444,2.0
2023-09-27,5200000000,5200000000,5200000000,5200000000,1.0
2023-09-29,5333333333,5333333333,5333333333,5333333333,1.0
2023-10-01,5500000000,5500000000,5500000000,5500000000,1.0
2023-10-06,5477776666,5477776666,5477776666,5477776666,1.0
2023-10-09,5000000000,5000000000,5000000000,5000000000,1.0
2023-10-10,5100000000,5100000000,5100000000,5100000000,1.0
2023-10-11,5100000000,5000000000,5000000000,5100000000,2.0
2023-10-12,5077777777,5077777777,5077777777,5077777777,1.0
2023-10-13,5000000000,5000000000,5000000000,5000000000,1.0
2023-10-14,4999999999,4999999999,4999999999,4999999999,1.0
2023-10-17,4850000000,4555555555,4555555555,4850000000,3.0
2023-10-20,5100000000,5000000000,5100000000,5000000000,2.0
2023-10-21,5000000000,4999999999,4999999999,5000000000,2.0
2023-10-22,4999999999,4999999999,4999999999,4999999999,1.0
2023-10-25,4555555555,4555555555,4555555555,4555555555,1.0
2023-10-26,4600000000,4600000000,4600000000,4600000000,1.0
2023-10-27,4599999900,4599999900,4599999900,4599999900,1.0
2023-10-31,4300000000,4222222222,4222222222,4300000000,2.0
2023-11-01,4299990000,4299990000,4299990000,4299990000,1.0
2023-11-02,4299999999,4299999999,4299999999,4299999999,1.0
2023-11-04,4333333333,4299999999,4299999999,4333333333,4.0
2023-11-05,4444444444,4444444444,4444444444,4444444444,1.0
2023-11-06,4555000000,4499999999,4555000000,4499999999,3.0
2023-11-07,4699999999,4550505050,4550505050,4699999999,4.0
2023-11-08,4666666664,4666660000,4666660000,4666666664,2.0
2023-11-09,4666660000,4666660000,4666660000,4666660000,1.0
2023-11-10,4666666666,4666666666,4666666666,4666666666,1.0
2023-11-12,4760000000,4760000000,4760000000,4760000000,1.0
2023-11-13,4800000000,4800000000,4800000000,4800000000,1.0
2023-11-17,5111111111,5100000000,5100000000,5111111111,3.0
2023-11-18,5100000000,5100000000,5100000000,5100000000,2.0
2023-11-19,5100000000,4999999999,4999999999,5100000000,2.0
2023-11-24,4999999999,4998888888,4998888888,4999999999,2.0
2023-11-26,4998989898,4998989898,4998989898,4998989898,1.0
2023-11-30,4755555555,4755555555,4755555555,4755555555,1.0
2023-12-01,4999999999,4999999999,4999999999,4999999999,1.0
2023-12-02,5150000000,5150000000,5150000000,5150000000,1.0
2023-12-04,5199999998,5199990000,5199999998,5199990000,2.0
2023-12-05,5150000000,5150000000,5150000000,5150000000,1.0
2023-12-07,4987654321,4987654321,4987654321,4987654321,1.0
2023-12-08,5199900000,4987654321,4987654321,5199900000,2.0
2023-12-09,4987654321,4987654321,4987654321,4987654321,1.0
2023-12-12,4850000000,4850000000,4850000000,4850000000,1.0
2023-12-13,4849999999,4849999999,4849999999,4849999999,1.0
2023-12-14,4850000000,4848484848,4850000000,4848484848,2.0
2023-12-15,4847800000,4847800000,4847800000,4847800000,1.0
2023-12-16,4833333330,4800000000,4800000000,4833333330,2.0
2023-12-17,4846000000,4846000000,4846000000,4846000000,1.0
2023-12-18,5222222222,4846464646,4846464646,5200000000,4.0
2023-12-21,5520000000,5500000000,5500000000,5520000000,2.0
2023-12-22,5533330000,5533330000,5533330000,5533330000,1.0
2023-12-28,5499999999,5499999999,5499999999,5499999999,1.0
2023-12-30,5490000000,5490000000,5490000000,5490000000,1.0
2024-01-01,5494949494,5494949494,5494949494,5494949494,2.0
2024-01-02,5388888888,5388888888,5388888888,5388888888,1.0
2024-01-06,5355555555,5355555555,5355555555,5355555555,1.0
2024-01-08,5500000000,5500000000,5500000000,5500000000,1.0
2024-01-13,5288888888,5200000000,5222222222,5288888888,5.0
2024-01-14,5499933333,5479999999,5499933333,5479999999,2.0
2024-01-15,6222222222,6222222222,6222222222,6222222222,1.0
2024-01-18,5999999999,5988888888,5999999999,5999999999,4.0
2024-01-19,6111111111,5977777777,5977777777,6111111111,3.0
2024-01-21,6500000000,6500000000,6500000000,6500000000,1.0
2024-01-22,6500000000,6500000000,6500000000,6500000000,1.0
2024-01-23,6800000000,6600000000,6600000000,6800000000,2.0
2024-01-24,6800000000,6555555555,6800000000,6555555555,3.0
2024-01-26,6333333333,6300000000,6300000000,6333333333,3.0
2024-01-27,7200000000,6599999999,6599999999,7100000000,14.0
2024-01-28,9444444444,7999999999,8199999999,8888888888,40.0
2024-01-30,7600000000,7600000000,7600000000,7600000000,1.0
2024-01-31,6999999999,6999999999,6999999999,6999999999,1.0
2024-02-01,6999999999,6888888888,6888888888,6999999999,4.0
2024-02-02,6888888888,6888888888,6888888888,6888888888,1.0
2024-02-03,6999999998,6900000000,6900000000,6999999998,2.0
2024-02-05,7399999999,7399999999,7399999999,7399999999,1.0
2024-02-06,7400000000,7400000000,7400000000,7400000000,1.0
2024-02-07,7555555555,7555544444,7555544444,7555555555,2.0
2024-02-08,7666666666,7666666666,7666666666,7666666666,1.0
2024-02-09,7666555555,7600000000,7600000000,7666555555,2.0
2024-02-10,7999999999,7666666600,7666666600,7999999999,3.0
2024-02-12,12345765852,12345765852,12345765852,12345765852,1.0
2024-02-15,12888888888,11777777777,11777777777,12555555555,5.0
2024-02-23,18000000000,18000000000,18000000000,18000000000,1.0
2024-02-24,17333333333,17333333333,17333333333,17333333333,1.0
2024-02-26,17155555555,17155555555,17155555555,17155555555,1.0
2024-03-01,11222222222,11222222222,11222222222,11222222222,1.0
2024-03-05,12000000000,12000000000,12000000000,12000000000,1.0
2024-03-16,7999999999,7999999999,7999999999,7999999999,1.0
2024-03-17,7333333333,7222222222,7333333333,7333333333,6.0
2024-03-18,7500000000,6980000000,7333333333,7033333333,5.0
2024-03-19,6900000000,6888888888,6888888888,6888888888,3.0
2024-03-20,6888888888,6699999999,6888888888,6699999999,7.0
2024-03-21,6488888888,6150000000,6488888888,6350000000,3.0
2024-03-22,6200000000,6000000000,6200000000,6000000000,3.0
2024-03-23,5999999999,5999999999,5999999999,5999999999,1.0
2024-03-24,6488888888,5999999999,6488888888,5999999999,2.0
2024-03-25,6111111111,6111111111,6111111111,6111111111,1.0
2024-03-26,5999999999,5999999999,5999999999,5999999999,2.0
2024-03-27,5999999999,5999999998,5999999998,5999999999,2.0
2024-03-28,6999999999,6666666666,6666666666,6999999999,2.0
2024-03-31,6555555554,6464646464,6464646464,6555555554,2.0
2024-04-01,6950000000,6555555555,6555555555,6600000000,9.0
2024-04-02,6690000000,6500000000,6500000000,6690000000,2.0
2024-04-03,6399999999,6377777770,6399999999,6377777770,5.0
2024-04-04,6222222221,6199999999,6222222221,6199999999,2.0
2024-04-05,6199999998,6000000000,6166666666,6199999998,5.0
2024-04-06,6198989999,6187700000,6198989999,6187700000,11.0
2024-04-07,6299999999,6299999999,6299999999,6299999999,1.0
2024-04-08,6111111111,6111111111,6111111111,6111111111,1.0
2024-04-09,5986666666,5975544444,5986666666,5975544444,2.0
2024-04-11,5849999899,5848888888,5848888888,5849999899,2.0
2024-04-12,5847755555,5844744444,5847755555,5844744444,4.0
2024-04-14,5399998999,5399998999,5399998999,5399998999,1.0
2024-04-15,4999999999,4999999999,4999999999,4999999999,1.0
2024-04-20,5299999998,5299999998,5299999998,5299999998,1.0
2024-04-25,4777777777,4777777777,4777777777,4777777777,1.0
2024-04-27,4854999999,4854999999,4854999999,4854999999,1.0
2024-04-28,4300000000,4300000000,4300000000,4300000000,1.0
2024-04-29,5211111111,5211111111,5211111111,5211111111,1.0
2024-05-01,4888888888,4780000000,4780000000,4888888888,2.0
2024-05-02,4988888888,4550000000,4550000000,4580000000,4.0
2024-05-03,4597000000,4597000000,4597000000,4597000000,1.0
2024-05-04,5222222222,4398000000,5222222222,4444444443,3.0
2024-05-06,4220000000,4183800000,4220000000,4190000000,3.0
2024-05-08,6666666666,6666666666,6666666666,6666666666,1.0
2024-05-10,4199999999,4199999999,4199999999,4199999999,1.0
2024-05-14,4111111111,4111111111,4111111111,4111111111,1.0
2024-05-15,4222222222,4222222222,4222222222,4222222222,1.0
2024-05-17,4444444444,4333333333,4333333333,4444444444,2.0
2024-05-26,4111111111,4111111111,4111111111,4111111111,1.0
2024-06-01,3999999999,3999999999,3999999999,3999999999,1.0
2024-06-05,3888888888,3855555555,3888888888,3855555555,2.0
2024-06-12,3590000000,3590000000,3590000000,3590000000,1.0
2024-06-13,3599999999,3599999999,3599999999,3599999999,1.0
2024-06-15,3500000000,3500000000,3500000000,3500000000,1.0
2024-06-16,3599999999,3599999999,3599999999,3599999999,1.0
2024-06-17,3748888888,3748888888,3748888888,3748888888,1.0
2024-06-21,3877777777,3877777777,3877777777,3877777777,1.0
2024-06-22,3888888882,3888888882,3888888882,3888888882,1.0
2024-06-24,3999999998,3999999998,3999999998,3999999998,1.0
2024-06-28,3888888887,3800000000,3800000000,3888888887,2.0
2024-06-30,4100000000,4100000000,4100000000,4100000000,1.0
2024-07-01,4500000000,4488888887,4488888887,4500000000,2.0
2024-07-02,4888888888,4555555555,4555555555,4888888888,4.0
2024-07-12,4999999999,4999999999,4999999999,4999999999,1.0
2024-07-13,5200000000,5200000000,5200000000,5200000000,1.0
2024-07-18,4866666666,4866666666,4866666666,4866666666,1.0
