2,High,Low,Open,Close,Volume
2023-07-05,1499999999,1499999999,1499999999,1499999999,1.0
2023-07-06,1200000000,1200000000,1200000000,1200000000,1.0
2023-07-07,1399999999,1355555555,1355555555,1399999999,2.0
2023-07-08,1499999999,1499999999,1499999999,1499999999,1.0
2023-07-09,1499888888,1499888888,1499888888,1499888888,1.0
2023-07-11,1499999999,1200000000,1200000000,1499999999,2.0
2023-07-13,1333333333,1328888888,1328888888,1333333333,2.0
2023-07-14,1411111110,1411111110,1411111110,1411111110,1.0
2023-07-16,1400000000,1400000000,1400000000,1400000000,1.0
2023-07-18,1399999999,1399999999,1399999999,1399999999,1.0
2023-07-19,1399999999,1399999999,1399999999,1399999999,1.0
2023-07-20,1399111111,1399111111,1399111111,1399111111,1.0
2023-07-21,1400000000,1400000000,1400000000,1400000000,1.0
2023-07-22,1499998888,1455555555,1455555555,1499998888,4.0
2023-07-23,1499999999,1499999999,1499999999,1499999999,1.0
2023-07-24,1698888888,1499900000,1499900000,1698888888,4.0
2023-07-25,1400000000,1400000000,1400000000,1400000000,1.0
2023-07-26,1777777777,1399999999,1777777777,1399999999,3.0
2023-07-27,1588888888,1555555555,1555555555,1588888888,2.0
2023-07-29,1511111111,1511111111,1511111111,1511111111,1.0
2023-08-01,1588888887,1588888887,1588888887,1588888887,1.0
2023-08-02,1588888887,1500000000,1500000000,1588888887,3.0
2023-08-03,1666666000,1588888888,1588888888,1666666000,2.0
2023-08-05,1666666650,1666666650,1666666650,1666666650,1.0
2023-08-10,1599999998,1500000000,1500000000,1599999998,2.0
2023-08-13,1455555555,1399999999,1399999999,1455555555,2.0
2023-08-16,1475554444,1474444444,1474444444,1475554444,2.0
2023-08-17,1475555555,1399999999,1399999999,1475555555,2.0
2023-08-18,1466666666,1466666666,1466666666,1466666666,1.0
2023-08-19,1477777777,1444444444,1477777777,1466666665,3.0
2023-08-21,1500000000,1500000000,1500000000,1500000000,2.0
2023-08-24,1699999998,1699999998,1699999998,1699999998,1.0
2023-08-26,1800000000,1699999999,1800000000,1699999999,2.0
2023-08-27,1888888888,1888888888,1888888888,1888888888,1.0
2023-08-28,1888888888,1888888888,1888888888,1888888888,1.0
2023-08-29,1988888888,1888888888,1888888888,1988888888,2.0
2023-08-30,2444400000,2022222222,2022222222,2444400000,2.0
2023-08-31,1966666666,1666666666,1666666666,1900000000,3.0
2023-09-01,1795555555,1666666666,1795555555,1666666666,2.0
2023-09-02,1799999999,1799999999,1799999999,1799999999,1.0
2023-09-03,1977777777,1920000000,1920000000,1977777777,2.0
2023-09-04,1999999999,1999999999,1999999999,1999999999,1.0
2023-09-05,2222222222,2222222222,2222222222,2222222222,1.0
2023-09-07,4988888888,4988888888,4988888888,4988888888,1.0
2023-09-09,4900000000,3000000000,3000000000,4900000000,3.0
2023-09-11,4999999999,4999999999,4999999999,4999999999,1.0
2023-09-12,5222222222,5000000000,5000000000,5200000000,3.0
2023-09-13,5500000000,5500000000,5500000000,5500000000,1.0
2023-09-15,1999988888,1999988888,1999988888,1999988888,1.0
2023-09-16,2955555555,2888888888,2888888888,2955555555,2.0
2023-09-17,2755555555,2600000000,2600000000,2755555555,3.0
2023-09-20,2399999999,2333333333,2399999999,2333333333,2.0
2023-09-22,2599999999,2000000000,2000000000,2599999999,2.0
2023-09-26,2222000000,2222000000,2222000000,2222000000,1.0
2023-09-27,2222222222,2200000000,2200000000,2222222222,2.0
2023-09-28,2359999999,2359999999,2359999999,2359999999,1.0
2023-09-29,2349999999,2300000000,2349999999,2300000000,2.0
2023-10-03,2200000000,2200000000,2200000000,2200000000,1.0
2023-10-06,1555555555,1499999999,1499999999,1555555555,2.0
2023-10-07,1799999888,1699999999,1699999999,1799999888,2.0
2023-10-08,1799999111,1799999111,1799999111,1799999111,1.0
2023-10-09,1833333333,1833333333,1833333333,1833333333,1.0
2023-10-10,1833333333,1833333333,1833333333,1833333333,1.0
2023-10-12,1700000000,1700000000,1700000000,1700000000,1.0
2023-10-13,1780000000,1780000000,1780000000,1780000000,1.0
