2,High,Low,Open,Close,Volume
2023-08-12,1266666665,1266666665,1266666665,1266666665,1.0
2023-08-15,1555555555,1499999999,1555555555,1499999999,2.0
2023-08-16,1499999999,1499999999,1499999999,1499999999,1.0
2023-08-18,1335555555,1335555555,1335555555,1335555555,1.0
2023-08-20,1887987654,1311111111,1349999999,1498999999,41.0
2023-08-21,1438888888,1411111111,1411111111,1438888888,2.0
2023-08-22,1437888888,1437888888,1437888888,1437888888,1.0
2023-08-23,1419999999,1419999999,1419999999,1419999999,1.0
2023-08-27,1555555555,1550000000,1550000000,1555555555,2.0
2023-08-29,1555000000,1555000000,1555000000,1555000000,1.0
2023-08-30,1411111111,1411111111,1411111111,1411111111,1.0
2023-08-31,1522221111,1522221111,1522221111,1522221111,1.0
2023-09-01,1100000000,1100000000,1100000000,1100000000,1.0
2023-09-03,1488888888,1488888888,1488888888,1488888888,1.0
2023-09-04,1566666666,1476666666,1488000000,1566666666,4.0
2023-09-05,1498765432,1488888888,1498000000,1488888888,3.0
2023-09-06,1555555555,1555555555,1555555555,1555555555,1.0
2023-09-08,1499999999,1499999999,1499999999,1499999999,1.0
2023-09-11,1499999999,1499999999,1499999999,1499999999,1.0
2023-09-12,1511111000,1511111000,1511111000,1511111000,1.0
2023-09-13,1511111111,1511111111,1511111111,1511111111,1.0
2023-09-14,1660000000,1660000000,1660000000,1660000000,1.0
2023-09-15,1800000000,1649876543,1800000000,1649876543,2.0
2023-09-17,1587987654,1587987654,1587987654,1587987654,1.0
2023-09-18,1500000000,1500000000,1500000000,1500000000,1.0
2023-09-19,1449999999,1449999999,1449999999,1449999999,1.0
2023-09-20,1380000000,1380000000,1380000000,1380000000,1.0
2023-09-21,1499999999,1498999999,1498999999,1499999999,2.0
2023-09-26,1499999999,1499999999,1499999999,1499999999,1.0
2023-09-28,1548888887,1548888887,1548888887,1548888887,1.0
2023-09-30,1478888888,1478888888,1478888888,1478888888,1.0
2023-10-02,1466666666,1466666666,1466666666,1466666666,1.0
2023-10-04,1529876543,1529876543,1529876543,1529876543,1.0
2023-10-07,1555525555,1555525555,1555525555,1555525555,1.0
2023-10-10,1555555554,1555555554,1555555554,1555555554,1.0
2023-10-11,1588888888,1588888888,1588888888,1588888888,1.0
2023-10-18,1600000000,1600000000,1600000000,1600000000,1.0
2023-10-19,1399999999,1399999999,1399999999,1399999999,1.0
2023-10-20,1788888888,1788888888,1788888888,1788888888,1.0
2023-10-21,1633000000,1633000000,1633000000,1633000000,1.0
2023-10-27,1655555555,1565987654,1565987654,1655555555,2.0
2023-11-02,1655555555,1655555555,1655555555,1655555555,1.0
2023-11-13,1588888888,1588888888,1588888888,1588888888,1.0
2023-11-17,1222222222,1222222222,1222222222,1222222222,1.0
2023-11-21,1777777776,1777777776,1777777776,1777777776,1.0
2023-12-01,1599999999,1599999999,1599999999,1599999999,1.0
2023-12-07,1688888888,1688888888,1688888888,1688888888,1.0
2023-12-09,1650000000,1650000000,1650000000,1650000000,1.0
2023-12-20,1688888888,1688888888,1688888888,1688888888,1.0
2024-01-05,1666666656,1666666656,1666666656,1666666656,1.0
2024-01-10,1878888888,1878888888,1878888888,1878888888,1.0
2024-01-14,1888888888,1888888888,1888888888,1888888888,1.0
2024-01-27,2111111111,2111111111,2111111111,2111111111,1.0
2024-01-28,2798765432,1999999999,2111111111,2104999999,17.0
2024-02-01,2105555554,2105555554,2105555554,2105555554,1.0
2024-02-03,2104987654,2104987654,2104987654,2104987654,1.0
2024-02-05,2104987654,2104987654,2104987654,2104987654,1.0
2024-02-10,2111111111,2111111111,2111111111,2111111111,1.0
2024-02-16,3299999999,3299999999,3299999999,3299999999,1.0
2024-02-17,2999999999,2999999999,2999999999,2999999999,1.0
2024-02-18,2800000000,2800000000,2800000000,2800000000,1.0
2024-02-28,3199990000,3199990000,3199990000,3199990000,1.0
2024-03-04,2544321111,2544321111,2544321111,2544321111,1.0
2024-03-05,2555555555,2555555555,2555555555,2555555555,1.0
2024-03-11,2288888888,2288888888,2288888888,2288888888,1.0
2024-03-16,1996999999,1996999999,1996999999,1996999999,1.0
2024-03-20,2222222222,2222222222,2222222222,2222222222,1.0
2024-03-21,2499999999,2499999999,2499999999,2499999999,1.0
2024-03-23,2441444444,2441444444,2441444444,2441444444,1.0
2024-03-24,2411111111,2411111111,2411111111,2411111111,1.0
2024-03-27,2455525555,2455525555,2455525555,2455525555,1.0
2024-03-28,2399999999,2399999999,2399999999,2399999999,1.0
2024-03-31,2499999999,2466555555,2466555555,2499999999,2.0
2024-04-05,2450000000,2450000000,2450000000,2450000000,1.0
2024-04-07,2466666000,2466666000,2466666000,2466666000,1.0
2024-04-09,2499999999,2499999999,2499999999,2499999999,1.0
2024-04-10,2450000000,2450000000,2450000000,2450000000,1.0
2024-04-15,2460000000,2460000000,2460000000,2460000000,1.0
2024-04-23,2598498498,2598498498,2598498498,2598498498,1.0
2024-05-03,2498764531,2444444444,2498764531,2444444444,2.0
2024-05-07,2222222222,2222222222,2222222222,2222222222,1.0
2024-05-17,2499600000,2499600000,2499600000,2499600000,1.0
2024-05-24,2499999999,2499999999,2499999999,2499999999,1.0
2024-05-27,2500000000,2500000000,2500000000,2500000000,1.0
2024-06-06,2599988000,2599988000,2599988000,2599988000,1.0
2024-06-11,2599999999,2599999999,2599999999,2599999999,1.0
2024-06-17,2466666666,2466666666,2466666666,2466666666,1.0
2024-06-23,2500000000,2500000000,2500000000,2500000000,1.0
2024-06-25,2599990000,2599990000,2599990000,2599990000,1.0
