2,High,Low,Open,Close,Volume
2023-06-24,188888887,179999999,179999999,180000000,3.0
2023-06-25,177777777,177777777,177777777,177777777,1.0
2023-06-26,177777777,177777770,177777770,177777777,2.0
2023-06-28,187777777,180000000,180000000,187777777,2.0
2023-06-29,190000000,185555555,188888888,190000000,7.0
2023-06-30,200000000,177777777,199999989,188888888,6.0
2023-07-01,255555555,199999999,255555555,199999999,2.0
2023-07-03,244444444,244444444,244444444,244444444,1.0
2023-07-04,276666666,199999999,250000000,276666666,3.0
2023-07-06,245555555,245555555,245555555,245555555,1.0
2023-07-07,345555555,222222222,222222222,345555555,3.0
2023-07-10,346666666,346666666,346666666,346666666,1.0
2023-07-11,290000000,290000000,290000000,290000000,1.0
2023-07-12,291111111,288877777,291111111,288877777,2.0
2023-07-13,350000000,211111111,277777777,211111111,4.0
2023-07-14,255555555,255555555,255555555,255555555,2.0
2023-07-15,288888888,222222222,277777777,288888888,4.0
2023-07-16,359999999,319999999,319999999,359999999,2.0
2023-07-17,366666666,366666666,366666666,366666666,1.0
2023-07-19,290000000,290000000,290000000,290000000,1.0
2023-07-20,299999998,229999999,299999998,255555555,6.0
2023-07-21,255555555,249999999,255555555,250000000,4.0
2023-07-22,255555555,255000000,255555555,255000000,2.0
2023-07-23,355555333,240000000,240000000,355555333,3.0
2023-07-24,250000000,244444444,244444444,250000000,4.0
2023-07-26,255555555,249777777,249777777,255555555,2.0
2023-07-27,248888888,239109845,239109845,248888888,2.0
2023-07-28,199999999,199999999,199999999,199999999,1.0
2023-07-29,239999999,239999999,239999999,239999999,1.0
2023-07-30,230000000,200000000,230000000,200000000,6.0
2023-07-31,223333333,222222222,223333333,222222222,2.0
2023-08-01,222222222,222222222,222222222,222222222,1.0
2023-08-02,266666666,229999999,229999999,266666666,4.0
2023-08-03,266666666,255555555,255555555,266666666,2.0
2023-08-04,258888888,258888888,258888888,258888888,1.0
2023-08-05,259999999,259999999,259999999,259999999,1.0
2023-08-06,288888888,288888888,288888888,288888888,1.0
2023-08-07,269999999,250000000,250000000,269999999,2.0
2023-08-08,249999999,200000000,200000000,249999999,2.0
2023-08-09,366666666,269999999,269999999,366666666,6.0
2023-08-10,320000000,300000000,311111111,300000000,3.0
2023-08-11,300000000,300000000,300000000,300000000,1.0
2023-08-13,300000000,300000000,300000000,300000000,1.0
2023-08-14,307777777,288888888,288888888,307777777,2.0
2023-08-16,288888886,277777777,288888886,277777777,2.0
2023-08-17,319999999,280000000,280000000,319999999,4.0
2023-08-20,338888888,319999996,319999996,338888888,4.0
2023-08-21,360000000,333330000,333330000,360000000,3.0
2023-08-22,355555554,355555554,355555554,355555554,1.0
2023-08-23,333333333,311111111,311111111,333333333,3.0
2023-08-24,333333333,322222222,330000000,333333333,3.0
2023-08-25,299999999,299999999,299999999,299999999,1.0
2023-08-26,299999999,244444444,276999999,299999999,5.0
2023-08-27,377777777,281111111,281111111,377777777,10.0
2023-08-28,377777777,333000000,333000000,377777777,4.0
2023-08-29,431999999,431999999,431999999,431999999,1.0
2023-08-30,411111111,399999999,400000000,399999999,3.0
2023-08-31,420000000,399999999,399999999,420000000,2.0
2023-09-02,498765432,498765432,498765432,498765432,1.0
2023-09-03,487654321,433333333,433333333,487654321,2.0
2023-09-05,488000000,479999989,479999989,488000000,2.0
2023-09-07,366666666,366666666,366666666,366666666,1.0
2023-09-08,322222222,311111111,311111111,322222222,2.0
2023-09-09,320000000,320000000,320000000,320000000,1.0
2023-09-10,333332222,308888888,311111111,333332222,8.0
