2,High,Low,Open,Close,Volume
2023-09-01,83222222,83222222,83222222,83222222,1.0
2023-09-02,88870000,83333000,83333000,88870000,4.0
2023-09-03,109999998,109999998,109999998,109999998,1.0
2023-09-04,98888888,98888888,98888888,98888888,1.0
2023-09-05,98888888,84444444,84444444,98888888,2.0
2023-09-06,99999999,99999999,99999999,99999999,1.0
2023-09-07,99888888,85000000,85000000,99888888,2.0
2023-09-08,85555555,85555555,85555555,85555555,1.0
2023-09-09,94444444,93000000,93000000,94444444,3.0
2023-09-10,98880000,86999999,86999999,98880000,6.0
2023-09-12,96000000,96000000,96000000,96000000,1.0
2023-09-13,97000000,96666666,96666666,97000000,2.0
2023-09-14,99988888,98888888,98888888,99988888,2.0
2023-09-15,111111111,111111111,111111111,111111111,1.0
2023-09-16,110000000,88888888,88888888,99999999,3.0
2023-09-17,100000000,100000000,100000000,100000000,1.0
2023-09-18,111111111,99999999,99999999,111111111,3.0
2023-09-19,119999999,119999999,119999999,119999999,1.0
2023-09-22,122222212,119999999,119999999,122222212,3.0
2023-09-23,122222222,120000000,120000000,122222222,2.0
2023-09-24,122222222,122222221,122222222,122222221,2.0
2023-09-29,109999999,108800000,108800000,109999999,2.0
2023-09-30,129999998,129988888,129999998,129988888,2.0
2023-10-01,100000000,100000000,100000000,100000000,1.0
2023-10-02,99999999,99999999,99999999,99999999,1.0
2023-10-03,129000000,111111111,111111111,129000000,2.0
2023-10-04,87888888,80000000,80000000,87888888,2.0
2023-10-05,100000000,88888888,88888888,100000000,2.0
2023-10-06,129999999,77777777,90000000,77777777,7.0
2023-10-08,330000000,330000000,330000000,330000000,1.0
2023-10-09,133333332,133333332,133333332,133333332,1.0
2023-10-10,133222222,128888888,128888888,133222222,2.0
2023-10-11,177777777,133330000,133330000,133333322,3.0
2023-10-12,122222222,122222222,122222222,122222222,1.0
2023-10-13,121111111,119999999,121111111,119999999,2.0
2023-10-14,111111111,111111111,111111111,111111111,1.0
2023-10-15,100000000,100000000,100000000,100000000,1.0
2023-10-16,102222222,102222222,102222222,102222222,1.0
2023-10-17,99999999,99999999,99999999,99999999,1.0
2023-10-18,105000000,94000000,94000000,105000000,4.0
2023-10-24,277777777,277777777,277777777,277777777,1.0
2023-10-25,288888888,288888888,288888888,288888888,2.0
2023-10-28,222222222,222222222,222222222,222222222,1.0
2023-10-29,222222220,211111111,222222200,211111111,3.0
2023-10-30,199999999,199999999,199999999,199999999,1.0
2023-10-31,206666666,200000000,200000000,206666666,2.0
2023-11-01,188888888,188888888,188888888,188888888,1.0
2023-11-02,200000000,200000000,200000000,200000000,1.0
2023-11-03,198888888,177777777,198888888,180000000,3.0
2023-11-04,211111111,166666666,166666666,211111111,3.0
2023-11-05,188888888,188888888,188888888,188888888,1.0
2023-11-07,177777666,175999998,177777666,176600000,4.0
2023-11-10,198888888,198888888,198888888,198888888,1.0
2023-11-11,144444444,130000000,144444444,130000000,2.0
2023-11-12,177777777,177777777,177777777,177777777,1.0
2023-11-14,199999999,144444444,144444444,199999999,2.0
2023-11-15,266666666,150000000,150000000,266666666,2.0
2023-11-16,188888888,188888888,188888888,188888888,1.0
2023-11-17,238888888,238888888,238888888,238888888,1.0
2023-11-18,333333332,333333332,333333332,333333332,1.0
2023-11-19,199999998,198888888,198888888,199999998,2.0
2023-11-21,188888888,188888888,188888888,188888888,1.0
2023-11-23,198888888,198888888,198888888,198888888,1.0
2023-11-25,199995555,177777777,199995555,177777777,3.0
2023-11-26,199999977,188888888,188888888,199999977,2.0
2023-11-27,199999996,199999996,199999996,199999996,1.0
2023-11-28,190000000,190000000,190000000,190000000,1.0
2023-11-29,199999997,199999997,199999997,199999997,1.0
2023-12-02,188888887,177777777,188888887,177777777,2.0
2023-12-03,188777777,188777777,188777777,188777777,1.0
