2,High,Low,Open,Close,Volume
2023-08-08,755552222,755522222,755522222,755552222,10.0
2023-08-09,699999999,622222222,650000000,696665500,87.0
2023-08-10,695444444,622222222,677777777,679999999,51.0
2023-08-11,766666666,666666666,680000000,699999999,25.0
2023-08-12,855555555,677777777,678888885,777444444,52.0
2023-08-13,799999999,688888888,688888888,799999999,22.0
2023-08-14,855555555,755555555,755555555,848888888,29.0
2023-08-15,855444333,722222222,809999999,855444333,74.0
2023-08-16,855555555,822222222,822222222,847990000,28.0
2023-08-17,847988888,700000000,847988877,839999999,31.0
2023-08-18,834444344,834000000,834444344,834000000,3.0
2023-08-19,798889998,688888888,797700000,788888828,26.0
2023-08-20,797400000,776000000,788666666,789999998,50.0
2023-08-21,888888888,779998888,789999999,779998888,10.0
2023-08-22,808888888,655555555,778888888,808888888,40.0
2023-08-23,800000000,700000000,749999999,788888888,31.0
2023-08-24,1188888888,799888888,799888888,962222111,100.0
2023-08-25,959987777,839999999,959987777,839999999,10.0
2023-08-26,843333333,740000000,840000000,750000000,45.0
2023-08-27,799998888,750000000,755555555,750000000,16.0
2023-08-28,811111111,739999999,739999999,796666664,50.0
2023-08-29,799999990,750000000,766666666,799999990,19.0
2023-08-30,850000000,745555555,850000000,755555555,8.0
2023-08-31,867777776,749990000,749990000,867777776,61.0
2023-09-01,958880000,855555555,867777776,958880000,30.0
2023-09-02,955000000,860000000,954000000,888888888,8.0
2023-09-03,899989999,820000000,890000000,888999998,51.0
2023-09-04,955544444,850000000,949886666,949980000,38.0
2023-09-05,977000000,899999998,949977777,948888888,123.0
2023-09-06,963333333,958888887,958888888,958888887,3.0
2023-09-07,1099999999,944000000,958888887,977777777,41.0
2023-09-08,1099998885,1022221111,1099989998,1022221111,16.0
2023-09-09,1022222221,1022221111,1022221111,1022222221,2.0
2023-09-10,999999999,988766666,988888777,988775555,31.0
2023-09-11,1088888888,980000000,988766666,980000000,5.0
2023-09-12,1087766666,899999999,980000000,899999999,6.0
2023-09-13,977776666,899999999,977776666,899999999,3.0
2023-09-14,930000000,888888888,930000000,927655555,10.0
2023-09-15,928000000,922212222,927655554,922212222,3.0
2023-09-16,924888879,800000000,924888879,899999999,9.0
2023-09-17,1080000000,788888888,888888888,1048881111,58.0
2023-09-18,1047777775,990000000,1045555555,991111111,4.0
2023-09-19,1100000000,900000000,999999998,1061100000,22.0
2023-09-20,1058887777,1054990000,1058887777,1054990000,16.0
2023-09-21,1054199998,999999999,999999999,1054199998,38.0
2023-09-22,999999999,988888899,988888899,999999999,17.0
2023-09-23,1019999998,977770000,999993332,1019999998,30.0
2023-09-24,1022222222,1019999990,1019999990,1022222222,12.0
2023-09-25,1019988888,1000000000,1000000000,1019988888,6.0
2023-09-26,969999999,969999999,969999999,969999999,1.0
2023-09-27,999999999,933333332,933333332,999999999,10.0
2023-09-28,1033333333,978880000,978880000,1022222200,26.0
2023-09-29,1033333333,999911111,1022222222,999911111,9.0
2023-09-30,1022222222,988888111,1022222222,988888111,17.0
2023-10-01,1010000000,888888888,988888888,999998800,27.0
2023-10-02,988888888,888888888,977777777,971111111,26.0
2023-10-03,975000000,966666666,974444444,970000000,9.0
2023-10-04,966000000,928888888,965777777,943333333,47.0
2023-10-05,970000000,930000000,930000000,966666666,31.0
2023-10-06,965555555,955555554,965555555,955555555,3.0
2023-10-07,976655544,933333322,933333322,976655544,24.0
2023-10-08,976600000,900000000,922222221,976600000,17.0
2023-10-09,1039999999,900000000,900000000,1039999999,39.0
2023-10-10,1111111001,1038888000,1038888000,1098888888,87.0
2023-10-11,1099888888,1048888777,1098666666,1099888888,19.0
2023-10-12,1029999999,1022222222,1022222222,1029999999,4.0
2023-10-13,1111111111,1033332222,1033332222,1111111111,28.0
2023-10-14,1111000000,1089999999,1090887778,1111000000,8.0
2023-10-15,1333333333,1111000000,1111000000,1332222222,23.0
2023-10-16,1028888888,999999999,1028888888,1028888777,3.0
2023-10-17,1165544443,999999998,1022222222,1165544443,34.0
2023-10-18,1188808888,1188808888,1188808888,1188808888,1.0
2023-10-19,999999999,999999999,999999999,999999999,1.0
2023-10-20,959999999,899999998,910777776,930771775,34.0
2023-10-21,1048800000,900000000,900000000,1048800000,21.0
2023-10-22,1048777777,989999999,998999999,990000000,26.0
2023-10-23,1000000000,966666666,966666666,980000000,5.0
2023-10-24,999999999,975000000,985000000,975000000,13.0
2023-10-25,1111100000,977777777,988888666,1111100000,60.0
2023-10-26,1326000000,1109999999,1109999999,1311000000,45.0
2023-10-27,1309999998,999999988,1309999998,999999999,7.0
2023-10-28,1099999999,1055555555,1099999999,1055555555,2.0
2023-10-29,1309999999,1099999997,1099999997,1099999998,14.0
2023-10-30,1099999999,988888888,1000000000,1099999999,35.0
2023-10-31,1294988888,1198677777,1294988888,1198777777,6.0
2023-11-01,1198888887,1099899998,1198888887,1111111111,33.0
2023-11-02,1133333303,1088888888,1133333303,1088888888,6.0
2023-11-03,1099999999,1097000000,1099888888,1099999999,10.0
2023-11-04,1233333333,1055555555,1055555555,1111111111,21.0
2023-11-05,1239888888,1122222221,1239888888,1122222221,6.0
2023-11-06,1225998888,1111111111,1111111111,1166666665,52.0
2023-11-07,1166666666,1166333333,1166333333,1166666666,2.0
2023-11-08,1150000000,1110111111,1133355544,1150000000,12.0
2023-11-09,1139999999,1139999987,1139999999,1139999987,3.0
2023-11-10,1111111109,1098888888,1098888888,1111111109,3.0
2023-11-11,1222222222,1099999999,1099999999,1199999110,38.0
2023-11-12,1188888887,1099999999,1188888887,1111111111,28.0
2023-11-13,1228888887,999999999,1133111111,1122222222,18.0
2023-11-14,1178888888,1133333333,1133333333,1178888888,6.0
2023-11-15,1178800000,1099881111,1099881111,1178800000,14.0
2023-11-16,1188888887,1088888887,1088888887,1188888887,17.0
2023-11-17,1211111111,1099999998,1099999998,1211111111,19.0
2023-11-18,1218888888,1188888888,1218888888,1188888888,26.0
2023-11-19,1199999999,1111000000,1177777777,1111000000,31.0
2023-11-20,1188549998,1111111111,1111111111,1177777777,59.0
2023-11-23,1170000000,1088888888,1088888888,1170000000,20.0
2023-11-24,1149999999,1099991110,1099991110,1149999999,11.0
2023-11-25,1311000000,888888888,1150000000,1300000000,21.0
2023-11-26,1311000000,1298999911,1305555555,1298999999,6.0
2023-11-27,1296777777,1228588888,1288888887,1228588888,19.0
2023-11-28,1285544411,1189999999,1228888111,1255539888,9.0
