2,High,Low,Open,Close,Volume
2023-08-08,188880998,188880900,188880998,188880900,7.0
2023-08-09,188880899,176666666,188880899,176666666,37.0
2023-08-10,180000000,177707777,177707777,177766595,39.0
2023-08-11,188879976,177298790,177766596,177298882,87.0
2023-08-12,177777666,168888888,177298800,176543209,81.0
2023-08-13,188879976,177000000,177298700,188333332,165.0
2023-08-14,188333331,187979995,188333331,187980000,78.0
2023-08-15,188999986,179999998,188333300,179999998,116.0
2023-08-16,185998887,179999999,185998886,185000000,66.0
2023-08-17,188880900,185988887,185998888,188680899,37.0
2023-08-18,188444444,187999999,188300000,187999999,33.0
2023-08-19,288888888,179999999,288888888,188000000,107.0
2023-08-20,188880900,178888888,188880900,184500000,67.0
2023-08-21,195555555,178888888,184977770,184987777,83.0
2023-08-22,189999999,180000000,188880900,187999997,30.0
2023-08-23,187999999,179999997,179999997,187999900,31.0
2023-08-24,187999897,185000000,187999897,187999788,59.0
2023-08-25,187999999,180000000,187999784,187979800,47.0
2023-08-26,187999998,179999999,179999999,187979989,28.0
2023-08-27,189999999,186666666,187988887,187999795,58.0
2023-08-28,188888888,180000000,187999796,187999793,23.0
2023-08-29,188888888,179999999,187999795,188888888,49.0
2023-08-30,195555555,188880000,189999990,195555555,19.0
2023-08-31,288888887,188444443,189999991,288888887,31.0
2023-09-01,233333333,233222222,233333330,233222222,19.0
2023-09-02,233303333,229999999,232999999,231668872,46.0
2023-09-03,233300000,199999999,231668870,233300000,90.0
2023-09-04,288888887,200000000,231388882,229000000,53.0
2023-09-05,288888887,218888888,228999998,226649996,112.0
2023-09-06,228888878,210000000,210000000,222222200,52.0
2023-09-07,226666655,211111111,211111111,226666655,33.0
2023-09-08,288888887,200000000,227666666,228866666,73.0
2023-09-09,228866666,222222222,228866666,228700000,12.0
2023-09-10,288888887,211111111,228699999,228666666,35.0
2023-09-11,228879999,226888888,228660000,226888888,14.0
2023-09-12,231388881,228555555,228666666,231388881,12.0
2023-09-13,299999999,222000000,232211110,222222200,29.0
2023-09-14,228688880,222222222,222222222,227999999,52.0
2023-09-15,227999990,200000000,222222221,221998888,21.0
2023-09-16,221111111,201111111,221111111,220221999,97.0
2023-09-17,299999999,219999988,220221997,219999988,41.0
2023-09-18,228888888,219989999,219999979,219999955,30.0
2023-09-19,219999999,219879566,219989998,219879566,85.0
2023-09-20,299999999,200000000,219879560,299999999,23.0
2023-09-21,220221880,219550555,220221880,219550555,10.0
2023-09-22,219544444,210000000,219544444,219411100,17.0
2023-09-23,219412222,211111111,219411110,219411111,27.0
2023-09-24,219987999,211111111,219665999,219599890,66.0
2023-09-25,219655550,211111111,213333333,219598880,32.0
2023-09-26,219598990,215888888,219598888,219590000,45.0
2023-09-27,229999600,218111111,225666666,219699989,30.0
2023-09-28,220221888,209999999,219568000,215000000,31.0
2023-09-29,299999999,213688887,216666660,214688088,23.0
2023-09-30,299999999,210000000,214688088,214333330,22.0
2023-10-01,218888888,200000000,200000000,209888888,132.0
2023-10-02,299999999,207888888,299999999,209999998,28.0
2023-10-03,299999999,199999999,199999999,218888888,185.0
2023-10-04,209989998,204888888,209777777,205400000,18.0
2023-10-05,205555000,201111111,205555000,205444442,53.0
2023-10-06,205544443,200000000,203444411,204588888,29.0
2023-10-07,204599999,199999999,204588088,199999999,16.0
2023-10-08,204555555,188866666,204555555,199999988,10.0
2023-10-09,199999988,199988888,199998888,199999988,4.0
2023-10-10,205444444,198888888,205444444,199999996,32.0
2023-10-11,299999999,200000000,205544442,218555555,52.0
2023-10-12,299999999,209999999,216666666,219999988,15.0
2023-10-13,218888888,210000000,210000000,213100000,27.0
2023-10-14,213100000,206666666,213100000,206666666,122.0
2023-10-15,208888880,205553333,207760000,206555522,46.0
2023-10-16,207666666,205000000,207666666,206544444,21.0
2023-10-17,219999988,200544444,200544444,218766666,33.0
2023-10-18,219999988,208888888,208888888,211000000,40.0
2023-10-19,212222222,188777777,212222222,188777777,28.0
2023-10-20,188888888,184999999,188888886,188777774,82.0
2023-10-21,188777774,188000000,188777774,188000000,9.0
2023-10-22,219777777,188499978,188499988,219755550,440.0
2023-10-23,219755553,217999999,218888888,217999999,21.0
2023-10-24,299999999,198670777,217999998,217999988,30.0
2023-10-25,299999999,216666666,217999987,216666667,13.0
2023-10-26,299999999,177777777,215555555,215399999,47.0
2023-10-27,215399998,215333355,215388888,215333355,9.0
2023-10-28,215399997,199999999,215390000,215399995,109.0
2023-10-29,299999999,211111111,215555555,215399997,30.0
2023-10-30,219749998,166666666,215222222,215399998,16.0
2023-10-31,219777777,214999999,214999999,215399997,20.0
2023-11-01,229999999,197488885,215399997,211111111,32.0
2023-11-02,299999999,211111111,219700000,219600000,16.0
2023-11-03,266666666,202022000,219748883,253333333,15.0
2023-11-04,359999999,215998887,359999999,251971111,73.0
2023-11-05,253333333,233333333,251973333,249999975,167.0
2023-11-06,249999999,234567890,248888888,248877777,60.0
2023-11-07,248877776,247777661,248877776,247777661,26.0
2023-11-08,249999960,235555555,247777660,247766650,82.0
2023-11-09,247766666,233333330,247699999,235555555,191.0
2023-11-10,236656666,222222222,236656666,235444444,30.0
2023-11-11,236666666,235998998,235998998,236655555,14.0
2023-11-12,236666666,233333333,233333333,236660632,60.0
2023-11-13,299999998,236655555,236655555,255505550,147.0
2023-11-14,359999999,245555555,255505549,251777590,53.0
2023-11-15,254444444,222222222,251769999,254444444,69.0
2023-11-16,251550000,240000000,240000000,249999900,20.0
2023-11-17,254444444,244444444,249999997,249887997,15.0
2023-11-18,249887998,222222222,249887998,248888855,25.0
2023-11-19,248888850,248879999,248888850,248879999,20.0
2023-11-20,251505555,239999999,248879990,248858879,69.0
2023-11-21,250000000,247777777,248888888,248799985,44.0
2023-11-22,248799975,247000000,248799975,247399999,45.0
2023-11-23,248888888,239500000,247399998,248888888,14.0
2023-11-24,245999999,243899999,245999999,243899999,28.0
2023-11-25,243999999,241598888,243999998,241598888,34.0
2023-11-26,359999999,222222222,239999999,237999995,76.0
2023-11-27,244779999,234999996,237998886,234999996,22.0
2023-11-28,237999995,211111111,234999993,215000000,28.0
2023-11-29,214999999,214999999,214999999,214999999,13.0
2023-11-30,215444443,214987999,214999111,214988000,56.0
2023-12-01,214988888,209999900,214987999,209999999,65.0
2023-12-02,210000000,210000000,210000000,210000000,17.0
2023-12-03,219999922,200000000,209999999,213999999,40.0
2023-12-04,234666666,213551111,213555554,213555554,25.0
2023-12-05,299999998,211109999,211111109,219888887,339.0
2023-12-06,219888888,199999999,219888888,208888887,34.0
2023-12-07,222222221,208888888,208888888,219799999,18.0
2023-12-08,229999888,211111111,219800000,229988888,52.0
2023-12-09,359999999,228888888,229999888,228888888,15.0
2023-12-10,229999670,224999998,229999670,224999998,18.0
2023-12-11,359999999,222222222,224999997,224999994,60.0
2023-12-12,224999990,224777777,224900980,224799996,40.0
2023-12-13,224799996,219988888,224799993,224799996,42.0
2023-12-14,219999996,218888885,219999996,218888887,11.0
2023-12-15,224899996,210000000,218888883,218888885,19.0
2023-12-16,218888883,218000000,218888881,218888883,15.0
2023-12-17,218888882,218888878,218888882,218888878,10.0
2023-12-18,224899996,216888888,224799996,217999999,10.0
2023-12-19,220000000,216999999,217000000,217777776,23.0
2023-12-20,217777777,216666663,217777709,216666663,28.0
2023-12-21,216666662,213888877,216666662,213888877,8.0
2023-12-22,213888876,210000000,213888876,211111000,39.0
2023-12-23,212888886,210999999,211110000,211000000,59.0
2023-12-24,216666000,200000000,210999988,211098887,26.0
2023-12-25,211090000,210500000,211090000,210522221,21.0
2023-12-26,210522222,210432222,210522222,210432222,23.0
2023-12-27,210422222,210365553,210422222,210365553,63.0
2023-12-28,210355555,210355333,210355555,210355533,18.0
2023-12-29,210522221,210000000,210355532,210355507,28.0
2023-12-30,210355505,201355494,210355505,210355493,38.0
2023-12-31,210355492,210349999,210355492,210349999,14.0
2024-01-01,210355188,178888888,210222222,199866000,47.0
2024-01-02,210348877,199865555,199865555,209000000,79.0
2024-01-03,210000000,200000000,208888888,209999997,39.0
2024-01-04,210350000,209999994,209999996,209999994,10.0
2024-01-05,211111111,208888887,209998887,209549998,29.0
2024-01-06,210348874,160000000,209954999,177777777,174.0
2024-01-07,177777777,170000000,177000000,171999966,128.0
2024-01-08,177777777,168799998,171999996,168799998,55.0
2024-01-09,201111111,161111111,168000000,161768886,79.0
2024-01-10,161755554,157777777,158885555,157777777,30.0
2024-01-11,175888888,148700000,158799999,148700000,79.0
2024-01-12,158770000,111111111,133333333,135999980,206.0
2024-01-13,135999896,129999999,135999896,130000000,147.0
2024-01-14,131101099,122222222,129999999,129000000,202.0
2024-01-15,149000000,122222220,129989997,139799999,395.0
2024-01-16,194999998,138999998,138999999,147578888,386.0
2024-01-17,148869999,135555555,146666666,147488888,187.0
2024-01-18,147488888,139999999,147488880,142881110,99.0
2024-01-19,147576666,141991111,147555555,142799994,89.0
2024-01-20,142799995,129999888,142799993,139988886,176.0
