2,High,Low,Open,Close,Volume
2024-02-11,41500000000,41500000000,41500000000,41500000000,1.0
2024-02-12,41888888888,41888888888,41888888888,41888888888,1.0
2024-02-17,49998888888,49998888888,49998888888,49998888888,1.0
2024-02-29,51800000000,51800000000,51800000000,51800000000,1.0
2024-03-10,34555555555,33333333333,33333333333,34555555555,3.0
2024-03-11,37666666666,35000000000,35000000000,37666666666,2.0
2024-03-19,39999999999,39999998888,39999998888,39999999999,2.0
2024-04-14,46500000000,46500000000,46500000000,46500000000,1.0
2024-04-16,49555555555,49555555555,49555555555,49555555555,1.0
2024-04-17,48888888888,48888888888,48888888888,48888888888,1.0
2024-04-22,48866600000,48866600000,48866600000,48866600000,1.0
2024-04-26,48866611111,48866611111,48866611111,48866611111,1.0
2024-04-27,53888888888,53888888888,53888888888,53888888888,1.0
2024-04-30,53333333333,45000000000,53333333333,45000000000,2.0
2024-05-10,51200000000,51200000000,51200000000,51200000000,1.0
2024-05-12,51000000000,51000000000,51000000000,51000000000,1.0
2024-05-15,52000000000,52000000000,52000000000,52000000000,1.0
2024-05-20,52222222222,52222222222,52222222222,52222222222,1.0
2024-06-11,36666666666,36666666666,36666666666,36666666666,1.0
2024-06-13,36555555555,36555555555,36555555555,36555555555,1.0
2024-06-17,35666666666,35666666666,35666666666,35666666666,1.0
2024-06-21,33999999999,33999999999,33999999999,33999999999,1.0
2024-06-23,34322222222,34322222222,34322222222,34322222222,1.0
2024-06-28,35999999999,35999999999,35999999999,35999999999,1.0
2024-07-01,31111111111,31111111111,31111111111,31111111111,1.0
2024-07-04,30111111111,30111111111,30111111111,30111111111,1.0
2024-07-05,30999999999,30999999999,30999999999,30999999999,1.0
2024-07-06,29999999999,29999999999,29999999999,29999999999,1.0
2024-07-16,27999999999,27999999999,27999999999,27999999999,1.0
2024-07-18,26999999999,26888888888,26888888888,26999999999,2.0
2024-07-20,28000000000,28000000000,28000000000,28000000000,1.0
2024-07-21,33300000000,29999999999,29999999999,33300000000,2.0
2024-07-23,33333333333,33333333333,33333333333,33333333333,1.0
2024-07-30,29899999999,29899999999,29899999999,29899999999,1.0
2024-08-02,29999888887,29999888887,29999888887,29999888887,1.0
2024-08-03,33333333333,33333333333,33333333333,33333333333,1.0
2024-08-11,26000000000,26000000000,26000000000,26000000000,1.0
2024-08-13,28333333333,28333333333,28333333333,28333333333,1.0
2024-08-14,26999999999,26999999999,26999999999,26999999999,1.0
2024-08-16,26333333333,26300000000,26300000000,26333333333,2.0
2024-08-19,26888888888,26888888888,26888888888,26888888888,1.0
2024-08-29,28999999999,26999999999,26999999999,28999999999,2.0
2024-08-30,28888888888,28888888888,28888888888,28888888888,1.0
2024-09-08,29500000000,27999999999,27999999999,29500000000,2.0
2024-09-09,29555555555,29555555555,29555555555,29555555555,1.0
2024-09-21,28000000000,28000000000,28000000000,28000000000,1.0
2024-09-22,26999999999,26999999999,26999999999,26999999999,1.0
2024-09-26,26777777777,26777777777,26777777777,26777777777,1.0
2024-09-29,27500000000,27500000000,27500000000,27500000000,1.0
2024-10-03,30500000000,30500000000,30500000000,30500000000,1.0
2024-10-04,29999999999,29999999999,29999999999,29999999999,1.0
2024-10-06,30500000000,30500000000,30500000000,30500000000,1.0
2024-10-08,30444444444,30444444444,30444444444,30444444444,1.0
2024-10-11,30999999999,30999999999,30999999999,30999999999,1.0
2024-10-12,31000000000,31000000000,31000000000,31000000000,1.0
2024-10-25,22999999998,22999999998,22999999998,22999999998,1.0
2024-10-27,19999999999,19999999999,19999999999,19999999999,1.0
2024-11-11,12188888888,12111110000,12188888888,12111110000,2.0
2024-11-14,8555555550,8555555550,8555555550,8555555550,1.0
2024-11-15,8222222222,8222222222,8222222222,8222222222,1.0
2024-11-17,8000000000,8000000000,8000000000,8000000000,1.0
2024-11-18,8000000000,8000000000,8000000000,8000000000,1.0
2024-11-19,8000000000,8000000000,8000000000,8000000000,1.0
2024-11-20,8499999999,8499999999,8499999999,8499999999,1.0
2024-11-22,8888888888,8333333333,8333333333,8888888888,3.0
2024-11-23,8888888888,8777777777,8888888888,8888888888,3.0
2024-11-29,9222222222,9222222222,9222222222,9222222222,1.0
2024-12-02,7999999990,7999999990,7999999990,7999999990,1.0
2024-12-03,7988888888,7988888888,7988888888,7988888888,1.0
2024-12-04,6500000000,6500000000,6500000000,6500000000,1.0
2024-12-05,7555555555,7555555555,7555555555,7555555555,1.0
2024-12-06,7755555555,7755555555,7755555555,7755555555,2.0
2024-12-07,7650000000,7300000000,7650000000,7300000000,2.0
2024-12-08,7760000000,7555555555,7555555555,7760000000,2.0
2024-12-09,7999999999,7999999999,7999999999,7999999999,1.0
2024-12-10,7999999999,7999999999,7999999999,7999999999,1.0
2024-12-18,8888888888,7555555555,8888888888,7555555555,2.0
2024-12-20,8000000000,8000000000,8000000000,8000000000,1.0
2024-12-21,7999999999,7999999999,7999999999,7999999999,1.0
2024-12-25,8755555555,8755555555,8755555555,8755555555,1.0
2024-12-27,9800000000,8888888888,8888888888,9800000000,2.0
2024-12-28,9222222222,9222222222,9222222222,9222222222,1.0
2024-12-29,9555555555,9555555555,9555555555,9555555555,1.0
2025-01-01,7777777777,7777777777,7777777777,7777777777,1.0
2025-01-12,9900000000,9900000000,9900000000,9900000000,1.0
2025-01-15,9977777777,9666666666,9976000000,9666666666,3.0
2025-01-16,9333333333,9333333333,9333333333,9333333333,1.0
2025-01-18,8999999999,8999999999,8999999999,8999999999,1.0
