2,High,Low,Open,Close,Volume
2024-07-23,65444444444,56000000000,57000000000,65444444444,7.0
2024-07-24,62888888888,62888888888,62888888888,62888888888,1.0
2024-07-25,65555555554,62222222222,63333333333,65555555554,4.0
2024-07-27,72222222222,71999999999,72000000000,72222222222,3.0
2024-08-01,36688888888,36688888888,36688888888,36688888888,1.0
2024-08-02,68888888888,68888888888,68888888888,68888888888,1.0
2024-08-03,81999999999,54444444444,80888888888,54444444444,4.0
2024-08-04,55555555555,55444444444,55500000000,55444444444,3.0
2024-08-06,70000000000,52200000000,70000000000,52200000000,7.0
2024-08-07,59999999999,59999999999,59999999999,59999999999,1.0
2024-08-21,60900000000,60900000000,60900000000,60900000000,1.0
2024-09-03,48888888888,48888888888,48888888888,48888888888,1.0
2024-10-03,43000000000,43000000000,43000000000,43000000000,1.0
2024-10-04,42222222222,42222222222,42222222222,42222222222,1.0
2024-10-05,45000000000,45000000000,45000000000,45000000000,1.0
2024-10-09,43333333333,43333333333,43333333333,43333333333,1.0
2024-10-15,45000000000,45000000000,45000000000,45000000000,1.0
2024-10-18,48333333333,48333333333,48333333333,48333333333,1.0
2024-10-29,42222222222,42222222222,42222222222,42222222222,1.0
2024-11-01,43111111111,43111111111,43111111111,43111111111,1.0
2024-11-11,39999999999,39999999999,39999999999,39999999999,1.0
2024-12-03,22666666666,22666666666,22666666666,22666666666,1.0
2024-12-04,20000000000,19999999999,19999999999,20000000000,2.0
2024-12-07,21000000000,21000000000,21000000000,21000000000,1.0
2024-12-11,21000000000,20999999999,21000000000,20999999999,2.0
2024-12-19,16999000000,16999000000,16999000000,16999000000,1.0
2024-12-20,16999999999,16999999999,16999999999,16999999999,1.0
2025-01-03,18000000000,18000000000,18000000000,18000000000,1.0
2025-01-09,18888888888,18888888888,18888888888,18888888888,1.0
2025-01-12,20999999999,2111111111,20999999999,2111111111,2.0
