2,High,Low,Open,Close,Volume
2023-10-17,3300000000,3300000000,3300000000,3300000000,1.0
2023-10-19,3221111111,3221111111,3221111111,3221111111,1.0
2023-11-06,3211111111,3211111111,3211111111,3211111111,1.0
2023-11-09,2800000000,2800000000,2800000000,2800000000,1.0
2023-11-14,5000000000,5000000000,5000000000,5000000000,1.0
2023-12-09,3499999999,3499999999,3499999999,3499999999,1.0
2024-01-01,1888888888,1699999999,1888888888,1700000000,3.0
2024-01-02,1355555555,999999999,999999999,1222222222,40.0
2024-01-03,1287777777,1155555555,1188888887,1244444444,51.0
2024-01-04,1222222222,955555555,1218888888,1099999999,14.0
2024-01-05,1160888888,1080000000,1080000000,1155555555,5.0
2024-01-06,1111111111,1055555544,1088888881,1088888788,14.0
2024-01-07,1088888888,998000000,1088888888,1028888887,11.0
2024-01-08,1028888888,788888888,1026888888,788888888,17.0
2024-01-09,999999999,699999999,699999999,999999999,37.0
2024-01-11,987777777,920000000,920000000,987777777,2.0
2024-01-12,1030000000,911111011,938000000,999999999,19.0
2024-01-13,887777777,877777777,887777777,877777777,6.0
2024-01-14,854999998,854990000,854990000,854999998,3.0
2024-01-15,799999998,788877777,795555555,788877777,7.0
2024-01-16,788887777,755549999,777777777,755550000,6.0
2024-01-17,877777777,699999999,788888887,711111111,14.0
2024-01-18,800000000,780000000,788877777,788888888,26.0
2024-01-19,855555554,822222222,822222222,855555554,6.0
2024-01-20,877777777,855555555,855555555,877776666,3.0
2024-01-22,866665555,866655555,866665555,866655555,2.0
2024-01-23,866666666,866666666,866666666,866666666,1.0
2024-01-25,888888888,876666665,876666665,888888888,2.0
2024-01-26,900000000,890000000,890000000,900000000,2.0
2024-01-27,1088888888,900000000,911111111,1088888888,3.0
2024-01-28,1080000000,965555554,999099999,965555554,7.0
2024-01-29,965544444,965544444,965544444,965544444,1.0
2024-01-30,966666666,965555550,965555550,966666666,5.0
2024-02-01,1066666658,1066666658,1066666658,1066666658,1.0
2024-02-02,1066666659,1066666659,1066666659,1066666659,1.0
2024-02-03,999999999,999999999,999999999,999999999,1.0
2024-02-05,999999997,999999997,999999997,999999997,1.0
2024-02-06,1111111111,997999999,997999999,1111111111,7.0
2024-02-07,1300000000,999999997,1066666659,1300000000,9.0
2024-02-09,1522222222,1522222222,1522222222,1522222222,1.0
2024-02-10,1522222200,1522222200,1522222200,1522222200,1.0
2024-02-12,1422222219,1422222219,1422222219,1422222219,1.0
2024-02-13,1400000000,1400000000,1400000000,1400000000,1.0
2024-02-15,1400000000,1400000000,1400000000,1400000000,2.0
2024-02-16,1888888888,1410999999,1410999999,1888888888,10.0
2024-02-17,1811111111,1811111111,1811111111,1811111111,1.0
2024-02-18,1855555555,1799999999,1799999999,1855555555,4.0
2024-02-19,2333333332,2222222222,2222222222,2322202222,5.0
