,Open,High,Low,Close,Volume
2023-08-01,633333333,633333333,633333333,633333333,2.0
2023-08-02,637888888,638880000,622222222,638880000,26.0
2023-08-03,638888888,748888888,636666666,748888888,76.0
2023-08-04,661111000,699999999,660000000,699999999,17.0
2023-08-05,750000000,750000000,740000000,745000000,25.0
2023-08-06,744888887,744888887,721111111,721111111,8.0
2023-08-07,744877000,744888000,738888888,738888888,14.0
2023-08-08,699999999,699999999,699999999,699999999,1.0
2023-08-09,728888666,744444444,709999999,744444444,44.0
2023-08-10,744555555,749999998,744555555,749999998,42.0
2023-08-11,750000000,799999999,744444444,766666666,9.0
2023-08-13,749999999,749999999,749999998,749999998,67.0
2023-08-14,749998888,749998888,749998888,749998888,1.0
2023-08-15,749888888,749996666,740000000,740000000,11.0
2023-08-16,749997777,749997777,749997777,749997777,8.0
2023-08-17,750000000,769999999,750000000,769999999,9.0
2023-08-18,766666666,766666666,766666666,766666666,7.0
2023-08-19,768888888,770000000,768888888,770000000,9.0
2023-08-20,788888444,1000000000,755555555,800000000,41.0
2023-08-22,899999999,999999996,899999999,999999996,4.0
2023-08-23,979996665,979996665,788888888,788888888,9.0
2023-08-24,949998888,949998888,899999999,899999999,14.0
2023-08-25,877777777,888887776,877777777,888843330,13.0
2023-08-26,888842222,888842222,869999999,869999999,8.0
2023-08-27,855555555,870000000,800000000,870000000,18.0
2023-08-28,870000000,870000000,870000000,870000000,4.0
2023-08-29,933333333,933333333,933333333,933333333,1.0
2023-08-30,888888888,888888888,888888888,888888888,1.0
2023-08-31,800000000,939888888,800000000,939888888,7.0
2023-09-01,955555555,979996664,944444444,979996664,13.0
2023-09-02,964444444,964444444,950000000,964444440,6.0
2023-09-03,964444440,964444441,964444440,964444441,7.0
2023-09-04,848777776,848777777,809999997,809999997,10.0
2023-09-05,803333333,803999999,788833333,788833333,22.0
2023-09-06,788833331,788833332,788833331,788833332,3.0
2023-09-07,788833329,788833329,788833329,788833329,1.0
2023-09-08,788833331,805555555,788833329,805555555,105.0
2023-09-09,844444444,888877775,844444444,887766553,16.0
2023-09-10,887766551,887766551,887766551,887766551,9.0
2023-09-11,822222222,822222222,822222222,822222222,2.0
2023-09-12,887755554,887755554,887432222,887432222,6.0
2023-09-13,887422110,887422110,869989998,869989998,3.0
2023-09-14,855555555,855555555,855555555,855555555,1.0
2023-09-15,868887777,868887777,867770775,867770775,15.0
2023-09-16,867770774,867770774,867755550,867755550,4.0
2023-09-17,867755551,867755551,866665550,866665550,11.0
2023-09-18,866665499,866665499,799999999,800000000,16.0
2023-09-19,855555539,855555540,855555539,855555540,11.0
2023-09-21,855505555,855505555,855504999,855505555,9.0
2023-09-22,853333333,853333333,852222222,852222222,11.0
2023-09-23,852000000,852000000,852000000,852000000,2.0
2023-09-24,851999999,852000000,850000000,850000000,14.0
2023-09-25,851899990,851998999,851899990,851998999,2.0
2023-09-26,833333333,833333333,830000000,833333333,8.0
2023-09-27,840000000,840000000,833333333,837777777,7.0
2023-09-28,833333333,851998999,799999999,799999999,14.0
2023-09-29,822222222,822222222,822222222,822222222,1.0
2023-09-30,820000000,820000000,799999999,799999999,11.0
2023-10-01,799999998,820000000,799999998,820000000,14.0
2023-10-02,833333333,844444444,799999998,844444444,16.0
2023-10-03,849999999,849999999,844444444,848880886,22.0
2023-10-04,848111110,1000000000,848111110,977777777,233.0
2023-10-05,988808887,988808887,957777776,957777776,10.0
2023-10-06,933333332,957766666,933333332,957766666,2.0
2023-10-07,930000000,949999999,930000000,949799999,45.0
2023-10-08,947888888,947999998,947888888,947999998,3.0
2023-10-09,933333333,933333333,933333333,933333333,1.0
2023-10-10,947999998,947999998,947999998,947999998,1.0
2023-10-11,955555551,955555551,949888888,949888888,7.0
2023-10-13,955551110,955551110,944444444,944444444,2.0
2023-10-14,944444444,944444444,944444444,944444444,1.0
2023-10-15,918888888,920000000,918888888,920000000,2.0
2023-10-16,948888888,955550000,948888888,955550000,7.0
2023-10-17,955550000,955550000,955500000,955500000,2.0
2023-10-18,955550000,955550000,955550000,955550000,1.0
2023-10-19,889999900,889999900,889999900,889999900,8.0
2023-10-20,888880888,888880888,888879999,888879999,8.0
2023-10-21,888880000,888880000,879989999,879989999,3.0
2023-10-23,879989999,888880000,879989999,888880000,59.0
2023-10-24,922222222,957777776,922222222,957777776,21.0
2023-10-25,999999996,999999997,998888886,998888886,11.0
2023-10-26,998888885,998888885,998888881,998888882,17.0
2023-10-27,999989998,999989998,999977777,999977777,2.0
2023-10-28,999900000,999900000,999900000,999900000,1.0
2023-10-29,998988888,998988888,998888887,998888887,12.0
2023-10-31,978880887,978880887,978869998,978879888,12.0
2023-11-01,978879877,978879877,978879877,978879877,1.0
2023-11-02,978806663,978806663,978799995,978799995,8.0
2023-11-03,978799992,978799992,978799992,978799992,8.0
2023-11-04,978777772,978777776,978777772,978777776,2.0
2023-11-05,978755554,978755554,978755554,978755554,1.0
2023-11-06,978755554,978755554,978755553,978755553,3.0
2023-11-07,978755553,998988888,978755553,998888877,13.0
2023-11-09,995999998,995999999,993999999,993999999,21.0
2023-11-10,993999998,993999998,989999999,989999999,12.0
2023-11-11,988888887,988888887,987666666,987666666,2.0
2023-11-12,987000000,987000000,986666666,986666666,2.0
2023-11-13,985999999,985999999,985988888,985988888,4.0
2023-11-14,985987777,985987777,985977776,985977776,11.0
2023-11-15,985777777,985777777,985777777,985777777,4.0
2023-11-16,984444443,984444443,984444443,984444443,9.0
2023-11-17,984333222,984333222,984322221,984322221,2.0
2023-11-18,982222222,983999999,982222222,983987777,11.0
2023-11-20,981877776,981877776,981877776,981877776,1.0
2023-11-21,979888882,979888882,979888882,979888882,1.0
2023-11-23,944433333,944433333,933333333,933333333,11.0
2023-11-24,932222222,933222222,932000000,933222222,7.0
2023-11-26,911111111,933300000,911111111,933300000,4.0
2023-11-27,933000000,933000000,933000000,933000000,2.0
2023-11-28,699999999,777777777,699999999,777777777,2.0
2023-11-29,677777775,855555554,677777775,855555554,79.0
2023-12-01,833333332,833333333,831444443,833333333,9.0
2023-12-02,828888888,828888888,828888888,828888888,1.0
2023-12-03,828866666,828866666,826666665,826666665,18.0
2023-12-04,799999999,799999999,733333333,733333333,41.0
2023-12-05,788888888,788888888,788888888,788888888,13.0
2023-12-06,799999999,799999999,799999999,799999999,5.0
2023-12-07,788888888,788888888,788888888,788888888,8.0
2023-12-08,777777777,777777777,777777777,777777777,10.0
2023-12-09,760000000,777777777,760000000,777777777,3.0
2023-12-10,777771111,777771111,777771111,777771111,8.0
2023-12-11,777771110,777771110,777771110,777771110,2.0
2023-12-12,777111100,780000000,777111100,780000000,6.0
2023-12-13,777777111,777777111,777777111,777777111,9.0
2023-12-14,777777111,777777111,777777111,777777111,8.0
2023-12-15,777777111,780000000,699999999,699999999,16.0
2023-12-16,755555555,755555555,750000000,755555550,10.0
2023-12-18,733333333,733333333,733333333,733333333,2.0
2023-12-19,745000000,750000000,745000000,750000000,13.0
2023-12-20,749999999,749999999,749999999,749999999,6.0
2023-12-21,749888888,749988887,749888886,749888886,9.0
2023-12-22,749888844,749888844,749888844,749888844,1.0
2023-12-23,748888887,748888888,748888855,748888855,10.0
2023-12-24,748886655,748888887,748886655,748888887,10.0
2023-12-25,722222222,722222222,722222222,722222222,9.0
2023-12-26,722221111,739899999,722221111,739899999,10.0
2023-12-27,739899998,739899998,700000000,700000000,14.0
2023-12-28,730000000,730000000,730000000,730000000,1.0
2023-12-29,725000000,739690000,725000000,739690000,8.0
2023-12-30,739688887,739688887,730000000,736666666,16.0
2024-01-01,730000000,730000000,730000000,730000000,1.0
2024-01-02,730000000,749999988,730000000,739777777,36.0
2024-01-03,739777777,749999998,739777777,749988887,17.0
2024-01-04,722222221,748888888,722222221,748888888,10.0
2024-01-05,748777776,748777776,733333232,733333232,7.0
2024-01-06,729998888,749988886,728888877,749988886,12.0
2024-01-07,715555555,728888876,715555555,728855555,27.0
2024-01-08,728666666,728865432,728666666,728843331,15.0
2024-01-09,728665554,728665554,728665554,728665554,8.0
2024-01-11,728555553,728555553,699999999,722122221,24.0
2024-01-12,721222221,721222221,721218888,721218888,14.0
2024-01-13,721218887,728550000,718888888,718888888,46.0
2024-01-14,718887776,718887776,700000000,717777777,23.0
2024-01-15,718855544,718855553,698888877,698888877,38.0
2024-01-16,699999999,699999999,698887777,698888877,8.0
2024-01-17,698888887,699999999,698888887,699999999,15.0
2024-01-18,688888888,699888888,688888888,699888888,8.0
2024-01-19,699888555,699888888,699888555,699888888,5.0
2024-01-20,729777777,729988888,699999999,699999999,7.0
2024-01-21,700000000,729999998,700000000,729999998,15.0
2024-01-22,729999998,749999999,729999998,748888877,8.0
2024-01-23,748888866,748888876,748888866,748888876,4.0
2024-01-24,748888888,749999999,748888888,749999999,10.0
2024-01-25,749999888,800000000,749999888,800000000,8.0
2024-01-26,749999999,749999999,749999999,749999999,1.0
2024-01-28,887999988,1298886666,886666666,1298886666,41.0
2024-01-29,1049887666,1049887666,1049887666,1049887666,1.0
2024-01-30,1027999999,1027999999,1011111111,1011111111,12.0
2024-01-31,1011100000,1011100000,999999998,999999998,2.0
2024-02-01,994999998,994999998,991111111,991111111,11.0
2024-02-02,991111110,991111110,977777777,989999998,18.0
2024-02-03,989898989,989898989,739777775,987999999,25.0
2024-02-04,989777775,989777775,989777773,989777773,5.0
