2,High,Low,Open,Close,Volume
2023-07-10,289999000,289999000,289999000,289999000,9.0
2023-07-11,289998887,289998886,289998886,289998887,9.0
2023-07-12,289998880,288888887,288888887,289998880,2.0
2023-07-13,279999988,279899999,279999988,279900000,5.0
2023-07-14,279998888,269999999,269999999,279998888,8.0
2023-07-15,279999998,279999998,279999998,279999998,1.0
2023-07-16,358888888,245555555,279999000,358888888,11.0
2023-07-17,299999999,290899999,290899999,299999999,3.0
2023-07-18,428888888,428888888,428888888,428888888,4.0
2023-07-19,458800000,458800000,458800000,458800000,1.0
2023-07-21,458000000,433333333,449999999,433333333,10.0
2023-07-22,432000000,411000000,432000000,411100000,6.0
2023-07-23,379999998,290000000,311111111,366666660,43.0
2023-07-24,405000000,366666665,366666665,405000000,24.0
2023-07-25,387777777,387777777,387777777,387777777,1.0
2023-07-26,387666666,387555555,387666666,387555555,2.0
2023-07-27,386666665,383333333,386666665,384999999,8.0
2023-07-28,384000000,319999988,355555555,384000000,15.0
2023-07-29,349998888,345555555,345555555,349998888,2.0
2023-07-30,376666555,349999999,349999999,376666555,3.0
2023-07-31,376666665,374444444,374444444,376666665,8.0
2023-08-03,376666666,369999999,369999999,376666666,8.0
2023-08-04,375555555,375555555,375555555,375555555,5.0
2023-08-06,375555555,375554550,375555555,375554550,9.0
2023-08-07,375554555,375554555,375554555,375554555,7.0
2023-08-08,376666666,355555555,355555555,376666666,10.0
2023-08-11,368888888,368888888,368888888,368888888,2.0
2023-08-14,376666555,369999999,369999999,376666555,3.0
2023-08-17,384987654,376665555,376665555,384987654,9.0
2023-08-18,378888000,366666666,366666666,378888000,11.0
2023-08-19,379999911,379999911,379999911,379999911,8.0
2023-08-20,400000000,385000000,385000000,399999999,15.0
2023-08-24,444444443,442999999,442999999,444444443,8.0
2023-08-25,442888888,442888888,442888888,442888888,2.0
2023-08-26,442222222,422222222,422222222,442222222,9.0
2023-08-27,442999899,442222222,442222222,442999899,5.0
2023-08-28,444444444,442888877,442888877,444444444,4.0
2023-08-29,444444444,442888888,442888888,444444444,9.0
2023-08-30,499999999,442222222,444444443,442222222,5.0
2023-08-31,622222222,622222222,622222222,622222222,1.0
2023-09-01,622222111,622222111,622222111,622222111,2.0
2023-09-02,622222222,622222222,622222222,622222222,1.0
2023-09-03,620000000,620000000,620000000,620000000,1.0
2023-09-04,610000000,610000000,610000000,610000000,1.0
2023-09-05,611111111,600000000,611111111,600000000,4.0
2023-09-06,599999999,599999999,599999999,599999999,1.0
2023-09-08,598888888,598888888,598888888,598888888,1.0
2023-09-09,599999999,599999999,599999999,599999999,3.0
2023-09-10,599999999,599999999,599999999,599999999,1.0
2023-09-11,600000000,600000000,600000000,600000000,3.0
2023-09-12,600000000,600000000,600000000,600000000,1.0
2023-09-13,600000000,599999999,599999999,600000000,3.0
2023-09-17,598888888,598888888,598888888,598888888,1.0
2023-09-20,598888887,598800000,598800000,598888887,6.0
2023-09-25,598877777,598877777,598877777,598877777,8.0
2023-09-26,597777777,597777777,597777777,597777777,1.0
2023-09-27,666666666,598699990,598699990,666666666,4.0
2023-09-28,619999999,619999990,619999990,619999999,2.0
2023-10-02,595555555,595555555,595555555,595555555,5.0
2023-10-04,596666666,596666666,596666666,596666666,7.0
2023-10-05,577777777,577777777,577777777,577777777,7.0
2023-10-07,575000000,575000000,575000000,575000000,1.0
2023-10-11,570000000,555555555,570000000,555555555,2.0
2023-10-12,575000000,575000000,575000000,575000000,1.0
2023-10-13,588000000,575000000,575000000,588000000,10.0
2023-10-15,579999999,579999999,579999999,579999999,9.0
2023-10-16,599999999,599999998,599999999,599999998,9.0
2023-10-22,588888888,588888888,588888888,588888888,1.0
2023-10-23,588888888,580000000,580000000,588888888,3.0
2023-10-25,588888888,588888888,588888888,588888888,2.0
2023-10-28,619999999,599999995,599999995,619999999,11.0
2023-10-31,599999995,599999995,599999995,599999995,1.0
2023-11-01,588888888,588888888,588888888,588888888,1.0
2023-11-02,555555555,550000000,555555555,550000000,2.0
2023-11-03,599999992,543210123,543210123,599999992,11.0
2023-11-04,589898999,589898999,589898999,589898999,2.0
2023-11-06,599999992,599999992,599999992,599999992,3.0
2023-11-07,589898998,589898998,589898998,589898998,8.0
2023-11-08,589898999,588888888,589898999,588888888,7.0
2023-11-09,599999992,599999992,599999992,599999992,1.0
2023-11-10,599989999,599989999,599989999,599989999,2.0
2023-11-11,599799989,599799989,599799989,599799989,2.0
2023-11-14,599799989,599799989,599799989,599799989,1.0
2023-11-17,599776666,599776666,599776666,599776666,1.0
2023-11-19,599999995,599776666,599776666,599999995,2.0
2023-11-21,599999995,599777777,599777777,599999995,8.0
2023-11-27,622222222,588888888,588888888,622222222,11.0
2023-11-29,611111111,611111111,611111111,611111111,1.0
2023-12-01,611111111,611111111,611111111,611111111,1.0
2023-12-02,611111111,611111111,611111111,611111111,1.0
2023-12-03,699999999,699999999,699999999,699999999,1.0
2023-12-04,622222222,622222222,622222222,622222222,8.0
2023-12-09,622222222,622222222,622222222,622222222,1.0
2023-12-11,622222220,622222220,622222220,622222220,1.0
2023-12-14,611111111,611111111,611111111,611111111,1.0
2023-12-16,611111110,611111110,611111110,611111110,3.0
2023-12-17,622222200,622222200,622222200,622222200,7.0
2023-12-18,622222222,622222100,622222100,622222222,2.0
2023-12-20,622222222,622222220,622222220,622222222,3.0
2023-12-26,588888880,588888880,588888880,588888880,9.0
2023-12-28,622222200,588888888,588888888,622222200,9.0
2023-12-29,588888880,588888880,588888880,588888880,3.0
2023-12-30,622222222,622222222,622222222,622222222,1.0
2024-01-01,622222222,600000000,600000000,622222222,8.0
2024-01-02,666666666,599999999,599999999,666666666,4.0
2024-01-03,999999999,622222222,622222222,999999999,12.0
2024-01-08,850000000,850000000,850000000,850000000,2.0
2024-01-11,764999999,760000000,760000000,764999999,4.0
2024-01-13,666666666,666666666,666666666,666666666,1.0
2024-01-14,763333330,763333330,763333330,763333330,4.0
2024-01-15,763300000,763300000,763300000,763300000,7.0
2024-01-16,763000000,761999990,761999990,763000000,9.0
2024-01-17,716600000,716600000,716600000,716600000,8.0
2024-01-18,716588000,716500000,716588000,716500000,10.0
2024-01-19,716400000,716400000,716400000,716400000,1.0
