2,High,Low,Open,Close,Volume
2023-08-11,1055555,988888,1022222,1021111,4560.0
2023-08-12,1058888,980000,999999,1000000,5966.0
2023-08-13,1058800,979998,1000000,1028888,7161.0
2023-08-14,1129999,950000,1066666,999999,3262.0
2023-08-15,1010000,900000,977777,1005555,5762.0
2023-08-16,1011109,900000,999998,999999,2226.0
2023-08-17,1011111,965555,997777,999988,7103.0
2023-08-18,1009899,888888,999995,999999,5495.0
2023-08-19,1055555,888888,1000000,999999,8071.0
2023-08-20,1008886,900000,1000000,1000000,4534.0
2023-08-21,1009988,950000,994444,999990,4898.0
2023-08-22,1023077,900000,988886,1021111,8913.0
2023-08-23,1029998,966666,999999,988888,4906.0
2023-08-24,998765,899888,998654,980000,6953.0
2023-08-25,1009999,888888,996660,1009999,6758.0
2023-08-26,1016660,900000,976767,1000000,4121.0
2023-08-27,1028888,928888,995555,1009888,5946.0
2023-08-28,1099999,950000,1000000,1029997,10723.0
2023-08-29,1046666,877777,976666,1046666,6424.0
2023-08-30,999999,666666,888888,991111,15836.0
2023-08-31,1029999,899999,987777,988887,8378.0
2023-09-02,1011111,988888,990000,999999,2206.0
2023-09-03,1037998,922222,1030000,988888,6006.0
2023-09-04,1029888,945555,999998,989898,8936.0
2023-09-05,999999,877777,989999,980000,11159.0
2023-09-06,1011111,950000,950000,999950,3144.0
2023-09-07,1000000,800000,800000,998888,4309.0
2023-09-08,999952,911111,930000,948888,7355.0
2023-09-09,1150000,939999,950000,1077776,26228.0
2023-09-10,1055550,966666,999999,1022221,6227.0
2023-09-11,1199996,987775,999999,999999,8142.0
2023-09-12,1180000,987700,999988,1076655,16623.0
2023-09-13,1099998,999997,1055499,1040000,6810.0
2023-09-14,1043332,900000,990000,1030000,2312.0
2023-09-15,1038798,899999,988888,1038797,3724.0
2023-09-16,1038688,888888,1002222,1000000,7423.0
2023-09-17,1099999,899999,980000,1012121,10139.0
2023-09-18,999988,800000,999000,999970,8578.0
2023-09-19,988888,799999,960000,975000,5191.0
2023-09-20,999999,949999,955555,996666,10299.0
2023-09-21,999998,890000,988888,964443,10277.0
2023-09-22,1022221,887800,970000,986666,8770.0
2023-09-23,1020000,964887,970000,999999,5019.0
2023-09-24,999999,949800,989999,996666,8205.0
2023-09-25,999900,900000,979999,985555,6371.0
2023-09-26,999999,900000,984998,996000,14211.0
2023-09-27,995486,880000,986666,970000,16416.0
2023-09-28,971990,900000,950000,971888,9554.0
2023-09-29,988877,910000,966666,979997,9001.0
2023-09-30,999997,920000,955555,970000,8038.0
2023-10-01,999997,888888,960000,993997,7448.0
2023-10-02,988888,960000,980000,985999,8477.0
2023-10-03,1010000,949999,984444,988888,6129.0
2023-10-04,1010000,888888,968000,999991,17948.0
