2,High,Low,Open,Close,Volume
2024-01-17,2177700000,1966666666,2111110000,1966666666,24.0
2024-01-18,2177699988,1966666666,1999999998,2177699988,67.0
2024-01-19,2144444444,1999999999,2133333332,2111109999,58.0
2024-01-20,2133333333,2081111111,2111110000,2120000000,66.0
2024-01-21,2155554444,2087000000,2119999999,2155554444,44.0
2024-01-22,2155555555,2099999999,2155555555,2122222222,25.0
2024-01-23,2600000000,2000000000,2130000000,2500000000,55.0
2024-01-24,2888888888,2780000000,2888888888,2780000000,2.0
2024-01-25,2779999999,2595555555,2600000000,2776888888,49.0
2024-01-26,2773332999,2755555554,2773332999,2755555554,18.0
2024-01-27,2733330000,2733221110,2733330000,2733221110,6.0
2024-01-29,2650000000,2588877777,2650000000,2588877777,13.0
2024-01-30,2576666666,2488888888,2549999999,2550000000,51.0
2024-01-31,2555555444,2500000000,2500000000,2555555444,4.0
2024-02-01,2633333333,2555455555,2555455555,2633333333,40.0
2024-02-02,2640000000,2640000000,2640000000,2640000000,5.0
2024-02-03,2688866666,2638000000,2638000000,2688866666,23.0
2024-02-04,2688788888,2688788800,2688788888,2688788800,13.0
2024-02-05,2688788800,2666666666,2688780000,2687555555,19.0
2024-02-06,2687665555,2687600000,2687655555,2687660000,13.0
2024-02-07,2999998999,2655555555,2655555555,2999998999,42.0
2024-02-08,2999999666,2999888888,2999888888,2999966655,18.0
2024-02-09,2888888888,2888888887,2888888888,2888888887,2.0
2024-02-10,2855555555,2811111111,2855555555,2811111111,3.0
2024-02-11,2886888888,2886888888,2886888888,2886888888,1.0
2024-02-12,2885544443,2885544443,2885544443,2885544443,4.0
2024-02-13,2888888888,2877777666,2877777777,2888888888,48.0
2024-02-14,3056666666,2988888888,3055555555,2988888888,7.0
2024-02-15,3222222222,3200000000,3200000000,3222222222,9.0
2024-02-17,4255555555,3780000000,3939999999,4199999999,21.0
2024-02-18,5222221111,5222221111,5222221111,5222221111,1.0
2024-02-19,4887777776,4499999999,4499999999,4887777776,8.0
2024-02-20,5200000000,4887777777,4887777777,5199998887,70.0
2024-02-22,4888800000,4888800000,4888800000,4888800000,2.0
2024-02-23,4888555522,4888555522,4888555522,4888555522,1.0
2024-02-25,4799888888,4799888888,4799888888,4799888888,2.0
2024-02-28,4799999999,4799999999,4799999999,4799999999,2.0
2024-02-29,4799999999,4777777777,4777777777,4799999999,5.0
2024-03-01,4799999999,4799999988,4799999988,4799999998,22.0
2024-03-02,4855555555,4733333333,4844444444,4855555555,11.0
2024-03-03,4811111111,4811111111,4811111111,4811111111,1.0
2024-03-04,4999999999,4855555554,4855555554,4999999999,128.0
2024-03-05,4988808888,4978787878,4988000000,4978787878,3.0
2024-03-07,4555500000,4555500000,4555500000,4555500000,3.0
2024-03-09,3900000000,3755500000,3900000000,3755500000,6.0
2024-03-10,3888888888,3755000000,3755000000,3888888888,41.0
2024-03-11,4244444444,4199999999,4244444444,4199999999,15.0
2024-03-12,4255555555,4255555550,4255555550,4255555555,5.0
2024-03-14,4255000000,4255000000,4255000000,4255000000,1.0
2024-03-15,4250000000,4222222222,4222222222,4250000000,2.0
2024-03-16,4249990000,4249990000,4249990000,4249990000,2.0
2024-03-18,4230000000,4230000000,4230000000,4230000000,1.0
2024-03-19,4111111111,4111111111,4111111111,4111111111,1.0
2024-03-20,4190000000,4190000000,4190000000,4190000000,17.0
2024-03-22,4154444444,4100000000,4100000000,4154444444,6.0
2024-03-26,3966000000,3966000000,3966000000,3966000000,2.0
