2,High,Low,Open,Close,Volume
2023-08-09,11455555,9555555,10966666,10886688,642.0
2023-08-10,11111111,9140000,9140000,10444411,10461.0
2023-08-11,10549800,9909000,10444411,10100000,1570.0
2023-08-12,10550000,9999999,10121987,10000000,1729.0
2023-08-13,10110000,9800000,9800000,10097997,1316.0
2023-08-14,11800000,9888888,10097997,10011111,1952.0
2023-08-15,12000000,9980000,9999999,9980000,1419.0
2023-08-16,11999999,9800000,9899999,9966999,1016.0
2023-08-17,10655555,9959999,9966666,10533333,7349.0
2023-08-18,10955555,10298999,10533343,10333329,1773.0
2023-08-19,10999999,10000000,10330000,10000000,2016.0
2023-08-20,11000000,10000000,10444440,10555499,2656.0
2023-08-21,10555400,10000000,10555399,10544399,1994.0
2023-08-22,10544390,10000000,10544390,10000000,433.0
2023-08-23,11000000,9999992,10500000,9999999,181.0
2023-08-24,11000000,9998877,9999998,10199999,2440.0
2023-08-25,11455545,10100000,10199998,10179888,2719.0
2023-08-26,11000000,10154880,10169999,10154880,388.0
2023-08-27,14999999,9999999,10154433,10111110,1510.0
2023-08-28,12000000,9999988,10111000,9999999,1115.0
2023-08-29,10199999,9999999,10088888,10077777,1107.0
2023-08-30,15000000,8888888,10055555,9700000,6328.0
2023-08-31,9999999,9100000,9222221,9666666,1425.0
2023-09-01,10111111,8888888,10100000,10088888,1175.0
2023-09-02,10199999,9888888,10100000,10199999,1996.0
2023-09-03,10999999,10000000,10543332,10888888,4504.0
2023-09-04,10966666,9999999,10717700,9999999,7018.0
2023-09-05,10955554,10000000,10955554,10888887,889.0
2023-09-06,10888886,10000000,10000000,10888886,2083.0
2023-09-07,10961111,10000000,10877755,10850000,1453.0
2023-09-08,10961111,10000000,10859999,10866665,1622.0
2023-09-09,10948888,10000000,10866664,10933333,954.0
2023-09-10,10961111,10880000,10888888,10948887,1821.0
2023-09-11,11877777,10948888,10948888,11858774,2012.0
2023-09-12,11858770,11111111,11854444,11857998,1297.0
2023-09-13,11857997,11111111,11857997,11828887,845.0
2023-09-14,11821885,10000000,10000000,11111110,2820.0
2023-09-15,14999999,10977777,11111000,10999999,986.0
2023-09-16,10999999,9999999,9999999,10999999,80.0
2023-09-17,11111111,10888888,10888888,10944443,2942.0
2023-09-18,11111111,10555555,10888888,10999989,3076.0
2023-09-19,11111111,10888888,10999980,11111111,867.0
2023-09-20,10999999,10555555,10988887,10999999,848.0
2023-09-21,10999998,10940000,10988888,10988888,389.0
2023-09-22,10888887,9000000,10888887,10888877,1150.0
2023-09-23,11111111,10700000,10888866,10700000,1073.0
2023-09-24,11988888,9999999,10799998,10888870,633.0
2023-09-25,10888869,10000000,10888865,10000000,472.0
2023-09-26,10888832,10844443,10888831,10844443,350.0
2023-09-27,10884995,10844444,10844444,10884888,1566.0
2023-09-28,10884995,10111111,10884995,10884991,748.0
2023-09-29,10884991,10240000,10884991,10240000,525.0
2023-09-30,10240000,10109999,10239999,10109999,607.0
2023-10-01,10000000,9888888,9999999,9888888,1477.0
2023-10-02,10855553,9888888,9888888,10666666,5475.0
2023-10-03,11111111,9999999,10855110,10599888,944.0
2023-10-04,10599887,10239999,10599887,10239999,101.0
2023-10-05,10666660,10200000,10222111,10666660,1343.0
2023-10-06,11111111,10288888,11111111,11099999,1648.0
2023-10-07,10599998,10101010,10599998,10579999,578.0
2023-10-08,11111108,10500000,10500000,11088887,2721.0
2023-10-09,11099000,10999994,11088884,10999994,1798.0
2023-10-10,10999992,10000000,10999992,10590000,5854.0
2023-10-11,10989900,10499998,10499998,10988887,1221.0
2023-10-12,10987700,9999999,9999999,10666666,1555.0
2023-10-13,10800000,9999999,10666665,10799999,10756.0
2023-10-14,10800000,10000000,10666666,10000000,322.0
2023-10-15,11111111,10000000,10798887,10000000,34760.0
2023-10-16,11111111,11099999,11111100,11099999,184.0
2023-10-17,11099998,10998885,11099998,10998885,1504.0
2023-10-18,11111111,10555555,10998884,10955555,202.0
2023-10-19,10666664,10219988,10666664,10219988,93.0
2023-10-20,11099999,9997996,10199999,9997996,2096.0
2023-10-21,10088800,9666666,10088800,9965554,645.0
2023-10-22,9966600,9899999,9966600,9965552,82.0
2023-10-23,9900000,9888888,9888888,9899964,500.0
2023-10-24,9899966,9899965,9899966,9899965,350.0
2023-10-25,10888888,9222222,9888888,10888888,1779.0
2023-10-26,10988874,9999999,10666666,10888000,1190.0
2023-10-27,10998883,10111111,10455552,10789999,278.0
2023-10-28,10699999,10198888,10690000,10600000,1086.0
2023-10-29,10699999,9999999,10500000,10599887,7822.0
2023-10-30,10999900,10444444,10599888,10588887,600.0
2023-10-31,10588886,10499998,10588886,10588800,340.0
2023-11-01,10588885,10399998,10588799,10399998,587.0
2023-11-02,10850000,10380000,10380000,10850000,507.0
2023-11-03,10388888,9999999,10388878,10388850,1498.0
2023-11-04,10388860,10360000,10366666,10360000,1248.0
2023-11-05,10555555,10300000,10380000,10388854,1779.0
2023-11-06,11111108,10000000,10380000,11111108,1135.0
2023-11-07,10588800,9999999,10379948,10379941,354.0
2023-11-08,10399999,10299999,10379943,10379942,773.0
2023-11-09,10379943,10379887,10379898,10379887,1015.0
2023-11-10,10555555,10377777,10379888,10379898,1014.0
2023-11-11,10379897,10200000,10379800,10200000,690.0
