2,High,Low,Open,Close,Volume
2023-08-10,933332,850000,850000,900000,727.0
2023-08-11,955555,798888,933333,870000,1901.0
2023-08-12,999999,800000,849999,999998,3568.0
2023-08-13,990000,800000,900000,866666,2882.0
2023-08-14,1000000,766666,888888,880000,3058.0
2023-08-15,886666,798888,799999,849777,3372.0
2023-08-16,949996,800000,902815,949996,3799.0
2023-08-17,999999,818888,870000,990000,3074.0
2023-08-18,999999,877766,999999,934995,2621.0
2023-08-19,999994,849999,900000,999994,2349.0
2023-08-20,1500000,930000,988887,999999,2118.0
2023-08-21,911111,777777,888888,850000,2505.0
2023-08-22,1299990,876666,920000,1299990,3784.0
2023-08-23,1000000,899999,899999,909998,3552.0
2023-08-24,950000,920000,950000,940000,467.0
2023-08-25,1190000,1000000,1109991,1000000,315.0
2023-08-26,1498887,985555,1130000,1011111,2096.0
2023-08-27,980000,787777,960000,848888,4159.0
2023-08-28,888888,600000,855555,870000,2763.0
2023-08-29,988886,828888,886666,899988,3223.0
2023-08-30,900000,650000,830000,899999,2644.0
2023-08-31,1000000,753333,800000,877777,2853.0
2023-09-03,1388888,888888,895600,1388888,3569.0
2023-09-04,1111000,600000,899999,900000,3036.0
2023-09-05,1298888,899999,980000,1270000,4523.0
2023-09-06,1100000,900000,999999,1022222,1608.0
2023-09-07,1099998,890000,950000,1066665,2522.0
2023-09-08,1189998,899999,1100000,1071111,2540.0
2023-09-09,1189977,888888,980000,969999,1543.0
2023-09-10,1000454,900000,960000,1000000,3361.0
2023-09-11,1099999,800000,999997,900000,3322.0
2023-09-12,999999,888888,959000,999999,3420.0
2023-09-13,1219998,940000,970000,1000000,4196.0
2023-09-14,1230000,960000,1000000,1166666,1785.0
2023-09-15,1888888,990000,1000000,1400000,2859.0
2023-09-16,1488884,999999,999999,1349999,2478.0
2023-09-17,1198888,899999,999999,1122222,2922.0
2023-09-18,1050000,888888,1050000,978000,3448.0
2023-09-19,1122222,929999,1010000,940000,3763.0
2023-09-20,1055555,880000,944444,977777,4284.0
2023-09-21,1052222,888888,888888,988888,1558.0
2023-09-22,1200000,940000,1039998,1035555,2736.0
2023-09-23,1066666,880000,1000000,900000,2982.0
2023-09-24,1066665,980000,980000,1066665,2745.0
2023-09-25,1000000,880000,999999,987900,3384.0
2023-09-26,979999,850000,877777,978888,2505.0
2023-09-27,1000000,850000,875554,999999,5355.0
2023-09-28,1049999,885000,986666,980000,2647.0
2023-09-29,1009924,900000,958888,998888,1929.0
2023-09-30,1488888,966655,966666,1099999,3337.0
2023-10-01,1199999,880000,1198800,888888,2344.0
2023-10-02,1000000,849000,979000,886666,2554.0
2023-10-03,899999,799999,800000,878888,2101.0
2023-10-04,1066666,780000,998888,955555,3475.0
2023-10-05,959999,855555,855555,959999,573.0
2023-10-06,1000000,850000,933333,970000,3017.0
2023-10-07,1066660,898989,949999,1000000,2261.0
2023-10-08,1388888,950000,989999,999999,3729.0
2023-10-09,1000000,800000,1000000,999998,2588.0
2023-10-10,988888,700000,850000,950000,3882.0
2023-10-11,999999,861111,888888,999999,2656.0
2023-10-12,1000000,800000,888888,800000,3225.0
2023-10-13,1029999,799999,966666,970000,2592.0
2023-10-14,1288888,929999,999900,960000,4980.0
2023-10-15,1000000,899999,980000,920000,2141.0
2023-10-16,1000000,800000,920000,944444,3396.0
2023-10-17,1199999,800000,969999,995555,4542.0
2023-10-18,1089999,880000,899999,976666,2432.0
2023-10-19,970000,880000,965555,920000,3734.0
2023-10-20,965555,855555,909999,943333,3112.0
2023-10-21,999999,800000,910000,900000,4377.0
2023-10-22,1288883,897777,1011111,1255553,3093.0
2023-10-23,1000000,800000,949999,959999,3382.0
2023-10-24,1000000,700000,958888,989988,3476.0
2023-10-25,1288888,850000,960000,1144333,4297.0
2023-10-26,1250000,960000,1130000,1200000,2276.0
2023-10-27,1555555,990000,1228888,1443330,4642.0
2023-10-28,1439999,1010000,1333333,1033333,2443.0
2023-10-29,1199999,949999,1060000,960000,8826.0
2023-10-30,960000,800000,948888,899999,2250.0
2023-10-31,920000,880000,888788,918999,2054.0
2023-11-02,1000000,908888,958888,911111,546.0
2023-11-03,1000000,800000,907777,978888,2640.0
2023-11-04,1010000,900000,986998,987776,2339.0
2023-11-05,1000000,870000,900000,944444,1952.0
2023-11-06,1050000,800000,900000,939999,6576.0
2023-11-07,940000,849999,940000,900000,1427.0
2023-11-08,1500000,777777,933332,900000,4748.0
2023-11-09,944444,870000,880000,910000,2736.0
2023-11-10,1000000,889999,910000,960000,3374.0
2023-11-11,1100000,790000,960000,970000,2517.0
2023-11-12,1000000,600000,900000,920000,2499.0
2023-11-13,919999,780000,919899,918999,5046.0
2023-11-14,999999,788888,920000,822222,2500.0
2023-11-15,899999,800000,828888,830000,3118.0
2023-11-16,908888,799444,849999,889999,2628.0
2023-11-17,900000,850000,888888,880000,2891.0
2023-11-18,888886,788888,800000,819999,2324.0
2023-11-19,866666,755555,819999,855000,3185.0
2023-11-20,833333,770000,770000,833333,1574.0
2023-11-21,844444,555555,844444,800000,2976.0
2023-11-22,850000,750000,800000,820000,2967.0
2023-11-23,850000,788886,844444,819998,1822.0
2023-11-26,844444,820000,820000,844444,293.0
2023-11-27,888888,750000,800000,841118,2801.0
2023-11-28,1300000,700000,833333,1000000,6376.0
2023-11-29,899999,790000,820000,899999,799.0
2023-11-30,877000,799999,860000,820000,1378.0
2023-12-02,849999,800000,849998,829999,926.0
2023-12-03,999998,700000,800000,870000,3194.0
2023-12-04,848800,750000,841887,848800,4442.0
2023-12-05,855555,700000,820000,800000,3253.0
2023-12-06,820000,770000,800000,780000,3352.0
2023-12-07,866666,750000,799999,830000,2668.0
2023-12-08,833333,700000,833333,800000,1472.0
2023-12-09,888888,700000,800000,799999,3583.0
2023-12-10,958000,780000,799999,790000,3166.0
2023-12-11,980000,700000,800000,810000,3196.0
2023-12-12,999996,748888,789999,810000,3062.0
2023-12-13,999999,499999,799999,999999,3587.0
2023-12-14,988888,700000,899999,933300,2352.0
2023-12-15,978888,750000,811111,799998,2842.0
2023-12-16,1255555,799999,799999,979999,4388.0
