2,High,Low,Open,Close,Volume
2023-08-02,120000000,111000000,111000000,120000000,4.0
2023-08-03,139888888,115555555,115555555,139888888,22.0
2023-08-04,149888888,99999999,133299998,139989988,21.0
2023-08-05,139666666,122222222,122222222,139666666,9.0
2023-08-06,139700000,133330000,139660666,133330000,5.0
2023-08-07,139666665,122222222,133322222,136666666,13.0
2023-08-08,185000000,115555555,115555555,135000000,8.0
2023-08-09,156655555,129999999,138999999,156655555,31.0
2023-08-10,156555554,133333333,152222222,133333333,11.0
2023-08-11,155555555,130000000,136666666,155555555,19.0
2023-08-12,149877777,140000000,140000000,149877777,7.0
2023-08-13,150000000,145000000,149555555,149870000,13.0
2023-08-14,156655555,148888888,149870000,156655555,10.0
2023-08-15,182222222,155500000,156649999,156655555,12.0
2023-08-16,180000000,154444444,154444444,180000000,4.0
2023-08-17,182222222,179999999,179999999,182222222,4.0
2023-08-18,184444444,182222222,184444444,182222222,3.0
2023-08-20,185000000,150000000,150000000,155555555,5.0
2023-08-21,177555554,177555554,177555554,177555554,1.0
2023-08-22,177555554,176666666,176666666,176666666,4.0
2023-08-23,177555498,177444444,177444444,177555497,3.0
2023-08-24,177555497,177555497,177555497,177555497,7.0
2023-08-25,177555498,168888888,168888888,177555498,5.0
2023-08-26,177555498,177555498,177555498,177555498,1.0
2023-08-27,185000000,177333333,177555487,177555497,15.0
2023-08-28,177555497,177555496,177555497,177555496,2.0
2023-08-29,177555495,177555493,177555495,177555493,2.0
2023-08-30,176555550,175555555,175555555,176549999,3.0
2023-08-31,184444433,176549999,176550000,184444433,18.0
2023-09-01,178000000,176549999,178000000,176549999,4.0
2023-09-02,176549998,175000000,175000000,176549998,2.0
2023-09-03,176549997,166666666,175555555,166666666,4.0
2023-09-04,176549996,176549994,176549995,176549994,5.0
2023-09-05,176549995,176548885,176549995,176548885,2.0
2023-09-07,176544442,170000000,170000000,176000000,6.0
2023-09-08,182222222,175555555,176544442,177999998,22.0
2023-09-09,177999997,177999997,177999997,177999997,1.0
2023-09-10,177999997,177999995,177999997,177999997,5.0
2023-09-11,177999996,177999995,177999996,177999995,8.0
2023-09-12,177999995,177999994,177999994,177999994,7.0
2023-09-13,177999993,177999993,177999993,177999993,1.0
2023-09-14,177999993,177998888,177999992,177998888,23.0
2023-09-15,177999993,170000000,170000000,177999887,4.0
2023-09-16,177998887,177998887,177998887,177998887,1.0
2023-09-17,177999888,177777777,177777777,177999887,6.0
2023-09-18,177999886,177999885,177999885,177999886,2.0
2023-09-19,177999886,177999886,177999886,177999886,1.0
2023-09-20,177999886,177777777,177999885,177777777,3.0
2023-09-21,177999886,177998888,177998888,177999886,6.0
2023-09-22,177999886,177999885,177999886,177999885,3.0
2023-09-23,184444444,177999885,177999885,182222221,10.0
2023-09-24,182222221,177999999,177999999,182222221,9.0
2023-09-25,182222220,182222219,182222220,182222219,2.0
2023-09-26,182222219,182222219,182222219,182222219,7.0
2023-09-27,177999993,177999991,177999991,177999993,4.0
2023-09-28,177999992,177999991,177999992,177999991,2.0
2023-09-29,177999991,177999991,177999991,177999991,3.0
2023-09-30,177999991,177999991,177999991,177999991,1.0
2023-10-01,182222221,180000000,182222221,181111000,6.0
2023-10-02,184444444,155555555,184444444,179999999,14.0
2023-10-03,179999999,168888888,168888888,179999998,11.0
2023-10-04,165555554,164999999,165555554,164999999,2.0
2023-10-05,165400000,164999999,164999999,165400000,2.0
2023-10-06,165444443,165444443,165444443,165444443,2.0
2023-10-07,165444443,158888888,165444443,159999998,12.0
2023-10-08,165222222,150000000,152222222,150000000,11.0
2023-10-09,159999998,133333333,133333333,155555555,10.0
2023-10-10,160000000,150000000,159999998,160000000,14.0
2023-10-11,180000000,162222222,163299999,180000000,10.0
2023-10-12,176665555,175555555,176665555,176664443,3.0
2023-10-13,188875545,155555555,176633333,176664443,8.0
