2,High,Low,Open,Close,Volume
2023-07-14,1288800000,1288800000,1288800000,1288800000,1.0
2023-07-15,1288888888,1266666666,1288888886,1288888800,10.0
2023-07-16,1299999999,1288888000,1288888000,1289999999,8.0
2023-07-17,1322222222,1299000000,1299000000,1322222222,13.0
2023-07-18,1333333333,1299999999,1299999999,1333333333,10.0
2023-07-19,1349998991,1277777777,1349998991,1277777777,5.0
2023-07-20,1322222222,1199999999,1279999998,1199999999,15.0
2023-07-21,1187777777,1111111111,1187777777,1166666666,8.0
2023-07-22,1209999999,1150000000,1150000000,1209999999,13.0
2023-07-23,1311111111,1211111111,1211111111,1311111111,15.0
2023-07-24,1333333331,1255555555,1322222222,1333333331,12.0
2023-07-25,1338888888,1322222222,1333333333,1338888888,6.0
2023-07-26,1500000000,1299999999,1340000000,1500000000,11.0
2023-07-27,1488800000,1234567890,1234567890,1448888888,12.0
2023-07-28,1479999999,1450000000,1465555555,1478888888,13.0
2023-07-29,1478888888,1299999999,1478888888,1455549999,11.0
2023-07-30,1480000000,1422222222,1479888888,1466644444,7.0
2023-07-31,1477776999,1222222222,1466666663,1455555554,8.0
2023-08-01,1477776999,1444444444,1444444444,1466666666,10.0
2023-08-02,1477776999,1477766666,1477766666,1477776999,7.0
2023-08-03,1465555554,1399999999,1465555554,1399999999,8.0
2023-08-04,1400000000,1350000000,1400000000,1388555555,14.0
2023-08-05,1388888799,1222222222,1388666666,1299999999,17.0
2023-08-06,1388869999,1332222222,1332222222,1388869999,9.0
2023-08-07,1444444444,1380000000,1380000000,1433333333,11.0
2023-08-08,1500000000,1433333332,1433333332,1465555555,14.0
2023-08-09,1666666666,1399999999,1399999999,1488888888,10.0
2023-08-10,1499999999,1333333333,1488888888,1455555555,13.0
2023-08-11,1455555555,1400000000,1444444444,1411111111,13.0
2023-08-12,1457777777,1420000000,1422222221,1450000000,11.0
2023-08-13,1455555555,1400000000,1449880000,1455555555,12.0
2023-08-14,1499999997,1400000000,1443333333,1499999997,9.0
2023-08-15,1499999999,1477777777,1488888888,1499999998,4.0
2023-08-16,1499999998,1480000000,1499988888,1487654321,4.0
2023-08-17,1477777777,1350000000,1450000000,1433333333,11.0
2023-08-18,1455555555,1422222220,1422222220,1455555554,9.0
2023-08-19,1465555555,1440000000,1440000000,1465555555,9.0
2023-08-20,1488888886,1400000000,1465555550,1488088888,16.0
2023-08-21,1488799999,1450000000,1450000000,1487555555,6.0
2023-08-22,1488888887,1444444444,1444444444,1488888887,10.0
2023-08-23,1510000000,1444444444,1488888887,1444444444,15.0
2023-08-24,1477777777,1199999999,1399999999,1388886665,15.0
2023-08-25,1388888888,1333333333,1388888887,1388888888,10.0
2023-08-26,1488866666,1388888888,1388888888,1488866666,15.0
2023-08-27,1599999999,1466666666,1466666666,1599999998,17.0
2023-08-28,1599999999,1555555555,1599999999,1599999999,6.0
2023-08-29,1769999999,1599998888,1599998888,1769999999,7.0
2023-08-30,1765555555,1511111111,1755555555,1755555555,5.0
2023-08-31,1655553333,1555555555,1655553333,1633330000,11.0
2023-09-01,1622222222,1600000000,1600000000,1620000000,8.0
2023-09-02,1653333333,1566666666,1622111111,1566666666,13.0
2023-09-03,1632211111,1578888888,1578888888,1632211111,11.0
2023-09-04,1680000000,1611111111,1633333322,1680000000,13.0
2023-09-05,1729999900,1688888888,1688888888,1729999900,13.0
2023-09-06,1729999999,1699999999,1699999999,1729999999,3.0
2023-09-07,1687777777,1550000000,1687777777,1649999999,13.0
2023-09-08,1650000000,1644444443,1644444444,1644444444,10.0
2023-09-09,1655555555,1577777777,1649999999,1577777777,10.0
2023-09-10,1599999999,1499999999,1588888888,1588888888,12.0
2023-09-11,1666666666,1499999999,1499999999,1666666666,7.0
2023-09-12,1733333328,1649999988,1688888000,1732222222,10.0
2023-09-13,1733333333,1666666665,1699999999,1700000000,11.0
2023-09-14,1711111111,1650000000,1690000000,1699999999,14.0
2023-09-15,1688888888,1599999999,1688879999,1688888887,18.0
2023-09-16,1733333332,1666666665,1688888888,1666666665,11.0
2023-09-17,1777777777,1622220000,1622220000,1777777777,15.0
2023-09-18,1888888888,1748888888,1748888888,1793333333,6.0
2023-09-19,1779999999,1733333333,1779999999,1750000000,8.0
2023-09-20,1755555555,1599999999,1700000000,1699999999,9.0
2023-09-21,1699999999,1650000000,1699888888,1699998765,14.0
2023-09-22,1655444444,1599999999,1638888888,1653333330,6.0
2023-09-23,1655555555,1599988888,1633333333,1655555555,9.0
2023-09-24,1788888888,1499999999,1666666666,1649999999,8.0
2023-09-25,1768000000,1650000000,1650000000,1749999999,8.0
2023-09-26,1750000000,1722000000,1750000000,1722000000,3.0
2023-09-27,1711000000,1699999999,1699999999,1699999999,5.0
2023-09-28,1760000000,1577444444,1722222222,1577444444,10.0
2023-09-29,1599999990,1500000000,1589999999,1599999990,12.0
2023-09-30,1599999999,1577777777,1599999990,1599999999,9.0
2023-10-01,1600000000,1500000000,1599999998,1566666666,13.0
2023-10-02,1788800000,1600000000,1600000000,1699999999,12.0
2023-10-03,1770000000,1698888888,1769000000,1698888888,5.0
2023-10-04,1699111111,1688888888,1688888888,1699111111,4.0
2023-10-05,1666666666,1488888888,1666666666,1500000000,14.0
2023-10-06,1555555555,1466666666,1549999989,1466666666,12.0
2023-10-07,1477777777,1450000000,1450000000,1470000000,9.0
2023-10-08,1499999999,1400000000,1477777776,1466666666,15.0
2023-10-09,1566666666,1470000000,1470000000,1566666666,6.0
2023-10-10,1666666666,1567777777,1577777777,1655555555,6.0
2023-10-11,1688888888,1622222222,1655550000,1666666666,12.0
2023-10-12,1688888886,1548888888,1666666666,1549999999,14.0
2023-10-13,1599999999,1550000000,1550000000,1588888888,15.0
2023-10-14,1688888888,1599888888,1599888888,1688888888,16.0
2023-10-15,1699999900,1666666660,1699999900,1666666665,3.0
2023-10-16,1699999999,1599999999,1599999999,1666666666,12.0
2023-10-17,1699999999,1675000000,1675000000,1699999888,4.0
2023-10-18,1685555555,1670000000,1670000000,1685555555,2.0
2023-10-19,1611111111,1500000000,1599999999,1599999888,10.0
2023-10-20,1452000000,1311111110,1452000000,1311111111,8.0
2023-10-21,1399999998,1280000000,1333333332,1320000000,10.0
2023-10-22,1388886666,1350000000,1355500000,1377777776,13.0
2023-10-23,1377777777,1375555555,1375555555,1377777777,5.0
2023-10-24,1388888888,1366666666,1377700000,1388888888,7.0
2023-10-25,1444444444,1350000000,1377777777,1400000000,9.0
