2,High,Low,Open,Close,Volume
2024-01-21,1455555555,1399999999,1449998888,1444444444,145.0
2024-01-22,1549990000,1399999999,1455555553,1470000000,471.0
2024-01-23,1640000000,1333333333,1411111111,1600000000,258.0
2024-01-24,1648880000,1598887777,1629998800,1600000000,117.0
2024-01-25,1640000000,1599988887,1599999999,1629999999,68.0
2024-01-26,1841099999,1601111111,1629998885,1700000000,338.0
2024-01-27,1722222222,1595555555,1722222222,1595555555,28.0
2024-01-28,1622222220,1500000000,1588888887,1500000000,73.0
2024-01-29,1555555555,1500000000,1522222222,1555555555,159.0
2024-01-30,1588888887,1499999999,1499999999,1588777766,29.0
2024-01-31,1588888880,1555555555,1559999999,1587700000,37.0
2024-02-01,1588888887,1555554444,1577666666,1588888887,84.0
2024-02-02,1999999999,1558888888,1999999999,1558888888,84.0
2024-02-03,1588888887,1565498980,1565498980,1580000000,175.61248886177745
2024-02-04,1587999000,1565888888,1580000000,1587000000,65.0
2024-02-05,1666666666,1555555555,1569999999,1666666666,180.0
2024-02-06,1797000000,1500000000,1599999999,1732200000,36.0
2024-02-07,1732222211,1699899999,1699899999,1732000000,76.11730101424631
2024-02-08,1755555555,1710000000,1710000000,1755555555,144.0
2024-02-09,1777777775,1766666555,1766666555,1777777775,8.0
2024-02-10,1777777775,1686666666,1777777775,1765555555,95.0
2024-02-11,1747988887,1747988887,1747988887,1747988887,4.0
2024-02-12,1747000000,1747000000,1747000000,1747000000,2.0
2024-02-13,1711111111,1688888888,1688888888,1711111111,238.0
2024-02-14,1888888888,1699988877,1699988877,1888888888,166.0
2024-02-15,1899099999,1722222222,1722222222,1878888887,130.0
2024-02-16,1849999999,1500000000,1832211110,1833333332,181.0
2024-02-17,2488877777,1832222222,1832222222,2488877777,487.94949494699495
2024-02-18,2486888886,2255555555,2486888886,2333333333,276.0
2024-02-19,2666666666,2300000000,2438888000,2555323333,497.0
2024-02-20,2554444444,2044444444,2554444444,2044444444,56.0
2024-02-21,1998888888,1988888888,1988888888,1998888888,11.0
2024-02-22,1999999999,1866666666,1980000000,1965555555,28.0
2024-02-23,1964343433,1909999999,1963333333,1964343433,204.0
2024-02-24,1956666666,1887777777,1955555555,1948877777,91.0
2024-02-25,1964343432,1932222000,1932222000,1963000000,171.0
2024-02-26,2333333333,1962877776,1962877776,2066666666,191.0
2024-02-27,2238888888,2166666666,2222222222,2166666666,3.0
2024-02-28,2158888887,2158777000,2158888887,2158777777,8.0
2024-02-29,2218888888,2155555554,2155555554,2211111111,109.0
2024-03-01,2188888777,2176666666,2188888777,2188860000,134.43142569836183
2024-03-02,2188888888,2111111111,2111111111,2188870000,41.0
2024-03-03,2198800000,2177777777,2177777777,2188799999,70.0
2024-03-04,2181777777,2155000000,2181777777,2155333000,14.0
2024-03-05,2155329999,2110000000,2155320000,2110000000,8.0
2024-03-06,2107555555,2098888888,2107555555,2098999999,37.0
2024-03-07,1800000000,1778777777,1788888888,1788888887,6.0
2024-03-08,1788888886,1765000000,1788888886,1765000000,3.0
2024-03-09,1621111111,1553333333,1621111111,1599999997,54.0
2024-03-10,1599996997,1596660000,1599996997,1596661110,28.0
2024-03-11,1596666666,1588888888,1588888888,1596666600,85.0
2024-03-12,1622222221,1588888888,1588888888,1622222200,208.0
2024-03-13,1622222221,1622222200,1622222200,1622222200,37.0
2024-03-14,1666666665,1555555555,1622222200,1666660000,274.0
2024-03-15,1666665555,1655555555,1655555555,1655555555,11.0
2024-03-16,1666666664,1599999999,1655555555,1599999999,20.0
2024-03-17,1666666666,1666659988,1666666665,1666666666,93.0
2024-03-18,1666660000,1655555555,1655555555,1666660000,5.0
2024-03-19,1650000000,1633333333,1650000000,1633333333,38.0
2024-03-20,1665555555,1650000000,1650000000,1665555555,13.0
2024-03-21,1654444444,1654444444,1654444444,1654444444,3.0
2024-03-22,1649999998,1644444443,1644444444,1649999997,18.0
2024-03-23,1644444443,1642499998,1644440000,1642499998,11.0
2024-03-24,1622220000,1622212222,1622212222,1622220000,8.0
2024-03-25,1533333332,1533333332,1533333332,1533333332,1.0
2024-03-26,1534999997,1522222222,1534999997,1534990000,7.0
2024-03-27,1535000000,1530000000,1530000000,1535000000,46.0
2024-03-28,1576666666,1553333333,1576666666,1576666665,14.0
2024-03-29,1576555555,1555555554,1576555554,1555555554,55.0
2024-03-30,1576600000,1533333333,1555555554,1533333333,13.0
2024-03-31,1566656555,1554414444,1566656555,1554414444,23.0
2024-04-01,1568888887,1554414443,1554414443,1568888877,226.0
2024-04-02,1568888887,1555550000,1555550000,1568888887,40.0
2024-04-03,1573850000,1555555555,1568800000,1573000000,56.0
2024-04-04,1576666665,1565000000,1565000000,1576666665,111.0
2024-04-05,1648888888,1576666665,1576666665,1599999999,27.0
2024-04-06,1599999998,1499999999,1599999998,1599780000,98.0
2024-04-07,1599780000,1566666666,1588888888,1596660000,63.0
2024-04-08,1596666000,1577777777,1596555555,1596655555,180.0
2024-04-09,1600000000,1596666000,1596666000,1599999998,83.0
2024-04-10,1649999999,1550000000,1550000000,1649999999,100.0
2024-04-11,1649999999,1644444444,1649999888,1649999999,7.0
2024-04-12,1648888888,1633333333,1644444444,1648888885,6.0
2024-04-13,1649999999,1633333333,1633333333,1649999999,80.0
2024-04-14,1649999999,1648800000,1648800000,1649999999,28.0
