2,High,Low,Open,Close,Volume
2023-10-26,37700000,37700000,37700000,37700000,2.0
2023-10-27,39999998,37766666,37766666,39999998,54.0
2023-10-28,39999998,33333333,33333333,39888888,20.0
2023-10-29,41111111,35000000,39880000,35555555,32.0
2023-10-30,39999999,38887777,38887777,39999999,12.0
2023-10-31,39855555,33333333,33333333,39000000,15.0
2023-11-01,36565555,35000000,36000000,35999999,7.0
2023-11-02,39988888,30000000,35555555,37777777,32.0
2023-11-03,46000000,35555555,35555555,38000000,106.0
2023-11-04,39998888,38000000,39878945,39998888,11.0
2023-11-05,38888888,35000000,35000000,38888888,11.0
2023-11-06,39977777,38888888,39000000,39888887,49.0
2023-11-07,39966666,33333333,39000000,33333333,37.0
2023-11-08,39000000,37999990,37999999,38888880,7.0
2023-11-09,38886666,35000000,37777777,37777777,51.0
2023-11-10,39999999,37700000,37700000,38888888,37.0
2023-11-11,39999999,38888880,38888880,39999999,32.0
2023-11-12,39999998,38888888,39555555,39999998,47.0
2023-11-13,39998888,35549999,35549999,35555555,49.0
2023-11-14,76555555,38888888,39999999,39999999,16.0
2023-11-15,39999998,31111111,31111111,32222222,37.0
2023-11-16,39999999,38000000,38000000,39999999,26.0
2023-11-17,49655777,39000000,39555555,39999999,146.0
2023-11-18,46666666,46645555,46645555,46655555,4.0
2023-11-19,39999999,38888888,38888888,39999999,3.0
2023-11-20,44888877,39999999,40000000,40000000,12.0
2023-11-21,44444433,37777777,37777777,43888888,42.0
2023-11-22,43666666,38000000,43666666,39000000,12.0
2023-11-23,38888888,38877777,38877777,38888888,3.0
2023-11-24,43888888,39511111,39746278,43888888,29.0
2023-11-25,49888888,44444444,45000000,49488888,30.0
2023-11-26,49479999,45555555,48000000,46333333,276.0
2023-11-27,55555555,46666666,47999999,46666666,27.0
2023-11-29,58888888,45550000,45550000,58888888,81.0
2023-11-30,55555554,40000000,49999999,40000000,13.0
2023-12-01,63333333,39999999,50000000,54444440,34.0
2023-12-02,53333331,49880000,53333331,49999999,28.0
2023-12-03,54444443,48888888,49999998,52220000,97.0
2023-12-04,51999996,49999998,49999999,51555553,47.0
2023-12-05,51549999,47990000,47990000,51549999,22.0
2023-12-06,51539999,50777777,50888886,51539999,54.0
2023-12-07,51539988,46000000,46000000,50999999,57.0
2023-12-08,51480000,48888887,48888887,51000000,61.0
2023-12-09,49999999,45555555,49999999,49199997,72.0
2023-12-10,48888888,44885555,48888888,48888888,44.0
2023-12-11,49199997,35555555,44444444,44444444,38.0
2023-12-12,49199998,44444444,44444444,48888888,17.0
2023-12-13,49199999,48777777,49199999,48888888,6.0
2023-12-14,49199999,48888880,49199999,48888880,16.0
2023-12-15,45555555,45555555,45555555,45555555,20.0
2023-12-16,45555554,42222000,42222000,45555554,16.0
2023-12-17,46666666,44000000,44000000,46666666,16.0
2023-12-18,49199999,40555555,40555555,49199999,57.02702702439737
2023-12-19,49199999,47777777,47777777,49199999,35.0
2023-12-20,49199999,42222222,42222222,49199999,30.0
2023-12-21,48999999,47777777,48999999,47777777,6.0
2023-12-22,47777770,47777770,47777770,47777770,47.0
2023-12-23,44990000,44444444,44444444,44990000,3.0
2023-12-24,44000000,42222222,42222222,44000000,14.0
2023-12-25,49199999,44000000,44000000,49199999,43.0
2023-12-26,57777777,39999999,49999999,39999999,38.0
2023-12-27,49199999,32222222,32222222,49199999,52.0
2023-12-28,49199999,48888888,48888888,49199999,21.0
2023-12-29,48888888,48777777,48777777,48888888,2.0
2023-12-30,54440000,48888888,48888888,49999999,27.0
2023-12-31,60000000,53999911,54430000,60000000,18.0
2024-01-01,55000000,54500000,55000000,54500000,5.0
2024-01-02,55000000,50000000,54999999,50000000,8.0
2024-01-03,53444444,49999999,53444444,51111111,33.0
2024-01-04,51000000,44444444,44444444,51000000,3.0
2024-01-07,55555555,53999999,53999999,55555555,9.0
2024-01-08,57777777,50000000,56666655,50000000,23.0
2024-01-09,50000000,48888888,48888888,50000000,8.0
2024-01-10,49999999,47777777,49999999,47777777,4.0
2024-01-11,42222222,29999999,41111111,29999999,29.0
2024-01-12,42111111,33333333,33333333,35000000,65.0
2024-01-13,57775555,35000000,35000000,49999888,138.0
2024-01-14,48777776,46666665,46888888,46666665,63.0
2024-01-15,43333333,42222222,42222222,43333333,11.0
2024-01-17,41100000,31111000,31111000,40888888,118.0
2024-01-18,35555555,29888888,34888888,35000000,34.0
2024-01-19,46000000,35555555,35555555,46000000,90.0
2024-01-20,48000000,41998888,46654444,46665555,37.0
2024-01-21,49999999,33333332,38888888,42222222,33.0
2024-01-22,47777777,39900000,43333333,39999999,31.0
2024-01-24,58888888,36888888,37777777,37749999,20.0
2024-01-25,40000000,32000000,35555554,40000000,103.0
2024-01-26,38000000,28888888,35555555,36999999,61.0
2024-01-27,39999999,33000000,35999999,34999999,125.0
2024-01-28,38770000,32000000,32222221,36666666,96.0
2024-01-29,46666666,26666666,32000000,27777777,99.0
2024-02-06,51544444,41500000,47700000,42000000,8.0
2024-02-07,41111111,36663888,41111111,37777777,40.0
2024-02-08,42220000,29999999,29999999,42220000,22.0
2024-02-09,49999999,30000000,38888888,49999999,41.0
2024-02-10,49999990,42220000,43333333,49999990,41.0
2024-02-11,49999999,45555555,49999999,49998888,61.0
2024-02-12,48888888,39999999,47777777,39999999,41.0
2024-02-13,47770000,40000000,42222221,42222222,25.0
2024-02-14,47777776,33333333,40000000,45555555,36.0
2024-02-15,49999999,39999999,46885555,49999999,443.0
2024-02-16,49998887,43333333,49988888,48888887,48.0
2024-02-17,56666666,46000000,47777777,56666666,57.0
2024-02-18,80000000,55555555,57777777,62111111,63.0
2024-02-19,69999998,48888888,50000000,67000000,152.0
2024-02-20,69999999,51111111,65330000,51111111,80.0
2024-02-22,49888869,44444444,47777777,49888088,49.0
2024-02-23,49800000,41999999,45555555,48888800,58.0
2024-02-24,56100000,47888888,47888888,56100000,28.0
2024-02-25,49888879,48888888,48888888,49888879,4.0
2024-02-26,52222222,48888888,48888888,52222222,12.0
2024-02-27,54298888,49999998,49999998,54298888,7.0
2024-02-28,50880000,49966666,50866666,49980000,25.0
2024-02-29,49880000,39999999,49000000,44999999,35.0
2024-03-01,43333333,36666666,43333332,36666666,48.0
2024-03-02,42999999,38777777,39999999,42888888,119.0
2024-03-03,44666666,39999999,40000000,44444444,63.0
2024-03-04,47000000,42000000,42222222,46666666,71.0
2024-03-05,46666666,43000000,43000000,46666666,44.0
2024-03-06,45999998,36666666,36666666,45999998,19.0
2024-03-07,54299988,32222222,38555555,54299988,89.0
2024-03-08,66666666,54299999,54299999,66644440,35.0
2024-03-09,66633333,45444444,66633333,54288887,42.0
2024-03-10,49999999,46666664,49999999,47777777,22.0
2024-03-11,44999999,44500000,44999999,44500000,22.0
2024-03-18,34999999,19998888,28888888,33333333,288.0
2024-03-24,26666666,22988888,23077777,25000000,448.0
2024-03-25,26166666,20000000,25833333,25000000,430.0
2024-04-03,26490000,24000000,26000000,24000000,55.0
2024-04-04,25880000,21110000,23333331,24000000,405.0
2024-04-05,23777777,22700000,23777777,23333333,102.0
2024-04-06,23333333,19999999,23320000,21998999,269.0
2024-04-07,21101111,19900000,19999999,20799999,166.0
2024-04-08,20800000,19999999,20000000,20000000,298.0
2024-04-12,20900000,18666666,18666666,20900000,191.0
2024-04-13,22222222,18888888,19999998,18888888,180.0
2024-04-14,19999999,14333333,15555555,14333333,235.0
2024-04-15,18000000,13777777,14111111,18000000,135.0
2024-04-21,17775555,17775555,17775555,17775555,1.0
2024-04-22,17999999,16900000,17776650,17999999,144.0
2024-04-23,18500000,17000000,17000000,18222222,28.0
2024-04-24,18888000,16888888,16888888,18888000,119.0
2024-04-25,18499998,18200000,18210000,18222222,20.0
2024-04-26,18555555,15555554,18000000,18000000,67.0
2024-04-27,17998888,16666666,17000000,17888888,147.0
2024-04-28,17777000,14999999,17776666,17555555,43.0
2024-04-29,17543333,17333333,17444444,17444444,71.0
2024-05-04,16655555,14444444,14444444,15498887,7.0
2024-05-05,28888888,12000000,14990000,14444444,160.0
2024-05-06,15000000,11488800,14111111,15000000,220.0
2024-05-08,20000000,15000000,20000000,15000000,9.0
2024-05-09,18888877,16999999,18444444,17999900,50.0
2024-05-10,21111111,16666555,16666555,19999999,137.0
2024-05-11,20999999,15000000,16666666,19999999,188.0
2024-05-12,23333333,20000000,20888888,23333333,179.0
2024-05-13,22222222,19500000,19500000,22222222,22.0
2024-05-15,23330000,21800000,21859998,23300000,65.0
2024-05-16,23330000,22221111,22221111,23300000,28.0
2024-05-17,23188888,21111111,22200000,23188888,107.0
2024-05-18,23333331,19999999,19999999,19999999,176.0
2024-05-19,23130000,16655555,20666666,23130000,318.0
2024-05-20,27758888,21111111,22222220,27000000,270.0
2024-05-21,21887900,15000000,18000000,21887900,154.0
2024-05-22,35888888,19999998,20888888,34988888,310.0
2024-05-23,34885554,19999997,22222222,34444444,212.0
2024-05-24,34444333,21000000,34444333,32654321,144.0
2024-05-25,35888676,19999999,23000000,29999999,363.0
2024-05-26,29988888,19999999,28855555,23333335,314.0
2024-05-27,25888888,25555555,25888888,25555555,60.0
2024-06-08,18588888,18588888,18588888,18588888,100.0
