2,High,Low,Open,Close,Volume
2023-09-25,21000000,19000000,19655555,20990000,49.0
2023-09-26,21000000,18000000,20999999,20400000,43.0
2023-09-27,21665999,15500000,20400000,20000000,59.0
2023-09-28,21111111,18000000,20080000,21111111,38.0
2023-09-29,22222222,15000000,21111111,18999999,35.0
2023-09-30,21111111,16000000,19000000,20000000,58.0
2023-10-01,20999999,19666666,19999999,20999999,52.0
2023-10-02,21000000,18870000,21000000,20000000,56.0
2023-10-03,21000000,20444444,20777777,20555555,20.0
2023-10-04,22000000,17888888,20888888,21000000,53.0
2023-10-05,22000000,19999998,21777775,20999998,35.0
2023-10-06,23000000,20000000,20999998,20999999,56.0
2023-10-07,21000000,17999999,19999999,21000000,39.0
2023-10-08,23000000,18880000,21000000,21999999,43.0
2023-10-09,22222222,17000000,21999999,19999999,69.0
2023-10-10,23588888,20000000,21500000,23333332,57.0
2023-10-11,23990000,21111111,22220000,23000000,48.0
2023-10-12,23888888,19888888,23000000,21999999,50.0
2023-10-13,23220000,19444444,21999998,21998888,57.0
2023-10-14,22222222,19000000,21999999,19999999,49.0
2023-10-15,23888888,19000000,19999999,23888888,72.0
2023-10-16,23333333,18888888,23211111,19999999,56.0
2023-10-17,23888888,19999999,21000000,23888888,54.0
2023-10-18,33333333,19999999,23888888,28888888,46.0
2023-10-19,29000000,21900000,28999999,24444444,63.0
2023-10-20,26742888,20000000,24444444,25000000,111.0
2023-10-21,29700000,22222220,25499999,28666660,46.0
2023-10-22,28888886,22000000,28666666,26488888,61.0
2023-10-23,25500000,19999999,25500000,23199999,69.0
2023-10-24,26666666,20000000,23200000,22000000,89.0
2023-10-25,25999998,18999999,19999999,25000000,63.0
2023-10-26,27776665,20000000,25988888,26000000,59.0
2023-10-27,29999999,20000000,25999999,24999998,67.0
2023-10-28,29999999,24220000,24798000,28888888,93.0
2023-10-29,40000000,18000000,31833333,33333333,707.0
2023-10-30,36666666,17999999,33333333,21000000,47.0
2023-10-31,21888887,17888888,19500000,19999999,32.0
2023-11-01,25555555,16000000,18888888,18888887,21.0
2023-11-02,23300000,18000000,18000000,23300000,34.0
2023-11-03,23000000,19999998,22000000,22000000,50.0
2023-11-04,22222222,19950000,22000000,21999999,65.0
2023-11-05,24555555,19000000,22000000,24000000,58.0
2023-11-06,24567890,17888888,24500000,20898800,39.0
2023-11-07,20999999,17000000,20990000,20980000,24.0
2023-11-08,22222222,19999999,20900000,22220000,55.0
2023-11-09,23500000,15999999,22222222,23000000,55.0
2023-11-10,23444444,20999999,22999999,20999999,42.0
2023-11-11,22222222,21000000,21666666,22222222,54.0
2023-11-12,24444444,19999999,22222222,22000000,69.0
2023-11-13,22000000,15500000,22000000,18888877,66.0
2023-11-14,22000000,18500000,18500000,21980000,53.0
2023-11-15,22222222,19888888,21979999,21000000,50.0
2023-11-16,21888886,19999999,21000000,21677777,28.0
2023-11-17,21766666,18000000,21500000,20199999,56.0
2023-11-18,23333333,15000000,20200000,23319999,81.0
2023-11-19,23330000,16666666,23000000,20999999,55.0
2023-11-20,111111111,15000000,21111111,20000000,57.0
2023-11-21,21111111,18888888,20500000,21111111,82.0
2023-11-22,21776666,20000000,21776666,20500000,30.0
2023-11-23,21000000,19999999,20850000,20888888,38.0
2023-11-24,21888888,15000000,20880000,20800000,55.0
2023-11-25,33000000,17777777,20790000,20000000,46.0
2023-11-26,20999999,16888888,20880000,20650000,68.0
2023-11-27,20543333,17999999,20500000,20540000,81.0
2023-11-28,20999999,13000000,20540000,20989999,49.0
2023-11-29,20980000,19990000,20800000,20980000,9.0
2023-11-30,20959988,17000000,20959988,20499999,46.0
2023-12-01,20999999,19000000,20222222,20000000,39.0
2023-12-02,21000000,13888888,20800000,21000000,73.0
2023-12-03,23333333,19999999,21000000,19999999,54.0
2023-12-04,21111111,15000000,19998888,20222221,60.0
2023-12-05,22000000,18888888,20222222,19999999,28.0
2023-12-06,22222222,19999999,19999999,20999999,53.0
2023-12-07,22222222,19999999,20999999,22222222,60.0
2023-12-08,24990000,20000000,22544444,23000000,61.0
2023-12-09,26750000,19999999,23000000,23999988,79.0
2023-12-10,23999999,19888888,23990000,22111111,57.0
2023-12-11,23500000,15000000,22222222,19999999,72.0
2023-12-12,24500000,18777767,20000000,20999999,71.0
2023-12-13,24999999,18000000,19333333,22222211,61.0
2023-12-14,22999999,19999999,21990000,21000000,59.0
2023-12-15,25000000,16666666,21000000,19999999,52.0
2023-12-16,30000000,19888888,20000000,20000000,52.0
2023-12-17,24888880,16899990,20999999,23600000,67.0
2023-12-18,24000000,12000000,23700000,21111111,65.0
2023-12-19,23333333,13999999,21777776,20000000,63.0
2023-12-20,23333333,17999999,19500000,22000000,61.0
2023-12-21,23000000,19888888,20000000,22499999,41.0
2023-12-22,23333333,19000000,21000000,22222220,47.0
2023-12-23,23333333,19999999,22222220,20444444,48.0
2023-12-24,21000000,18000000,20999999,21000000,46.0
2023-12-25,22222222,18887777,19999999,20666666,50.0
2023-12-26,22000000,14999999,14999999,21999980,64.0
2023-12-27,23333333,17888888,21999999,23333333,59.0
2023-12-28,25000000,20000000,22222222,22990000,47.0
2023-12-29,28000000,16888888,23999999,25555555,69.0
2023-12-30,39999999,26000000,26666666,33333333,44.0
2023-12-31,34999999,22222222,34000000,30000000,39.0
2024-01-01,31000000,15000000,29000000,22000000,64.0
2024-01-02,25850000,18888888,22000000,24444444,63.0
2024-01-03,40000000,19900000,24500000,39666666,62.0
2024-01-04,39666665,20000000,26666666,32888888,51.0
2024-01-05,59876543,26666666,32888888,34000000,56.0
2024-01-06,38000000,29999999,34000000,32549779,55.0
2024-01-07,88888888,28888888,31999999,38000000,83.0
2024-01-08,28990000,15000000,28990000,28190000,60.0
2024-01-09,39999999,18888888,18888888,39000000,91.0
2024-01-10,54444444,28888888,38499999,48888888,82.0
2024-01-11,50000000,33333333,48888888,47777775,228.0
2024-01-12,48888888,28888888,47000000,44400000,152.0
2024-01-13,47999999,21121221,44390000,43000000,124.0
2024-01-14,44000000,38888888,43000000,41000000,148.0
