2,High,Low,Open,Close,Volume
2024-09-27,500000,444444,466666,499999,137.0
2024-09-28,500000,349999,448888,449875,528.0
2024-09-29,466666,400000,449876,466666,48.0
2024-10-08,400000,222222,333332,400000,591.0
2024-10-09,600000,300000,300000,388888,718.0
2024-10-10,833333,299999,380000,555000,917.0
2024-10-11,999999,333333,555552,533333,364.0
2024-10-12,888888,355555,499999,439999,894.0
2024-10-13,499999,200000,438887,438888,3518.0
2024-10-14,777777,332222,332222,422000,100.0
2024-10-20,544444,390000,488888,466666,628.0
2024-10-21,900000,399999,533333,440000,640.0
2024-10-22,555555,379999,433333,511111,501.0
2024-10-23,899999999,399988,444444,5555555,494.0
2024-10-24,3333333333,250000,77777776,444440,1305.0
2024-10-26,520998,442888,520998,450000,1233.0
2024-10-27,488888,200000,422222,465555,934.0
2024-10-28,633333,200000,397777,388888,529.0
2024-10-29,1666666666,300000,399999,322222,543.0
2024-10-30,488888,222222,310000,366666,4989.0
2024-10-31,455555,200000,300000,333333,661.0
2024-11-01,399999,188888,387777,299999,680.0
2024-11-02,655555,100000,422888,420000,239.0
2024-11-03,500000,200000,354444,390000,869.0
2024-11-16,450000,266655,287777,400000,156.0
2024-11-17,588888,199999,399999,477777,794.0
2025-01-20,499999,300000,450000,399999,455.0
2025-01-21,399999,290000,298880,355555,1178.0
