2,High,Low,Open,Close,Volume
2024-03-14,12500000,9888888,11000000,12500000,434.0
2024-03-15,14500000,9666666,10000000,9999999,1267.0
2024-03-16,12733333,9990000,10888888,10999999,896.0
2024-03-17,14444444,9966666,10777000,10888888,1213.0
2024-03-18,12222222,9665555,9999999,9888888,881.0
2024-03-19,10606666,9777777,9900000,9888888,1221.0
2024-03-20,10488888,8888888,9850000,9300000,698.0
2024-03-21,10159999,8777777,9333332,9500000,2447.0
2024-03-22,11990000,7888888,9880000,11990000,1012.0
2024-03-23,12222220,8999999,9990000,10980000,321.0
2024-03-24,14798888,7999999,10000000,9450000,1033.0
2024-03-25,9555555,7999999,9444444,8000000,2788.0
2024-03-26,11111111,8333333,11111111,8399999,501.0
2024-03-27,10959997,5000000,8288886,9666666,6550.0
2024-03-28,9800000,7999998,9666665,9222222,1616.0
2024-03-29,9999998,8500000,9666666,9990000,1387.0
2024-03-30,9999997,7800000,9999997,9855549,1613.0
2024-03-31,10999999,7999999,7999999,8988888,1513.0
2024-04-01,11999980,7500000,8899999,10000000,1051.0
2024-04-02,10000000,8500000,9988888,10000000,2092.0
2024-04-03,12444444,6855555,7355555,11111111,1057.0
2024-04-04,12179999,9444444,10000000,10999999,102.0
2024-04-05,13333333,9999999,11000000,9999999,2405.0
2024-04-06,13333333,8888888,9990000,12788888,1523.0
2024-04-07,12788880,9987777,12788880,11888888,800.0
2024-04-08,11888876,9080000,11869999,9886665,1144.0
2024-04-09,11000000,8900000,9886665,9999996,1403.0
2024-04-10,11800000,7541110,9999997,8999999,1213.0
2024-04-11,10499999,8660000,9000000,8888888,1592.0
2024-04-12,10000000,7988888,9888888,8800000,1816.0
2024-04-13,9888888,8400000,8888666,8500000,915.0
2024-04-14,9999999,8350004,8400000,8450000,1204.0
2024-04-15,8749999,7400000,8433333,7400000,203.0
2024-04-16,9999999,7999999,9000000,8499990,1471.0
2024-04-17,8444444,7600000,8333333,8080008,3271.0
2024-04-18,9869990,7555555,8100000,9869990,1027.0
2024-04-19,9888000,7000000,8250000,7650000,1068.0
2024-04-20,9800000,7500000,7700000,7900000,1304.0
2024-04-21,9500000,7000000,7777775,9444444,4427.0
2024-04-22,9611111,7777777,9233333,7777777,431.0
2024-04-23,7766666,7000000,7666665,7455553,3378.0
2024-04-24,7800000,6999999,7430000,7799983,293.0
2024-04-25,8200000,6999999,7700000,7270000,327.0
2024-04-26,8888888,6999996,7150000,7977777,2161.0
2024-04-27,7433333,7111111,7300000,7390000,2043.0
2024-04-28,9000000,6999999,7399999,7999997,540.0
2024-04-29,8380000,7222222,7877777,7388888,1434.0
2024-04-30,8355555,7111111,7288888,7325000,1249.0
2024-05-01,7777777,6666666,7333333,7275000,999.0
2024-05-02,8888887,7011111,7222222,7400000,2424.0
2024-05-03,9322222,7333333,7495000,7545555,1147.0
2024-05-04,8788888,6950000,7520001,7999999,1056.0
2024-05-05,8888888,7288888,7288888,8333330,3330.0
2024-05-06,9666666,7380000,8000000,9666666,1033.0
2024-05-07,9888888,7280000,9799999,7399990,1363.0
2024-05-08,8255555,7000000,7333333,7555549,2568.0
2024-05-09,8498765,7100000,7499999,7766666,433.0
2024-05-10,8000000,7000000,7400000,7166666,3060.0
2024-05-11,8765432,7200000,7777700,7400000,1292.0
2024-05-12,8700000,7000000,7600000,7300000,1357.0
2024-05-13,7555555,6350000,6350000,7530000,2150.0
2024-05-14,7539990,6999999,7538888,7160000,1087.0
2024-05-15,7487700,6500000,7122222,7189999,2140.0
2024-05-16,7400000,7179876,7179876,7400000,726.0
2024-05-17,7540000,6999998,7388888,7321000,1301.0
2024-05-18,9888888,7190000,7240000,7999999,589.0
2024-05-19,7888888,6985000,7540000,7300000,1771.0
2024-05-20,7288888,6879999,7288887,7021989,1050.0
2024-05-21,7270000,6222222,7021990,6999900,3432.0
2024-05-22,7000000,5555555,6988888,6999999,2688.0
2024-05-23,6999876,5990000,6999876,5999998,1843.0
2024-05-24,6666666,5800000,6331100,5999999,159.0
2024-05-25,7000000,4999999,5200000,6166660,4285.0
2024-05-26,6170000,5500000,6170000,5500000,724.0
2024-05-27,5850000,4999999,5555555,5280000,2761.0
2024-05-28,5499999,4899999,5499998,4899999,1468.0
2024-05-29,4500000,3390000,4300000,4200000,2404.0
2024-05-30,6590000,3888888,3888888,5444444,3912.0
2024-05-31,6590000,4444444,5400000,5888888,1045.0
2024-06-01,5330000,4288888,4800000,4968888,3818.0
2024-06-02,4970000,4111111,4800000,4300000,864.0
2024-06-03,6000000,3990000,4290000,4000000,1317.0
2024-06-04,4400000,3777777,4165555,4111111,3060.0
2024-06-05,4999999,3777777,4444444,3999999,780.0
2024-06-06,4400000,3500000,3950000,3980000,2056.0
2024-06-07,4299999,3599999,3999999,3933333,1089.0
2024-06-08,5555555,3999998,4500000,3999998,30.0
2024-06-09,5479999,3333333,3333333,4555555,1991.0
2024-06-10,5477775,3766666,4999999,4990000,594.0
2024-06-11,5555552,4555555,4999999,4599999,622.0
2024-06-12,4440000,3940000,4400000,3950000,3384.0
2024-06-13,5498765,3970000,3970000,5111000,184.0
2024-06-14,5100000,3988888,5100000,4300000,65.0
2024-06-15,4999998,3950000,4988888,4798880,971.0
2024-06-16,4800000,4099999,4799999,4188888,96.0
2024-06-17,4799998,3999996,4189999,3999996,2348.0
2024-06-18,5500000,3555555,3900000,4711111,2126.0
2024-06-19,5500000,3666666,5500000,4440000,1075.0
2024-06-20,4400000,3500000,4300000,4300000,1932.0
2024-06-21,4299999,3999999,4299999,4000000,61.0
2024-06-22,4777777,3999999,4000000,3999999,1351.0
2024-06-23,4777777,3999999,3999999,4200000,1282.0
2024-06-24,4195554,2799999,4000000,3555555,6109.0
2024-06-25,3999999,3598000,3660000,3600000,55.0
2024-06-28,5555555,3800000,5100000,5000000,6684.0
2024-06-29,5500000,4000000,5499999,4289999,2383.0
2024-06-30,4988888,3971594,4220000,4490000,1430.0
2024-07-01,5640000,3900000,4490000,4033333,3373.0
