2,High,Low,Open,Close,Volume
2023-08-09,1079999993,1044400000,1066899999,1044400000,21.0
2023-08-10,1076665554,999999999,1044440000,1076000000,34.0
2023-08-11,1093999999,1055555555,1076555555,1086888888,38.0
2023-08-12,1093333333,1060000000,1060000000,1088888888,18.0
2023-08-13,1093333333,1077777766,1090000000,1087777775,31.0
2023-08-14,1153999999,1085999999,1087777000,1149999999,26.0
2023-08-15,1149990000,1048888888,1149990000,1048888888,25.0
2023-08-16,1139999985,999999999,1049999999,1135500000,32.0
2023-08-17,1134444444,1098888888,1134444000,1100000000,33.0
2023-08-18,1128888000,1098000000,1100000000,1098588886,19.0
2023-08-19,1130000000,1025544444,1098555555,1130000000,38.0
2023-08-20,1666643210,1000000000,1133222222,1122222222,166.0
2023-08-21,1127444444,1098628888,1127444444,1105555555,31.0
2023-08-22,1149999996,1088888888,1106666666,1147999996,56.0
2023-08-23,1147999998,1099999999,1147999997,1127777777,57.0
2023-08-24,1138888888,1111111111,1122222222,1138888888,28.0
2023-08-25,1355000000,1111110000,1139000000,1137655555,67.0
2023-08-26,1176999999,1135000000,1135000000,1168881111,43.0
2023-08-27,1168888877,1111111111,1167777776,1157770000,69.0
2023-08-28,1222222221,1122220000,1157777755,1199999999,55.0
2023-08-29,1199977777,1111111111,1199977777,1187699999,44.0
2023-08-30,1200000000,1111000000,1150000000,1187777775,95.0
2023-08-31,1199999997,1166666666,1187771111,1199999997,12.0
2023-09-01,1229990000,1166666666,1166666666,1189999999,36.0
2023-09-02,1188888888,1150000000,1177776666,1179999998,31.0
2023-09-03,1188888888,1155555555,1179999996,1188888888,35.0
2023-09-04,1500000000,1180000000,1188888888,1222222211,49.0
2023-09-05,1222222222,1195555555,1222111111,1219999999,35.0
2023-09-06,1219999988,1191111111,1218888888,1191111111,12.0
2023-09-07,1219999900,1188888888,1199999999,1199999998,21.0
2023-09-08,1219888888,1150000000,1188888888,1219888888,22.0
2023-09-09,1299999998,1199999999,1219777777,1247776666,39.0
2023-09-10,1247777551,1180000000,1245555555,1239990000,21.0
2023-09-11,1299977777,1199999999,1229999999,1288888887,27.0
2023-09-12,1288888888,1233333333,1288555555,1266666666,38.0
2023-09-13,1277777776,1222222222,1222222222,1254999999,35.0
2023-09-14,1258000000,1233333333,1258000000,1245900000,39.0
2023-09-15,1248888000,1230000000,1245000000,1234444443,30.0
2023-09-16,1234333333,1199999999,1234333333,1230990000,33.0
2023-09-17,1245129999,1199999999,1230900000,1222222222,30.0
2023-09-18,1239999999,1199888888,1211111110,1233222222,31.0
2023-09-19,1238888888,1222222211,1222222211,1238888888,16.0
2023-09-20,1248799999,1229999999,1229999999,1239990000,26.0
2023-09-21,1243988888,1238868887,1238868887,1241988888,22.0
2023-09-22,1255555555,1230000000,1242111111,1247999995,31.0
2023-09-23,1247999995,1199999999,1247980000,1237999998,25.0
2023-09-24,1239500000,1215000000,1237999998,1239333333,26.0
2023-09-25,1239500000,1233333332,1239222111,1239500000,16.0
2023-09-26,1248800000,1199999999,1239499999,1240000000,28.0
2023-09-27,1265999999,1238888888,1248799977,1255555555,25.0
2023-09-28,1350000000,1240000000,1255555555,1258888888,38.0
2023-09-29,1259000000,1233333333,1233333333,1258888886,15.0
2023-09-30,1259000000,1222222222,1258888880,1258766666,29.0
2023-10-01,1258777768,1188888888,1258771111,1222222220,43.0
2023-10-02,1222222220,1150000000,1222111111,1218888888,32.0
2023-10-03,1311110999,1219899999,1219899999,1288888888,39.0
2023-10-04,1300000000,1245555555,1298000000,1298888888,42.0
2023-10-05,1299999998,1199999999,1219998777,1299998999,28.0
2023-10-06,1320000000,1298888888,1299999999,1310000000,23.0
2023-10-07,1411111111,1200000000,1299999899,1411111111,27.0
2023-10-08,1399999998,1280000000,1399999998,1355555555,31.0
2023-10-09,1388800000,1279999999,1366666664,1376666666,34.0
2023-10-10,1378888887,1367777777,1378888887,1368880888,20.0
2023-10-11,1399999999,1300000000,1300000000,1399999999,28.0
2023-10-12,1522222221,1395500000,1395500000,1499666666,25.0
2023-10-13,1522222222,1430000000,1499777666,1499000000,37.0
2023-10-14,1498888888,1489900000,1498888888,1496666666,32.0
2023-10-15,1496660000,1444444444,1496660000,1455553229,35.0
2023-10-16,1444444433,1400000000,1444444433,1422222220,16.0
2023-10-17,1459999999,1422222221,1422222221,1454544440,28.0
2023-10-18,1454544443,1299999999,1454544440,1299999999,19.0
