2,High,Low,Open,Close,Volume
2024-07-17,7999999999,4777777777,7999999999,4988888888,9.0
2024-07-18,5888888888,3000000000,5444444444,4555555555,8.0
2024-07-19,4750000000,4555555555,4744444444,4555555555,5.0
2024-07-20,27888888888,4699999998,4699999999,8666666666,14.0
2024-07-21,8555555555,7844444444,8488888888,7844444444,11.0
2024-07-22,28999999999,7333333333,7599999999,23456789123,8.0
2024-07-23,30888888888,7111111111,26555555555,7222222000,10.0
2024-07-24,7333333333,7111111111,7111111111,7333333333,3.0
2024-07-25,7860000000,7655555555,7655555555,7860000000,3.0
2024-07-26,7600000000,7600000000,7600000000,7600000000,1.0
2024-07-27,11999999999,7444444444,7444444444,11999999999,3.0
2024-07-29,7655555555,7550000000,7550000000,7655555555,2.0
2024-07-30,7655555555,7655555555,7655555555,7655555555,1.0
2024-08-01,6988888888,6988888888,6988888888,6988888888,1.0
2024-08-02,6888888888,6650000000,6650000000,6660000000,4.0
2024-08-03,9555555555,9222222222,9555555555,9222222222,3.0
2024-08-05,7111111111,6999999999,7111111111,6999999999,2.0
2024-08-07,7300000000,6999999999,6999999999,7300000000,2.0
2024-08-09,7866666666,7866666666,7866666666,7866666666,1.0
2024-08-10,7800000000,7800000000,7800000000,7800000000,1.0
2024-08-11,10555555555,10499999999,10499999999,10555555555,2.0
2024-08-12,7499000000,7499000000,7499000000,7499000000,1.0
2024-08-13,7555555555,7488888888,7555555555,7488888888,2.0
2024-08-17,5999999999,5999999999,5999999999,5999999999,1.0
2024-08-18,6444444444,6444444444,6444444444,6444444444,1.0
2024-08-21,6655555555,6655555555,6655555555,6655555555,1.0
2024-08-24,6389999999,6389999999,6389999999,6389999999,1.0
2024-08-25,6444444400,6388888888,6444444400,6388888888,2.0
2024-08-27,6333300000,6222222222,6222222222,6333300000,2.0
2024-08-28,6222222221,6222222221,6222222221,6222222221,1.0
2024-08-29,6220000000,6199999999,6199999999,6220000000,2.0
2024-08-30,6200000000,6200000000,6200000000,6200000000,1.0
2024-09-01,9550000000,5999999999,9550000000,5999999999,2.0
2024-09-02,5800000000,5555555555,5555555555,5800000000,2.0
2024-09-03,6000000000,6000000000,6000000000,6000000000,1.0
2024-09-06,8888888888,8888888888,8888888888,8888888888,1.0
2024-09-07,5333333333,5333333333,5333333333,5333333333,1.0
2024-09-08,5100000000,5099999999,5099999999,5100000000,2.0
2024-09-09,6177777777,5555555555,6100000000,5555555555,3.0
2024-09-10,10888888888,6099000000,6099000000,9555555555,16.0
2024-09-11,9333333333,9333333333,9333333333,9333333333,1.0
2024-09-12,12665555555,9666666666,12665555555,9666666666,3.0
2024-09-13,9900000000,9900000000,9900000000,9900000000,1.0
2024-09-14,13880000000,9770000000,9770000000,13880000000,2.0
2024-09-15,13999999999,9222222222,13888888888,9222222222,5.0
2024-09-16,14444444444,9330000000,9330000000,10000000000,9.0
2024-09-17,10979999999,10950000000,10950000000,10979999999,3.0
2024-09-20,8900000000,8888888888,8888888888,8900000000,2.0
2024-09-21,8880000000,8555555555,8880000000,8600000000,3.0
2024-09-22,7990000000,7990000000,7990000000,7990000000,1.0
2024-09-23,8200000000,7999999990,7999999990,8200000000,3.0
2024-09-24,10099999999,8999999999,10000000000,8999999999,3.0
2024-09-25,9333333333,9222222222,9333333333,9222222222,2.0
2024-09-27,9555555555,8888888888,9411111111,9444444444,5.0
2024-09-28,9999999999,9999999999,9999999999,9999999999,1.0
2024-09-29,10111111110,10111111110,10111111110,10111111110,2.0
2024-09-30,12199999999,12199999999,12199999999,12199999999,1.0
2024-10-01,12220000000,12200000000,12200000000,12220000000,3.0
2024-10-02,12555555555,12555555555,12555555555,12555555555,1.0
2024-10-03,38555555550,12222222222,38555555550,12222222222,2.0
2024-10-04,15099999999,13511111111,13511111111,15099999999,5.0
2024-10-05,13999999999,13999999999,13999999999,13999999999,1.0
2024-10-06,13111111111,13111111111,13111111111,13111111111,1.0
2024-10-08,15555555555,12888888888,12888888888,15555555555,4.0
2024-10-09,13555555555,13555555555,13555555555,13555555555,1.0
2024-10-11,14000000000,12900000000,12900000000,14000000000,3.0
2024-10-14,35999999999,11999999999,35999999999,12999999998,6.0
2024-10-15,12888888887,12777777777,12777777777,12888888887,3.0
2024-10-16,13550000000,4444444444,13550000000,5333333332,15.0
2024-10-17,5399999999,3000000000,5399999999,3000000000,12.0
