2,High,Low,Open,Close,Volume
2024-08-03,4999999999,4999999999,4999999999,4999999999,1.0
2024-08-04,20000000000,4500000000,4999999999,4500000000,5.0
2024-08-05,4500000000,4500000000,4500000000,4500000000,1.0
2024-08-06,4222222222,4100000000,4100000000,4222222222,5.0
2024-08-07,4333333333,4222222222,4222222222,4333333333,5.0
2024-08-09,19999999999,4930000000,19999999999,4930000000,5.0
2024-08-10,6666666666,4849000000,6666666666,4849000000,3.0
2024-08-11,7750000000,4333333333,4880000000,7750000000,3.0
2024-08-12,4555555555,4555555555,4555555555,4555555555,2.0
2024-08-13,7222222222,4555555555,7222222222,4555555555,3.0
2024-08-16,4777777777,4666666666,4666666666,4777777777,2.0
2024-08-17,4500000000,4500000000,4500000000,4500000000,1.0
2024-08-21,4872000000,4872000000,4872000000,4872000000,1.0
2024-08-23,4874977777,4874977777,4874977777,4874977777,1.0
2024-08-24,4699999000,4699900000,4699999000,4699998888,4.0
2024-08-25,4888880000,4699999999,4699999999,4888880000,3.0
2024-08-26,4700000000,4700000000,4700000000,4700000000,1.0
2024-08-27,5199999999,4700000000,5199999999,4700000000,2.0
2024-08-29,5199999999,4700000000,5199999999,4700000000,2.0
2024-08-30,8200000000,5222222222,8200000000,5222222222,2.0
2024-09-01,8111111111,8111111111,8111111111,8111111111,1.0
2024-09-06,8555550000,5222000000,8555550000,5222000000,2.0
2024-09-08,5500000000,5499999999,5499999999,5500000000,2.0
2024-09-09,17555555555,8500000000,8500000000,17555555555,4.0
2024-09-10,18888888888,10600000000,18766600000,18766666666,8.0
2024-09-11,14444444444,5999999999,14444444444,5999999999,2.0
2024-09-12,27777777777,9999999990,27777777777,9999999998,3.0
2024-09-13,27999999999,14999999999,27999999999,14999999999,2.0
2024-09-15,17888888000,9769000000,9769000000,10488888888,6.0
2024-09-16,28800000000,10400000000,17888888888,11000000000,9.0
2024-09-17,11499999999,11499999999,11499999999,11499999999,1.0
2024-09-19,9999999999,9999999999,9999999999,9999999999,1.0
2024-09-22,11000000000,11000000000,11000000000,11000000000,2.0
2024-09-23,11500000000,11000000000,11000000000,11500000000,3.0
