2,High,Low,Open,Close,Volume
2024-01-21,58770000,52222222,53333333,56666666,1226.0
2024-01-22,71998880,54999999,58666666,69999990,7902.0
2024-01-23,69988886,58888888,69888886,68333333,12301.0
2024-01-24,68888887,58899999,60000000,63888888,4851.0
2024-01-25,64777700,55555555,63333333,56755553,4733.0
2024-01-26,53999988,49999999,51500000,51560000,2872.0
2024-01-27,68888888,51000000,51561111,64600000,23862.99639848794
2024-01-28,63999999,55555555,63999998,59880000,1264.0
2024-01-29,72222222,62111110,63980776,63999776,11242.499995117187
2024-01-30,79999999,62000000,63976665,63000000,7415.0
2024-01-31,72222222,62888888,63800000,63888800,2664.0
2024-02-01,66666666,61111111,63333333,66666666,7743.0
2024-02-02,66655555,63333333,66499999,66544333,3737.0
2024-02-03,75555555,66000000,66500000,69500000,5581.0
2024-02-04,69644444,65888888,69644040,69219990,5111.0
2024-02-06,115000000,70828700,88888888,95486666,24916.77952105698
2024-02-07,97777777,86666666,97777777,86999996,3901.0
2024-02-08,92222222,75666666,85999999,84856249,3030.0
2024-02-09,84888888,55555555,84855999,84855554,1768.0
2024-02-10,84866353,83333333,84444440,84398888,1501.0
2024-02-11,89999999,84399999,84399999,89882219,1686.0
2024-02-12,115000000,85555555,89882214,87777766,1069.0
2024-02-13,87777765,83333333,87666666,87555543,2110.0
2024-02-14,92222222,85555555,86900000,91999099,4079.0
2024-02-15,99999999,89999900,91990098,97676665,4848.0
2024-02-16,99999999,88888888,97676333,97777775,10332.291671599283
2024-02-17,139888888,95555555,95555555,138688887,1826.0
2024-02-18,138144400,100000000,138144400,127228820,6559.0
2024-02-19,149999999,123333333,127228810,133200000,19720.248572293836
2024-02-20,133333332,106666662,133333332,106666662,2314.0
2024-02-21,105000000,98888888,105000000,99999990,793.0
2024-02-22,115555000,99896508,99999991,115522220,12095.0
2024-02-23,119879900,99999999,119800000,111109999,1023.0
2024-02-24,133333333,99999999,111099979,111109999,1014.0
2024-02-25,111111111,100000000,111010000,108886663,696.0
2024-02-26,108886662,106999990,108880000,107655554,713.0
2024-02-27,120000000,99999999,105444444,106998997,958.0
2024-02-28,107777777,103333333,106998998,103333333,608.0
2024-02-29,105888888,99999999,103333332,99999999,422.0
2024-03-01,109888888,100888888,105000000,104440000,368.0
2024-03-02,120000000,99977775,99999998,99977775,287.0
2024-03-03,107000000,98000000,98888888,99988866,732.0
2024-03-04,105555555,90000000,99988800,99333332,980.0
2024-03-05,99300000,96000000,99300000,98533333,1777.0
2024-03-06,98533330,80000000,98533330,86268882,800.0
2024-03-07,188888888,76999993,86260000,76999993,1467.0
2024-03-08,88888888,66666620,76400000,66666620,3756.0
2024-03-09,84444444,65555555,66665998,70999998,6731.0
2024-03-10,81111100,69999987,69999987,77728887,4472.0
2024-03-11,78222222,75888888,77777775,78222222,1305.0
2024-03-12,106688445,77000000,77438888,80998800,3345.0
2024-03-13,80998799,73880000,80888888,80686999,309.0
2024-03-14,80686992,79888888,80686992,79966663,461.0
2024-03-15,79988888,70000000,78888888,78217997,1395.0
2024-03-16,78221998,77777775,78217996,77777775,126.0
2024-03-17,79999999,76666666,77000000,77769998,1981.0
2024-03-18,77769999,76888887,77750000,77769999,851.0
2024-03-19,80777776,77765555,77769997,80666666,955.0
2024-03-20,80777777,79000000,80666632,80469994,674.0
2024-03-21,87777777,76880000,80468999,76880000,999.0
2024-03-22,106688445,72555555,76879999,72680000,328.0
2024-03-23,109988888,71388888,72688800,71388888,1242.0
2024-03-24,71289999,70333333,71289999,70444443,1125.0
2024-03-25,70444443,68888888,68888888,70444110,241.0
2024-03-26,70444109,69999999,70444107,70199865,283.0
2024-03-27,70222190,70000000,70199844,70199996,392.0
2024-03-28,72860000,69999999,69999999,70661111,942.0
2024-03-29,77770000,70222222,73888888,77698994,1509.0
2024-03-30,77700000,72860000,77688887,77673299,640.0
2024-03-31,77777777,71798994,77673111,71798994,732.0
2024-04-01,77597760,71798995,71798995,75988865,1350.0
2024-04-02,75987999,73000000,75987998,75969992,897.0
2024-04-03,77777777,74990000,75969989,74999900,517.0
2024-04-04,74988887,74433300,74988887,74443331,732.0
2024-04-05,79999999,74443330,74443331,77888885,1361.0
2024-04-06,77888878,75555555,77888878,77000000,1535.0
2024-04-07,77888888,75000000,75979993,75999996,951.0
2024-04-08,88000000,75999998,75999998,78888000,897.0
2024-04-09,79999999,74444444,75999998,78882162,903.0
2024-04-10,78882161,77777777,78882161,78629977,1410.0
2024-04-11,78888888,78477777,78629976,78488877,613.0
2024-04-12,78499999,77777777,78488876,78448873,352.0
2024-04-13,78448872,76666666,76666666,78329991,924.0
2024-04-14,78888888,76000000,78329989,76664983,582.0
2024-04-15,77777773,75555000,76664775,77777689,702.0
2024-04-16,77777776,77555555,77777685,77777776,200.0
2024-04-17,77777775,76666666,76666666,77777773,471.0
2024-04-18,78449998,77711000,77733330,78449998,603.0
2024-04-19,85554555,76666666,78490000,84965267,2389.0
2024-04-20,84959998,83799998,84959997,83799998,1214.0
2024-04-21,83799998,83666666,83799998,83669961,388.0
2024-04-22,83688888,82989999,83669959,82989999,964.0
2024-04-23,83655555,79999999,82980000,82666661,727.0
2024-04-24,82989998,81888888,82666660,82989998,607.0
2024-04-25,81988887,81655555,81888887,81666666,248.0
2024-04-26,82996666,80990000,81888882,82977782,505.0
2024-04-27,84944444,82000000,82977781,82655552,516.0
2024-04-28,82989998,81650000,82655551,82655494,2374.0
2024-04-29,82694500,82644439,82655493,82644439,610.0
2024-04-30,83333333,82222222,82644437,82633325,1843.0
2024-05-01,84977777,82000000,82633325,82633310,254.0
2024-05-02,83500000,81999000,82640000,81999999,348.0
2024-05-03,82633288,81555555,81555555,82200000,587.0
2024-05-04,82222221,81111111,82199998,82199984,328.0
2024-05-05,83333333,81999999,82199983,82195506,1555.0
2024-05-06,82195498,80555555,82195498,80555555,542.0
2024-05-07,81888880,79999988,81888880,81888796,793.0
2024-05-08,81888795,81088888,81088888,81877777,149.0
2024-05-09,81888743,79999999,81888000,81885541,685.0
2024-05-10,81999986,80000000,81885540,81885550,866.0
2024-05-11,81888752,81333333,81885540,81888752,225.0
2024-05-12,81885541,81000000,81885510,81885537,672.0
2024-05-13,81885536,81000000,81885536,81885532,124.0
2024-05-14,81885534,81111111,81885531,81885526,224.0
2024-05-15,81885530,81770000,81885527,81885525,1215.0
2024-05-16,81885520,81655555,81885520,81885517,101.0
2024-05-17,83622216,81000000,81000000,81888888,210.0
2024-05-18,81866666,80000000,81866666,81855555,73.0
2024-05-19,81865555,81111111,81855555,81855555,962.0
2024-05-20,81865554,81111111,81865553,81855552,322.0
2024-05-21,81856500,81800000,81844442,81809998,152.0
2024-05-22,81855555,81000000,81809997,81855555,89.0
2024-05-23,81865553,80988888,81000000,81111000,2317.0
2024-05-24,81809995,79999999,81111111,81809991,201.0
2024-05-25,81809992,81111111,81809992,81111111,119.0
2024-05-26,98888887,79999999,79999999,81888887,15739.697002376568
2024-05-27,81880000,81879999,81880000,81879999,228.0
2024-05-28,81879998,81666666,81666666,81869999,505.0
2024-05-29,88888888,81000000,81855553,81000000,220.0
2024-05-30,81111110,79999999,81111110,80966666,539.0
2024-05-31,80966665,80000000,80960000,80000000,61.0
2024-06-01,79999999,79000000,79999998,79879799,196.0
2024-06-02,79111111,78888688,78888688,79110000,1240.0
2024-06-03,79111100,77888888,79110000,78500000,434.0
2024-06-04,81111110,78998887,78999996,79999996,1260.0
2024-06-05,78999999,78888888,78999999,78888888,77.0
2024-06-06,97777774,77777777,77777777,92222220,2245.0
2024-06-07,99999999,79999999,92222213,91949989,1319.9999984375
2024-06-08,92000000,85666666,92000000,88839980,1444.0
2024-06-09,87777777,87700000,87777777,87700000,169.0
2024-06-10,87744444,86666665,87699999,87699982,213.0
2024-06-11,89999900,85555555,85999988,86666553,624.0
2024-06-12,86666666,82222222,86666553,84999998,728.0
2024-06-13,84999977,84879998,84999977,84879998,374.0
2024-06-14,83888887,82222222,83222222,83555553,519.0
2024-06-15,83887777,79999999,79999999,83333333,267.0
2024-06-16,84444444,83800000,83888887,84444433,522.0
2024-06-17,86666664,83333332,84444444,85000000,59.0
2024-06-18,88800000,85550000,88800000,85555555,298.0
2024-06-19,88888888,86655555,86655555,88799999,281.0
2024-06-20,88888887,88759800,88800000,88799999,79.0
2024-06-21,88888888,88888883,88888888,88888888,58.0
2024-06-22,88888888,88800000,88800000,88888888,33.0
2024-06-23,88888887,87000000,88888886,88888855,167.0
2024-06-24,88888854,88885555,88888854,88885555,110.0
2024-06-25,88884999,81100000,88884999,81100000,643.0
2024-06-26,188888888,50000000,68886080,149555555,4197.0
2024-06-28,91989899,76999999,91989899,76999999,429.0
2024-06-29,88870000,67777777,75555550,88870000,1096.0
2024-06-30,86666666,68888868,68888868,86606666,1375.0
2024-07-01,88888888,78888888,86588886,86300000,140.0
2024-07-02,86299999,84000000,86299999,84222222,140.0
2024-07-03,85000000,84000000,84320000,84202222,184.0
2024-07-04,84202221,77332480,84202221,82088888,247.0
2024-07-05,83329999,82180000,82200000,83130000,199.0
2024-07-06,83150000,83055555,83120000,83055555,324.0
2024-07-07,83044444,81111111,81111111,82989999,295.0
2024-07-08,82999999,82555555,82990000,82999990,843.0
2024-07-09,84330000,77777777,82999990,82900000,146.0
2024-07-10,83099999,82977777,83099999,82999999,577.0
2024-07-11,82999998,80999999,82999998,80999999,222.0
2024-07-12,82997777,79999999,82888888,82988888,185.0
2024-07-13,91990000,81500000,82997777,81554444,85.0
2024-07-14,81555554,81531111,81554444,81532222,366.0
2024-07-15,81540000,79688888,81540000,79999999,357.0
2024-07-16,80888888,78888888,78888888,80888888,1165.0
2024-07-17,80888887,80866665,80888887,80866665,8.0
2024-07-18,80888888,78888888,80860000,80000000,167.0
2024-07-19,81500000,80666666,80666666,81500000,78.0
2024-07-20,82999999,79999999,81510000,82988888,608.0
2024-07-21,99777777,80000000,82000000,99777777,815.0
2024-07-22,99777777,99775888,99777777,99775888,713.0
2024-07-23,99775878,99666660,99775878,99666660,102.0
2024-07-24,99000000,85333332,98999999,98888884,888.0
2024-07-25,98988888,98880000,98888888,98988888,155.0
2024-07-26,115555555,98999990,98999990,105555554,428.0
2024-07-27,105555555,105550000,105555554,105555520,258.0
2024-07-28,115555555,99999999,99999999,105555511,455.0
2024-07-29,105555511,79999999,105555511,105549995,703.0
2024-07-30,105549995,101999998,105549995,101999998,1282.0
