2,High,Low,Open,Close,Volume
2023-08-30,5555555,5555555,5555555,5555555,1.0
2023-08-31,7655555,5555555,5999999,6888888,18.0
2023-09-01,9000000,5555555,7000000,9000000,14.0
2023-09-02,9500000,8999999,8999999,9444444,6.0
2023-09-03,9600000,8000000,9333333,9000000,8.0
2023-09-04,10000000,5999999,7777777,6299998,26.0
2023-09-05,6999999,5870000,6300000,6333333,25.0
2023-09-06,5999999,4553214,5777777,5666666,7.0
2023-09-07,8888887,4444444,4444444,8855555,13.0
2023-09-08,9000000,5900000,5900000,9000000,17.0
2023-09-09,9699999,8000000,8999999,8000000,5.0
2023-09-10,7999999,5999999,6888888,7500000,15.0
2023-09-11,8000000,3777777,7999999,3988888,31.0
2023-09-12,5844444,2999999,3000000,5777699,25.0
2023-09-13,6666666,5432109,5499999,6666666,16.0
2023-09-14,7500000,5555555,7499999,5555555,7.0
2023-09-15,8555555,5999999,5999999,8500000,11.0
2023-09-16,8888888,7888888,7888888,8777777,10.0
2023-09-17,8999999,7777776,7777777,8888888,11.0
2023-09-18,9000000,3333333,8888888,6600000,43.0
2023-09-19,7000000,6555555,6646666,7000000,14.0
2023-09-20,8555555,5444444,6000000,8555555,16.0
2023-09-21,8888888,5000000,8200000,7777777,8.0
2023-09-22,9999999,8870000,8870000,9999999,17.0
2023-09-23,18888888,8888888,9876543,18888888,20.0
2023-09-24,22222221,9999999,19999999,9999999,4.0
2023-09-25,11111000,7500000,9999997,7800000,37.0
2023-09-26,9989999,8800000,9000000,9777777,12.0
2023-09-27,9990000,8888888,9777777,9990000,10.0
2023-09-28,99999999,6666666,9999888,12000000,22.0
2023-09-29,22222222,19999999,19999999,22222222,2.0
2023-10-01,55555553,55555553,55555553,55555553,1.0
2023-10-02,39999988,5555555,39999988,15555555,6.0
2023-10-03,16000000,9999999,16000000,9999999,10.0
2023-10-04,9999999,8700000,8888888,9999999,11.0
2023-10-05,13000000,8000000,11110000,8000000,5.0
2023-10-06,11111110,8888888,9555555,11111110,12.0
2023-10-07,14999999,9999999,12222222,11100000,6.0
2023-10-08,11000000,9555555,10888888,11000000,7.0
2023-10-09,12000000,5000000,9999999,5999999,34.0
2023-10-10,7888888,6544444,6655555,7888888,19.0
2023-10-11,39999999,6999999,7888888,7000000,11.0
2023-10-12,11000000,7777777,7999999,8000000,16.0
2023-10-13,11000000,8888888,8888888,11000000,10.0
2023-10-14,9999999,8888888,8888888,9999999,5.0
2023-10-15,10499999,6666666,9000000,10499999,14.0
2023-10-16,9998888,3888888,9998888,3888888,15.0
2023-10-17,6999999,3998888,3998888,6999999,21.0
2023-10-18,7777777,6999999,6999999,7777777,4.0
2023-10-19,8888888,7880000,7880000,8888888,9.0
2023-10-20,8877777,6666666,7777777,8877777,9.0
2023-10-21,10485555,8888888,8888888,10485555,10.0
2023-10-22,10222222,9888888,10222222,9999999,5.0
2023-10-23,8777777,3999999,8000000,3999999,22.0
2023-10-24,4988888,4444444,4777111,4555555,13.0
2023-10-25,6999999,4555555,4555555,6999999,18.0
2023-10-26,6777777,4444444,6555555,5500000,17.0
2023-10-27,9988888,5555555,5555555,7777777,15.0
2023-10-28,8888888,4888888,4888888,8000000,8.0
2023-10-29,9500000,7500000,8488888,8000000,7.0
2023-10-30,8666666,2777777,8666666,3000000,22.0
2023-10-31,7777777,3888888,3888888,4444444,22.0
2023-11-01,8000000,3999999,8000000,4888888,5.0
2023-11-02,9999999,4990000,4990000,8887777,17.0
2023-11-03,8888886,6000000,6000000,8800000,8.0
2023-11-04,7999999,7700000,7888888,7999999,12.0
2023-11-05,8000000,4000000,7500000,6999999,10.0
2023-11-06,6000000,2999998,6000000,2999998,26.0
2023-11-07,5000000,2222222,2987654,2222222,24.0
2023-11-08,5555555,4977777,4977777,5555555,9.0
2023-11-09,3888888,1888888,3777777,1888888,8.0
2023-11-10,8900000,3000000,3555555,5500000,11.0
2023-11-11,7777777,2000000,2000000,5555555,9.0
2023-11-12,5555555,5454545,5500000,5454545,6.0
2023-11-13,4999999,3333333,4888888,3999999,23.0
2023-11-14,4900000,3333333,3333333,4900000,15.0
2023-11-15,9999999,4000000,4966666,4500000,10.0
2023-11-16,6666666,4500000,4888888,4988888,14.0
2023-11-17,7888888,4444444,5000000,4444444,9.0
2023-11-18,10488888,5000000,10488888,7500000,7.0
2023-11-19,7888888,5555555,7888888,5555555,2.0
2023-11-20,5555555,1111111,5555555,3699999,23.0
2023-11-21,6666666,3333333,3700000,4599999,15.0
2023-11-22,9000000,4500000,4800000,6666666,11.0
2023-11-23,7866666,6600000,7866666,6666666,5.0
2023-11-24,8000000,5555555,7333333,7400000,9.0
2023-11-25,8000000,7777777,7777777,8000000,8.0
2023-11-26,8000000,6555555,6555555,8000000,3.0
2023-11-27,4997777,2888888,2999999,3888888,15.0
2023-11-28,4000000,2111111,2111111,4000000,21.0
2023-11-29,4000000,3999999,3999999,4000000,2.0
2023-11-30,4500000,3555555,3950000,4500000,6.0
2023-12-01,6888888,4988888,4988888,6666666,8.0
2023-12-02,7888888,4666666,4666666,4888888,8.0
2023-12-03,6900000,5000000,6666660,5000000,7.0
2023-12-04,6660000,3500000,6500000,4800000,14.0
2023-12-05,4444444,3500000,4433333,4444444,7.0
2023-12-06,5990000,4444444,4444444,5555554,16.0
2023-12-07,6599999,5544444,5544444,6599999,11.0
2023-12-08,7222220,5555555,7222220,5999999,9.0
2023-12-09,6999988,4444444,6666666,6999988,11.0
2023-12-10,7444444,6666666,6666666,7333333,8.0
2023-12-11,55555555,1999999,5555555,3000000,39.0
2023-12-12,8433333,7999999,8333333,8433332,14.0
