2,High,Low,Open,Close,Volume
2023-09-02,128888888,97989999,109888777,97990000,65.0
2023-09-03,133333333,96000000,100000000,99888888,58.0
2023-09-04,129999999,99999999,99999999,111111111,53.0
2023-09-05,158888000,99999999,100000000,111111111,107.0
2023-09-06,130000000,100009999,111111111,130000000,16.0
2023-09-07,125000000,88888888,112222222,88888888,70.0
2023-09-15,111111111,99999999,99999999,111111111,3.0
2023-09-16,133330000,99999999,111111111,120000000,79.0
2023-09-17,170000000,95555555,122222222,112222200,108.0
2023-09-18,170000000,108000000,122000000,110000000,55.0
2023-09-19,170000000,99999999,108888888,155555555,80.0
2023-09-20,150000000,99999999,128000000,99999999,15.0
2023-09-21,165000000,77777777,111111111,111111111,69.0
2023-09-22,139999999,66666666,105555555,101888888,52.0
2023-09-23,130000000,100000000,110000000,111111111,71.0
2023-09-24,138880000,100000000,108888666,102550000,89.0
2023-09-25,139999999,99999999,102222222,133333333,46.0
2023-09-26,144390000,100000000,119999999,101111111,16.0
2023-09-27,135555555,99999999,120000000,129999999,35.0
2023-09-28,129999999,99999999,105550000,106666664,79.0
2023-09-29,131313131,98888888,106666666,105999999,63.0
2023-09-30,129989999,99887777,123456789,108888888,41.0
2023-10-01,127699999,80000000,111111111,120000000,60.0
2023-10-02,128222222,89999999,95444444,93999999,38.0
2023-10-03,126888888,90000000,94999999,92000000,62.0
2023-10-04,127111111,79999999,89999999,84885513,50.0
2023-10-05,128888888,82000000,111888888,92000000,73.0
2023-10-06,124888800,88888888,100000000,90000000,71.0
2023-10-07,122222222,55555555,90999999,111111100,82.0
2023-10-08,122222222,57777777,90666660,99999999,89.0
2023-10-09,128888888,77777777,87555555,96666666,45.0
2023-10-10,120000000,85000000,90888888,97000000,40.0
2023-10-11,121111111,88888888,99999999,91111111,47.0
2023-10-12,122222222,86000000,93333333,87777775,126.0
2023-10-13,177777777,80000000,86666666,99999999,116.0
2023-10-14,122222200,55000000,87777777,99998888,80.0
2023-10-15,133330000,53333332,105555555,99999999,65.0
2023-10-16,119999999,99986666,117777777,100000000,25.0
2023-10-17,122222200,80000000,99999999,91888888,43.0
2023-10-18,118888887,89990000,91800000,99999999,35.0
2023-10-19,111111111,78888888,111111111,84322222,40.0
2023-10-20,115000000,55555555,98888888,100000000,126.0
2023-10-21,133330000,75000000,88888888,118000000,109.0
2023-10-22,115555555,87777776,95000000,87777776,25.0
2023-10-23,149500000,80000000,89999999,111111111,137.0
2023-10-24,144444443,55555555,85555555,88887777,51.0
2023-10-25,139999999,84666666,129990000,85888887,20.0
2023-10-26,149999999,85000000,124444443,120000000,58.0
2023-10-27,122222222,87000000,101888888,99999999,54.0
2023-10-28,125555555,77777777,106666666,77777777,48.0
2023-10-29,159999999,86666666,144444444,95555555,301.0
2023-10-30,122222222,80000000,95555554,81111111,45.0
2023-10-31,121111111,81000000,111111111,88888888,16.0
2023-11-02,150000000,78888888,94000000,93800000,79.0
2023-11-03,129999999,83000000,93899999,100000000,51.0
2023-11-04,120000000,77770000,95000000,88888888,55.0
2023-11-05,128880000,84888888,86660000,88888888,55.0
2023-11-06,138888888,75555555,84999999,138888888,81.0
2023-11-07,115555555,75000000,79888880,98933333,69.0
2023-11-08,148777777,97777777,97777777,102222222,63.0
2023-11-09,117777777,87777777,96555555,99999999,93.0
2023-11-10,116555555,68888888,98888888,72000000,44.0
2023-11-11,115555555,70999999,88888888,86666666,38.0
2023-11-12,116555555,72888888,108888888,72888888,53.0
2023-11-13,116666666,68888888,100000000,98822222,75.0
2023-11-14,128888888,66666666,98888800,84444444,57.0
2023-11-15,125000000,69999999,95000000,69999999,70.0
2023-11-16,115555555,66666666,76600000,90000000,51.0
2023-11-17,116999999,76666666,76666666,109999999,99.0
2023-11-18,114999999,78000000,88888888,81111111,55.0
2023-11-19,119999000,66666666,80000000,88888888,47.0
2023-11-20,115555555,70000000,88888888,113287615,90.0
2023-11-21,118888888,85555555,96990650,115555555,40.0
2023-11-22,118520520,77775555,88888888,79000000,17.0
2023-11-23,116666666,75000000,75000000,77776665,46.0
2023-11-25,117888888,60000000,100000000,100000000,33.0
2023-11-26,117777777,78777766,99999999,99999999,61.0
2023-11-27,148777777,80000000,99999999,99999999,41.0
2023-11-28,129800000,78888888,106500000,89999999,68.0
2023-11-29,170000000,88000000,88000000,115555555,48.0
2023-11-30,119999999,79999999,83888888,84000000,40.0
2023-12-01,100000000,88820000,100000000,88820000,2.0
2023-12-02,155555555,83333333,111111111,84888888,137.0
2023-12-03,120000000,79999999,107555555,88839998,69.0
2023-12-04,119999999,84988888,88888888,84988888,81.0
2023-12-05,108333333,79999999,88888888,108333333,24.0
2023-12-06,118888888,79881111,79999999,83888888,42.0
2023-12-07,111111111,80000000,99999999,81111111,39.0
2023-12-08,111111111,80000000,82000000,87999998,81.0
2023-12-09,119998888,86000000,87999999,100000000,75.0
2023-12-10,121111111,85555555,94666666,102000000,80.0
2023-12-11,119999988,88000000,88888888,90000000,30.0
2023-12-12,122222222,55555555,77777777,118888888,53.0
2023-12-13,119999999,88000000,99999998,119999999,41.0
2023-12-14,138888888,80000000,119999999,104444444,108.0
2023-12-15,111111111,83333333,86660000,103333333,37.0
2023-12-16,117000000,80000000,95999999,81000000,55.0
2023-12-17,111111111,79999990,99999999,110000000,21.0
2023-12-18,111111111,76666666,80888888,109999999,32.0
2023-12-19,111111111,79777777,88888888,99999999,39.0
2023-12-20,111111111,78888888,110000000,79988884,28.0
2023-12-21,107000000,60000000,79900000,77777699,45.0
2023-12-22,100000000,79999989,80000000,79999989,13.0
2023-12-23,166666666,69999999,103333333,80000000,151.0
2023-12-24,110000000,78888811,95000000,78888811,33.0
2023-12-25,109990000,66666666,66666666,100000000,38.0
2023-12-26,101111111,77777775,78000000,100000000,26.0
2023-12-27,104222222,68888888,103333332,86000000,111.0
2023-12-28,100000000,69999999,79980000,88887776,92.0
2023-12-29,108777766,68888888,77777777,77777777,90.0
2023-12-30,105555555,75555555,75555555,78900000,52.0
2023-12-31,103888888,75555555,78900000,77777777,200.0
2024-01-01,103888888,75555555,103333333,88888888,39.0
2024-01-02,103888888,71000000,101111111,101111111,29.0
2024-01-03,103888888,68888888,99999999,74000000,36.0
2024-01-04,105555555,66666666,93199999,94000000,84.0
2024-01-05,103888888,66666666,73000000,72999999,150.0
2024-01-06,92888888,70000000,75000000,71111111,120.0
2024-01-07,87777777,70000000,70877777,71111111,20.0
2024-01-08,88888888,66666000,86666666,85000000,42.0
2024-01-09,91999999,55555555,68888888,65000000,39.0
2024-01-10,79999999,60000000,66666666,66666666,15.0
2024-01-11,96666665,54999999,65554444,55000000,77.0
2024-01-12,75500000,38000000,59999998,54880000,219.0
2024-01-13,59800000,40000000,50000000,43000000,61.0
2024-01-14,59900000,43333333,43333333,51111111,60.0
2024-01-15,60000000,40000000,45555555,51648888,40.0
2024-01-16,59000000,33333333,51649999,58000000,27.0
2024-01-17,59900000,28555555,45888888,45000000,24.0
2024-01-19,92000000,44444440,44444444,92000000,76.0
2024-01-20,69999999,46666666,49000000,48888866,71.0
2024-01-21,74000000,45555555,48888866,53000000,97.0
2024-01-22,73888000,38111111,72222222,65555555,38.0
2024-01-23,68888888,40000000,50000000,48999999,19.0
2024-01-28,76666666,33333333,68888888,68877777,125.0
2024-01-29,68800000,60000000,67959999,68777777,46.0
2024-02-02,68800000,39999999,49999995,50000000,81.0
2024-02-03,55555555,46999999,51100000,50000000,35.0
2024-02-04,60000000,48888888,49999999,50980000,31.0
2024-02-05,62222222,49000000,49988888,49999990,39.0
2024-02-06,68777777,48888888,49999999,66999999,56.0
2024-02-07,69999999,44933333,54444444,69999999,17.0
2024-02-08,53333333,40000000,40989999,49999988,20.0
2024-02-09,65555555,45000000,50000000,55555545,85.0
2024-02-10,68800000,48888888,49999999,49988888,48.0
2024-02-12,73000000,60000000,65000000,73000000,15.0
2024-02-13,66666665,58888888,58888888,66666665,23.0
2024-02-14,72800000,65000000,65432100,66000000,33.0
2024-02-15,66666542,32222222,66600000,55555555,57.0
2024-02-16,66666542,43333222,57777776,58888888,80.0
2024-02-26,79999999,58989899,72222221,75554888,74.0
2024-02-27,76666666,72300000,72300000,75550001,46.0
2024-02-28,78888888,65555555,74000000,72222222,46.0
2024-03-02,68888888,63444444,64666666,64000000,5.0
2024-03-03,88888888,56666666,63333333,76666666,74.0
2024-03-04,89999999,68888888,89999999,73449999,35.0
2024-03-05,80000000,69999998,75000000,79900000,25.0
