2,High,Low,Open,Close,Volume
2023-08-07,239999855,204299887,239999855,204299887,5.0
2023-08-08,204299852,199999988,199999999,199999988,3.0
2023-08-09,204299886,188888888,199999976,199999951,9.0
2023-08-10,199999944,188888888,199999944,199999933,19.0
2023-08-11,199999922,195555555,199999922,199999877,43.0
2023-08-12,199999777,199999710,199999777,199999710,13.0
2023-08-13,199999655,198888888,199999655,199999611,14.0
2023-08-14,233333111,190000000,199999587,233321100,208.0
2023-08-15,255422222,199999999,222222211,199999999,42.0
2023-08-16,288000000,255439998,255439998,288000000,25.0
2023-08-20,255499999,255499999,255499999,255499999,17.0
2023-08-21,248888888,230000000,248888888,230000000,3.0
2023-08-22,399999999,240000000,240000000,399999999,6.0
2023-08-24,249999996,249988887,249999996,249988887,2.0
2023-08-25,255500000,249988888,249999997,249999998,35.0
2023-08-27,287777777,255555500,287777777,269999999,79.0
2023-08-29,249999999,222222222,222222222,249999988,8.0
2023-08-31,269999997,266666666,266666666,269999997,6.0
2023-09-01,287999999,255555555,285555555,255555555,17.0
2023-09-02,316000000,316000000,316000000,316000000,3.0
2023-09-03,314000000,314000000,314000000,314000000,2.0
2023-09-04,332900000,332888888,332900000,332888888,2.0
2023-09-05,322222222,322222220,322222220,322222222,8.0
2023-09-06,277777777,277777777,277777777,277777777,5.0
2023-09-07,321879998,321879998,321879998,321879998,1.0
2023-09-08,333333333,319978888,333333333,319978888,21.0
2023-09-09,318878888,318866666,318878888,318866666,5.0
2023-09-10,311000000,309999999,311000000,309999999,11.0
2023-09-12,307775555,307775555,307775555,307775555,3.0
2023-09-13,319989999,300000000,300000000,306665553,4.0
2023-09-14,306665551,306658884,306665551,306658884,3.0
2023-09-16,306563284,306555549,306563284,306555549,6.0
2023-09-17,306554997,300000000,300000000,306554997,2.0
2023-09-18,306529885,306529885,306529885,306529885,2.0
2023-09-19,333333333,305878999,305888880,305878999,11.0
2023-09-20,305870000,304442222,305870000,304442222,5.0
2023-09-21,319989999,299999999,319989999,303332215,31.0
2023-09-22,303030299,303030299,303030299,303030299,1.0
2023-09-23,301888885,299999998,301888884,299999998,17.0
2023-09-24,299887777,299887777,299887777,299887777,3.0
2023-09-25,299879999,288888554,299879999,288888554,9.0
2023-09-26,288888553,284000000,288888553,285555552,15.0
2023-09-27,285555499,285555499,285555499,285555499,2.0
2023-09-28,285555392,285555392,285555392,285555392,1.0
2023-09-29,285554996,285554994,285554996,285554994,11.0
2023-09-30,285554890,285550000,285550000,285554890,7.0
2023-10-02,285554889,285554887,285554889,285554888,5.0
2023-10-03,269999999,258888888,269999999,258888888,6.0
2023-10-05,285555555,285554992,285555555,285554992,3.0
2023-10-06,303030303,285554992,285554992,303030303,4.0
2023-10-10,319989999,303030000,303030000,319989999,7.0
2023-10-11,319989999,319989999,319989999,319989999,1.0
2023-10-12,319989999,319989999,319989999,319989999,1.0
2023-10-13,319989999,318888888,318888888,319989999,3.0
2023-10-14,319989999,302222222,302222222,319989999,2.0
2023-10-15,319989999,300000000,300000000,319989999,2.0
