2,High,Low,Open,Close,Volume
2024-08-29,88888888888,88888888888,88888888888,88888888888,1.0
2024-08-30,127000000000,106555555555,106599999999,127000000000,4.0
2024-08-31,127200000000,127200000000,127200000000,127200000000,1.0
2024-09-01,117099999999,117099999999,117099999999,117099999999,1.0
2024-09-02,117100000000,111111111111,111111111111,117100000000,4.0
2024-09-08,93333333333,93333333333,93333333333,93333333333,1.0
2024-09-09,93322222222,92222222222,92222222222,93322222222,4.0
2024-09-13,99780000000,98999999999,98999999999,99780000000,2.0
2024-09-15,99878888888,99699699699,99699699699,99878888888,2.0
2024-09-22,91888888888,91888888888,91888888888,91888888888,1.0
2024-09-25,92000000000,92000000000,92000000000,92000000000,1.0
2024-09-26,93333333333,93333333333,93333333333,93333333333,1.0
2024-10-09,93333333333,93333333333,93333333333,93333333333,1.0
2024-10-13,93222222222,93222222222,93222222222,93222222222,2.0
2024-10-17,99999999999,97777777777,99999999999,97777777777,2.0
2024-10-22,93300000000,93300000000,93300000000,93300000000,1.0
2024-10-27,96770000000,96770000000,96770000000,96770000000,1.0
2024-11-02,96440000000,96440000000,96440000000,96440000000,1.0
2024-11-09,95800000000,95800000000,95800000000,95800000000,1.0
2024-11-13,122222222222,122222222222,122222222222,122222222222,1.0
2024-11-19,95799999995,95799999995,95799999995,95799999995,1.0
2024-11-23,95399999998,95300000000,95300000000,95399999998,2.0
2024-12-18,87777777777,87777777777,87777777777,87777777777,1.0
2024-12-21,94444444443,94444444443,94444444443,94444444443,1.0
2024-12-24,94333333333,94333333333,94333333333,94333333333,1.0
2025-01-03,94200000000,94200000000,94200000000,94200000000,1.0
2025-01-10,94300000000,94300000000,94300000000,94300000000,1.0
