2,High,Low,Open,Close,Volume
2023-08-10,290000000,255555555,280000000,280000000,134.9999999240757
2023-08-11,295555555,266666666,280799999,270000000,337.9999999155872
2023-08-12,295555556,249500000,287999999,280000000,215.99999995490901
2023-08-13,295555556,219000000,279999900,294899999,426.99999993437626
2023-08-14,295444444,277777777,291799990,290000000,288.9999999793892
2023-08-15,294500000,280000000,290799900,289999999,294.99999996163393
2023-08-16,294490000,280000000,287544444,288544444,208.9999999826784
2023-08-17,293333333,269999999,288888888,292989999,229.99999994837782
2023-08-18,294499998,280000000,292990000,282222222,177.0000000280512
2023-08-19,299999999,270000000,283200000,295553333,215.9999998952268
2023-08-20,295555555,265000000,273999889,286333333,275.99999993737214
2023-08-21,299999999,264400000,286222222,280000000,306.99999998437244
2023-08-22,333333333,280000000,311111111,298888888,327.99999995735897
2023-08-23,299999999,275335469,275335469,293000000,308.00000010156197
2023-08-24,299999999,288888888,293000000,294222222,201.9999999725678
2023-08-25,308888889,289999999,290999999,298766666,322.99999995308315
2023-08-26,311111111,289999999,301000000,297999999,141.9999999560682
2023-08-27,306888889,290000000,300000000,303333333,239.99999988795798
2023-08-28,314444444,299999999,299999999,301111111,191.99999996720953
2023-08-29,319999999,295000000,300000000,305555555,270.99999986382556
2023-08-30,311000000,288888889,300000000,311000000,448.00000002675216
2023-08-31,333333333,289999999,299999999,309999999,192.99999990543174
2023-09-02,340000000,288888889,302000000,310000000,339.9999999636938
2023-09-03,319999999,298888888,305555556,305000000,253.9999998630037
2023-09-04,333322222,300000000,308888888,332000000,370.99999986495874
2023-09-05,332999999,290000000,332999996,318555000,262.9999999421701
2023-09-06,327877664,313333333,316666667,322222222,231.99999998107242
2023-09-07,327988000,300000000,318888889,324439989,237.0000000005349
2023-09-08,332999998,229999999,319999999,324438800,272.9999998897225
2023-09-09,331899888,239999999,318880000,319999999,231.999999986726
2023-09-10,340000000,310000000,321990000,322222222,190.9999999215483
2023-09-11,328799900,300000000,326999990,323333332,233.99999993025932
2023-09-12,340000000,310000000,310000000,310800000,227.99999994273907
2023-09-13,328000000,299999999,317777777,328000000,203.99999999998732
2023-09-14,329999000,299999999,327999999,326666665,176.9999999597992
2023-09-15,327999999,310000000,326666666,326555555,194.9999999117383
2023-09-16,330000000,300000000,325999998,323880000,239.9999998965348
2023-09-17,338888889,305000000,308000000,313333333,378.9999998901937
2023-09-18,340000000,311111111,314000000,326666665,237.999999938075
2023-09-19,332999999,315555556,326666666,332999999,186.9999999413899
2023-09-20,332222222,290000000,319500000,313333333,185.99999998685456
2023-09-21,331099999,310000000,326666665,328999999,92.00000001577459
2023-09-22,330000000,295000000,322222222,328777777,224.9999999745697
2023-09-23,330000000,311111111,316666666,325900667,130.99999997807927
2023-09-24,329999950,299999999,328888888,320000000,327.9999998945067
2023-09-25,328888888,314000000,322222220,326666666,138.99999995922502
2023-09-26,326888887,300000000,315555556,310000000,182.9999999181126
2023-09-27,326666666,305000000,315000000,311000000,104.99999999359497
2023-09-28,325000000,288888888,311111111,308888889,338.9999999157369
2023-09-29,332190000,300000000,308888889,311111111,235.9999999424615
2023-09-30,329999999,310000000,325555500,319999998,211.99999995198812
2023-10-01,324999998,304444444,309999999,312500000,263.99999994875054
2023-10-02,325000000,300000000,315555522,324888888,220.99999998066224
2023-10-03,325499999,300000000,312100000,310000000,71.99999998030303
2023-10-04,325499999,299999899,324777777,322222222,201.9999999451682
2023-10-05,329999999,305555556,326555544,311111111,88.99999998364322
2023-10-06,349499990,308888889,312987889,346666667,337.9999999638077
2023-10-07,355000000,310000000,314888889,340000000,283.999999919517
2023-10-08,370000000,310000000,369000000,346655000,261.9999999679374
2023-10-09,370000000,320000000,365999999,369999999,156.9999999449914
2023-10-10,399999999,340000000,344444444,367777777,142.00000001745613
2023-10-11,369999998,333333333,369999996,366666666,185.99999991442456
2023-10-12,379999999,350000000,369999999,360000000,146.9999999119165
2023-10-13,379989980,279999999,378800666,376999997,135.99999993163476
2023-10-14,379996666,349999999,368888888,366666667,149.99999992270705
2023-10-15,379999999,330000000,379996666,378888800,124.99999994893207
2023-10-16,399990000,300000000,378888885,367900000,191.9999999588852
2023-10-17,399999999,349000000,356796566,349999999,109.9999999781223
2023-10-18,378990667,334700000,370000000,372222222,36.99999999701225
2023-10-19,366666666,322222222,344444444,325000000,229.99999997273147
2023-10-20,329888889,309555556,328999999,329880000,250.99999989700515
2023-10-21,370000000,320000000,327888888,347444444,171.99999994536725
2023-10-22,370000000,330000000,344000000,365977778,172.00000000850682
2023-10-23,400000000,355555555,376888888,387777777,223.99999995403735
2023-10-24,399500000,340000000,388789999,378777778,131.99999994874037
2023-10-25,439999990,337000000,378888000,338888889,276.9999999774252
2023-10-26,399999990,333333333,379999998,399998887,180.99999996630106
2023-10-27,399999999,333333333,399999999,399877776,209.99999991049626
2023-10-28,399866666,355000000,399866666,398888884,160.99999994330028
2023-10-29,399999999,365000000,398888884,398000000,145.9999999484818
2023-10-30,399998777,366666666,399998777,369444321,111.99999998108193
2023-10-31,397555555,365000000,397555553,394498888,118.99999997293918
2023-11-01,388999999,366000000,385555443,374000000,83.9999999755349
2023-11-02,388888888,344444444,374999990,360000000,221.99999989774392
2023-11-03,394999987,333333333,386666665,370000000,188.99999994823733
2023-11-04,387777777,350000000,387000000,386999999,262.9999998986373
2023-11-05,393999000,365000000,387000000,369980000,232.9999998859238
2023-11-06,387777700,366600000,386666566,366666000,152.99999994043165
2023-11-07,394899989,366666667,366666667,368866667,63.999999959270156
2023-11-08,397000667,320000000,368800000,392988888,171.99999999704534
2023-11-09,394444444,360000000,365555556,365555556,178.9999999427992
2023-11-10,393333332,355555556,366666667,388088000,196.99999994239778
2023-11-11,393099999,308999999,360000000,365555556,127.9999999864599
2023-11-12,391111000,345000000,365555556,391000000,103.99999997278911
2023-11-13,391111000,358888888,363333333,388888880,124.00000001366077
