2,High,Low,Open,Close,Volume
2023-08-05,143333332,135000000,143333332,135555555,5.0
2023-08-06,139999999,133333333,139699999,134999999,21.0
2023-08-07,143333333,135555555,138888888,135555555,13.0
2023-08-08,180000000,120000000,128000000,180000000,98.0
2023-08-09,185000000,133333333,185000000,178888888,37.0
2023-08-10,150000000,121111111,150000000,149999999,16.0
2023-08-11,155555555,139999999,150000000,155555555,26.0
2023-08-12,160000000,155555555,155555555,158888877,13.0
2023-08-13,166666661,145000000,150000000,149999999,28.0
2023-08-14,169999999,138888888,138888888,144444444,55.0
2023-08-15,155555555,149999999,155444443,155555555,7.0
2023-08-16,155555555,144444444,149999999,155555555,16.0
2023-08-17,158888888,150000000,158777777,158888888,17.0
2023-08-18,158888888,133333333,158888877,155550000,21.0
2023-08-19,158699999,155550000,155550000,157666666,43.0
2023-08-20,157777777,138888888,156665555,155555555,26.0
2023-08-21,157999999,145555555,157999999,154444444,8.0
2023-08-22,150000000,133333333,150000000,139999999,7.0
2023-08-23,154444444,133333333,149999999,153333333,23.0
2023-08-24,211111111,149999999,154222222,170000000,75.0
2023-08-25,199998888,154555555,188000000,197777776,56.0
2023-08-26,197770000,158888888,158888888,195444444,18.0
2023-08-27,209999999,170000000,170000000,209999999,63.0
2023-08-28,222222222,185000000,199999999,199999999,38.0
2023-08-29,222222221,180000000,198888888,222222221,84.0
2023-08-30,208888888,198888888,208888888,199999998,4.0
2023-08-31,222222222,191770000,191770000,214999998,34.0
2023-09-01,278888888,200000000,214999999,266666666,25.0
2023-09-02,399888888,222222222,388888880,399888888,127.0
2023-09-03,399999999,200000000,398888888,200000000,28.0
2023-09-04,379999999,288888888,379999999,300000000,4.0
2023-09-05,329999999,247000000,328888888,266666666,11.0
2023-09-06,299000000,288888888,289999999,296666666,14.0
2023-09-07,549999999,284999999,298888888,549999999,161.0
2023-09-08,755555555,299999999,522222222,510000000,12.0
2023-09-09,505555555,488888888,505555555,488888888,2.0
2023-09-10,450000000,399990000,450000000,399990000,5.0
2023-09-11,470000000,333333333,398888888,376666666,62.0
2023-09-12,400000000,344444444,390000000,387777777,13.0
2023-09-13,458000000,387777777,387777777,458000000,46.0
2023-09-14,457000000,428888888,457000000,428888888,5.0
2023-09-15,418888888,388851111,418888888,388851111,3.0
2023-09-16,433333333,377777777,377777777,433333333,36.0
2023-09-17,433333329,411110111,411110111,420000000,15.0
2023-09-18,418888888,399999999,411110000,399999999,6.0
2023-09-19,399999999,350000000,399999999,388888888,5.0
2023-09-20,399999990,350000000,350000000,376666666,11.0
2023-09-21,399999999,398333333,398333333,399999999,13.0
2023-09-22,399888888,355555555,399888888,399888666,12.0
2023-09-23,397776666,397776666,397776666,397776666,1.0
