2,High,Low,Open,Close,Volume
2023-08-27,82222222,53222222,57999999,53222222,222.0
2023-08-28,58888888,52222222,52222222,58888888,270.0
2023-08-29,64488887,58000000,58000000,58888888,15.0
2023-08-30,68887777,58888888,58888888,59333333,21.0
2023-08-31,66666666,58666666,59222222,59328880,127.0
2023-09-01,59330000,58888888,59000000,59000000,8.0
2023-09-02,67000000,59310000,59310000,66888888,126.0
2023-09-03,70000000,60000000,66799999,60066665,27.0
2023-09-04,66799996,60000000,66666666,64454545,261.0
2023-09-05,78888888,60000000,64440000,64444444,53.0
2023-09-06,69880000,64333333,64333333,69880000,2.0
2023-09-07,67000000,64222222,65888808,64444444,15.0
2023-09-08,68887777,63999999,64444443,63999999,12.0
2023-09-09,67777777,63999999,64000000,63999999,12.0
2023-09-10,75888880,62222222,75888880,62222222,30.0
2023-09-11,62222022,62219999,62222022,62219999,6.0
2023-09-12,68887777,62188887,62188887,64222200,136.0
2023-09-13,66999999,59999999,64000000,63999000,29.0
2023-09-14,67000000,63322222,63788808,63322222,11.0
2023-09-15,68887777,60000000,63000000,62880887,27.0
2023-09-16,62880880,62866666,62880000,62866666,5.0
2023-09-17,99999999,62000000,63111111,62788888,28.0
2023-09-18,69880000,59999099,62799999,61989999,48.0
2023-09-19,63000000,61000000,61999999,61988888,20.0
2023-09-20,62999999,61606666,61968888,61690000,17.0
2023-09-21,63888888,61111111,61111111,63888888,14.0
2023-09-22,62799999,61000000,62000000,61299999,15.0
2023-09-23,62199966,61299967,61299998,62199966,13.0
2023-09-24,62000000,60000000,60999999,62000000,25.0
2023-09-25,61880000,60000000,60988888,60888888,27.0
2023-09-26,62000000,58888888,60988881,60949998,15.0
2023-09-27,60965555,60948866,60949999,60965555,13.0
2023-09-28,62000000,59999999,60948865,60948861,25.0
2023-09-29,69880000,59999999,59999999,60948856,21.0
2023-09-30,63111111,59999999,60948854,59999999,19.0
2023-10-01,60948850,59888888,59999999,60000000,21.0
2023-10-02,66999999,59999999,59999999,61111111,15.0
2023-10-03,60948850,58888888,59999999,59000000,16.0
2023-10-04,59098888,56999999,59098888,57999909,19.0
2023-10-05,60948850,57777777,57999999,57999998,7.0
2023-10-06,58888888,56000000,56000000,58888887,13.0
2023-10-07,58888888,55555555,58888887,58888888,11.0
2023-10-08,58499999,58000000,58488777,58000000,17.0
2023-10-09,58888888,58111111,58499999,58888888,18.0
2023-10-10,63999000,58766659,58766659,60940000,285.0
2023-10-11,67777777,57777777,57777777,61111110,76.0
2023-10-12,64444444,58888888,64444444,60999989,12.0
2023-10-13,67777777,59999999,66999999,66666666,14.0
2023-10-14,68000000,59999999,60888880,60999990,48.0
2023-10-15,66999999,57999999,66999999,59999990,16.0
2023-10-16,59999900,59998990,59999900,59998990,46.0
2023-10-17,67777777,59998888,59998888,59998987,12.0
2023-10-18,66999999,59988887,66999999,59988887,24.0
2023-10-19,66999999,56666666,59988811,59480000,29.0
2023-10-20,59988664,57777777,59488880,59459998,13.0
2023-10-21,65666666,59333333,59438888,59436999,66.0
2023-10-22,59888888,59433333,59436998,59433333,17.0
2023-10-23,66999999,59433333,59433333,62888888,800.0
2023-10-24,66999998,61700000,62888887,66999998,99.0
2023-10-25,69880000,62222222,62888886,62500000,82.0
2023-10-26,63999000,62499994,62499999,62499994,27.0
2023-10-27,69880000,61111111,63999000,62499997,46.0
2023-10-28,69880000,61000000,62499995,62499992,36.0
2023-10-29,85000000,63999993,78777776,66666666,342.0
2023-10-30,84861888,60000000,67999999,62888888,106.0
2023-10-31,84168888,66666666,66666666,67522222,36.0
2023-11-01,67599996,60000000,67599996,66888886,31.0
2023-11-02,84166888,66666665,66666665,66864998,20.0
2023-11-03,84116888,66000000,66863333,66555555,20.0
2023-11-04,72222222,66633333,66659886,66864999,32.0
2023-11-05,69999999,59999999,59999999,66633333,26.0
2023-11-06,84115555,65544444,66659999,66400000,11.0
2023-11-07,69999999,63333333,66333330,66330332,10.0
2023-11-08,84111133,64999999,66333333,65000000,17.0
2023-11-09,66322222,66111111,66299999,66322222,24.0
2023-11-10,69999999,64444444,65999998,66633333,23.0
2023-11-11,65989999,65000000,65888888,65799999,59.0
2023-11-12,66633333,59999999,65770000,66633333,24.0
2023-11-13,65770000,59999999,65666665,65366665,17.0
2023-11-14,81111112,65319887,65333330,65888000,32.0
2023-11-15,66659888,63333333,65320000,65315888,23.0
2023-11-16,78366888,64444444,65316888,65288088,21.0
2023-11-17,69999999,62222222,62222222,66322222,28.0
2023-11-18,64999999,62222222,64999999,64888870,85.0
2023-11-19,78665541,64800000,64888870,64800000,20.0
2023-11-20,65999999,64222222,64444444,64877770,21.0
2023-11-21,65500000,63333333,64877769,65500000,38.0
2023-11-22,78665541,64877743,78665541,64877745,17.0
2023-11-23,64877749,64798866,64799999,64798866,20.0
2023-11-24,78665541,63333333,64798880,63333333,17.0
2023-11-25,64877777,61088887,64877777,63333222,16.0
2023-11-26,64998888,59999999,64798868,64998888,19.0
2023-11-27,64998888,62999999,64877743,63333333,20.0
2023-11-28,99999999,63499966,63499966,70999998,577.0
2023-11-29,70950000,70000000,70000000,70944444,10.0
2023-11-30,70999997,70000000,70999997,70777769,29.0
2023-12-01,70888888,61770000,70699999,68880887,20.0
2023-12-02,61769999,59999998,61769999,59999998,6.0
2023-12-03,65555555,56000000,56499990,56499998,19.0
2023-12-04,70555555,56000000,56499988,70533333,23.0
2023-12-05,71000000,56666666,70533332,68878779,33.0
2023-12-06,68866666,62999998,66665555,62999998,22.0
2023-12-07,66664297,61666666,62986666,61666666,13.0
2023-12-08,68878888,61000000,61880066,61777777,50.0
2023-12-09,62000000,61755555,61755555,61880776,11.0
2023-12-10,74999996,60888888,61880777,61110000,42.0
2023-12-11,61111111,60000000,60000000,60988888,7.0
2023-12-12,88888888,60999993,60999998,60999994,14.0
2023-12-13,60000000,59999888,59999988,59999888,11.0
2023-12-14,59999887,59999555,59999887,59999555,6.0
2023-12-15,59999766,58888888,59999766,59999653,22.0
2023-12-16,70777768,59999649,70777768,68878780,14.0
2023-12-17,59999649,58800000,59999649,59899908,24.0
2023-12-18,61000000,58888888,59899907,58888888,30.0
2023-12-19,58888888,58790000,58800000,58799991,33.0
2023-12-20,68878780,58555553,58799989,58799992,18.0
2023-12-21,68878780,58555388,68878780,58555547,22.0
2023-12-22,70777768,57000000,61000000,68878780,16.0
2023-12-23,60999995,58444444,58444444,58499953,55.0
2023-12-24,68878780,55555555,58499950,58498854,13.0
2023-12-25,70690000,53000000,58499555,53999999,21.0
2023-12-26,59900000,52999993,53999996,52999993,43.0
2023-12-27,53333333,51877777,52999994,51877777,27.0
2023-12-28,58799992,51888885,51888885,52222221,279.0
2023-12-29,68878780,51111110,52222200,53500000,20.0
2023-12-30,59900000,50000000,51888886,50999998,20.0
2023-12-31,50999997,47777777,50999997,49888888,18.0
2024-01-01,50999996,48999999,48999999,49888888,60.0
2024-01-02,68878780,49999999,50999000,49999999,37.0
2024-01-03,51000000,50988888,51000000,50999998,13.0
2024-01-04,58788888,50000000,51000000,51599999,49.0
2024-01-05,74999996,46666666,49999999,46666666,34.0
2024-01-06,57999991,44999999,44999999,57999991,82.0
2024-01-07,49999996,44333332,47777555,44333332,62.0
2024-01-08,74999996,42222222,44999999,65000000,28.0
2024-01-09,43333333,41111111,43333297,42222220,23.0
2024-01-10,42222219,39988887,42000000,39988888,19.0
2024-01-11,68878780,35999999,39988887,68878780,152.0
2024-01-12,43333300,34499998,34880000,42333333,42.0
2024-01-13,65000000,34988888,38888885,39499997,43.0
2024-01-14,65000000,35555552,39499998,36666665,87.0
2024-01-15,39988887,35555555,35555555,35877775,110.0
2024-01-16,39988887,35553333,35555555,35555333,37.0
2024-01-17,36500000,35000000,36500000,35333333,36.0
2024-01-18,35488888,29999999,35488888,29999999,33.0
2024-01-19,39500000,29999999,39500000,31998888,48.0
2024-01-20,33533330,31888888,31988888,31999991,160.0
2024-01-21,33479996,30999959,31888887,30999999,34.0
2024-01-22,33479996,25555555,30999998,25555555,47.0
2024-01-23,29999997,27777777,28000000,27999998,49.0
2024-01-28,58799992,28700000,33333300,29890000,394.0
