2,High,Low,Open,Close,Volume
2024-01-03,433333333,333333333,420000000,422222222,89.0
2024-01-04,429999999,377777777,411111111,410000000,99.0
2024-01-11,381111111,350000000,368888888,381111111,15.0
2024-01-12,409888888,340000000,378880000,348888887,39.0
2024-01-13,385555522,328888888,333333333,385555522,55.0
2024-01-14,400000000,355555555,383333333,355555555,54.0
2024-01-15,410000000,333333333,366666666,410000000,45.0
2024-01-16,399999999,395000000,398999998,395000000,21.0
2024-01-17,400000000,388800000,398888887,400000000,21.0
2024-01-18,411000000,408888886,410999999,408888887,21.0
2024-01-19,411111111,388888888,408888887,411111111,20.0
2024-01-20,444444444,409999999,409999999,440000000,11.0
2024-01-21,479999999,419999998,419999998,479999999,18.0
2024-01-22,485555555,482000000,485555555,482211111,13.0
2024-01-23,528888888,455555444,455555444,522999999,42.0
2024-01-24,523000000,519999999,522222222,519999999,4.0
2024-01-25,519998888,517000000,518888888,519900000,15.0
2024-01-27,505499999,489999999,489999999,505499999,25.0
2024-01-28,519999999,500000000,505500000,500000000,77.0
2024-01-29,528888888,500000000,509999999,500000000,29.0
2024-01-30,666666666,519999999,553333333,519999999,17.0
2024-01-31,544444444,521110000,521110000,528800000,38.0
2024-02-01,645555550,555555555,645555550,555555555,29.0
2024-02-02,639999988,555555555,639999988,555555555,4.0
2024-02-03,629999999,611111111,611111111,625555554,24.0
2024-02-04,615555554,600000000,615555532,615555554,50.0
2024-02-05,615555000,599999999,615553333,599999999,19.0
2024-02-06,612222222,599999999,599999999,612222222,10.0
2024-02-07,612222222,609999999,609999999,612222222,12.0
2024-02-09,615555000,609999999,615555000,614999999,16.0
2024-02-10,614888888,600000000,614888888,600000000,3.0
2024-02-11,614999998,609999990,614999998,611111111,6.0
2024-02-12,612222221,609999998,612222220,609999998,4.0
2024-02-13,611111111,600000000,600000000,611111111,9.0
2024-02-14,615555000,611111111,615555000,611111111,5.0
2024-02-15,614444444,599999998,599999998,614444444,7.0
2024-02-16,614333333,600000000,600000000,614333333,3.0
2024-02-17,638888888,400000000,400000000,638888888,20.0
2024-02-18,1199997776,555555555,555555555,1199997776,13.0
2024-02-19,999999999,999999999,999999999,999999999,9.0
2024-02-20,1555555555,977777777,988888776,1555555555,17.0
2024-02-22,979887777,711111111,979887777,920000000,5.0
2024-02-23,922222222,700000000,922222222,755555555,3.0
2024-02-24,888888888,888888888,888888888,888888888,1.0
2024-02-25,908888888,899555554,899555554,908888888,22.0
2024-02-26,908888887,899888887,908888887,899888887,2.0
2024-02-27,888888887,800000000,800000000,888888887,16.0
2024-02-28,908888886,850000000,866666666,908888886,18.0
2024-02-29,899888888,700000000,899888888,700000000,27.0
2024-03-01,799999999,777777777,777777777,799999999,7.0
2024-03-02,940000000,908888885,908888885,921111111,10.0
2024-03-03,908888887,900000000,908000000,900000000,3.0
2024-03-04,908888555,888888888,888888888,908888554,5.0
2024-03-05,908888533,908888533,908888533,908888533,1.0
2024-03-06,899966666,899966555,899966666,899966555,8.0
2024-03-07,855555333,855550000,855550000,855555333,3.0
2024-03-08,844422222,822222222,822222222,844422000,5.0
2024-03-09,843999999,843999888,843999999,843999888,13.0
2024-03-10,799999999,788888887,788888887,799999999,6.0
2024-03-11,843999999,788888888,798888800,788888888,9.0
2024-03-12,809999999,766666666,809999999,799999998,8.0
2024-03-13,799999999,755444444,777777777,777777777,8.0
2024-03-14,788888888,771777777,771777777,788888888,4.0
2024-03-15,777777777,777777777,777777777,777777777,1.0
2024-03-16,843333333,723299999,723299999,843333322,33.0
2024-03-17,844422222,799888866,799888866,844422222,8.0
2024-03-18,844444400,822222222,822222222,843288777,8.0
2024-03-19,840000000,840000000,840000000,840000000,1.0
2024-03-20,843288777,780000000,811111111,843000000,16.0
2024-03-21,822122222,811111111,811111111,822122222,9.0
2024-03-22,798888888,720000000,798888888,748888888,6.0
2024-03-23,797777777,750000000,797777777,766666666,12.0
2024-03-24,796655533,788888888,788888888,796522222,14.0
2024-03-25,798000000,788888888,788888888,795000000,7.0
2024-03-26,777777754,777777754,777777754,777777754,1.0
2024-03-27,688888888,688888888,688888888,688888888,1.0
2024-03-28,796522211,699998887,699998887,789999989,35.0
2024-03-29,789999999,755000000,789999999,789999999,8.0
2024-03-30,789988888,764444444,789988888,777777766,5.0
2024-03-31,844444444,699999999,777770000,777770000,20.0
2024-04-01,743333333,733333332,743333333,733333332,2.0
2024-04-03,719999999,690999999,690999999,700000000,11.0
2024-04-04,738888888,710000000,710000000,738888888,8.0
2024-04-05,777777770,719888888,744333332,719888888,8.0
2024-04-06,709999999,709990000,709999999,709999988,8.0
2024-04-07,709999988,708888888,708888888,709999988,5.0
2024-04-08,777777770,708888888,709999999,777777770,7.0
2024-04-09,722222222,709999988,719800000,722222222,5.0
2024-04-10,888887666,719888888,719888888,888887666,41.0
2024-04-11,888887777,888887777,888887777,888887777,1.0
2024-04-12,799999999,799999999,799999999,799999999,3.0
2024-04-13,887979999,777777777,887979999,777777777,12.0
2024-04-14,886000000,869999666,886000000,869999777,6.0
