2,High,Low,Open,Close,Volume
2024-01-02,166666666,160000000,165555555,160000000,7.0
2024-01-03,164888888,110000000,155555555,150000000,97.0
2024-01-04,160000000,133333333,155555555,150000000,81.0
2024-01-10,144444444,144444444,144444444,144444444,1.0
2024-01-11,144000000,111111111,132222222,143333333,44.0
2024-01-12,141111111,122222222,133333333,141110000,40.0
2024-01-13,155555555,111111110,133333333,155555555,43.0
2024-01-14,155333322,122222222,155331111,144444444,40.0
2024-01-15,163332221,133333333,145555555,163332221,35.0
2024-01-16,159999999,111111111,155555555,111111111,9.0
2024-01-17,161000000,157777776,157777776,161000000,10.0
2024-01-18,163111111,155555555,159888888,155555555,17.0
2024-01-19,168888888,144444444,144444444,168888888,29.0
2024-01-20,179888111,177770000,179888111,177777777,7.0
2024-01-21,177777773,151111111,177777773,151111111,2.0
2024-01-22,164999999,158888888,164999999,158888888,2.0
2024-01-23,188880000,148999999,148999999,188880000,35.0
2024-01-24,188777776,149999900,149999999,188777776,35.0
2024-01-25,188888888,187777775,187777775,188888888,3.0
2024-01-26,177777777,160000000,160000000,177777777,2.0
2024-01-27,187777775,179888888,187000000,179888888,5.0
2024-01-28,249999998,166666666,179989900,188888888,56.0
2024-01-29,199999976,188888888,199999976,188888888,2.0
2024-01-30,188888888,177770000,177777777,188888888,10.0
2024-01-31,191999998,191888887,191999998,191888887,4.0
2024-02-01,199999999,188777777,188777777,199999999,33.0
2024-02-02,222221110,188888888,209999998,219888887,13.0
2024-02-03,217999999,217888886,217999999,217888886,2.0
2024-02-04,213333332,210000000,213333332,210000000,2.0
2024-02-05,199999990,188888888,199999988,195000000,18.0
2024-02-06,199999987,193333333,193333333,199999987,16.0
2024-02-07,199888888,188888888,188888888,199888888,6.0
2024-02-08,200000000,199999988,199999988,200000000,3.0
2024-02-09,199888888,195555555,198800000,199888887,9.0
2024-02-10,199800000,188888888,199800000,199000000,9.0
2024-02-11,199999999,198000000,198799999,198888888,25.0
