2,High,Low,Open,Close,Volume
2024-01-21,760000000,722222221,759999999,760000000,129.0
2024-01-22,875555555,700000000,750000000,755555555,218.0
2024-01-23,1000000000,700000000,788888888,822222222,438.0
2024-01-24,879999999,799999999,837776666,866555554,107.0
2024-01-25,999999333,854444444,855550000,999999333,73.0
2024-01-26,999999211,960666666,999999211,986999888,136.0
2024-01-27,986999886,755555555,986999886,947777765,47.0
2024-01-28,1100000000,922222222,946666666,985555555,176.0
2024-01-29,986655998,899999999,955555555,910000000,265.5714285637755
2024-01-30,939999999,899999999,899999999,910000000,65.0
2024-01-31,919999999,899900000,918888888,899999998,78.0
2024-02-01,900000000,777777777,899998888,900000000,18.0
2024-02-02,986999886,902111111,902111111,949999999,125.0
2024-02-03,978000000,950000000,950000000,965554554,25.0
2024-02-04,1111111111,944444444,960000000,1088788888,79.0
2024-02-05,1300000000,999999999,1088808887,1071099900,97.0
2024-02-06,1069800000,999999999,1069800000,1067444444,67.0
2024-02-07,1067444443,999999999,1067444443,1011111111,63.0
2024-02-08,1266666666,1011111111,1067369999,1266666666,466.0
2024-02-09,1500000000,1265555444,1265555555,1499999999,86.0
2024-02-10,1400000000,1255555555,1299980000,1318888887,146.0
2024-02-11,1327777777,1299999999,1317888877,1319800000,248.0
2024-02-12,1555555555,1280000000,1333333333,1286888888,160.0
2024-02-13,1288888885,1271777766,1279999997,1288888880,51.0
2024-02-14,1298666666,1287777777,1288888886,1298666666,18.0
2024-02-15,2222222222,1288888888,1298655554,1314888886,129.0
2024-02-16,1499999999,1222222222,1288888888,1348888888,206.0
2024-02-17,1999999999,1348888886,1348888886,1999999999,141.0
2024-02-18,1999999999,1444444444,1968888887,1999999999,592.0
2024-02-19,2366066063,2177555555,2366066063,2177555555,21.0
2024-02-20,2298880000,1787999999,2298880000,1787999999,33.0
2024-02-21,1749989999,1500000000,1749989999,1555555555,10.0
2024-02-22,1748777775,1700000000,1748777775,1708888888,60.0
2024-02-23,1738888888,1678888888,1699999999,1678888888,40.0
2024-02-24,1679999999,1550000000,1679999999,1666000000,19.0
2024-02-25,1666666666,1614999999,1666666665,1666666666,83.0
2024-02-26,1699999991,1579888800,1614000000,1579888800,32.0
2024-02-27,1610000000,1569999999,1579886800,1600000000,14.0
