2,High,Low,Open,Close,Volume
2023-08-11,584999997,566666666,566666666,584999997,44.0
2023-08-12,584988888,574888887,584988888,574888887,7.0
2023-08-13,574877776,569555555,574877776,569988887,7.0
2023-08-14,569999999,555555555,569888887,569888888,318.0
2023-08-15,574888886,559999888,559999888,574888843,235.0
2023-08-16,577777776,574877700,574877700,577777776,26.0
2023-08-17,588888888,576666666,576666666,588888888,108.0
2023-08-18,586660000,575555555,575555555,586660000,14.0
2023-08-19,622222222,586666666,586666666,622222222,67.0
2023-08-20,649999999,599999998,599999998,623333333,53.0
2023-08-21,611111111,595555555,611111111,599999999,4.0
2023-08-22,623333333,600000000,600000000,623211110,20.0
2023-08-23,623222222,622222222,623222222,623211111,7.0
2023-08-24,623222110,623210000,623222110,623210000,4.0
2023-08-25,623189999,599999999,623000000,623100000,6.0
2023-08-26,622222222,615000000,622222222,615000000,9.0
2023-08-27,623100000,613999999,614999998,623100000,30.0
2023-08-28,614999999,611111111,611111111,614999999,37.0
2023-08-29,623880000,610000000,613333333,615000000,37.0
2023-08-30,622222222,616830000,616833133,622222222,72.0
2023-08-31,623100000,621111111,621111111,622900667,71.0
2023-09-01,623219998,623100000,623100000,623219998,29.0
2023-09-02,666666666,623219999,623219999,666666666,8.0
2023-09-03,666666666,666666555,666666666,666666666,93.0
2023-09-04,699999999,623333333,699970000,623333333,14.0
2023-09-05,744444444,699999985,699999987,744444444,110.0
2023-09-06,744444443,744444443,744444443,744444443,1.0
2023-09-07,744000000,739999999,744000000,742222222,3.0
2023-09-08,741000000,660000000,741000000,733222222,55.0
2023-09-09,711111109,700000000,700000000,711111109,2.0
2023-09-10,709999999,699999998,699999999,709999999,39.0
2023-09-11,737777777,700000000,711111109,737777776,37.0
2023-09-12,730000000,711111111,729999999,730000000,12.0
2023-09-13,728888887,719999999,728888887,719999999,3.0
2023-09-14,719999998,719877777,719999998,719877777,3.0
2023-09-15,709999999,709999999,709999999,709999999,1.0
2023-09-16,710000000,703333333,710000000,706666666,13.0
2023-09-17,709888888,700000000,704888888,709888888,47.0
2023-09-18,709800000,709799998,709799999,709800000,17.0
2023-09-19,709666666,709666612,709666666,709666612,10.0
2023-09-20,709666664,699899999,709666664,699899999,11.0
2023-09-21,699999999,699999998,699999999,699999998,2.0
2023-09-22,699888888,699499998,699888888,699499998,8.0
2023-09-23,699499998,694888879,698888888,694888879,11.0
2023-09-24,694888879,590000000,590000000,694888879,16.0
2023-09-25,694788888,694788888,694788888,694788888,2.0
2023-09-26,689999999,688888888,689999999,688888888,4.0
2023-09-27,689999999,688887777,688888888,688887777,4.0
2023-09-28,688776666,679850000,688776666,679855555,9.0
2023-09-29,676666655,666666666,676666655,676650000,11.0
2023-09-30,676666655,673333333,675555555,676666655,41.0
2023-10-01,676664444,676663333,676664444,676664444,8.0
2023-10-02,679999999,676666655,676666655,679999999,2.0
2023-10-03,688887777,679999999,688887777,688887777,6.0
2023-10-04,688888888,680000000,680000000,688888888,27.0
2023-10-05,719888888,687888888,688888887,698888888,136.0
2023-10-06,700000000,692222222,692222222,700000000,100.0
2023-10-07,726666666,699888888,699888888,726000000,35.0
2023-10-08,799999999,726000000,726000000,746666666,27.0
2023-10-09,746666665,680000000,680000000,744444443,8.0
2023-10-10,788888888,728888888,788888888,744444444,20.0
2023-10-11,749999999,711111111,738888888,749999999,43.0
2023-10-12,799999995,788888888,788888888,799999995,11.0
2023-10-13,800000000,795000000,799888888,795000000,45.0
2023-10-14,799999997,744444444,799999997,744444444,6.0
2023-10-15,799999888,798888000,799999777,798888000,60.0
2023-10-16,798888880,750000000,750000000,798888880,100.0
2023-10-17,798888880,778888000,798888880,778888000,27.0
2023-10-18,778888880,778888880,778888880,778888880,2.0
2023-10-20,733400000,719880000,733400000,719880000,43.0
2023-10-21,719880000,719880000,719880000,719880000,2.0
2023-10-22,755555555,717919999,717919999,755555555,87.0
2023-10-23,755555550,700000000,700000000,755555550,24.0
2023-10-24,748888888,733333333,733333333,748888888,8.0
2023-10-25,777777776,755555550,755555550,755555555,52.0
2023-10-26,754444444,733333333,733333333,750000000,11.0
2023-10-27,770000000,758888888,758888888,770000000,16.0
2023-10-28,777777776,750000000,750000000,777777776,3.0
2023-10-29,788888888,769999999,788888888,769999999,5.0
2023-10-30,769999999,768888888,768888888,769999999,2.0
2023-10-31,778888888,768888888,768888888,778888888,29.0
2023-11-01,743333333,743333333,743333333,743333333,9.0
2023-11-02,777777777,766666663,766666663,777777777,33.0
2023-11-03,778777777,777777777,777777777,778777777,8.0
2023-11-04,778888888,778888888,778888888,778888888,1.0
2023-11-05,758888888,758888888,758888888,758888888,2.0
2023-11-06,777777777,777777776,777777776,777777777,12.0
2023-11-07,778888888,778888887,778888887,778888888,4.0
2023-11-08,787777777,778888888,787777776,787777777,13.0
2023-11-09,788888888,788777775,788887777,788888888,123.0
2023-11-10,788888888,788888888,788888888,788888888,3.0
2023-11-11,879900000,799999999,799999999,877777777,33.0
2023-11-13,800000000,799999999,799999999,800000000,103.0
2023-11-14,869000000,811111111,811111111,869000000,10.0
