2,High,Low,Open,Close,Volume
2023-08-17,733333333,733330000,733333332,733330000,3.0
2023-08-18,732222222,688888888,732222222,710000000,8.0
2023-08-19,722222222,700000000,710000000,722222222,12.0
2023-08-20,1332222222,711111111,711111111,1270000000,127.0
2023-08-21,1388888888,888888888,1222000000,999999999,9.0
2023-08-22,1333333333,999999999,1088888887,1000499992,10.0
2023-08-23,1111111111,1000000000,1000000000,1111111111,13.0
2023-08-24,1200000000,1149999999,1200000000,1150000000,7.0
2023-08-25,1188888888,1055555555,1188888888,1080000000,9.0
2023-08-26,1111111111,999999000,1080000000,1033333333,13.0
2023-08-27,1109989999,999999999,1100000000,1055550000,8.0
2023-08-28,1055555555,999999999,1055555555,1055555555,8.0
2023-08-29,1111111111,950000000,1049999999,1039999999,12.0
2023-08-30,1188888888,980000000,1049999998,1188888888,18.0
2023-08-31,1111111111,1055555555,1055555555,1110000000,11.0
2023-09-01,1299999999,1100000000,1111111111,1111111111,9.0
2023-09-02,1333333333,1110000000,1110000000,1219999999,11.0
2023-09-03,1333333333,1222222222,1255555555,1300000000,18.0
2023-09-04,1544444444,1222222222,1330000000,1544444444,17.0
2023-09-05,1798800000,1650000000,1798800000,1699999999,9.0
2023-09-06,1529999999,1299999999,1529999999,1299999999,6.0
2023-09-07,1299999999,1111111111,1188888888,1188888888,6.0
2023-09-08,1298888888,999999999,1111111111,1288888888,15.0
2023-09-09,1299968888,900000000,1299968888,1243000000,13.0
2023-09-10,1222222222,1100000000,1100000000,1189999999,9.0
2023-09-11,1200000000,1100000000,1200000000,1199999999,13.0
2023-09-12,1299999988,1188888888,1190000000,1200000000,15.0
2023-09-13,1199999998,1099999999,1199999998,1144444444,8.0
2023-09-14,1185555555,1100000000,1111111111,1109999999,8.0
2023-09-15,1111100000,1088888877,1111000000,1099999999,13.0
2023-09-16,1099999999,1075555555,1099999999,1077777777,6.0
2023-09-17,1076000000,999999998,1075555555,1050000000,10.0
2023-09-18,999999998,799999999,999999998,940000000,9.0
2023-09-19,960000000,799999995,950000000,820000000,10.0
2023-09-20,805555555,749999999,788888888,800000000,8.0
2023-09-21,810000000,788888880,809999999,799999997,6.0
2023-09-22,798888888,722222222,798888888,780000000,13.0
2023-09-23,787878787,711111111,711111111,780000000,5.0
2023-09-24,888888888,740000000,755555555,777777777,15.0
2023-09-25,790000000,744444444,766666666,776666666,8.0
2023-09-26,799999999,722222222,766666666,766666666,11.0
2023-09-27,777777776,688888888,777777776,776666666,4.0
2023-09-28,777777777,733333333,755533333,749999999,8.0
2023-09-29,888888888,755555555,777777776,772000000,5.0
2023-09-30,850000000,649999999,710000000,709999999,6.0
2023-10-01,711111111,699999999,700000000,711111111,11.0
2023-10-02,730000000,710000000,710000000,728888888,8.0
2023-10-03,720000000,666000000,710000000,720000000,11.0
2023-10-04,733333333,680000000,728111111,720000000,11.0
2023-10-05,740000000,711111111,720000000,733311111,11.0
2023-10-06,888888888,722222222,722222222,733333333,6.0
2023-10-07,733333333,700000000,733333332,729999999,6.0
2023-10-08,730000000,698456456,730000000,699999999,8.0
