2,High,Low,Open,Close,Volume
2023-08-25,385000000,375000000,377777777,380000000,17.0
2023-08-26,400000000,266666666,360000000,390000000,46.0
2023-08-27,422222222,366666666,388888888,420000000,69.0
2023-08-28,420000000,270000000,419999998,399987777,21.0
2023-08-29,449999998,355555555,399988888,433333333,48.0
2023-08-30,466666666,400000000,428000000,419999998,45.0
2023-08-31,555555555,41999999,420000000,410000000,35.0
2023-09-01,419000000,370000000,409999998,380000000,36.0
2023-09-02,555555555,380000000,380000000,469999999,74.0
2023-09-03,530000000,388888888,455555554,411111111,42.0
2023-09-04,555555555,399999888,487777777,460000000,50.0
2023-09-05,550000000,423333333,465000000,455555554,40.0
2023-09-06,533333333,449999999,449999999,485555555,51.0
2023-09-07,488888666,422222222,480000000,460000000,16.0
2023-09-08,455555554,399999999,444444444,429999999,32.0
2023-09-09,410000000,377777777,400000000,410000000,34.0
2023-09-10,439999999,299999999,410000000,438888888,36.0
2023-09-11,439999990,399999999,439999990,422000000,15.0
2023-09-12,499999999,398777777,410000000,399999999,31.0
2023-09-13,396666666,300000000,345678910,379988888,22.0
2023-09-14,399989999,355555555,377777777,397777766,36.0
2023-09-15,399999999,350000000,397555555,399999999,31.0
2023-09-16,399999999,333333333,380000000,378888888,18.0
2023-09-17,379000000,300000000,379000000,349000000,13.0
2023-09-18,350000000,299999999,340000000,333330000,23.0
2023-09-19,333333333,299999999,333333333,305555555,9.0
2023-09-20,302222220,255555555,301111111,299999997,19.0
2023-09-21,299999999,222222222,222222222,299999999,25.0
2023-09-22,300000000,277777777,299999999,295000000,22.0
2023-09-23,299888888,288888666,290000000,298777765,17.0
2023-09-24,298777777,200000000,297777777,288888888,20.0
2023-09-25,299999998,233333333,287654321,288777777,18.0
2023-09-26,288800000,258666666,288000000,265999999,15.0
2023-09-27,267898765,250000000,266000000,257777777,17.0
2023-09-28,259888887,240000000,257777777,249999999,21.0
2023-09-29,250000000,240000000,240000000,250000000,18.0
2023-09-30,250000000,233333333,249999999,245000000,15.0
2023-10-01,259000000,222222222,240000000,233333333,7.0
2023-10-02,266660000,249999999,259999999,266660000,26.0
2023-10-03,266666666,244444444,266666666,244444444,11.0
2023-10-04,258888888,230000000,255555555,258888888,21.0
2023-10-05,245539999,222222222,244444400,233333333,23.0
2023-10-06,250000000,230000000,249999999,250000000,24.0
2023-10-07,251999999,219999999,251000000,250000000,21.0
2023-10-08,266666666,222222222,249999999,266666666,37.0
2023-10-09,266666666,259999999,266555555,259999999,13.0
2023-10-10,310000000,249999999,263000000,310000000,20.0
2023-10-11,311101111,220000000,299999999,280000000,20.0
2023-10-12,400000000,258990000,265000000,298888888,30.0
2023-10-13,299999999,250000000,286666666,282222222,15.0
2023-10-14,333333333,274444444,333333333,280000000,29.0
2023-10-15,299888888,210000000,280000000,299888888,20.0
2023-10-16,299999999,200000001,298000000,288888888,24.0
2023-10-17,366666666,288888888,288888888,366666666,36.0
2023-10-18,444444444,259999999,356000000,259999999,10.0
2023-10-19,355555555,300000000,330000000,328888888,16.0
2023-10-20,366666666,288888888,328888887,329999999,22.0
2023-10-21,370000000,311111111,329999888,311111111,32.0
